"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"TFAP2D"	"TFAP2D"	-0.193219603168294
"KLRC1"	"KLRC1"	-0.0920360880872369
"TNFRSF4"	"TNFRSF4"	-0.293318324767477
"KRT75"	"KRT75"	-0.1995889720486
"DEC1"	"DEC1"	-0.185417767419631
"GPR50"	"GPR50"	-0.135669968637272
"LCE1E"	"LCE1E"	0.438250928771794
"ADORA2A"	"ADORA2A"	-0.565916614468768
"LY86"	"LY86"	-0.691107883044965
"CSF3"	"CSF3"	0.353046337895338
"TREML1"	"TREML1"	-0.229954660722717
"OR4D6"	"OR4D6"	-0.148277750456601
"KRTAP4.1"	"KRTAP4.1"	0.672634724765199
"DRD5"	"DRD5"	-0.283893696215688
"MMP1"	"MMP1"	-0.294986918834884
"NMS"	"NMS"	-0.104650265883215
"CXCL2"	"CXCL2"	0.49521015859921
"HEMGN"	"HEMGN"	-0.44247311999942
"TFPI2"	"TFPI2"	-0.2626429843927
"TLL1"	"TLL1"	-0.227431384107657
"CLEC9A"	"CLEC9A"	-0.593572511521879
"RNF225"	"RNF225"	1.72416786253978
"LCE3A"	"LCE3A"	-0.146795412187928
"GCSAM"	"GCSAM"	0.137551084618203
"CCL22"	"CCL22"	-0.330265129385113
"GYPE"	"GYPE"	-0.68461444707207
"CEACAM8"	"CEACAM8"	-0.736254400125783
"HDAC9"	"HDAC9"	-0.37303056956322
"NCF4"	"NCF4"	0.416149384662678
"CD33"	"CD33"	1.46236180790756
"DYNAP"	"DYNAP"	-0.147469079377954
"SFTPA1"	"SFTPA1"	-0.166736444705932
"CLECL1"	"CLECL1"	0.166937798948294
"OR2L2"	"OR2L2"	-0.135384894996483
"PIK3R6"	"PIK3R6"	-1.30884164768702
"IFNL1"	"IFNL1"	-0.200786967299041
"DEFB106A"	"DEFB106A"	-0.0849508241854858
"FBXO39"	"FBXO39"	-0.439636099037443
"RP1.179P9.3"	"RP1.179P9.3"	-0.191895206973645
"CHIA"	"CHIA"	-0.328271154179789
"IL10RA"	"IL10RA"	-0.464970941400826
"IL12B"	"IL12B"	-0.640735602087424
"CHAT"	"CHAT"	-0.183872654323824
"FABP12"	"FABP12"	-0.269486226150105
"LHB"	"LHB"	-0.334946342970095
"LCE3D"	"LCE3D"	-0.0857551994734458
"AWAT2"	"AWAT2"	0.0214195664256489
"KCNN3"	"KCNN3"	-0.408605732899032
"ALOXE3"	"ALOXE3"	-0.325637282145948
"PLCG2"	"PLCG2"	-0.281626489733379
"LCE2A"	"LCE2A"	-0.290776139266859
"SATL1"	"SATL1"	-0.197386231933584
"FUT7"	"FUT7"	0.646599861074287
"KRT84"	"KRT84"	1.53049199668274
"SPTB"	"SPTB"	-0.275824914368788
"AF165138.7"	"AF165138.7"	-0.181520614813478
"MAP4K1"	"MAP4K1"	-0.409696524525979
"MAP3K7CL"	"MAP3K7CL"	-0.378276332484328
"CAPN3"	"CAPN3"	-0.0698213907205188
"KRT38"	"KRT38"	-0.356987935770856
"CLEC4C"	"CLEC4C"	0.0285003546694689
"SRY"	"SRY"	1.54685414879468
"GGTLC1"	"GGTLC1"	-0.168031085701
"IFNL2"	"IFNL2"	0.115375555179459
"ARL2.SNX15"	"ARL2.SNX15"	-0.405219999413682
"CD1E"	"CD1E"	0.751339450543643
"CARD18"	"CARD18"	-0.249149469521551
"AMY1C"	"AMY1C"	-0.137433247389062
"CCL5"	"CCL5"	1.76861698270353
"KLHL30"	"KLHL30"	-0.0250203895695941
"C6orf10"	"C6orf10"	-0.247157315391788
"HLA.DRB5"	"HLA.DRB5"	0.104210257056177
"SPATA31D3"	"SPATA31D3"	-0.0893800051347432
"IGLL1"	"IGLL1"	-0.165916910856359
"NRG1"	"NRG1"	-0.412924683655979
"LUM"	"LUM"	0.0953349447692249
"TLR9"	"TLR9"	-0.617923162807341
"GIMAP5"	"GIMAP5"	-0.793742508283115
"NDNF"	"NDNF"	-0.268299207551965
"ITK"	"ITK"	-0.143093467503644
"CD1C"	"CD1C"	1.18171579882527
