"V1"	"CTSP.ACY5"
"KPNA3"	"KPNA3"	0.383421040096879
"PNPT1"	"PNPT1"	-0.174790616358934
"ALLC"	"ALLC"	0.44326665215252
"BCKDHB"	"BCKDHB"	0.866933263164304
"API5"	"API5"	0.0174561466200359
"LRRC40"	"LRRC40"	0.745496945094482
"LOC729041"	"LOC729041"	2.56016176489306
"C1D"	"C1D"	0.243104260963933
"MLLT3"	"MLLT3"	0.32166081252496
"ARG2"	"ARG2"	-0.0478528676462246
"PTP4A1"	"PTP4A1"	-1.09474423621434
"CYB5B"	"CYB5B"	0.771735062715357
"C14orf34"	"C14orf34"	2.60360712525436
"OVOL2"	"OVOL2"	-0.698003660753939
"TEKT1"	"TEKT1"	-0.314274305188402
"OSTN"	"OSTN"	-0.714959931484739
"TAF13"	"TAF13"	-1.78057209818819
"HIST1H2BH"	"HIST1H2BH"	0.0276318871923575
"UBE2W"	"UBE2W"	0.250642680437501
"MAPK8"	"MAPK8"	0.895054509026954
"RPP30"	"RPP30"	0.35053111443582
"MIRHG2"	"MIRHG2"	-1.66162701773624
"C14orf33"	"C14orf33"	0.504608392942555
"THAP3"	"THAP3"	-0.186501251839894
"ZNF519"	"ZNF519"	-1.33779195002974
"MED6"	"MED6"	-0.248347305421926
"SPTLC1"	"SPTLC1"	-1.0556651419493
"SUV39H2"	"SUV39H2"	-0.108595265111899
"SCLT1"	"SCLT1"	-1.07423141807293
"LSM12"	"LSM12"	-0.000693974133177178
"TARS"	"TARS"	0.594433325757061
"TMEM135"	"TMEM135"	0.484942787907677
"FAM81B"	"FAM81B"	-0.530734527905213
"RWDD2A"	"RWDD2A"	-0.00981916500348394
"CPEB2"	"CPEB2"	-0.950747016894103
"ANXA7"	"ANXA7"	-0.470918731349565
"LRRC63"	"LRRC63"	-0.54018792853287
"GPR63"	"GPR63"	-0.400983348652058
"CAPSL"	"CAPSL"	2.75843890824091
"RFFL"	"RFFL"	1.81123318453302
"DHDH"	"DHDH"	-0.192502924123724
"SERP1"	"SERP1"	0.658088792653212
"ANKRD33"	"ANKRD33"	0.24116610979909
"FER"	"FER"	-0.572786392189142
"CCDC103"	"CCDC103"	0.512420765688963
"WDR63"	"WDR63"	0.357347227746299
"LOC100131303"	"LOC100131303"	-0.499131579634249
"TAS2R30"	"TAS2R30"	-0.0421302219326697
"TIAL1"	"TIAL1"	0.271664524073603
"REXO2"	"REXO2"	-1.26528340255592
"NUDCD1"	"NUDCD1"	-1.04953367593362
"C10orf79"	"C10orf79"	0.792403852881778
"RSRC1"	"RSRC1"	-0.205165983288377
"FAM92A1"	"FAM92A1"	0.841256831497115
"SLCO4C1"	"SLCO4C1"	-0.314414398626477
"ZC3H15"	"ZC3H15"	-0.0177692220728196
"ACCSL"	"ACCSL"	-0.209234116593685
"FAM35A"	"FAM35A"	0.283149609014272
"MCOLN3"	"MCOLN3"	0.169550152288452
"C8A"	"C8A"	2.74366427322849
"SRGN"	"SRGN"	1.10332342659995
"PSMC6"	"PSMC6"	-1.30346886711525
"TFAM"	"TFAM"	-0.417799424911429
"TRIM6"	"TRIM6"	0.675077944632679
"YIF1A"	"YIF1A"	-0.207588055152369
"PAK1IP1"	"PAK1IP1"	-1.35859735864639
"TMEM38B"	"TMEM38B"	-1.60736791937913
"GLO1"	"GLO1"	-0.47126774791539
"LOC729467"	"LOC729467"	-0.207975145046426
"CCR3"	"CCR3"	-0.727431514713402
"LOC100288082"	"LOC100288082"	0.197348762741074
"GPN1"	"GPN1"	0.190876746872774
"FOXA2"	"FOXA2"	-0.38906418342231
"NUP54"	"NUP54"	-0.602068611729028
"GDAP1L1"	"GDAP1L1"	-0.0247981132251469
"C8B"	"C8B"	-0.313582742903613
"ZP1"	"ZP1"	1.60011414707267
"CCNC"	"CCNC"	-1.34365083943227
"LOC388813"	"LOC388813"	2.07076342530448
"NCRNA00158"	"NCRNA00158"	-0.364959214299032
