"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"NLRP3"	"NLRP3"	1.08807552714293	-0.611256937191827	0.51147537420166	-0.412478517642055	-0.520702560383256	"IS01"	1.08807552714293
"TTC39B"	"TTC39B"	0.974143683634706	-0.818832095548939	0.386358300670157	0.193861041590942	-0.602220417152873	"IS01"	0.974143683634706
"IPCEF1"	"IPCEF1"	0.956981843557916	-0.576304011508107	0.0452805222095592	-0.143050401601626	-0.351711991857979	"IS01"	0.956981843557916
"NCF2"	"NCF2"	0.926575547166681	-0.85902141955793	-0.260997083026872	-0.100500719114131	0.19948206725934	"IS01"	0.926575547166681
"HERC5"	"HERC5"	0.924187460041095	-0.6939653543698	0.440796243553323	-0.123405392374769	-0.437841006030982	"IS01"	0.924187460041095
"ASGR2"	"ASGR2"	0.833866541769148	-0.531873380537445	0.453307090020907	-0.101678033627937	-0.558398831265427	"IS01"	0.833866541769148
"RAB31"	"RAB31"	0.808134023238938	-0.791718680376019	0.388342492003402	0.0243046576855585	-0.275434897130216	"IS01"	0.808134023238938
"LOC100288535"	"LOC100288535"	0.783377050956049	-0.335831829991586	0.50598340684904	-0.690589343538109	-0.229129937923692	"IS01"	0.783377050956049
"SYTL3"	"SYTL3"	0.771839357626177	-0.641569941429806	0.290449247668377	-0.387386621782515	0.0267320153773223	"IS01"	0.771839357626177
"LOC100132891"	"LOC100132891"	0.761403184829284	-0.543927628705877	0.105081800307657	-0.0205203577908804	-0.30399886425001	"IS01"	0.761403184829284
"CCR2"	"CCR2"	0.721190668293794	-0.686206954884161	0.309071915011636	0.239206895396378	-0.449230270602458	"IS01"	0.721190668293794
"ZNF788"	"ZNF788"	0.71800085590141	-0.521936155999233	-0.0805913689308683	0.146856800497332	-0.313512224372893	"IS01"	0.71800085590141
"HPSE"	"HPSE"	0.71735782565374	-0.586976349899217	-0.158428708025205	0.0698173149357914	-0.10905983956166	"IS01"	0.71735782565374
"TNFAIP3"	"TNFAIP3"	0.716518837805478	-0.326871296686023	0.171235593627658	-0.943845674434613	0.294057934234042	"IS01"	0.716518837805478
"ENC1"	"ENC1"	0.680234956602978	-0.313992539659299	0.600316193367619	-0.557394056176834	-0.314335743577917	"IS01"	0.680234956602978
"CCR3"	"CCR3"	0.652343854643991	-0.518452805165944	0.503582447339027	-0.185413262407003	-0.306328881241512	"IS01"	0.652343854643991
"GK"	"GK"	0.637263370475406	-0.852035265989492	-0.230297710041104	0.348960822385506	0.109547530520587	"IS01"	0.637263370475406
"FAM64A"	"FAM64A"	0.616835882052457	-0.261978095957264	0.147123987659079	-0.0159167325198634	-0.511433737521932	"IS01"	0.616835882052457
"MX1"	"MX1"	0.61381737085832	-0.274516154250911	0.290644227071363	-0.326211168239536	-0.296484190070785	"IS01"	0.61381737085832
"TMEM169"	"TMEM169"	0.609146309853624	-0.901925561441393	0.296605598156986	0.128871052408275	0.0703146383562402	"IS01"	0.609146309853624
"LOC388813"	"LOC388813"	0.603587387061908	-0.503458106073259	-0.235211668701143	0.1758347795671	-0.122597208686746	"IS01"	0.603587387061908
"TRAF1"	"TRAF1"	0.592520940523847	-0.284380061478591	0.395911978146563	-0.800222793784384	0.114548108202495	"IS01"	0.592520940523847
"UST"	"UST"	0.567423395599762	-0.853832804051282	0.245383784184924	-0.0657973413052618	0.275410413720778	"IS01"	0.567423395599762
"ENPP6"	"ENPP6"	0.564433676967102	-0.559627535926836	0.436342015193939	-0.193059478636435	-0.0956829944666324	"IS01"	0.564433676967102
"HERC6"	"HERC6"	0.554733379062911	-0.482559581632804	0.378861076938162	-0.187369866126577	-0.148588033500536	"IS01"	0.554733379062911
"MED6"	"MED6"	0.534666996472344	0.0930186711349658	0.307913995049473	-0.7693637056675	-0.259803900572408	"IS01"	0.534666996472344
"IL10RB"	"IL10RB"	0.508791686912892	-0.709476754652468	0.218875334181043	0.434334567046897	-0.281292861644583	"IS01"	0.508791686912892
"CCL3L1"	"CCL3L1"	0.507605502196241	-0.456628394628234	0.252040139552667	0.158734054883061	-0.362664982008919	"IS01"	0.507605502196241
"INHBA"	"INHBA"	0.502839494182124	-0.402667608154442	0.461419755243522	-0.238825707987585	-0.190594536758365	"IS01"	0.502839494182124
"LOC100288180"	"LOC100288180"	0.494331884797203	-0.1815913855847	0.276016378982703	-0.879029008080754	0.257299636298413	"IS01"	0.494331884797203
"PCNP"	"PCNP"	0.488114850535291	0.0518466275312491	-0.0846725080336764	-0.660613595309929	0.00230807887298313	"IS01"	0.488114850535291
"HORMAD1"	"HORMAD1"	0.485942408367261	-0.442239343642586	0.389550481509927	-0.27196330188008	-0.0427641762533356	"IS01"	0.485942408367261
"YIPF4"	"YIPF4"	0.47581661345527	-0.2203433545189	0.152820466655381	-0.615412015869987	0.163513167362818	"IS01"	0.47581661345527
"GHITM"	"GHITM"	0.468464316063459	-0.136935843578656	0.14110784516694	-0.664875097700918	0.121386983475147	"IS01"	0.468464316063459
"C14orf34"	"C14orf34"	0.463169163147079	-0.403174860919972	0.27586226558777	-0.133225252734564	-0.119112577536269	"IS01"	0.463169163147079
"LRRC40"	"LRRC40"	0.461709010380471	-0.00789479312695911	0.0110895265579218	-0.177429978573629	-0.401202971508628	"IS01"	0.461709010380471
"CCR7"	"CCR7"	0.442389212384119	-0.345598595538167	0.00269737446605835	-0.353294565729271	0.215548408262129	"IS01"	0.442389212384119
"WDFY1"	"WDFY1"	0.438922173360952	-0.375111708955436	-0.0623555559366639	-0.157697169277329	0.117201076808811	"IS01"	0.438922173360952
