"TCGA.05.4397.01A.01R.1206.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.55.8090.01A.11R.2241.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.78.7147.01A.11R.2039.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.78.7167.01A.11R.2066.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.96.8170.01A.11R.2296.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.22.5483.01A.01R.1820.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.37.4132.01A.01R.1100.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.39.5021.01A.01R.1443.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.50.5931.01A.11R.1755.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.63.A5MB.01A.11R.A26W.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.77.8128.01A.11R.2247.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.21.5786.01A.01R.1635.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.37.A5EL.01A.11R.A26W.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.56.5898.01A.11R.1635.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.56.8308.01A.11R.2296.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.62.8398.01A.11R.2326.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.66.2759.01A.01R.0851.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.7697.01A.11R.2125.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.85.8052.01A.11R.2247.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.94.A5I6.01A.21R.A27Q.07"
"TNNI1"	0.263826793976781	0.983106271224733	3.36575139315289	1.60817314507551	0.615890805066102	0.881604502251733	1.11491857970488	1.05415635499792	0.746328427962885	1.19311567054509	0.682762074049373	0.742795164234251	0.870500035079803	0.845917852889807	0.619928504148404	0.772005784033751	0.684930740789956	0.941424746205295	1.45346237080055	1.71854314707473	0.826801608609314	1.33726639235512	1.12145320972678	0.657805872365688	1.32414673098345	0.833854360061922	0.360388259969618	1.80057180230892	1.23224545427824	1.91208511055332	0.750902608002101	0.980827157651633	0.616407053717263	0.646985945240171	0.917501639048787	1.18680895525095	1.13110461124805	0.521613187704095	1.39369331164192	0.785796233031388	1.67084037090964	1.48465447225155	1.27708974056747	0.5102215137199	1.78617370521561	1.49156302853168	1.8663607054146	1.68625378144921	2.24943768134507	0.306318692955426	0.990631984889811	0.642024479091335	0.955564788810966	2.1445285821666	1.44333142142426	1.83779179614302	1.21667017490759	0.849294944780476	2.49990675646027	0.769737239745661	2.5184369714288	1.51245550964484	2.70173605706521	1.73845592910286	0.521064206176789	0.685214313172085	1.39318770717211	1.67184236197161	1.11648141065217	1.91375726170037	1.89400497324014	1.40748912184219	1.04546235790762	2.42751135916442	1.14755012376004	0.682308665897622	1.68842003327512	2.25756795923251	0.987531062510653	1.05465964040091	1.38471260880498	1.39324655796272	1.08066308298369	1.22889256747635	1.22154314651921	0.854327530449748	1.68232191383581	0.785382086927973	0.285582072861616	1.73765028504559	0.813074868601087	1.8276924105023	1.16725489607436	1.71543143843061	0.527522478065354	1.32173191267959	0.958798285710607	1.20958868922072	1.10851255170831	2.1925647752792	0.906228235876384	1.06851256316209	1.0087989371096	0.207668668491718	1.11382411340301	2.21310791214149	0.931955777084865	0.693316674179186	1.80574630591731	1.73839354913074	0.839507966801721	1.53859101507885	1.31631606050449	1.17623855815846	1.7274714412884	0.572076882441481	0.972225203250548	0.223794229081909	0.764083392865363	1.05212510390638	1.03429583368152	1.33988132224103	0.871700593010475	1.05754686069913	0.942840369782398	0.630950709690334	1.09709010691976	1.12999234547841	0.861040610590297	1.12558345907062	1.26283088111511	0.854559189352306	0.557497230465515	0.980314286156859	0.781907538018923	0.993410762513555	1.93486931242238	0.973767081726976	1.22513962554056	0.707718837738143	1.43045498660713	0.578145451240357	1.55880052722801	0.996700783823062	1.1946913669337	0.660323485360602	0.708922156918461	0.0138843340918211	0.731870105764591	1.01063395261827	0.928558112856663	0.485723084300534	0.922142827141826	0.170087686876121	1.49032378303942	0.310401459282793	0.417457492560178	1.79557979354638	0.795518579690033	0.31904680680546	1.97572636797321	1.70400020871651	0.75808097335274	1.16715788206556
"TTN"	0.108593188677171	0.216681255659087	0.531869498551506	0.614212215211338	0.206584759412292	0.658831085290284	0.298544830875734	0.192751986584772	1.01201074790166	0.654079139918764	0.487047040788844	1.02370424070804	0.234641586466665	0.795163089770074	0.517188437964607	0.361419807938143	0.273227634885586	0.627991321783187	1.7251604464508	0.118541496501428	0.874548701870884	0.633724685818559	1.2338326960854	0.718666679389434	0.391823494159089	0.770212703494524	1.01794058182561	0.431610235740899	0.45719911337855	0.323564443152021	0.270520051736214	0.174046286438425	0.207958478992937	0.142431537573186	0.209860835047255	0.163197312266873	0.203573785665221	0.129696183937563	0.904771623554855	0.158467593086848	0.129882525999577	0.225614951806641	0.275089306006999	0.53959047908065	0.223397443374935	0.298117226138821	0.361396584254266	0.119664026367752	0.361556734956967	0.474183581757873	0.298323189848104	0.199231972792202	0.430723811909531	0.448938454439158	0.411383734541558	0.514241245628552	0.312822425253841	0.445521519569277	0.124760662601486	0.319839013105038	0.443991106585436	0.45055545741312	0.117961945582689	0.249502043495294	0.391953107573089	0.398560913234232	0.540886642811651	0.437577331847025	0.219648161744089	0.663978536541762	0.423657701953129	0.294074403338397	0.116968166424791	0.388335329208271	0.254462860726577	0.515793485112439	0.395999030094519	0.16287107257004	0.392381264119202	0.681793311112729	0.603568272926347	0.420907231828852	0.435272702874339	0.520899053249058	0.224665359077373	0.0577892987524537	0.0567497588444058	0.0917377378554444	0.0470246510588673	0.220820406130787	0.184976213036537	0.208457388019784	0.575965408884842	0.240923187418305	0.202300021092567	0.631092347559944	0.382855241648243	0.502449511377559	0.414177549430428	0.84143003601895	0.1720126267416	0.106726044915901	0.103628977045646	0.122949487203248	0.223780420182968	0.796062011276818	0.326770498064029	0.327193799428288	0.565374246147605	0.524201585465362	0.0675104808554431	2.73000189370911	0.305533462067143	0.200491686940768	0.178084459726758	0.267914036102611	0.604453396972637	0.18405842893736	0.595213998901211	0.252401731375064	0.366428438912068	0.34080422375315	0.560303397796393	0.161980729318614	0.431786558024936	0.27323817804555	0.348634144987833	0.367990924123649	0.417612969407695	0.666896961039604	0.494404537245116	0.418838002023595	0.698606825385488	0.110095193557447	0.230317911702041	0.220656915590378	0.486372739694658	0.0195915408822737	0.348170561820731	0.215944267120114	0.32748749354392	0.0782620468783477	0.2728648710877	0.354436059157748	0.209098363935686	0.315732947307143	0.156057982821542	0.273691823626518	0.184415602743976	0.152039387042746	0.180377621922988	0.134906618209284	0.166850689469649	0.0857830450214849	0.341082621168629	0.320338653535628	0.475087256346342	0.315375958524023	0.243962109670683	0.195493530951193	0.203494791409442	0.255062833316336	0.322415998228379	0.263991737646439
"STAC3"	2.69798126153888	2.31126483484914	3.35726108074457	3.42221176701925	2.74978570191174	3.65476399591698	3.13017688388532	3.35985403346926	2.78160168420984	2.60665415124087	3.2655614583093	3.14064700672192	3.28785911282682	2.89728075808481	1.88695198309023	2.69905614335915	2.96891927877552	3.98446637844267	3.38959642933145	2.67847344750983	2.75095158451034	3.88324419726882	3.34947775382244	2.75343017991665	2.22228508359311	3.40840589390987	2.85243789930286	2.44232400001846	2.71960252285031	3.10257371478766	2.68833560670963	3.02169828351049	2.47903318355152	1.92307577466677	1.73150334943088	1.64028591449418	2.68852713536884	2.82115011955317	2.89304293971529	2.18600426125817	2.63841067308647	2.40015719383757	2.23131196609468	2.55207878434024	2.68975990014485	2.06370248865725	2.31575668616475	1.5294444892315	2.85114851283365	2.30717706459328	3.03869823212114	2.79058253628247	2.32241064556035	2.5123406800198	2.10520171469104	2.5528585597298	1.85933227529777	3.22939766359397	2.06031715794602	3.33843618406327	1.94117297507521	3.47785849452231	2.35728217997729	2.7938730396525	2.36657959923023	2.28382672216971	2.22642543312267	2.32486856533795	2.17978528740487	3.12540059191658	2.91926513949789	2.09192590698981	1.61502310351944	1.72233762279777	0.940571315692741	2.89657331068768	3.01914899324529	1.78508761359143	2.29225079303911	3.06634064744268	2.82505737057735	3.33245567512829	3.79919627629635	3.23549998682344	2.32490720874642	1.70523826666204	2.92074616500178	1.7624670813004	1.90840361567316	2.56842710801093	2.21030825730613	3.05056991151565	1.55352596238778	1.66267520660593	2.85743542624343	2.47595174242549	2.40895512155573	3.45576024096217	2.85432428056865	2.54604657846398	1.81384870672263	1.70774407221948	2.22208771877174	3.44490389974889	1.87811588719993	3.23925583075769	2.35804233350073	3.42302830478048	2.61899601323716	2.62617200331852	2.59773320291252	2.13298449216274	3.80677241537081	2.97369048171359	2.40861320457386	2.10249017526408	3.01454140708924	3.31643273772155	2.52246591941099	3.23389562589562	3.09014785316627	2.61143550421225	2.5752224917608	3.45706769576135	2.95713058412228	3.76640418502366	2.76487455466308	2.50428848456577	2.6878974211651	3.51299231639168	3.65638664493658	3.1308017821555	3.00346706746951	1.84748495635235	2.22544798255821	2.15241419263527	2.39828911157966	1.87431592399917	1.70079779680552	2.88373128951367	2.0771761992256	1.79984179706817	2.4851571125652	0.758092134793198	2.11195157092751	1.99485195930043	2.3179128938612	2.31887413664158	2.04883932328189	1.88906095609799	2.03731705096121	1.30774996748772	1.90602217435156	2.91406206157665	2.60036773481886	1.63265162449487	3.42558847851778	1.91669896758718	2.96550420763859	1.80753562184518	2.62965204134542	1.67666896509132	2.89196119809744	2.00850061767715
"SMPX"	1.94973904291954	0	1.69106671610068	0.0542569062099877	0.0564068179947328	0	0.201149135621966	0.0926267974926681	0.100379590784794	0.0294809929130061	0.110436486460189	0.0844195584301228	0.388607089561694	0	0.0837626870750638	0	0.0897643322982037	0.165394405095534	0.147803645637466	0.314970217873724	0.211203871432399	0	0.0431572330866518	0	1.57059484911736	0	0	0.109662543290451	0.441888229916681	0	0.997524311106861	1.37659230016208	0.207854983945234	0.437458892252297	0.60554443976063	0.335005354917876	0.088424277747339	0.224001893323758	0.199044196559055	1.60739746018948	0.493636387420715	0.16487530808825	0.146686809402772	0.148866985675497	0.117973281152371	0.0731540092444158	0.573662743223418	0.353498438109931	2.84506680292068	0.257897856877192	0.359024351442956	0.352186164641102	1.4517376348609	0.608224864153496	0	0.276542516535272	0.0520828865415904	0.581216841537563	0	0.909132539696097	0.183639800534548	2.40119042204316	0.778017051441974	0	0.0459895708103436	0.0958537843502513	0.0612786476238033	0	0.194680715361129	1.07706154178106	0.0730334014433871	0.129428949817683	0	0.159887744695567	0.0325509879044212	0.283862727347209	1.31801324286358	0.453514090078237	0.282779032040372	0.544643733805897	2.60053936754062	0.84111715862731	0	2.5669263202937	0.713290039773638	0.10760390097406	1.24489436121553	0	0.190186647420822	0	0.293764141479649	0.260292706678171	0.158937322641554	0	0.298315184498092	6.0604821815747	0	0.218496965792699	1.91904999867244	0.0501110792340117	0.121740448500923	0.0882912923505914	0.0518600290236916	0.317388395472441	0.14366994197529	1.53546974765958	0.13166544017527	0	0.174506925534307	0.12427472097592	0.949034077590803	0.132875005737263	1.10321442729482	0.212835943138037	0.82197061812987	0.552311895004158	1.96760426058431	0.694316011823572	0	0.27351994585575	0.251961049693974	0.915462402747916	0.043506011486068	0.0781708300100277	0.410531430697624	0.200235609291393	0.133001580677925	0.124544303196559	0.211681525624155	0	0.178099042375068	1.48533520884553	0.193750034368061	0.208133094103388	0.671439813244599	0.456331233098741	4.02444989136592	0	1.24852849193569	0.141108065057534	0.102471195170969	0.401111822817131	0.596054738418324	1.93022582594614	1.33088815664401	1.30031473568327	0.941794936594358	0.148089542192862	0.894241271972824	0.205331036634152	0	0.23158796602429	0.144841043331818	0.745159072597341	0.938500450009813	0.174054328740586	0.0846660919552555	0.257506172828625	0.242373541298931	0.266988829769938	0	0.432518970540772	1.49266277116602	0.47529770568019
"APOBEC2"	0.0718590714951418	0.508542121817747	0.805894206437579	1.06371265570293	0.890132749558899	0.538422142524984	0.562989716496845	0.454204229215334	0.463642447372802	0.858614878694488	0.759543500628857	0.424044132867993	0.434383383769898	0.513648677639496	4.27383851287374	0.951837153137822	0.296357326766469	0.396984295158897	0.69756738887302	0.330568705729185	0.490350921062006	0.527770841220251	0.534378571866949	0.448739624286831	0.768929822089934	0.599845280978403	0.569308726814365	0.901043402060885	0.270247673911268	0.0849149300041322	0.153818738769768	0.383418803568858	0.616806147950801	0.81029513751263	0.593445525239981	0.298648548742574	0.180407905355083	0	0.483702240461397	0.282062413621842	0.242937663671537	0.0907476184349637	0.177914013204505	0.105023234004277	2.27973675992138	0.336756900025899	0.122963560891158	0.0830492455839802	3.67600011379281	0.187963724838971	0.810985922052231	0.207665284848397	0.160845625939109	0.33116589592892	0.780322211645322	1.26435683942668	0.623956173454572	0.354670856216821	0.145940298687593	0.200067660698366	5.5101618747621	0.208926773088151	0.231380165135467	0.753189599865722	0.31163281375934	0.0720630117333227	0.393513502787185	0.196622893299829	0.351722759826073	0.248159274917639	0.158671493467408	0.182833212433332	1.64364212557652	0.337430900469005	0.337832367646394	0.581423930391422	0.596656085038584	0.823057793403362	0.326668087839198	1.21810273890058	0.271579861641861	0.660987293053514	0.375005476171225	1.90940779741436	0.104788726980791	0.178514436960915	0.345888511251322	0.267684478815961	0.12547179248247	0.414491480569836	0.182563160250427	0.408294840301536	0.310276315490852	0.532717820158994	0.439148874341327	0.22723658981833	0.272726663826592	1.24544573750423	0.451684165521491	0.501536082800815	0.0869842800450182	0.129062395116025	0.148992575495436	0.0636855693272562	0.173839997626633	0.191107871225979	0.0877206701184186	0.397231951677326	0.658388027320636	0.338258755605218	0.119043241361356	0.196411518661519	0.234589832038731	0.208829959482789	0.027094093185804	0.365144606354941	0.175403883175624	0.0874052952943572	0.377334557314906	0.13626634686368	0.400775638835432	0.821840602088017	0.183512719681646	0.0583186968979491	0.221880777619929	0.304152553820057	0.261804448446671	0.400122983062785	1.39486694398186	0.590093880697539	0.370681876045785	1.86341275768704	0.396935227786959	0.321852996256526	0	0.0744241337149246	0	0.028792210247225	0.10888777720176	0.142655880074668	0.233205373329841	1.37142762035798	0.252311094541024	0.354182228623769	0.131594503188882	0.089777391360457	0.145129224649051	0	0.163547257083071	0.207834286792192	0.21033586293392	0.0770078969313476	0.144279387557126	0.392203699114628	0.0638308939903361	0.131549052043775	0.243793718351537	0.123031362875422	0.084970843834739	0.122172987478877	0.127225502352001	0.237506058187935	0.283755638050726	0.0870799062752068
"MYLK2"	0.804414449554672	0.499238441023848	0.813053881981135	0.347020123037216	0.0840137820450963	0.0610501700362011	0.266046602085846	0.0688146637252628	0.195385201931266	0.027745582139918	0.0969351671276181	0.108637348307138	0.145743112305125	0.306730451308129	0.272598528848324	0.069742890036891	0.353178426486749	0.189397681446137	0.162244753097352	0.119316093528492	0.25379546610114	0.0899026932488073	0.0101740610323517	0.110432411243193	0.24238637955023	0.0370054306063887	0.752508888208042	0.190576882909893	0.198493400477117	0.572723854596814	0.339610028101604	0.157948580824523	0.487883416894772	0.357911793969202	0.304799591852097	0.386614942649286	0.286468546540142	0.357854477772856	0.257943672763134	0.611518932030383	0.22269910643157	0.195799609982037	0.175465306912315	0.227753188872961	0.511298273368476	0.325803425490941	0.254609686212459	0.254979942753486	0.613096552325717	0.325054543660606	0.184129301737547	0.131526245250533	0.0684699175883962	0.0696234978102932	0.064950570107211	0.123631261604466	0.244736696418202	0.879240978207648	0.133907000326103	0.0521715456306452	0.0394619628245132	0.47283445607289	0.0630835189327818	0.101594020629898	0.125620808439929	0.483785780167744	0.407251707762729	0.165672105414327	0.356464455380996	0.456526485058401	0.279015491123888	0.16793065399094	0.543319117161328	0.198181145980359	0.0715831046502688	0.0728470187339659	0.173840358103921	0.322035748980982	0.158620271908688	0.225392790771264	0.0544189111090825	0.342205316917784	0.239177862622684	0.591702488304158	0.561747627100097	0.239868451161204	0.342849654573085	0.278788027589715	0.283086397376389	0.414579070990641	0.197978042379293	1.12291319262683	0.528232457638336	0.44305323825315	0.375043782948473	1.07426334165028	0.650387253788933	0.705310467881878	0.295508458505068	0.599094288975464	0.250986314545899	0.3698647653813	0.243874630146835	2.11313456912049	0.233101303156654	0.430800481538787	0.346820655751888	1.02913206021093	0.269170816882675	0.576851904037957	0.433086977348288	0.600866537482851	0.525389221507704	0.292536016097458	0.388545905815917	0.0692122421177456	0.196435514533339	0.364213407883845	0.442905758026702	0.228300218757549	0.212327071097837	0.126921930267181	0.260620893966306	0.38764251738661	0.419368931259464	0.136760550219419	0.194512159579835	0.207887513558746	0.239042056186505	0.47660063980329	0.310114417341343	0.388532994231521	0.331530837951059	0.210142827945461	0.308188308600629	0.136553814815761	0.0585001866308418	1.17911532841581	0.0377451128439362	0.528904736742397	0.0656230299922529	0.548140799566716	0.0190095960335915	0.260813506907914	0.16460852871114	0.145303401361045	0.0756402968987516	0.314636947488697	0.202730645353259	0.0839584429792293	0.519741906808701	0.306396292193723	0.27992563780165	0.225750210202787	0.531351702602731	0.197090758799358	0.331727358694395	0.0686013179850945	0.449086094237692	0.488325654016287	0.227175837082621	0.225883696811619	0.287624362016225	0.252311938010969
"ACTN2"	0.222798477755769	0.194753988203952	1.78347801925113	1.02480685824457	1.38029041274592	1.17527320793744	1.87644087320163	1.94478995757315	2.10646668046346	2.40121757162504	1.75125965714203	2.34559495528376	1.87212749250322	2.34652289294741	0.406659820441621	1.77517425714899	1.98472807571003	1.95810192523085	1.8303024100987	0.831284015445393	1.75571083430708	1.41461134141986	2.20209404672032	2.40962975812463	2.93911913563427	1.3156299546583	2.95287374483091	1.79337153495946	0.51994402394106	0.309850902278404	0.222476115753516	0.150637898130142	0.54254127280195	0.569381985831664	0.473939554863125	0.343331219059123	0.344106091307895	0.391531079808534	0.840273125585285	0.365633581158432	0.336219531886795	0.279612431151423	0.343860341447179	1.85418617457386	0.815265597734511	0.322726241602209	1.52961325314749	0.164141521475637	0.257271462187473	0.474966836402978	1.13779324123708	0.37978119250956	0.211779446353906	0.49178614549695	0.209846828557773	0.684940673864738	0.239419099164512	1.18134345814797	0.593354387917002	1.06943001234318	0.915096090379393	1.80421246396739	0.349486825433366	0.339504731943521	0.342862899126305	0.149036382850853	0.507657586019819	0.235475569196479	0.33041679482985	0.0760886777456934	0.408008085295622	0.235707660026124	0.0591049179565724	0.300736421410682	0.75633606865909	0.257246436236643	0.341170228591827	0.232318997043254	0.35825519161743	0.853930530814484	0.222485895688885	0.481297794002621	0.170057990300637	0.384948285754833	0.459701045501557	1.33658972575836	0.155654060794262	0.375283041565447	1.21268573258325	1.93250291154144	0.483110042683318	0.243647616174935	1.00494306721917	0.0574645513972512	0.158158093512912	0.270920465045946	0.252544574528134	0.587959405463209	0.972251692208487	1.07992186485124	0.00961804719524989	2.5658707153463	0.262755229334978	0.834379934645392	0.227080600985145	1.24801735701524	0.128956721168254	3.47742598509011	0.556845415981738	1.27346758337036	0.22708506893599	1.55175972669837	0.584287235090089	0.472991100499359	0.67670113247236	0.307639079446115	0.572854950347868	0.438238019439228	0.550954782635969	0.640997099255128	1.02121107477083	0.188820870734569	0.179361633538347	0.207757367584211	0.183793076841644	0.854957003896664	0.196253000097261	0.114405821424481	0.482229280737198	1.37766705710057	0.628466229779961	0.864515608503522	0.621241461957585	0.26183254613863	0.306489652015809	0.131910976080418	0.0500192371095339	0.212206799747459	0.105000581733092	0.343422244802856	0.136064232270017	0.203454712345064	0	0.875294825398235	0.0495150997406324	0.184686198171051	0.78071281957968	0.103880063203676	0.0413459542370782	0	0.177627998769646	0.27439984641252	0.855061530149689	0.0506581251558618	0.213955114077778	0.423202368481551	0.184967320399393	0.306071371197809	0.156134241349674	0.156544055096851	0.866826092631055	0.135139248853766	0.192927679323473	1.72611223861352
