"TCGA.44.6775.01A.11R.1858.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.62.8398.01A.11R.2326.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.55.A48Y.01A.11R.A24H.07"	"TCGA.62.A470.01A.11R.A24H.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.75.7031.01A.11R.1949.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.50.7109.01A.11R.2039.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.55.7913.01B.11R.2241.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.4B.A93V.01A.11R.A39D.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.37.4132.01A.01R.1100.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.22.5483.01A.01R.1820.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.64.5774.01A.01R.1628.07"
"SLAMF6"	0.698319537736961	1.6246562083374	1.86711494656795	1.6941350480499	1.61520121589979	1.60254937558501	1.5793141723195	1.85977744501059	1.78851509793103	1.72404498775104	1.56176633098363	1.90669471900731	1.92556760609315	1.37986951916547	1.7864795546686	1.55777538517076	1.3222711437811	1.77758678661454	1.25196722274315	1.33218730186208	1.82205986025471	1.62765053595364	1.88477291427479	1.70880082819291	1.58663863530207	0.368487594246727	1.78610338001755	1.36922104136078	1.20463200834532	1.69903097413551	1.74132306166686	0.653406680132679	1.53488905893088	1.65390315763704	2.00540867891601	1.81331605430084	1.68159284603323	1.86982965299268	1.78224426566255	1.84853419835599	1.73181015899813	1.52631719831648	1.85570466479307	0.509905262463044	-0.47347386338844	-0.789060013721548	0.921102408570304	1.08658120281111	1.08499418124268	1.26337860132939	-0.156243809152364	-0.399929485529301	-0.876056614896052	1.44514875476365	0.248772026412075	-0.12311805502343	0.726292303956886	-0.328159089165157	1.48137193665208	-0.715907007402711	1.79062670047123	1.24079180191845	-0.237029768222103	1.17535643951163	-0.308210884136295	-0.935874151504431	0.319918584621781	-0.343198014123413	-0.743214818192556	-0.878572422240309	-0.887218331102203	-0.243474087080571	-0.775164623533673	1.25206770378693	-0.489453913879188	0.654351650695418	-0.0706722036070925	-0.958354101829351	0.0497867965514495	1.00818229694929	-0.849860265369827	1.22008437514293	-0.769876970128025	-0.774360265766612	-0.900499131066522	1.17592006235416	-0.646775328479001	-0.851846013193735	1.25565175647311	-0.61313104317985	-0.821006924750438	0.393451710724864	-0.790224525607619	-0.666387937531079	-0.66215845705506	-0.817438319735757	-0.537381586586596	0.056945818334327	-0.435706369234507	0.678862868615417	-0.886643479189464	-0.572169158027837	-0.893652086396357	-0.230466200430604	-0.552522000175911	-0.8256501781485	-0.86742340699259	-0.728885588179123	-0.567526808406259
"CD27"	0.774025184464974	1.34266210145261	1.86271149795391	1.80081378719184	1.63940260891035	1.50056814210333	1.44388258591902	1.78145815064582	1.34933629607772	1.92341157803144	1.12156301471792	2.01559304797324	2.13171485157367	1.54099783416335	1.7577176166989	1.68687251885697	1.30057276571992	1.77328660154031	1.28043533473149	1.5039061541452	1.97504738966801	1.56486422849186	1.99429362186418	1.71989627267436	1.90789852508648	0.916027958071509	1.4026035577811	1.86326527391038	0.208410572378942	1.5630132464972	1.30469191936383	0.826065478839181	2.09416051722591	1.30993216423754	1.84547436040162	2.18169432575907	1.67323761165585	1.8227127352048	2.04896981288456	1.64917449368044	1.59890584084596	0.398719778722289	0.97892114710471	-0.0526840271469317	-0.388148346534901	-0.362450458578964	1.48394329028402	-0.144755223797694	0.744758631610469	1.4108148674314	0.26495846850719	-0.607716732992324	-0.581236783816605	1.51651021331136	-0.413531871421171	0.395148876876774	0.0106885480175749	0.554817986705992	1.26711051957033	-0.0361426894747173	1.22928765063638	0.419169905183413	-0.221218056693122	0.109337231925185	-0.102923346486501	-0.549786621789406	0.878474957451995	-0.218394633486371	0.246866812812591	-0.314262642389889	-0.581328900679843	-0.189496403038217	-0.917469431331143	1.44344503271548	0.106063241132748	-0.0411720006580361	-0.225258736588506	-0.197530279219475	-0.0562038361798994	1.34674602531785	-1.04336377195961	0.286278094172685	-0.257763863236259	-1.10099009129897	-0.0741376507018618	0.314055255642807	0.172453596247557	-0.882960660485523	2.06870659418302	-0.112290205009279	-0.542377316941463	1.19916481721613	-1.05439855345806	-0.21653499819891	0.0402137526197524	-0.471779619121581	-0.311051947019438	0.136056497653786	0.793292612856969	1.30004259593303	-0.555276687642932	1.05880947337282	0.382199847380588	-0.305840997847305	1.2825048287797	-0.357724550987637	-0.178187625082889	-1.05343697687448	-0.428783974064567
"LAX1"	1.38151386997483	1.66338581565435	1.89831706288127	1.50836934655147	1.15758764250027	1.45238559879844	1.46094799432557	2.02060857518058	1.50156704147486	1.55934638742939	0.977958698612252	1.53685526368634	1.6124495153573	1.44282492953486	1.65979388329219	1.41741254141773	1.07127282052446	1.53650762853597	1.40772696604353	1.19349259151203	1.86785799878665	0.250603189276225	2.13577769734415	1.9355260941841	1.63022970314959	0.883576810161859	1.8094684781332	1.76458758744142	1.46620740753559	1.7666676365804	1.3578044604235	0.638843227652914	1.72598092237567	1.55172096687974	2.00740435931386	1.97973429765293	1.42687854340984	1.89116949255219	2.16241296954265	1.41632264909597	1.41499864030483	1.39327039811544	1.87513637175464	0.0435711679838112	-0.807816719391242	-1.2628030859083	0.405999302556285	-0.491840536123178	-0.00473068143508749	1.44393720575089	0.761908434538245	0.0528295036761752	-0.526487090491087	1.3058296537883	-0.0572162879352699	-0.132734520586574	-0.671612034457545	0.283560961581034	1.41383541517312	-0.572712010925125	1.32843754960295	-0.00337360822254858	0.343602597123374	1.0171313945833	0.595566367120406	-1.37266686298826	-0.684926500561277	-0.120915454483947	0.00750530138830817	-0.905538430636553	-0.705099062719043	0.503829105518207	-0.967469624419055	0.301295385927703	-0.474143367470147	1.66091790261053	-0.19636929557981	-1.23524378674061	1.41492427967897	1.44596392938303	-0.616468030140526	1.36532311548868	0.58254200504784	-0.956124928606927	-0.081805898590302	0.183172324067132	0.225247852322611	-0.893307271513251	1.78728493611069	0.27449135357397	-0.155837831263169	0.0862739326997853	-1.14698201242619	1.01210520177537	0.30899129962445	-0.542611751401538	0.510911213243116	-0.188305661110719	1.34125395885302	1.38002796804367	-1.16664303996523	-0.081046247824577	-0.292416255069677	0.643880151416394	1.38993702142464	-0.733757822018187	0.205919130011419	-1.00097329097518	0.575490488376816
"PIM2"	1.35579245830858	1.82497522813931	1.98857365339802	1.91593565227101	0.189220446089585	0.292305869784824	1.03979946064885	1.95800955042192	1.68966175670651	2.03240153612321	1.46571561757511	1.6211618383606	-0.481996699171412	1.44079740362282	1.97990935899096	1.69729761216032	1.05808910766389	1.77452198313565	1.64344253722141	0.855211078189154	1.74275648781591	0.100521332671163	2.39737818829626	2.16313832065045	1.69626906887897	1.49289539333411	2.11660742793802	1.63142107333939	0.155247376262798	1.60946721036729	1.39290746156353	1.38835590080378	1.65082135633526	1.49343384919474	2.23374861494302	2.18281669798364	1.64681973362097	2.15282189337951	2.39753842596409	1.46837415013494	1.5806125543863	1.10767553188608	1.92659448859108	-0.901060288514918	-1.23716120368303	-0.581940119623501	1.48969211342685	-0.76806992112345	-0.170185922221776	0.365273753779801	1.52779507215479	-0.598333140440132	-0.509299456832517	1.602425907604	-0.106178575298619	-0.424984404719053	-1.04051149468104	0.206042206753821	1.16235264384071	-0.718549434726553	0.497254562856417	-0.511686739110331	1.35614860441344	0.416857130978034	1.58063686410771	-0.835205183028967	-0.113873916511392	-0.355113263281043	0.247223528866201	-0.653976219819507	-0.539423737360425	0.213766618189828	-0.735941016439389	-0.147714859435939	-1.03076891672062	1.48777886629147	-0.66495591811284	-1.03476304270736	1.58950755763857	0.011768063677473	-0.613560596741994	1.30659739389578	-0.260776563494536	-0.700915826854323	-0.389110621990948	-1.21466864861204	1.49640054914484	-0.729829180814448	2.32430853819756	1.14511525873923	-0.453696366108989	-0.162889695866449	-0.714118125181496	1.08843889780455	0.739697972936134	-0.40997583590913	0.457558480780658	0.176013442122156	1.52604260627706	0.580003266968146	-0.517699399255204	-0.677127544487763	-0.952172273124207	-0.850063025407362	1.57271131433473	-0.716370233825233	-0.432266400942428	-0.70705229932638	0.494225174781769
"MEI1"	0.41060856289776	1.97626390999497	2.24473249464368	1.85536802081016	1.4893695455176	1.23231896180857	1.49416682543558	2.11794566930175	1.8721646301597	2.60911431804755	-0.11713885113052	2.35352319999741	1.20941173470598	1.51439937013159	1.76455160344339	1.54673697037663	1.08293730377424	1.83980801724239	0.276189976559534	2.13072239004583	2.33597471491057	-0.676039757524195	2.4454861895406	2.32466328636052	1.80780000093828	1.57345490921554	1.52740181482675	1.25319984645112	-0.193183472520458	1.6475433231191	1.36294349137192	0.0453043417911814	2.16844456312688	1.12591277651031	1.93241461510031	2.35093432047447	1.53620461115473	1.45038146563323	2.20009274216053	1.57246269434344	1.49347489634292	0.500145380418272	1.5747965700215	-0.336612408077254	-0.609718042882872	0.14152157676128	1.99280761945295	-1.01870970818408	0.269647497113294	-0.100024490256177	-0.19671008962064	-0.671989232568536	-0.627314934179706	1.67496725203641	-0.0902468171004385	-0.204480749690972	0.0345077535878311	0.0281041506153941	1.5982389077349	-0.50384165782585	0.561362035804569	-0.295687747725708	-0.797467096663144	-0.977499135559031	-0.227853132273329	-0.67715307830789	0.360276917560988	-0.178205779171458	-0.494665589530541	-0.25008846778549	-0.765705810615592	1.40165849355419	-1.14873278271919	0.31584566428091	-1.07744771060845	0.72377998660725	-0.623472126314432	-1.06686104362889	1.29199367669329	0.918402825812438	-0.785699144815272	0.16197951951874	0.0965069608433667	-0.855440253967038	-0.709375488688209	-0.801443224522447	1.6568621979445	1.15503799839405	2.15607310464762	-0.272089849030647	1.42983122988163	-0.311055811079377	-0.690265196374035	0.781894113653201	-0.299543217465976	-0.412891767481284	0.529393108641784	-0.567368185464994	1.20541608368645	-0.467398856009463	-0.685715760924151	0.155462284036162	-0.335554880803958	-0.363360060674816	0.670922857690352	-0.786219404004209	-0.43916917660037	-0.798147692663331	0.344473909544769
"CPNE5"	0.549647960534672	1.86110505713747	1.84063392300056	1.88023425958515	0.432035149085881	0.547466155153541	0.503691154359975	2.16273140307375	1.93628174772142	2.08001411207365	0.537824356754577	1.63644511114704	1.91320297007991	1.69621854957701	1.85348384052699	1.72795838428362	0.387602504212033	1.71022297706439	1.47745187284856	1.6351981859514	2.15166342169968	1.91662120838897	2.39224543819528	2.24328329015727	1.77281131138637	1.55809580191494	1.74317447129752	1.6644048115148	-0.181013925782316	1.88744173275377	0.565655371658964	0.736626025586994	1.8654959950771	1.31971900748708	2.03591745418725	2.26232896593105	1.74135525320662	2.07895495727623	2.35938866168867	0.969999708887899	0.796181067445871	-0.096289652449519	1.66440442136369	-0.525513371312864	1.62005538011687	-0.727009863191671	1.00562877866172	-0.991782469004694	-0.578020063912439	1.22892319129718	0.312951435572338	-0.452200598756066	-0.877907154911323	1.57177653530277	-0.518291663156625	-0.31469817108122	-0.53870979620815	-0.358670933830816	1.8496226406323	-0.689441786627541	-0.498742056922516	-0.527384679870583	0.110169606542497	-0.981419942283602	0.508200144365407	-0.612287972435904	1.58347115740368	-0.047849139963225	-0.689736372569712	-0.358746630626611	-0.71003557998961	0.133660730079961	-0.732066128830297	0.489071146915355	1.62643588461984	1.65014709775682	-0.487511564209637	-0.601394463041551	1.51604018525391	1.79219562705974	-0.631020914859588	0.12827762089489	0.832318391966814	0.928030556335528	-0.201612090793693	-0.231468581106705	-0.515122118831435	-0.491285241833307	2.51792997251726	-0.0360363343774099	-0.702529265147368	-0.480658596568329	-0.489151145828645	-0.0175138708535655	-0.215189423964075	-0.870255874420047	-0.325001135974808	-0.646093908637981	0.314305317767458	1.61225168677896	0.0566885818633336	0.0455197268402688	-0.337240214194733	-0.862583334478495	1.74259359472429	-0.522423404467725	-0.75842059378185	0.295854539013525	0.0890970736760927
"IRF4"	0.756445187807818	1.76039686052178	1.70241648405406	1.73601499675771	1.64626087521202	1.12450595721356	0.73862358880854	1.87857108235559	1.59612956306219	1.53735071855473	1.63568614178347	1.55250107972655	1.59083696244075	1.66267587048057	1.81562311025891	1.52596540494969	0.291596053226693	1.55343722631688	0.5961492255906	-0.126438323262427	1.67868068575753	1.5435873597893	2.15617085080584	1.71001052327463	1.65311063071735	1.53472314979552	1.73946589052409	1.73304557569972	0.368287645269424	1.63987911404723	0.721590578241099	1.60001068211291	1.70010431236012	1.61768278844743	1.84612904966695	1.81186408374213	1.60478606437324	1.77982975736853	1.92550251787402	0.688768353663399	1.55607812978605	1.62866630744484	1.6186174006516	1.7099431538607	-0.545423762697319	-0.280448999911807	1.57595741005482	-0.136124008891466	0.278027459263033	0.420214150004393	0.489484512450697	0.123438691673205	-0.44580029479782	1.52924455436325	0.0936893340862511	0.414156404315977	-0.554787815660338	0.896199201779282	1.49312033002204	-0.122331209559053	0.556067780719783	-0.42364422459785	0.116913844069262	0.677107326387499	0.392115466986762	-0.643186389635621	0.339730652185198	0.148558009534759	0.789763208973161	-0.559892326513078	-0.9118573242539	1.56601679880184	-1.03395042855578	0.152101474799833	-0.131786483421823	1.67808584654071	-0.316839190714816	-1.17567927064584	1.68488779846146	0.313394618075268	-0.551835478751333	1.02423709593158	0.659700788403812	-0.69521259188096	-0.166084466608657	-0.118100990738717	0.282541518682797	-0.930258970238922	1.76164788411868	0.592832862390744	-0.535227895734252	-0.127869342486781	-1.21392218673534	1.09141030301938	0.161368631262648	-0.137943184743983	0.850913224362279	0.521283588247741	-0.163371225873675	1.66601406061332	-0.448430809404596	-0.175464615457841	-0.154415722682255	0.154508300421716	1.65901205119648	-0.560871373991909	0.169210082108266	0.0188692534399065	0.00890612108761512
"CD180"	1.46777113768628	1.67057449985335	1.4520590727713	1.58421446418533	1.179687232379	1.45811780042832	-0.485218555950012	1.77120256220976	1.15234556598996	1.25589913029082	1.4246377929556	1.51892411821365	1.81249253801326	1.27012360892397	1.74287246883968	1.57244368469688	0.191247847789141	1.76723608864483	1.34087340424589	1.52892864688287	1.4777748546579	1.69236148114024	1.76927909604283	1.41536105307976	1.53108418100816	1.19262014093849	1.90001633188904	1.46731544092314	1.54178785290411	1.53538875810002	1.44832081638858	1.75117389413722	1.48130865714466	1.54991253960703	1.98893378704195	1.85963042749843	1.57079404914951	1.86707723822437	1.88350680485716	-0.215523715944653	1.42745836647962	1.62352587054676	1.84997343411004	-0.647987536452273	0.517201851298	-1.01464871844911	1.41679063827084	0.839796056012445	0.356735171684164	1.4307025483634	0.344556566390406	-0.574528221562265	-1.01875513862669	0.437231711687778	-0.971127226234038	0.493341330351083	0.309524489241724	0.249089910670071	1.60431891580277	-0.806819194246485	1.04269823553558	-0.626613173221132	0.405801898178119	1.00468421459002	1.55013521518646	-0.938200028042928	0.745093982775385	0.76637867784842	1.42319323067117	-1.63400030455481	-0.290255420237183	0.538512351219464	-0.720702622541062	1.44722366843162	-0.193085548507424	1.00684263621932	-0.909844317018297	-0.977292303134897	0.811186948353106	0.396189312810534	-0.987794899126462	0.435782844698302	-0.147663271530348	-1.58457819831926	0.370711754239134	-0.379829828469416	0.17612129751267	-0.326602233302201	1.6605009704005	-0.927013470339581	-0.556744769406265	-1.08873551837236	-0.174439028183377	0.42439568981972	-0.929806203096122	-1.11412768885919	-1.01611122808695	-0.294325476122878	-1.44909561354259	-0.0608796334981906	-0.297595596614965	-1.08886167050285	-0.259297713285145	-1.0446183967159	-0.242311617069746	-1.11682837743131	-1.37119272380028	-0.348665944377723	-1.6656736619909
"FCRLA"	1.06446767597364	1.61769520768553	1.47358755173788	-0.018956917282276	1.31175050672268	1.36572046993417	1.34468405584204	1.79857298008833	-0.0676514703720951	0.918180429867003	0.943151298306053	1.94884503228912	2.0468912217602	1.87284493847492	1.69371687396981	1.51906982795354	0.734233590943598	1.43926927553647	1.5368215775397	1.36280601584736	1.81290879035525	1.9649198838561	1.69719623141686	1.60423116093789	2.05118022841893	1.49335940298263	1.74306055118137	1.83846276818576	0.152290809203227	1.99502958608599	1.21767983061622	0.564833576237596	2.06190935406033	0.966523634426554	1.71884984663486	2.005155094346	1.85891155403467	1.66834649127693	2.48638958821082	1.17272114038659	1.24664306962414	1.21974619516602	1.55757650770362	-0.246842940684825	-0.299611163329826	-0.79511904792539	1.62940209978179	-0.389698247115824	-0.0525069570394299	1.79538904721708	-0.445731332622641	-0.425866986383931	-1.16437029815635	1.2790709465605	-0.136582500853363	-0.27745736116292	-0.107441441297121	0.686085904882982	1.10248707640717	-0.385216057795661	-0.187584678495454	0.0883774199240754	0.683177467363791	-0.30428935632735	-0.051547597505685	-1.1976242196868	1.35771102162749	1.07165277058161	-0.220832592358939	-0.695538482657286	-1.26415240988602	0.573761608759667	-0.908052379211289	1.91363570622112	-0.0510257039174739	-0.0412106636642706	-0.842575718300385	-0.777875049949552	0.7650049540641	1.15642477325299	-0.865961476651621	0.383202985102075	-0.390088068579391	-1.17330503873578	-0.432848989383365	1.13708127981341	1.51724860119148	-0.944464925163503	1.81658841501238	0.131299544019257	-0.313734634217022	-0.742650892155771	-1.19355296402111	1.19742582214455	0.353090215100286	-0.896139007760358	-0.224475481902035	0.0632586787586485	0.120795961070844	0.366597010243714	-1.22643132537066	0.059306934114628	0.448598974721031	-0.0778841350802079	0.381942945189124	-0.719288984166695	-0.899912562932848	-0.325181760183929	-0.298679768378398
"NUGGC"	1.25730057824557	1.57527368045919	1.7595118936401	1.6392042025949	1.19612355718438	1.17157579187835	1.39640352420894	1.61665643087281	1.40803513433359	1.62352532680228	1.08039786756153	1.5988498754927	1.38124604633873	1.38529529252376	1.59245249671236	1.58692741549497	0.597400630755094	1.59514249167061	0.974603949372681	1.26477031146654	1.74156064998345	1.71715179051744	1.85468280944928	1.71254118394426	1.48851962971864	1.15452135736184	1.68063395958183	1.59675467204843	0.989326818376085	1.56875053470523	1.09518510807586	1.00075166192621	1.49203002502458	1.32313347765851	1.74404220205317	1.82119748621603	1.26807589075709	1.75396521143067	1.75175444243654	1.44515243793448	1.2154830039406	0.930247203981876	1.55715367013532	-0.0465870716692995	-0.0733623088142436	-1.31872101851989	0.689086921475312	-0.322705869298423	0.154872008491701	0.506859486813308	0.824116823386724	-0.618569114439029	-0.217616348357632	1.45151800141786	0.766446492540499	0.494586775905647	0.106322215845918	0.721310250313953	1.47932531675213	0.0712833251986486	1.2373438468652	0.53537830743753	0.000949948571163916	1.09877629610235	0.162106153782743	-0.840541014627223	0.751339520207648	-0.132782632737835	0.160398579678929	-0.349324337879502	-0.119419541212499	-0.0486021454163007	-0.0312504807207137	-0.16444975968282	-0.254627936315349	1.28439528421889	1.39117275212709	-0.239389019569583	1.24813045891639	0.805950158317422	-1.00801134957481	1.29789927794251	-0.0473058971810964	0.0541722509143728	-0.112752881654801	0.111653265992728	0.24892264966413	-0.57585317062304	1.6947177184387	0.329672435120869	-0.668166236678132	-0.203562370262555	-0.947921831673888	1.02501039202519	0.933761036743709	-0.279673350857087	0.748468880476023	0.132786240695714	0.400034629854655	1.22132935298122	-0.13901023328645	-0.0933012305845714	0.229457904665466	-0.087670571204127	1.22538037042422	-0.656215162815949	0.31658112039566	-2.13877739920081	0.102953281010601
