"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"
"LOC100287927__pos"	19.0032156892333	28.2400378278042	12.1056492717869	13.0121577514617	9.49230119354126	13.5263799869221	7.99565184546832
"HMGN1__pos"	1.20471792117025	2.22044604925031e-16	13.0029713276071	15.6062166012829	24.0583539190288	38.2154662743161	6.74783367138701
"NUCB1__pos"	44.9264998160529	10.7139305237485	27.8172351404137	2.74975960757183	0.138120473956273	2.22044604925031e-16	8.18522159607149
"AKT2__pos"	6.53844986341839	5.98117870066678	29.0131054936408	32.9071978240779	0.583824420592497	5.6636232161292	7.58304209639523
"FBL__pos"	0.42547369590297	3.35920602867006	24.6403542383544	31.6298955715238	10.837419698721	2.01753760853025	1.1770798300588
"IGJ__pos"	11.9011946850211	22.7169906314741	5.72787025253498	8.31098310678094	13.5830537662596	14.179642036115	5.25919600944153
"PAF1__pos"	1.56347877278786	1.81444925193748	27.8844012203817	33.4542653441841	2.22044604925031e-16	1.15384036701462	5.94488076097781
"SMPD3__pos"	10.9927657221242	16.342144050891	21.4849637428453	19.58662077611	5.41961956117131e-10	12.7654290294755	13.5483903385862
"P4HB__pos"	27.8694171808916	29.1090833144887	13.8135808277098	9.05805044767131	2.22044604925031e-16	2.22044604925031e-16	3.57525724181978
"TGM2__pos"	63.7431036662835	11.571653471734	7.62910890264611	0.759074198234865	2.22044604925031e-16	2.3328051146492	8.45085643840934
"CAMP__pos"	10.9169471714112	6.26559190986047	12.4098283286405	6.98831057287393	23.8978473841207	20.0118996801339	2.22044604925031e-16
"SDC1__pos"	19.6542659863212	29.8106135491966	5.06403962260223	2.22044604925031e-16	0.374110953594273	25.8606219642569	5.41022880462604
"SERPINE2__pos"	33.1782652234413	0.00317094143970607	7.64708322167145	2.22044604925031e-16	9.21284130124429	32.993984004598	15.8777464413314
"MED29__pos"	14.8086907891092	2.22044604925031e-16	15.2161393119213	33.0180420423858	12.8651632097619	7.61958825187803	3.74587282008319
"DNAJB11__pos"	12.8675000948947	29.4211814688789	17.5363810320379	16.5357443392911	2.85159129472963	2.22044604925031e-16	4.63296407891226
"PDGFA__pos"	38.2528515897144	15.2376322454923	20.7564321714941	2.48642393344843	0.736051107261577	9.06344786431619	11.8660992830368
"PTP4A3__pos"	14.2258222628466	20.572396079296	29.8099200426164	8.40174311506443	1.40340998064571	18.1684578384882	5.77522355656994
"CRMP1__pos"	27.0265172608437	2.22044604925031e-16	30.6101502867609	2.22044604925031e-16	2.22044604925031e-16	19.1403260486908	20.7507411604392
"BSCL2__pos"	15.7976576183884	23.7761310386721	27.8886146685027	3.80741953852651	2.22044604925031e-16	7.45044544172054	7.55599246816771
"CDC2__pos"	4.79277478717694	6.06454276672038	2.22044604925031e-16	16.6513592120782	33.3120598087065	0.239701413346396	2.73715909179925
"CFI__pos"	34.6255768833552	14.2985465643472	0.996581281934307	2.22044604925031e-16	1.07916861601968	14.9373695494152	9.7082792705421
"LDLRAD3__pos"	47.0083127900653	5.99047490730859	0.0781699917862076	12.5393264812617	2.73351275933002	6.47334747727197	13.644419631864
"WFS1__pos"	36.4943188461871	7.91524361701189	18.7631302424019	7.07222009872948	2.22044604925031e-16	5.40103499031028	16.6247138594726
"RPS16__pos"	2.22044604925031e-16	1.13149449168021	4.60893958138761	4.75939120395106	40.7422693353391	4.31103983756215	2.22044604925031e-16
"RTTN__pos"	0.348769681544762	17.2684883052019	4.90686131413989	45.9936055412074	5.9625421390417	2.22044604925031e-16	6.62852785214497
"TARS__pos"	4.40201380284521	45.9547211764582	2.22044604925031e-16	27.0422062432961	2.67906649832959	2.22044604925031e-16	0.407226113200898
"SIAE__pos"	38.7572206665073	23.5247141563896	4.42108754678195	8.27598267323865e-09	3.304602707744	4.49548144190135	18.43311583301
"SEL1L__pos"	25.0949920549531	19.5046447710864	2.22044604925031e-16	20.797016622573	5.06668104142911	2.22044604925031e-16	14.688842694271
"CD38__pos"	32.4357529533309	5.56722148425916	6.72431984392217	7.32900528245545	14.2606488096299	8.07629135602628	2.79448690031033
"NLRP11__pos"	3.74457150723934	8.99903669597207	1.08002577514742	22.8186466968352	7.91806793842135	49.9733101286014	2.22044604925031e-16
"SPP1__pos"	36.4296630864415	22.935173635364	0.000172937102839784	2.22044604925031e-16	20.2602391760923	4.9855567377687	0.959921180556697
"HIPK2__pos"	29.492327598836	6.46019224001003	10.3526893930199	21.3560541335787	2.22044604925031e-16	1.25509015012149	13.2745922805976
"NUCB2__pos"	26.9617257200703	17.2368757701184	6.75869073664784	2.7167875688546	12.5616927024946	4.24089711267847	8.30889645823303
"EPHA3__pos"	31.3295424877019	8.53403742009411	2.22044604925031e-16	0.00802953688031847	12.2870374617599	19.5312277049787	12.4379807510235
"SDF2L1__pos"	7.11534228535774	40.0850235995777	25.6642266849203	0.951605740457521	8.59290738994078	0.000781327069993245	1.55527220718831
"KCNN3__pos"	8.80822581293867	50.9819822978538	9.13109946729564	2.22044604925031e-16	1.0093207345996	34.0072484523315	2.66560731106136
"LRPAP1__pos"	42.7307900510058	27.8037888978896	7.91683242683719	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	4.1774478804558
"CD320__pos"	3.86095217543726	26.6452859757562	24.7869010077644	17.7677417081309	5.74841080217829	2.22044604925031e-16	6.31702695512711
"NAGA__pos"	39.712417724988	12.9870420730142	13.2489324239019	5.67026069224763	2.22044604925031e-16	4.90436819641002e-08	11.9947327555572
