"V1"	"CTSP.ACY5"
"CSGALNACT1"	"CSGALNACT1"	0.0552503037215412
"FER1L4"	"FER1L4"	0.00161825248096199
"CYTIP"	"CYTIP"	0.0121290170025652
"CRYBB1"	"CRYBB1"	0.638285361509219
"EAF2"	"EAF2"	-1.61199951054631
"ATF6"	"ATF6"	1.22958644988983
"FUCA2"	"FUCA2"	1.08368531989617
"USP2"	"USP2"	-0.382386420168689
"ELOVL6"	"ELOVL6"	-0.0222535290606984
"BHLHA15"	"BHLHA15"	-0.261530224757183
"SAMD12"	"SAMD12"	0.0251892651546238
"RAPGEF2"	"RAPGEF2"	0.89462319458304
"TAPBPL"	"TAPBPL"	-0.839290478221144
"HYOU1"	"HYOU1"	0.0523855827102883
"HOXB4"	"HOXB4"	1.27884694526812
"C10orf97"	"C10orf97"	-0.856895362115104
"IMPAD1"	"IMPAD1"	1.47325233286079
"ADA"	"ADA"	2.3371107971897
"ITFG1"	"ITFG1"	-0.630125723816766
"OIP5"	"OIP5"	-0.671947503342815
"GANAB"	"GANAB"	-0.434712669422203
"ZNF788"	"ZNF788"	1.30312756828609
"RNF103"	"RNF103"	-1.84178019529044
"PYGO1"	"PYGO1"	-0.483378269058636
"WDR72"	"WDR72"	-0.419008181198717
"PRKAR2A"	"PRKAR2A"	-0.0599292177935862
"PCYOX1"	"PCYOX1"	0.449912359995223
"QPCT"	"QPCT"	0.234925911729245
"RASSF6"	"RASSF6"	0.390394173222757
"AMACR"	"AMACR"	2.05932296772548
"PGAP1"	"PGAP1"	0.610004282080713
"CHPF"	"CHPF"	1.0487043846836
"REL"	"REL"	-0.764670952231624
"PXDN"	"PXDN"	2.39820489592548
"HSPA13"	"HSPA13"	1.93847826271335
"C12orf49"	"C12orf49"	-0.211861027369079
"KIAA0090"	"KIAA0090"	-1.02593626951602
"LARP2"	"LARP2"	0.41552872930715
"POT1"	"POT1"	-0.915140360278689
"GUSB"	"GUSB"	-0.664949667618912
"GGH"	"GGH"	0.859909272989995
"FAM174A"	"FAM174A"	1.99221549168795
"EID2"	"EID2"	-0.313207025586634
"NOMO2"	"NOMO2"	0.631258797981582
"PLEKHH3"	"PLEKHH3"	1.86853350342942
"ADAMTS17"	"ADAMTS17"	0.946273168710634
"MED20"	"MED20"	0.463341419720027
"ADRA1B"	"ADRA1B"	0.238360526363408
"CALR"	"CALR"	0.667356549309814
"DAK"	"DAK"	-0.0757130405658388
"TEX19"	"TEX19"	-0.250552477926073
"SHOX2"	"SHOX2"	-0.23301994528773
"SMPDL3B"	"SMPDL3B"	0.147991813501374
"PKD1L1"	"PKD1L1"	0.12231044034533
"PRKAR2B"	"PRKAR2B"	-0.328900258144852
"TOMM6"	"TOMM6"	-1.25860476546423
"SDF4"	"SDF4"	0.832449759109625
"RAB15"	"RAB15"	0.156834737126196
"JSRP1"	"JSRP1"	-0.736388810790699
"CAT"	"CAT"	-0.6127789914495
"CSTF2T"	"CSTF2T"	-0.0725651855318851
"PKIB"	"PKIB"	2.70126003003282
"LOC643911"	"LOC643911"	0.989132247536577
"LOC643634"	"LOC643634"	1.58922083309151
"PHEX"	"PHEX"	-0.859215986923481
"PRDX5"	"PRDX5"	-0.233341784558307
"MYO6"	"MYO6"	-0.842925079377921
"DNAJA3"	"DNAJA3"	0.0537968171336565
"SLC5A6"	"SLC5A6"	-1.0436498438169
"SERPINA11"	"SERPINA11"	0.838120054277459
"TM9SF1"	"TM9SF1"	0.918170414809409
"GAS1"	"GAS1"	-0.810604184190887
"PPAPDC1B"	"PPAPDC1B"	-0.55778850018903
"SSR3"	"SSR3"	1.64732753922013
"HSPA5"	"HSPA5"	-0.895885107284082
"ERO1LB"	"ERO1LB"	0.276643777360974
"PRKAR1B"	"PRKAR1B"	-0.718638296963898
"CADPS"	"CADPS"	1.20135126818792
"DSG2"	"DSG2"	0.358741447124831
"TMX2"	"TMX2"	0.0614937972824199
"HSD17B12"	"HSD17B12"	0.290337896288763
"PPHLN1"	"PPHLN1"	-0.223068175064177
"NCAM2"	"NCAM2"	-0.268186643444106
"MRPL12"	"MRPL12"	-0.775817541748906
"BMP5"	"BMP5"	-0.462926210655449
"LOC439957"	"LOC439957"	-0.348026805139318
"MAGEA6"	"MAGEA6"	-0.387382539426701
"CRELD2"	"CRELD2"	-0.0968347187078082
"HERPUD1"	"HERPUD1"	0.169814915541164
"FKBP2"	"FKBP2"	-0.874799885408789
"FBXO16"	"FBXO16"	-0.51965002923793
"C19orf47"	"C19orf47"	-1.05188411104796
"NEU1"	"NEU1"	0.701244539063977
"GABRA2"	"GABRA2"	-0.291052403558288
"TEX11"	"TEX11"	0.505544864125396
"DHPS"	"DHPS"	-0.00253130211475971
"RAB36"	"RAB36"	0.923203683933398
"CCDC85A"	"CCDC85A"	0.349313202899943
"DNAJC1"	"DNAJC1"	0.902804542042208
"TRIM17"	"TRIM17"	-1.07145436440641
"HUNK"	"HUNK"	0.869237912085835
"LOC100287864"	"LOC100287864"	-0.343616125294323
"FAM149A"	"FAM149A"	-0.352891716717745
"EID2B"	"EID2B"	0.0380972405016954
"PANX1"	"PANX1"	-1.00866988671594
"FAM148B"	"FAM148B"	1.70207938976074
"RHPN2"	"RHPN2"	-0.701943473028702
"MRPS2"	"MRPS2"	0.213023827374731
"FAM92B"	"FAM92B"	1.09861014589343
"LRRC50"	"LRRC50"	0.559917847676194
"CD226"	"CD226"	0.195329261770859
"DNMT3B"	"DNMT3B"	0.663526470053819
"KDELC1"	"KDELC1"	1.86662333770768
"RAN"	"RAN"	-0.563714079498945
"HADH"	"HADH"	0.197880759702473
"PPT2"	"PPT2"	0.794037949244219
"LOC440905"	"LOC440905"	-0.182185799294872
"DUS1L"	"DUS1L"	-0.675118940914851
"SPAG4"	"SPAG4"	0.0325154951621719
"PRDX4"	"PRDX4"	2.59326664180214
"UTS2R"	"UTS2R"	-0.358300308928289
"PRR5"	"PRR5"	-0.685802763396923
"C7orf36"	"C7orf36"	-0.0649719444124794
"C20orf3"	"C20orf3"	0.853011351688012
"XPO5"	"XPO5"	-1.21422360483707
"TRAF6"	"TRAF6"	0.355559933723154
"ANKRD5"	"ANKRD5"	1.35813353645512
"ATP8A2"	"ATP8A2"	-0.401475237274051
"C14orf23"	"C14orf23"	-0.36528138687107
"B9D1"	"B9D1"	0.657891191363159
"C2orf76"	"C2orf76"	-0.341807076394812
"FHDC1"	"FHDC1"	0.231177448133307
"C15orf24"	"C15orf24"	1.47505939093783
"SELI"	"SELI"	-0.503712486561701
"NGRN"	"NGRN"	-0.754904757267937
"APLP2"	"APLP2"	0.133481525663871
"C8orf12"	"C8orf12"	-0.391867969285686
"NLGN4X"	"NLGN4X"	1.90891269650667
"MAGEA5"	"MAGEA5"	-0.340928038433692
"ATAD3C"	"ATAD3C"	0.774383779282723
"SYTL2"	"SYTL2"	-0.214579109897167
"CHST12"	"CHST12"	0.499582234010903
"C6orf208"	"C6orf208"	-0.373445801075693
"PAGE5"	"PAGE5"	-0.367571942044724
"IL5RA"	"IL5RA"	0.752066415296255
"FZD3"	"FZD3"	0.28845308793357
"OR6B3"	"OR6B3"	-0.333411729976387
"LOC100288776"	"LOC100288776"	-0.337870948495625
"C17orf101"	"C17orf101"	-0.986907931543907
"TSHR"	"TSHR"	-0.685678405555379
"FAM163B"	"FAM163B"	1.57688496076866
"CSAG1"	"CSAG1"	-0.573643031570071
"OR2L13"	"OR2L13"	-0.412207632402839
"TRIM42"	"TRIM42"	-0.350968716217088
"DPY30"	"DPY30"	0.476142924110361
"XRCC6BP1"	"XRCC6BP1"	0.59619726269395
"OTOS"	"OTOS"	2.98423734606414
"TMED9"	"TMED9"	-0.523281095403274
"PRG1"	"PRG1"	-0.331863592936754
"MCHR2"	"MCHR2"	-0.363629760431308
"CORO2B"	"CORO2B"	-0.311869486199265
"FTHL17"	"FTHL17"	-0.359710355928978
"GSTT1"	"GSTT1"	-0.29294334744913
"LOC100131132"	"LOC100131132"	-0.237539848632571
"LOC100129036"	"LOC100129036"	1.50905107338372
"LOC100289596"	"LOC100289596"	2.87118697839632
"LOC100130383"	"LOC100130383"	-0.359276611543066
"DNER"	"DNER"	-0.218557140925425
"ADAMTS7"	"ADAMTS7"	2.01319595630688
"BIRC5"	"BIRC5"	0.054798973985481
"ALG13"	"ALG13"	0.960626129660991
"ZNF534"	"ZNF534"	-0.351384648257957
"LOC100127989"	"LOC100127989"	-0.571234957782853
"DOCK9"	"DOCK9"	-0.809874546642395
"LOC100132859"	"LOC100132859"	-0.695118615382656
"OR56B4"	"OR56B4"	-0.0334491814948212
"LOC100288591"	"LOC100288591"	0.885353272102686
"C18orf45"	"C18orf45"	-0.365939840547678
"TXNDC16"	"TXNDC16"	-0.420390963647353
"EFCAB4A"	"EFCAB4A"	0.183005968827909
"PYGB"	"PYGB"	-0.485026925777914
"LOC727770"	"LOC727770"	3.13835479365558
"CXXC4"	"CXXC4"	-0.281846532865439
"LOC647946"	"LOC647946"	1.81695018236931
"CD46"	"CD46"	0.11433741330526
"TRIM50"	"TRIM50"	2.92883390054946
"C21orf136"	"C21orf136"	1.93632560079001
"ACSM4"	"ACSM4"	-0.60908198986703
"LGALS14"	"LGALS14"	-0.320365518455116
"EPR1"	"EPR1"	-0.333497673927163
"HBG1"	"HBG1"	-0.48580553086758
"NCRNA00164"	"NCRNA00164"	-0.374916004437749
"DOLK"	"DOLK"	-0.907806922710252
"KCNJ4"	"KCNJ4"	-0.353957231864398
"SLC6A10P"	"SLC6A10P"	-0.297362743886355
"KIAA0087"	"KIAA0087"	-0.132470202818466
"FAM157B"	"FAM157B"	-0.357714175294331
"C9orf116"	"C9orf116"	1.15707124171536
"IFLTD1"	"IFLTD1"	2.24001146619582
"NCSTN"	"NCSTN"	-0.574323167349639
"MRPL32"	"MRPL32"	0.565866435907947
"LOC100288243"	"LOC100288243"	-0.821054380523065
"C12orf63"	"C12orf63"	0.509788141518299
"SSTR3"	"SSTR3"	-0.634829703433466
"LOC401805"	"LOC401805"	-0.449253088136489
"NAT5"	"NAT5"	-2.8694360062131
"COASY"	"COASY"	-0.487065832046236
"LONRF2"	"LONRF2"	-0.489107081556034
"HFM1"	"HFM1"	0.622408819670277
"TBC1D3G"	"TBC1D3G"	-0.363900264533821
"FAM82A2"	"FAM82A2"	0.269893515976653
"DAZ2"	"DAZ2"	-0.402913775769172
"ASZ1"	"ASZ1"	-0.336513206927936
"PVALB"	"PVALB"	-0.347175733559079
"MANEA"	"MANEA"	0.483266496216668
"IFI35"	"IFI35"	0.798047005465434
"SCAMP3"	"SCAMP3"	-1.66091475115352
"WNT11"	"WNT11"	0.632778662395184
"FMR1NB"	"FMR1NB"	-0.427920540045413
"GJC3"	"GJC3"	-0.466542158802667
"CTNNAL1"	"CTNNAL1"	1.07165026235618
"LOC400965"	"LOC400965"	-0.730313687611916
"MANEAL"	"MANEAL"	-0.852337921580921
"C21orf62"	"C21orf62"	-0.0696523741261111
"DNM1L"	"DNM1L"	-0.0386374570910143
"STOML3"	"STOML3"	-0.431251572186502
"SLC16A6"	"SLC16A6"	0.272344232985066
"HIST1H1B"	"HIST1H1B"	-0.656374444124113
"RIT2"	"RIT2"	-0.360064682219574
"POM121L10P"	"POM121L10P"	-0.434450218178042
"GREM2"	"GREM2"	0.0920390018213083
"LOC100288793"	"LOC100288793"	1.13663942109014
"POU3F2"	"POU3F2"	-0.394013048741115
"PFDN1"	"PFDN1"	-0.828536957646536
"MAGEA3"	"MAGEA3"	-0.469911526266623
"G6PC3"	"G6PC3"	-0.00900164263703854
"KRTAP19.1"	"KRTAP19.1"	-0.5073995495877
"LOC150527"	"LOC150527"	-0.464126643996546
"LOC653052"	"LOC653052"	-0.47636481098611
"C10orf72"	"C10orf72"	0.946049239872253
"OLIG3"	"OLIG3"	-0.44739246480834
"IGSF1"	"IGSF1"	-0.690015828605738
"LOC339535"	"LOC339535"	1.71624809847974
"ST14"	"ST14"	-0.699415576668841
"FUT9"	"FUT9"	-0.362961557236591
"SAP30"	"SAP30"	2.65865446784255
"LOC100129436"	"LOC100129436"	0.439451390464393
"TMED10"	"TMED10"	0.018726546440595
"REEP1"	"REEP1"	-0.418822985463219
"TACC2"	"TACC2"	1.54030121169359
"PPM1H"	"PPM1H"	1.24131601506766
"SLC38A10"	"SLC38A10"	1.18243993707571
"SPCS2"	"SPCS2"	-0.834047616282326
"UGT2A1"	"UGT2A1"	-0.0264638073532522
"GUCA1A"	"GUCA1A"	-0.761488213239924
"C10orf96"	"C10orf96"	-0.498295798786036
"LOC100130935"	"LOC100130935"	-0.345026454247516
"MKRN3"	"MKRN3"	0.229426090633481
"SSX7"	"SSX7"	-0.481176773650179
"ATP10B"	"ATP10B"	-0.789450961093677
"LOC100289602"	"LOC100289602"	-0.48055468507961
"SLC6A5"	"SLC6A5"	-0.4787806129434
"LOC729141"	"LOC729141"	-0.679586374525883
"MAGEA1"	"MAGEA1"	-0.55044951383713
"LOC100289323"	"LOC100289323"	-0.369419299206952
"CALN1"	"CALN1"	-0.465117631449685
"C6orf162"	"C6orf162"	-0.140520469206135
"TSPYL6"	"TSPYL6"	0.0673439797514985
"LOC100289338"	"LOC100289338"	-0.689806050332251
"UBE2T"	"UBE2T"	-0.711007265912534
"MAPK13"	"MAPK13"	-0.285732231485596
"VCX3A"	"VCX3A"	-0.82155034293796
"PSMC6"	"PSMC6"	2.06855642213646
"ACPP"	"ACPP"	-0.354221906036153
