"DLBCL10849"	"DLBCL11257"	"DLBCL11682"	"DLBCL11574"	"DLBCL11271"	"DLBCL10996"	"DLBCL11472"	"DLBCL10860"	"DLBCL10535"	"DLBCL11448"	"DLBCL11587"	"DLBCL11469"	"DLBCL11429"	"DLBCL11483"	"DLBCL11480"	"DLBCL11656"	"DLBCL10922"	"CTSP.B02B"	"DLBCL10857"	"DLBCL10870"	"DLBCL11497"	"DLBCL10872"	"DLBCL11479"	"DLBCL11473"	"DLBCL10955"	"DLBCL10538"	"DLBCL10509"	"DLBCL11184"	"DLBCL10529"	"DLBCL10921"	"DLBCL10879"	"DLBCL10865"	"DLBCL11675"	"DLBCL11655"	"DLBCL11496"	"DLBCL11468"	"DLBCL10835"	"DLBCL10883"	"DLBCL11475"	"DLBCL10859"	"DLBCL10891"	"DLBCL11463"	"DLBCL11476"	"DLBCL11494"	"DLBCL10885"	"DLBCL10871"	"DLBCL11262"	"DLBCL10971"	"DLBCL11467"	"CTSP.ACYV"	"DLBCL10450"	"CTSP.B02I"	"DLBCL11188"	"DLBCL11517"	"DLBCL11258"	"DLBCL11453"	"DLBCL11462"	"DLBCL11662"	"DLBCL10867"	"DLBCL10477"	"DLBCL10861"	"DLBCL10490"	"DLBCL10850"	"DLBCL11436"	"DLBCL11446"	"DLBCL10936"	"DLBCL10897"	"DLBCL10978"	"DLBCL11534"	"DLBCL10932"	"DLBCL11208"	"DLBCL10851"	"DLBCL10844"	"DLBCL10970"	"DLBCL11661"	"DLBCL10458"	"DLBCL10928"	"DLBCL10517"	"DLBCL10913"	"CTSP.AD28"	"DLBCL10985"	"CTSP.AD4F"	"DLBCL11455"	"DLBCL10522"	"DLBCL10565"	"DLBCL10782"	"DLBCL11186"	"DLBCL11581"	"DLBCL11673"	"DLBCL11560"	"DLBCL11520"	"DLBCL10554"	"DLBCL10545"	"DLBCL11589"	"DLBCL10493"	"DLBCL11683"	"DLBCL11562"	"DLBCL11559"	"DLBCL11577"	"DLBCL11571"	"DLBCL10494"	"DLBCL10549"	"DLBCL11585"	"DLBCL11558"	"DLBCL10523"	"DLBCL10459"	"DLBCL11531"	"DLBCL11428"	"DLBCL10541"	"DLBCL10465"	"DLBCL10555"	"DLBCL10484"	"DLBCL10501"	"DLBCL11206"	"DLBCL10456"	"DLBCL11651"	"DLBCL10454"	"DLBCL10498"	"DLBCL10553"	"DLBCL11672"	"DLBCL10514"	"DLBCL11447"	"DLBCL10472"	"DLBCL10473"	"DLBCL10528"	"DLBCL10544"	"DLBCL11569"	"DLBCL10519"	"DLBCL10470"
"XAGE5"	2.11907136836238	2.60768495554733	2.33348006366217	2.59879959903003	1.07729603263083	2.12777821463935	1.92476771238481	2.60160100125176	2.59860641109861	2.61637709832438	2.60792125582733	2.60078349560176	1.1956189225503	2.60564180640067	2.59839333799399	2.60839007791226	2.60929146873085	2.60951338883224	2.14966350504053	2.60532354345188	2.59906848650716	2.6056286599232	2.61526249840316	2.60197154847561	1.51810145646688	2.6087996604462	2.59686299682311	2.15563139915306	2.59663178727835	1.59547307141943	2.59611593565342	2.61809518124692	1.4256202615889	2.60183518260045	2.61051712066904	2.61040039969927	2.6052610142665	2.60348037273324	2.60869453082523	2.61180350505204	2.60172047035916	2.60257570071606	2.60629302765179	2.60400665148032	2.60869505024345	2.59906383899183	2.60518128923632	1.41338572658469	-0.473089272611226	1.97740337201604	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.404205816742956	1.34022123621402	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.348159516264453	3.25559139158688	-0.473089272611226	-0.473089272611226	2.59562185905168	-0.473089272611226	-0.172418355228826	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.303048207983205	2.86281518882096	-0.473089272611226	0.9008768651656	-0.473089272611226	-0.473089272611226	-0.398101056564558	-0.473089272611226	-0.207252323255272	-0.473089272611226	2.60631351753478	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.205582828649296	-0.473089272611226	2.604633658948	-0.259413838442045	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	2.60352311159958	-0.309647771474215	-0.473089272611226	-0.473089272611226	-0.473089272611226	0.143052505579361	2.59947834854533	-0.473089272611226	-0.473089272611226	2.60356990415573	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.00690989677720934	1.35694301541518	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.456914235303772	-0.473089272611226	-0.473089272611226	-0.473089272611226	-0.473089272611226
"SSX9"	1.86417937948272	2.68753418939229	0.0683447135759254	2.69055186536962	1.69010916618968	1.88328672273739	0.381359059811776	2.68731259350292	2.68759778041502	2.69054530579138	2.69254205550616	2.70747869408995	0.571191693231068	2.68888283932968	2.68656942969546	2.69025774392162	2.69239680857713	2.69723153510502	2.11349297591548	2.68455967391248	2.69387260563571	2.6915805496702	2.68686506991625	2.7001536426545	0.957090851794506	2.68416577968568	2.69992202771939	0.250292044907371	2.69323380022632	1.2246292891434	2.70098957864883	2.69257441257943	2.10135047206861	2.6938382891733	2.68845289757934	2.69032012839274	2.69301987644829	2.68325532761338	2.69682726695881	2.69573467500107	2.6858015251594	2.68818219305915	2.69963816717105	2.69862120071433	2.69232565237243	2.68719210738229	2.68583349565324	1.73959955796166	1.74987622136321	1.90124113338271	2.90218666541707	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.403927966235129	-0.470754517811298	-0.14983695655093	-0.470754517811298	1.03702291474137	-0.321877902130153	-0.470754517811298	2.77697992943675	-0.470754517811298	-0.470754517811298	2.68788620094806	-0.470754517811298	0.335983002501758	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.0390741391212159	2.68040298035872	3.34805774791932	0.671729352612034	-0.470754517811298	-0.470754517811298	0.455942575434816	-0.470754517811298	-0.470754517811298	-0.470754517811298	2.68855656388984	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.278530368915804	-0.470754517811298	-0.470754517811298	-0.470754517811298	2.69700311479326	2.6821361899011	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.391111627342684	-0.470754517811298	-0.470754517811298	0.0635031094815391	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.470754517811298	2.6898098106813	-0.470754517811298	-0.470754517811298	-0.0503599985603901	-0.470754517811298	0.356730452661753	2.69120489054368	-0.470754517811298	-0.470754517811298	2.69514325936938	-0.470754517811298	-0.330040500758831	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.450382666848186	1.01707691668033	-0.444766425487093	-0.470754517811298	-0.470754517811298	-0.401155555319509	-0.470754517811298	-0.470754517811298	-0.470754517811298	-0.470754517811298
"LOC652191"	0.78441497001691	2.76194033316868	1.11143528087157	2.75878872885488	1.60907316042187	0.888120772910451	1.90163799255767	2.76577179511658	2.75730114240328	2.76899726194324	2.76504713152442	2.76749166723532	0.925861132805113	2.77373751295258	2.76167639982091	2.76623515617185	2.76366945758707	2.75836023297495	-0.427947366048149	2.76385470288841	2.75843585282326	2.75791550441002	2.76683279845734	2.75764576507222	1.22671912731451	2.77637144145854	2.76245616940992	1.20918083097983	2.75987046026761	1.66042165559283	2.76881566597272	2.76785888868896	1.36701668527945	2.77263351485015	2.7810425319991	2.77003063485546	2.78881235982148	2.77363951280967	2.75350632652736	2.76620050432166	2.76790478948166	2.76256947901382	2.77210370006448	2.76190851391649	2.76319397483303	2.75674258995441	2.76280898902824	1.97109725953207	-0.217648466734039	1.46642931107049	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.283701842543329	-0.427947366048149	1.04577215813963	-0.427947366048149	-0.346530303489401	-0.427947366048149	-0.427947366048149	-0.427947366048149	2.75378371399324	-0.427947366048149	-0.140688597265136	-0.427947366048149	-0.427947366048149	2.7858353472836	-0.427947366048149	3.496271543124	-0.427947366048149	0.633736933991574	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	0.584045084949716	-0.427947366048149	2.75929232505688	2.76845386713764	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	2.78463932663855	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	2.79510859528768	-0.427947366048149	-0.427947366048149	-0.427947366048149	2.77524505948094	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	0.0618462205718456	2.77753424977233	-0.427947366048149	-0.427947366048149	-0.227855898313474	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149	1.78531675559686	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.391980783569064	-0.427947366048149	-0.427947366048149	-0.427947366048149	-0.427947366048149
"DAZ2"	2.13745520692743	2.69163714682718	1.62086212904434	2.69722848369644	-0.402913775769172	3.18086648063907	0.329269458728802	2.68039698014841	2.66500642778281	2.67800777070321	2.62831178993825	2.69169449455146	0.467930201475392	2.70413153290609	2.69841177435169	2.71481381565473	2.68864441624313	2.65622850797696	2.57804868084725	2.59805622658136	2.68125977289406	2.63246693234816	2.69131749978149	2.68970370078417	2.54503664845831	2.6839279822222	2.64301081460907	1.57812680955118	2.70468587636187	0.792151903048314	2.69217672396968	2.71235254174812	2.55643618328829	2.69969655382777	2.68344318625506	2.67544852585851	2.68498391178197	2.66159805951322	2.71712287315332	2.65557907675841	2.69244091576777	2.68700236640585	2.61568503571028	2.662282305628	2.66638924727793	2.54110396192711	2.63146353870596	-0.402913775769172	-0.402913775769172	2.14329283587385	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	3.78470037100162	-0.402913775769172	-0.402913775769172	2.60725311766968	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	2.58300257927311	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	2.70324778385516	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	0.676860755174584	-0.402913775769172	0.15041136103975	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	2.58407468194204	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	2.5781276144225	1.32440553251769	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	2.58100819212761	-0.402913775769172	-0.402913775769172	-0.402913775769172	2.56416462749063	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172	-0.402913775769172
"FEZF1"	1.31001530370396	2.68944218848151	1.19135872972204	2.69661747802549	1.6698234840678	1.68438796747596	0.899036865436284	2.69936419195899	2.69501744817234	2.69575618139252	2.69360003778957	2.69325372817299	0.893772949487266	2.702138022123	2.69024865885379	2.70050258659243	2.69103506343378	2.69339919344558	2.1112127373197	1.66937571407893	2.69323558366114	2.68798665807608	2.69066250533119	2.69580205068429	1.51546302796508	2.69453857999452	2.69103224810175	1.23063035645228	2.6944427550007	0.593779370195088	2.69155797413561	2.6900665792635	2.0704155143817	2.69206648390961	2.69337381451615	2.69759907341013	2.69294770479325	2.69201950808965	2.6954776597093	2.69217922189543	2.69246462502299	2.69538441909461	2.69341976045176	2.69228851709489	2.68849243650135	2.69366093179213	2.69384182458535	1.68867439927081	0.738898909414197	1.36910293633358	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.103272294579689	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.366853653597266	-0.504555270811074	1.49139684883209	-0.504555270811074	-0.109527965950877	2.79834138544378	-0.504555270811074	-0.504555270811074	2.69247888990196	3.2687464831334	0.0564245445262819	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	3.00893795305922	2.69760841523876	0.775194331551699	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	0.225281568537585	-0.504555270811074	2.69489245222888	-0.425844956062899	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	2.71301171175929	2.69312077112893	-0.504555270811074	0.138173482985194	-0.504555270811074	-0.360866155715124	-0.189167551524735	-0.230372000873724	0.191672534566832	-0.471211496412007	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.272360570715888	2.69414843379877	-0.24046018536637	-0.504555270811074	-0.504555270811074	-0.504555270811074	0.44467231559809	-0.0719774913538548	2.69355239951492	-0.504555270811074	1.12284226034432	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.105576415536397	-0.046585496838645	-0.160354503354789	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.100289528602139	-0.504555270811074	-0.504555270811074	-0.504555270811074	-0.504555270811074
"HDGFL1"	-0.370340513493629	2.7510669443469	0.250360181926905	2.8091443542471	0.504827758866661	2.03392130053163	1.28995167762336	2.66576787113346	2.6961073615185	2.7260094727227	2.78971175406046	2.69314017164026	1.57665631479747	2.7434169441012	2.74776930512764	2.84415279510753	2.80082945091129	2.78826297975596	1.43602815436602	2.74103444137994	2.77657494919205	2.70515807347088	2.80858301170649	2.72865326723065	-0.389797690565662	2.74081264122072	2.67722026710434	0.636601614758899	2.72731155601717	1.58011287730336	2.72669183064545	2.79390118496275	0.979171100557855	2.75133588963642	2.71853816849658	2.76742834839415	2.78322588189612	2.66065693279664	2.73441004718836	2.79202748813552	2.7446914526743	2.78321111286112	2.71834914794614	2.77745260449985	2.6996777255519	2.70819842780068	2.74701617359658	0.891399288315559	-0.389797690565662	0.259441406663533	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.170384475410353	-0.389797690565662	-0.389797690565662	2.91332574752714	-0.389797690565662	-0.389797690565662	2.69684387422479	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	2.72010931782987	3.89503655966604	-0.389797690565662	-0.389797690565662	-0.389797690565662	0.625597050646314	-0.389797690565662	-0.389797690565662	-0.389797690565662	2.6910027039833	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	4.2284842366863	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	2.11409038728597	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	2.73050145985645	0.0976477325784421	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	-0.389797690565662	2.74796439693674	-0.389797690565662	-0.389797690565662
"NXF2"	-0.341886901050219	2.68105976082153	-0.341886901050219	2.72658566410741	-0.341886901050219	-0.341886901050219	5.84776154080941	2.77353963679738	2.66359678767728	2.68583680532638	2.55077982286375	2.85003599085949	0.150846810917356	2.56067577991917	2.42265348315468	2.78914430363326	2.800653877072	2.8539677946533	-0.341886901050219	2.47770048871848	2.77361503145208	2.71366981139855	2.66103060193615	2.86235772229227	-0.341886901050219	2.55369287291823	2.7410555727352	2.72776290238468	2.76576202951772	-0.341886901050219	2.48402963824014	2.61560698102039	-0.341886901050219	2.9159098560991	3.14582461830439	2.70985905864342	2.76552512385984	2.77900441637492	2.70779914238005	2.51987990274741	2.64907082945952	2.6748525602624	2.83931930562068	2.81255893976631	2.56883984237997	2.03269448028437	2.02495533096911	-0.341886901050219	-0.341886901050219	5.68266350101737	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	4.81155919798636	-0.341886901050219	-0.341886901050219	2.3255853670152	3.7645592960505	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	2.76177232408031	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	2.68399322020163	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.0103656281952392	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	3.1064468812762	-0.341886901050219	-0.341886901050219	2.24940068926619	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219	-0.341886901050219
"LOC440243"	-0.450837290159461	2.82690511692334	1.02710317933768	2.79607249663776	1.21735163457023	-0.450837290159461	0.780227732800702	2.79825147698311	2.80648467737105	2.80529255160545	2.80084273764097	2.80777443453958	1.30680465029331	2.82206288828835	2.80583575184355	2.80262227844016	2.80784921719605	2.80045484240568	-0.450837290159461	2.80299314115569	2.79889512012144	2.80724079163522	2.80672896444106	2.80633156063773	0.749578547416541	2.80096964720737	2.80861179754327	-0.450837290159461	2.80353679950079	0.911723141240636	2.82266892217753	2.80472213129988	-0.450837290159461	2.79728049949322	2.80592645771697	2.79942800053519	2.80347472063011	2.79544923289283	2.80774244692765	2.8102361217869	2.80109521588068	2.79881851767571	2.80601682409228	2.80777855665575	2.80706038519995	2.79813784667641	2.80502054907535	0.907667334332882	-0.450837290159461	0.930111731094482	-0.450837290159461	-0.450837290159461	-0.450837290159461	2.7997655068162	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.359722046062604	-0.450837290159461	1.17840848380239	0.0705079436641248	-0.450837290159461	-0.450837290159461	-0.450837290159461	2.80788501541127	2.79649963651561	-0.450837290159461	0.0286392233457639	2.83717116260854	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.450837290159461	3.39532676673096	0.925627003650071	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.0021268357682177	-0.234049833048455	2.80691347149564	-0.263348874524512	-0.450837290159461	2.79992709216937	-0.027386061569704	-0.450837290159461	-0.403972257994962	-0.450837290159461	2.8132414837924	2.80710021231533	2.79972167927208	-0.450837290159461	2.81555909086024	-0.450837290159461	-0.450837290159461	-0.450837290159461	0.200830506237538	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.339037863596087	1.59439112022357	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.0248434638554238	-0.0243243422073224	-0.238074803798191	-0.450837290159461	0.252721135585899	-0.450837290159461	-0.450837290159461	-0.450837290159461	2.80334676500014	-0.450837290159461	-0.0973990082461295	-0.450837290159461	-0.288128717346098	-0.450837290159461	-0.450837290159461	-0.264917282787929	-0.450837290159461	-0.450837290159461	-0.450837290159461	-0.450837290159461
"RIT2"	1.50978945716882	2.93949816804307	-0.360064682219574	3.03120951389344	-0.360064682219574	1.0813672893286	-0.360064682219574	2.84779489846119	2.79864930816753	2.83761016871054	2.86215780021741	2.8691951946443	0.624144973246844	2.82907008141028	2.88180919230412	2.86504843149269	2.90497554444736	2.86061165213504	-0.360064682219574	2.81416162319807	2.84523822578999	2.8725048839121	2.84338281627337	2.89982167125151	0.39148057466426	2.83944425765104	2.90131124654162	1.87735111317891	2.86770915301751	-0.360064682219574	2.85184900537057	2.8624567466173	-0.360064682219574	2.88070502759229	3.01116060681564	2.83929683059262	2.88860405547274	2.82732438376048	2.86411598799415	2.87111224918977	2.85041014031786	2.79100263810593	2.84711524586757	2.81743823224011	2.87150326019536	2.78218034373741	2.83325838701813	-0.360064682219574	-0.360064682219574	0.345450572248319	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	0.195789011202799	3.5724515100034	-0.360064682219574	3.62854431033021	2.8257861792522	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	2.85448858572241	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	2.88231211454098	-0.360064682219574	-0.152158660690069	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	3.00329708891762	-0.360064682219574	-0.360064682219574	2.87278556346699	-0.360064682219574	-0.360064682219574	-0.360064682219574	2.81005798644495	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	2.94162342442694	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	-0.360064682219574	4.15369421101579
"TGIF2LX"	1.76874685732265	2.14169013742126	3.61889197428711	2.13156222386804	1.53397669629139	2.6308670013027	1.64042213696737	2.13466344743171	2.15877988579166	2.16933813586922	2.13887290807359	2.15550126995872	1.8454774307408	2.20756901848912	2.14841926997328	2.10745309290675	2.12619420696986	2.12557694341615	2.65789656676288	1.9402304919386	2.13241448220985	2.10576995622408	2.10360952643672	2.15767630745231	-0.392728731913095	2.16066811973737	2.11231014015519	2.05738819075728	2.16145821668315	1.51644889540604	2.1004750846558	2.12040302853859	2.84480267554121	2.08247817399651	2.14319297558055	2.11390773595778	2.13115119375814	2.11223315702149	2.15275930321883	2.15398167779159	2.10992632057788	2.14145667213026	2.09324778883367	2.1354998569044	2.12832205638085	2.10020959719124	2.10112347449915	1.65677503624462	2.41025874925838	2.82517368321202	-0.599482427301315	-0.599482427301315	-0.599482427301315	0.000931194728307561	-0.599482427301315	-0.599482427301315	-0.429332099470224	-0.599482427301315	-0.527984428226694	-0.599482427301315	2.00188047329821	-0.599482427301315	-0.28790145608165	2.64690777360127	-0.599482427301315	-0.599482427301315	2.14405717831448	3.03718922668113	0.9848156391694	-0.599482427301315	-0.599482427301315	0.516925699411619	-0.473752271635654	2.96843486399194	-0.599482427301315	1.03663959654399	-0.599482427301315	-0.599482427301315	1.27002952919441	-0.599482427301315	0.181312164782866	-0.599482427301315	2.12630916921736	-0.599482427301315	-0.599482427301315	-0.599482427301315	-0.599482427301315	2.10283729169495	-0.248981238410887	-0.325810803955013	2.20754744176251	0.224193902365298	-0.599482427301315	0.908534764716087	-0.599482427301315	0.342981478981523	0.034654970052487	-0.284675896742927	0.734036729928426	2.08057812336485	-0.599482427301315	-0.599482427301315	-0.599482427301315	-0.230553357961027	0.917436815050523	0.0166856599860081	-0.165003532571448	0.140371178741853	-0.599482427301315	-0.599482427301315	2.2079650995763	-0.599482427301315	-0.599482427301315	-0.118998456316744	-0.599482427301315	-0.599482427301315	-0.599482427301315	-0.599482427301315	-0.505148758621387	-0.254968505105584	1.13609910423846	-0.44924969530184	-0.599482427301315	-0.599482427301315	0.203327034532265	-0.599482427301315	2.13561138075713	-0.599482427301315	-0.599482427301315
