"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_543"	"Cell_543"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_557"	"Cell_557"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_57"	"Cell_57"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_579"	"Cell_579"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_583"	"Cell_583"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_585"	"Cell_585"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_588"	"Cell_588"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_595"	"Cell_595"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_597"	"Cell_597"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_598"	"Cell_598"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_621"	"Cell_621"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_625"	"Cell_625"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_638"	"Cell_638"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_646"	"Cell_646"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_656"	"Cell_656"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_668"	"Cell_668"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_669"	"Cell_669"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_679"	"Cell_679"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_684"	"Cell_684"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_690"	"Cell_690"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_698"	"Cell_698"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_700"	"Cell_700"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_709"	"Cell_709"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_720"	"Cell_720"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_729"	"Cell_729"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_744"	"Cell_744"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_748"	"Cell_748"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_749"	"Cell_749"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_753"	"Cell_753"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_756"	"Cell_756"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_76"	"Cell_76"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_768"	"Cell_768"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_773"	"Cell_773"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_778"	"Cell_778"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_780"	"Cell_780"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_790"	"Cell_790"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_802"	"Cell_802"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_807"	"Cell_807"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_813"	"Cell_813"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_839"	"Cell_839"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_857"	"Cell_857"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_859"	"Cell_859"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_865"	"Cell_865"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_866"	"Cell_866"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_87"	"Cell_87"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_876"	"Cell_876"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_880"	"Cell_880"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_887"	"Cell_887"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_888"	"Cell_888"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_889"	"Cell_889"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_901"	"Cell_901"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_909"	"Cell_909"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_910"	"Cell_910"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_911"	"Cell_911"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_920"	"Cell_920"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_928"	"Cell_928"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_93"	"Cell_93"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_950"	"Cell_950"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_956"	"Cell_956"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_971"	"Cell_971"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_972"	"Cell_972"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_977"	"Cell_977"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_984"	"Cell_984"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_988"	"Cell_988"	"S02"	"IS01"	"B.cells"	"Normal"
"Cell_990"	"Cell_990"	"S02"	"IS01"	"B.cells"	"Tumor"
"Cell_1000"	"Cell_1000"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_112"	"Cell_112"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_121"	"Cell_121"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_127"	"Cell_127"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_128"	"Cell_128"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_129"	"Cell_129"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_13"	"Cell_13"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_141"	"Cell_141"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_143"	"Cell_143"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_151"	"Cell_151"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_163"	"Cell_163"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_170"	"Cell_170"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_174"	"Cell_174"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_179"	"Cell_179"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_18"	"Cell_18"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_181"	"Cell_181"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_187"	"Cell_187"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_194"	"Cell_194"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_197"	"Cell_197"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_203"	"Cell_203"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_212"	"Cell_212"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_213"	"Cell_213"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_218"	"Cell_218"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_219"	"Cell_219"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_224"	"Cell_224"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_225"	"Cell_225"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_231"	"Cell_231"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_234"	"Cell_234"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_236"	"Cell_236"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_237"	"Cell_237"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_249"	"Cell_249"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_26"	"Cell_26"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_260"	"Cell_260"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_264"	"Cell_264"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_267"	"Cell_267"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_272"	"Cell_272"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_277"	"Cell_277"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_278"	"Cell_278"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_290"	"Cell_290"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_292"	"Cell_292"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_296"	"Cell_296"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_298"	"Cell_298"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_300"	"Cell_300"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_302"	"Cell_302"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_307"	"Cell_307"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_314"	"Cell_314"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_327"	"Cell_327"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_337"	"Cell_337"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_340"	"Cell_340"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_342"	"Cell_342"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_343"	"Cell_343"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_345"	"Cell_345"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_364"	"Cell_364"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_368"	"Cell_368"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_376"	"Cell_376"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_378"	"Cell_378"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_398"	"Cell_398"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_400"	"Cell_400"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_401"	"Cell_401"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_412"	"Cell_412"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_415"	"Cell_415"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_419"	"Cell_419"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_424"	"Cell_424"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_433"	"Cell_433"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_44"	"Cell_44"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_442"	"Cell_442"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_454"	"Cell_454"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_459"	"Cell_459"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_46"	"Cell_46"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_464"	"Cell_464"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_469"	"Cell_469"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_470"	"Cell_470"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_472"	"Cell_472"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_48"	"Cell_48"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_49"	"Cell_49"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_495"	"Cell_495"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_515"	"Cell_515"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_519"	"Cell_519"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_521"	"Cell_521"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_545"	"Cell_545"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_562"	"Cell_562"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_564"	"Cell_564"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_584"	"Cell_584"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_586"	"Cell_586"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_589"	"Cell_589"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_594"	"Cell_594"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_603"	"Cell_603"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_606"	"Cell_606"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_617"	"Cell_617"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_627"	"Cell_627"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_630"	"Cell_630"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_640"	"Cell_640"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_662"	"Cell_662"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_667"	"Cell_667"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_674"	"Cell_674"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_675"	"Cell_675"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_676"	"Cell_676"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_677"	"Cell_677"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_681"	"Cell_681"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_686"	"Cell_686"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_69"	"Cell_69"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_694"	"Cell_694"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_696"	"Cell_696"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_703"	"Cell_703"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_717"	"Cell_717"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_726"	"Cell_726"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_73"	"Cell_73"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_736"	"Cell_736"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_737"	"Cell_737"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_740"	"Cell_740"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_75"	"Cell_75"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_750"	"Cell_750"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_761"	"Cell_761"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_776"	"Cell_776"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_777"	"Cell_777"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_792"	"Cell_792"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_804"	"Cell_804"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_820"	"Cell_820"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_822"	"Cell_822"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_830"	"Cell_830"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_834"	"Cell_834"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_867"	"Cell_867"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_870"	"Cell_870"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_872"	"Cell_872"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_883"	"Cell_883"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_885"	"Cell_885"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_89"	"Cell_89"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_891"	"Cell_891"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_899"	"Cell_899"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_904"	"Cell_904"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_913"	"Cell_913"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_916"	"Cell_916"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_917"	"Cell_917"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_924"	"Cell_924"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_94"	"Cell_94"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_945"	"Cell_945"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_947"	"Cell_947"	"S03"	"IS03"	"B.cells"	"Normal"
"Cell_975"	"Cell_975"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_989"	"Cell_989"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_993"	"Cell_993"	"S03"	"IS03"	"B.cells"	"Tumor"
"Cell_100"	"Cell_100"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_105"	"Cell_105"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_106"	"Cell_106"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_107"	"Cell_107"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_109"	"Cell_109"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_12"	"Cell_12"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_132"	"Cell_132"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_142"	"Cell_142"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_158"	"Cell_158"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_161"	"Cell_161"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_164"	"Cell_164"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_173"	"Cell_173"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_176"	"Cell_176"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_178"	"Cell_178"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_220"	"Cell_220"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_223"	"Cell_223"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_235"	"Cell_235"	"S04"	"IS02"	"B.cells"	"Normal"
"Cell_241"	"Cell_241"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_244"	"Cell_244"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_25"	"Cell_25"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_261"	"Cell_261"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_273"	"Cell_273"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_289"	"Cell_289"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_311"	"Cell_311"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_32"	"Cell_32"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_329"	"Cell_329"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_331"	"Cell_331"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_347"	"Cell_347"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_371"	"Cell_371"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_428"	"Cell_428"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_430"	"Cell_430"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_434"	"Cell_434"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_435"	"Cell_435"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_449"	"Cell_449"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_456"	"Cell_456"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_458"	"Cell_458"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_460"	"Cell_460"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_484"	"Cell_484"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_485"	"Cell_485"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_493"	"Cell_493"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_5"	"Cell_5"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_505"	"Cell_505"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_522"	"Cell_522"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_544"	"Cell_544"	"S04"	"IS02"	"B.cells"	"Normal"
"Cell_550"	"Cell_550"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_555"	"Cell_555"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_570"	"Cell_570"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_571"	"Cell_571"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_574"	"Cell_574"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_58"	"Cell_58"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_581"	"Cell_581"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_592"	"Cell_592"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_596"	"Cell_596"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_601"	"Cell_601"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_602"	"Cell_602"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_620"	"Cell_620"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_622"	"Cell_622"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_634"	"Cell_634"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_650"	"Cell_650"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_651"	"Cell_651"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_654"	"Cell_654"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_659"	"Cell_659"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_680"	"Cell_680"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_682"	"Cell_682"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_697"	"Cell_697"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_705"	"Cell_705"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_706"	"Cell_706"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_719"	"Cell_719"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_72"	"Cell_72"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_745"	"Cell_745"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_752"	"Cell_752"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_770"	"Cell_770"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_786"	"Cell_786"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_789"	"Cell_789"	"S04"	"IS02"	"B.cells"	"Normal"
"Cell_812"	"Cell_812"	"S04"	"IS02"	"B.cells"	"Normal"
"Cell_816"	"Cell_816"	"S04"	"IS02"	"B.cells"	"Normal"
"Cell_828"	"Cell_828"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_846"	"Cell_846"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_85"	"Cell_85"	"S04"	"IS02"	"B.cells"	"Normal"
"Cell_854"	"Cell_854"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_869"	"Cell_869"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_894"	"Cell_894"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_898"	"Cell_898"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_923"	"Cell_923"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_936"	"Cell_936"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_952"	"Cell_952"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_954"	"Cell_954"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_96"	"Cell_96"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_969"	"Cell_969"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_970"	"Cell_970"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_980"	"Cell_980"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_987"	"Cell_987"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_995"	"Cell_995"	"S04"	"IS02"	"B.cells"	"Tumor"
"Cell_102"	"Cell_102"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_116"	"Cell_116"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_124"	"Cell_124"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_130"	"Cell_130"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_133"	"Cell_133"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_136"	"Cell_136"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_14"	"Cell_14"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_15"	"Cell_15"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_150"	"Cell_150"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_154"	"Cell_154"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_155"	"Cell_155"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_16"	"Cell_16"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_167"	"Cell_167"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_183"	"Cell_183"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_190"	"Cell_190"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_195"	"Cell_195"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_217"	"Cell_217"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_226"	"Cell_226"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_233"	"Cell_233"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_24"	"Cell_24"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_246"	"Cell_246"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_247"	"Cell_247"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_255"	"Cell_255"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_27"	"Cell_27"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_335"	"Cell_335"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_338"	"Cell_338"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_339"	"Cell_339"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_34"	"Cell_34"	"S05"	"IS05"	"B.cells"	"Normal"
"Cell_350"	"Cell_350"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_352"	"Cell_352"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_361"	"Cell_361"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_397"	"Cell_397"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_41"	"Cell_41"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_411"	"Cell_411"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_413"	"Cell_413"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_422"	"Cell_422"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_425"	"Cell_425"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_431"	"Cell_431"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_438"	"Cell_438"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_440"	"Cell_440"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_463"	"Cell_463"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_474"	"Cell_474"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_480"	"Cell_480"	"S05"	"IS05"	"B.cells"	"Tumor"
"Cell_504"	"Cell_504"	"S05"	"IS05"	"B.cells"	"Tumor"
