"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_374"	"Cell_374"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_375"	"Cell_375"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_379"	"Cell_379"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_380"	"Cell_380"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_381"	"Cell_381"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_382"	"Cell_382"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_383"	"Cell_383"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_386"	"Cell_386"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_387"	"Cell_387"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_389"	"Cell_389"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_39"	"Cell_39"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_393"	"Cell_393"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_396"	"Cell_396"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_4"	"Cell_4"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_402"	"Cell_402"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_404"	"Cell_404"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_406"	"Cell_406"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_407"	"Cell_407"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_408"	"Cell_408"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_416"	"Cell_416"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_42"	"Cell_42"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_420"	"Cell_420"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_421"	"Cell_421"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_423"	"Cell_423"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_426"	"Cell_426"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_429"	"Cell_429"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_432"	"Cell_432"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_436"	"Cell_436"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_439"	"Cell_439"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_444"	"Cell_444"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_447"	"Cell_447"	"S01"	"IS06"	"B.cells"	"Tumor"
