"ID"	"State"	"InitialState"
"Cell_338"	"S05"	"IS05"
"Cell_339"	"S05"	"IS05"
"Cell_350"	"S05"	"IS05"
"Cell_352"	"S05"	"IS05"
"Cell_361"	"S05"	"IS05"
"Cell_397"	"S05"	"IS05"
"Cell_411"	"S05"	"IS05"
"Cell_413"	"S05"	"IS05"
"Cell_422"	"S05"	"IS05"
"Cell_425"	"S05"	"IS05"
"Cell_431"	"S05"	"IS05"
"Cell_438"	"S05"	"IS05"
"Cell_440"	"S05"	"IS05"
"Cell_463"	"S05"	"IS05"
"Cell_474"	"S05"	"IS05"
"Cell_480"	"S05"	"IS05"
"Cell_504"	"S05"	"IS05"
"Cell_506"	"S05"	"IS05"
"Cell_507"	"S05"	"IS05"
"Cell_514"	"S05"	"IS05"
"Cell_524"	"S05"	"IS05"
"Cell_526"	"S05"	"IS05"
"Cell_542"	"S05"	"IS05"
"Cell_554"	"S05"	"IS05"
"Cell_587"	"S05"	"IS05"
"Cell_623"	"S05"	"IS05"
"Cell_632"	"S05"	"IS05"
"Cell_633"	"S05"	"IS05"
"Cell_652"	"S05"	"IS05"
"Cell_688"	"S05"	"IS05"
"Cell_708"	"S05"	"IS05"
"Cell_710"	"S05"	"IS05"
"Cell_716"	"S05"	"IS05"
"Cell_718"	"S05"	"IS05"
"Cell_723"	"S05"	"IS05"
"Cell_762"	"S05"	"IS05"
"Cell_764"	"S05"	"IS05"
"Cell_784"	"S05"	"IS05"
"Cell_785"	"S05"	"IS05"
"Cell_787"	"S05"	"IS05"
"Cell_791"	"S05"	"IS05"
"Cell_797"	"S05"	"IS05"
"Cell_799"	"S05"	"IS05"
"Cell_801"	"S05"	"IS05"
"Cell_808"	"S05"	"IS05"
"Cell_809"	"S05"	"IS05"
"Cell_825"	"S05"	"IS05"
"Cell_841"	"S05"	"IS05"
"Cell_851"	"S05"	"IS05"
"Cell_864"	"S05"	"IS05"
"Cell_871"	"S05"	"IS05"
"Cell_884"	"S05"	"IS05"
"Cell_902"	"S05"	"IS05"
"Cell_908"	"S05"	"IS05"
"Cell_929"	"S05"	"IS05"
"Cell_932"	"S05"	"IS05"
"Cell_934"	"S05"	"IS05"
"Cell_973"	"S05"	"IS05"
"Cell_981"	"S05"	"IS05"
"Cell_983"	"S05"	"IS05"
"Cell_991"	"S05"	"IS05"
