"ID"	"State"
"TCGA.LD.A9QF.01A.32R.A41B.07"	"IS01"
"TCGA.S3.AA15.01A.11R.A41B.07"	"IS01"
"TCGA.S3.AA17.01A.11R.A41B.07"	"IS01"
"TCGA.DG.A2KM.01A.11R.A180.07"	"IS01"
"TCGA.C5.A1MP.01A.11R.A14Y.07"	"IS01"
"TCGA.C5.A1MH.01A.11R.A14Y.07"	"IS01"
"TCGA.BI.A20A.01A.11R.A14Y.07"	"IS01"
"TCGA.DS.A1OD.01A.11R.A14Y.07"	"IS01"
"TCGA.EA.A3QD.01A.32R.A22U.07"	"IS01"
"TCGA.EA.A3HU.01A.11R.A213.07"	"IS01"
"TCGA.EA.A3QE.01A.21R.A21T.07"	"IS01"
"TCGA.IR.A3LH.01A.21R.A213.07"	"IS01"
"TCGA.FU.A3YQ.01A.11R.A22U.07"	"IS01"
"TCGA.EA.A5ZD.01A.11R.A28H.07"	"IS01"
"TCGA.EA.A5ZE.01A.11R.A28H.07"	"IS01"
"TCGA.MU.A51Y.01A.11R.A26T.07"	"IS01"
"TCGA.MY.A5BE.01A.21R.A26T.07"	"IS01"
"TCGA.BI.A0VR.01A.11R.A10U.07"	"IS01"
"TCGA.R2.A69V.01A.11R.A32P.07"	"IS01"
"TCGA.EX.A69L.01A.11R.A32P.07"	"IS01"
"TCGA.C5.A7CG.01A.11R.A32P.07"	"IS01"
"TCGA.MA.AA3W.01A.11R.A38B.07"	"IS01"
"TCGA.VS.A94Z.01A.11R.A38B.07"	"IS01"
"TCGA.MA.AA42.01A.12R.A38B.07"	"IS01"
"TCGA.ZJ.A8QO.01A.11R.A37O.07"	"IS01"
"TCGA.VS.A8QM.01A.11R.A37O.07"	"IS01"
"TCGA.VS.A94W.01A.12R.A37O.07"	"IS01"
"TCGA.VS.AA62.01A.11R.A42T.07"	"IS01"
"TCGA.VS.A9V2.01A.11R.A42T.07"	"IS01"
"TCGA.VS.A958.01A.11R.A42T.07"	"IS01"
"TCGA.UC.A7PG.06A.11R.A42S.07"	"IS01"
"TCGA.ZJ.AB0H.01A.11R.A42T.07"	"IS01"
"TCGA.VS.A9UH.01A.11R.A42T.07"	"IS01"
"TCGA.VS.A9UB.01A.22R.A42T.07"	"IS01"
"TCGA.ZJ.AAX4.01A.11R.A42T.07"	"IS01"
"TCGA.W5.AA2H.01A.31R.A41I.07"	"IS01"
"TCGA.3X.AAVE.01A.11R.A41I.07"	"IS01"
"TCGA.WD.A7RX.01A.12R.A41I.07"	"IS01"
"TCGA.AZ.6601.01A.11R.1774.07"	"IS01"
"TCGA.G4.6628.01A.11R.1839.07"	"IS01"
"TCGA.A6.6138.01A.11R.1774.07"	"IS01"
"TCGA.AD.6964.01A.11R.1928.07"	"IS01"
"TCGA.D5.6928.01A.11R.1928.07"	"IS01"
"TCGA.AA.3511.11A.01R.1839.07"	"IS01"
"TCGA.G4.6625.01A.21R.1774.07"	"IS01"
