"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"
"ACTG2__pos"	2.22044604925031e-16	4.53600579732408	2.22044604925031e-16	5.91510455933717	31.910240250072	2.22044604925031e-16	11.4042933076591	7.54516750663004	66.5939651530905	2.48085626382367	121.816564464623	2.22044604925031e-16
"MMP9__pos"	110.739433894628	2.22044604925031e-16	1.31720855004367	2.64702485234977	54.1626516901846	18.1507051134756	16.3729965782922	7.6675687509055	69.9796959698649	6.53759481280894	2.22044604925031e-16	2.22044604925031e-16
"TPSB2__pos"	69.5723583998328	6.66099730547774	2.22044604925031e-16	47.9483862269605	1.87903085867017e-08	2.22044604925031e-16	21.8323590380452	35.398069945222	44.4115174886952	2.22044604925031e-16	48.9677526259209	2.22044604925031e-16
"CNN1__pos"	2.22044604925031e-16	2.56858233499794	2.22044604925031e-16	5.85680511795558	11.821442616381	2.22044604925031e-16	12.0805865606626	9.27072016520567	70.9813231641155	0.417814298668305	135.690450476746	2.22044604925031e-16
"FGFR2__pos"	3.28865012001124	2.22044604925031e-16	73.7652122080907	29.5059524508117	12.0235524316438	2.22044604925031e-16	2.22044604925031e-16	64.1292662152055	2.22044604925031e-16	10.5862605256948	49.5001816609364	34.4789854951069
"CA9__pos"	3.19867145986041	14.9220743482803	2.22044604925031e-16	9.36214801083936	91.2473558652644	59.9007928959184	14.8581168829154	17.5909704352149	17.9628837529907	10.075184160082	2.22044604925031e-16	2.22044604925031e-16
"AGT__pos"	15.5411773208502	59.0908667497781	11.2018243817408	36.1117020170196	2.70407618662597	1.11763218885314	20.1032287588342	57.1194343393093	34.2661456244532	46.9599272079873	19.9487141110885	2.22044604925031e-16
"TPSAB1__pos"	73.406224199796	2.47593065308701	2.22044604925031e-16	45.9749110601661	2.22044604925031e-16	2.22044604925031e-16	16.5664014043963	27.6219736063153	45.2182184741726	2.22044604925031e-16	53.2753128527917	2.22044604925031e-16
"AIM1__pos"	42.4377286032061	2.22044604925031e-16	97.2975773972491	29.9875073121789	57.2139022808626	2.22044604925031e-16	2.22044604925031e-16	12.1076537995339	2.22044604925031e-16	2.22044604925031e-16	3.47638132124456	23.4497196872916
"C7__pos"	74.6989824044884	2.22044604925031e-16	6.02013699232576	12.7089651300527	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	1.97348084937538	2.22044604925031e-16	2.22044604925031e-16	150.59353499374	2.22044604925031e-16
"DES__pos"	2.22044604925031e-16	92.4870885042513	2.22044604925031e-16	2.22044604925031e-16	3.20131890191698	2.22044604925031e-16	1.56921079854017	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	142.039278855202	2.22044604925031e-16
"APOD__pos"	12.0696185780829	12.2263885283772	5.67115390093859	26.6063522483445	2.22044604925031e-16	2.22044604925031e-16	15.4557405209693	63.4925415703441	20.3139958573608	4.24030580845034	87.654848317543	2.22044604925031e-16
"SYNM__pos"	1.53516580805916	40.98342139538	12.5318845394335	2.22044604925031e-16	49.6043710898886	2.22044604925031e-16	2.22044604925031e-16	4.46923618756896e-15	2.22044604925031e-16	7.88518672106186	151.041929832736	12.7130319173122
"GSTT2B__pos"	0.0945008733523202	6.78230379391002	12.9598267767253	31.358445212245	25.1764718459554	25.1779166620576	16.377900959298	67.6929069827059	36.7599672233604	33.3016618335087	31.9200507639965	0.114756077412018
