"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"ZNF385D"	"ZNF385D"	0.0908597422511579
"NES"	"NES"	-0.713290629394156
"PTCH2"	"PTCH2"	-0.32495869757367
"TFDP1"	"TFDP1"	0.861684045497046
"ABI3BP"	"ABI3BP"	0.456389712197832
"MEOX2"	"MEOX2"	0.375567329697656
"MEOX1"	"MEOX1"	0.215722077113972
"POPDC2"	"POPDC2"	1.86126701991239
"SMTNL2"	"SMTNL2"	0.656507745690982
"MFAP4"	"MFAP4"	0.666226664518537
"FCGR2A"	"FCGR2A"	0.130992007785621
"SPARCL1"	"SPARCL1"	0.486093300370655
"CPED1"	"CPED1"	-0.0684307828240061
"CHRNA1"	"CHRNA1"	0.23242623671657
"IGFL3"	"IGFL3"	-0.417203859281376
"HAND2"	"HAND2"	0.92870884921333
"ANGPTL1"	"ANGPTL1"	0.344262972917775
"VIT"	"VIT"	0.140596284116638
"STMN2"	"STMN2"	-0.318873273804787
"AKAP12"	"AKAP12"	-0.110523314255833
"ACKR1"	"ACKR1"	0.0949548566385643
"GNG2"	"GNG2"	-0.0692277333689991
"MATN3"	"MATN3"	-0.969869070188882
"DNAJB5"	"DNAJB5"	0.429804177746229
"KLF2"	"KLF2"	0.179032907085257
"CELA2A"	"CELA2A"	0.949059175229646
"PPP1R12A"	"PPP1R12A"	0.46273419498884
"F2RL2"	"F2RL2"	0.00512059625440034
"RGS1"	"RGS1"	0.663865415184991
"GRPR"	"GRPR"	-0.0515912468744251
"SYCN"	"SYCN"	0.89142621556973
"LRRC15"	"LRRC15"	0.191200840163775
"SEMA6C"	"SEMA6C"	-0.469771087824298
"COL11A1"	"COL11A1"	-0.389097564605507
"HGF"	"HGF"	0.828476851615522
"BAALC"	"BAALC"	-0.418702220448043
"CYTL1"	"CYTL1"	0.138177683188537
"APOBEC2"	"APOBEC2"	-0.116927722266789
"OLFM1"	"OLFM1"	-0.223303789747062
"FPR3"	"FPR3"	-0.273357994715046
"TUBA8"	"TUBA8"	-0.0721691667353196
"GREM1"	"GREM1"	-0.134511607974349
"EPYC"	"EPYC"	-0.349773002244045
"FBXL22"	"FBXL22"	1.03854079045339
"SYNPO2L"	"SYNPO2L"	1.47124599850547
"JPH2"	"JPH2"	0.782911456878854
"PPP2R2B"	"PPP2R2B"	-0.533981966257694
"HSPB3"	"HSPB3"	-0.227304164840185
"HSPB2.C11orf52"	"HSPB2.C11orf52"	0.63914718997136
"CCL11"	"CCL11"	0.833483767416175
"MMP11"	"MMP11"	0.977417893775748
"ITGBL1"	"ITGBL1"	0.369411798378265
"F12"	"F12"	-0.652979798402966
"SFRP2"	"SFRP2"	0.696685007116401
"MUM1L1"	"MUM1L1"	3.32092569552399
"FGF7"	"FGF7"	0.620725898774968
"CYP21A2"	"CYP21A2"	0.385486995774316
"AIF1"	"AIF1"	0.0855407345437162
"LY96"	"LY96"	-0.432084136991795
"ASPN"	"ASPN"	0.714018087333175
"RGS4"	"RGS4"	0.548538949794982
"SLMAP"	"SLMAP"	1.38367728631378
"KISS1"	"KISS1"	-0.597689892912671
"ADAM33"	"ADAM33"	0.554907821377724
"FAP"	"FAP"	-0.0621100075120963
