"B.cells_S05"	"Monocytes.and.Macrophages_S01"	"Dendritic.cells_S04"	"B.cells_S04"	"Plasma.cells_S02"	"T.cells.CD4_S01"	"Dendritic.cells_S01"	"T.cells.CD8_S04"	"T.cells.CD4_S02"	"Tregs_S04"	"Monocytes.and.Macrophages_S03"	"Neutrophils_S01"	"Fibroblasts_S01"	"B.cells_S03"	"T.cells.CD8_S01"	"T.cells.CD8_S02"	"T.cells.CD4_S03"	"T.cells.follicular.helper_S02"	"Tregs_S03"	"NK.cells_S01"	"Endothelial.cells_S03"	"Plasma.cells_S01"	"T.cells.follicular.helper_S01"	"Tregs_S01"	"Dendritic.cells_S02"	"Mast.cells_S02"	"Fibroblasts_S03"	"Endothelial.cells_S01"	"B.cells_S02"	"T.cells.follicular.helper_S03"	"NK.cells_S02"	"Dendritic.cells_S03"	"Mast.cells_S01"	"Endothelial.cells_S02"	"B.cells_S01"	"Plasma.cells_S03"	"Tregs_S02"	"Fibroblasts_S02"	"T.cells.CD8_S03"	"T.cells.CD4_S04"	"Tregs_S05"	"Monocytes.and.Macrophages_S02"	"Neutrophils_S02"	"Fibroblasts_S04"
"B.cells_S05"	1	0.24	0.286666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monocytes.and.Macrophages_S01"	0.24	1	0.331034482758621	0.146666666666667	0	0	0	0	0	0	0	0	0	0	0	0.296875	0	0	0	0	0.164473684210526	0.172131147540984	0	0.127118644067797	0	0.144736842105263	0.141732283464567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendritic.cells_S04"	0.286666666666667	0.331034482758621	1	0.316176470588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B.cells_S04"	0	0.146666666666667	0.316176470588235	1	0.191489361702128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plasma.cells_S02"	0	0	0	0.191489361702128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"T.cells.CD4_S01"	0	0	0	0	0	1	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendritic.cells_S01"	0	0	0	0	0	0.666666666666667	1	0	0	0	0	0.149068322981366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"T.cells.CD8_S04"	0	0	0	0	0	0	0	1	0.595744680851064	0.392523364485981	0.70873786407767	0.578947368421053	0.57843137254902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361702127659574	0.321167883211679	0.353741496598639	0.456953642384106	0.241025641025641	0.32	0	0	0	0	0	0	0	0	0	0
"T.cells.CD4_S02"	0	0	0	0	0	0	0	0.595744680851064	1	0.365591397849462	0.54	0.490566037735849	0.463157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307692307692308	0.272	0.273381294964029	0.32	0.202185792349727	0.284671532846715	0	0	0	0	0	0	0	0	0	0
"Tregs_S04"	0	0	0	0	0	0	0	0.392523364485981	0.365591397849462	1	0.429906542056075	0.341880341880342	0.516483516483517	0	0	0.162393162393162	0.158415841584158	0	0	0	0.13953488372093	0	0	0	0	0	0	0	0.310077519379845	0.44954128440367	0.294117647058824	0.349315068493151	0.164893617021277	0.223776223776224	0	0	0	0	0	0	0	0	0	0
"Monocytes.and.Macrophages_S03"	0	0	0	0	0	0	0	0.70873786407767	0.54	0.429906542056075	1	0.520661157024793	0.633663366336634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390070921985816	0.340579710144928	0.353333333333333	0.503355704697987	0.236180904522613	0.303225806451613	0	0	0	0	0	0	0	0	0	0
"Neutrophils_S01"	0	0	0	0	0	0	0.149068322981366	0.578947368421053	0.490566037735849	0.341880341880342	0.520661157024793	1	0.469565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273885350318471	0.243421052631579	0.285714285714286	0.357142857142857	0.231527093596059	0.248484848484848	0	0	0	0	0	0	0	0	0	0
"Fibroblasts_S01"	0	0	0	0	0	0	0	0.57843137254902	0.463157894736842	0.516483516483517	0.633663366336634	0.469565217391304	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274647887323944	0.297709923664122	0.287671232876712	0.402684563758389	0.17258883248731	0.222222222222222	0	0	0	0	0	0	0	0	0	0
"B.cells_S03"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.186440677966102	0.286885245901639	0.289719626168224	0.528455284552846	0.422018348623853	0.485507246376812	0.3125	0.126050420168067	0	0	0.134920634920635	0	0	0	0	0	0	0.191256830601093	0	0	0	0	0	0	0	0	0	0	0	0
"T.cells.CD8_S01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186440677966102	1	0	0	0.230769230769231	0.295918367346939	0.237762237762238	0	0	0	0	0	0	0	0.133333333333333	0	0	0	0	0	0	0.168141592920354	0.133333333333333	0.213333333333333	0	0	0	0	0	0	0
"T.cells.CD8_S02"	0	0.296875	0	0	0	0	0	0	0	0.162393162393162	0	0	0	0.286885245901639	0	1	0.395604395604396	0.246478873239437	0.133858267716535	0.251612903225806	0.401785714285714	0.268041237113402	0	0.177083333333333	0.128205128205128	0.157894736842105	0.168224299065421	0	0	0.174825174825175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"T.cells.CD4_S03"	0	0	0	0	0	0	0	0	0	0.158415841584158	0	0	0	0.289719626168224	0	0.395604395604396	1	0.196969696969697	0.146788990825688	0.223776223776224	0.4375	0.168539325842697	0	0.160493827160494	0.13	0.153846153846154	0.191011235955056	0	0	0.146153846153846	0	0.189873417721519	0	0	0	0	0	0	0	0	0	0	0	0
"T.cells.follicular.helper_S02"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528455284552846	0.230769230769231	0.246478873239437	0.196969696969697	1	0.576576576576577	0.704545454545455	0.296551724137931	0.166666666666667	0	0.125	0.147887323943662	0.149068322981366	0	0	0	0	0	0.195979899497487	0	0	0	0	0	0	0	0	0	0	0	0
"Tregs_S03"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422018348623853	0.295918367346939	0.133858267716535	0.146788990825688	0.576576576576577	1	0.511811023622047	0.25	0	0	0	0.130434782608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NK.cells_S01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485507246376812	0.237762237762238	0.251612903225806	0.223776223776224	0.704545454545455	0.511811023622047	1	0.265432098765432	0.195804195804196	0	0.175182481751825	0.208053691275168	0.224242424242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Endothelial.cells_S03"	0	0.164473684210526	0	0	0	0	0	0	0	0.13953488372093	0	0	0	0.3125	0	0.401785714285714	0.4375	0.296551724137931	0.25	0.265432098765432	1	0.165217391304348	0	0	0	0	0.142857142857143	0	0	0.193333333333333	0	0.178378378378378	0.176470588235294	0	0	0	0	0	0	0	0	0	0	0
"Plasma.cells_S01"	0	0.172131147540984	0	0	0	0	0	0	0	0	0	0	0	0.126050420168067	0	0.268041237113402	0.168539325842697	0.166666666666667	0	0.195804195804196	0.165217391304348	1	0.172839506172839	0.607142857142857	0.267441860465116	0.364583333333333	0.24390243902439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173333333333333	0
"T.cells.follicular.helper_S01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172839506172839	1	0.26865671641791	0.368421052631579	0.272727272727273	0.227848101265823	0.367088607594937	0.118518518518519	0	0.144927536231884	0	0	0	0.141509433962264	0.358208955223881	0.212121212121212	0.192771084337349	0.224489795918367	0.178947368421053	0	0.201923076923077	0.257352941176471	0
"Tregs_S01"	0	0.127118644067797	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177083333333333	0.160493827160494	0.125	0	0.175182481751825	0	0.607142857142857	0.26865671641791	1	0.394366197183099	0.457831325301205	0.26027397260274	0.170454545454545	0	0	0	0	0	0	0	0	0	0	0.105769230769231	0.103092783505155	0	0	0.185714285714286	0
"Dendritic.cells_S02"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134920634920635	0	0.128205128205128	0.13	0.147887323943662	0.130434782608696	0.208053691275168	0	0.267441860465116	0.368421052631579	0.394366197183099	1	0.428571428571429	0.353658536585366	0.418604651162791	0	0	0	0	0	0	0	0.166666666666667	0	0	0.240740740740741	0.145454545454545	0	0.208695652173913	0.330935251798561	0
"Mast.cells_S02"	0	0.144736842105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157894736842105	0.153846153846154	0.149068322981366	0	0.224242424242424	0	0.364583333333333	0.272727272727273	0.457831325301205	0.428571428571429	1	0.303921568627451	0.411764705882353	0	0	0	0	0	0	0	0.144144144144144	0	0	0.268292682926829	0.184	0	0.183823529411765	0.335483870967742	0
"Fibroblasts_S03"	0	0.141732283464567	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168224299065421	0.191011235955056	0	0	0	0.142857142857143	0.24390243902439	0.227848101265823	0.26027397260274	0.353658536585366	0.303921568627451	1	0.223404255319149	0.136690647482014	0	0.170212765957447	0	0	0	0	0	0	0	0.295918367346939	0.19	0.168141592920354	0.137931034482759	0.299270072992701	0
"Endothelial.cells_S01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333333333	0	0	0	0	0	0	0	0.367088607594937	0.170454545454545	0.418604651162791	0.411764705882353	0.223404255319149	1	0	0	0	0	0	0	0.168067226890756	0.267441860465116	0.166666666666667	0.125	0.277777777777778	0.181818181818182	0	0.211864406779661	0.321678321678322	0
"B.cells_S02"	0	0	0	0	0	0	0	0.361702127659574	0.307692307692308	0.310077519379845	0.390070921985816	0.273885350318471	0.274647887323944	0	0	0	0	0	0	0	0	0	0.118518518518519	0	0	0	0.136690647482014	0	1	0.488888888888889	0.610294117647059	0.47239263803681	0.336734693877551	0.482993197278912	0	0	0	0	0.248275862068966	0.291044776119403	0.347826086956522	0.273972602739726	0.29608938547486	0.280575539568345
"T.cells.follicular.helper_S03"	0	0	0	0	0	0	0	0.321167883211679	0.272	0.44954128440367	0.340579710144928	0.243421052631579	0.297709923664122	0	0	0.174825174825175	0.146153846153846	0	0	0	0.193333333333333	0	0	0	0	0	0	0	0.488888888888889	1	0.43448275862069	0.396341463414634	0.293814432989691	0.344155844155844	0	0	0	0	0	0.132867132867133	0.25	0	0	0.143835616438356
"NK.cells_S02"	0	0	0	0	0	0	0	0.353741496598639	0.273381294964029	0.294117647058824	0.353333333333333	0.285714285714286	0.287671232876712	0	0	0	0	0	0	0	0	0	0.144927536231884	0	0	0	0.170212765957447	0	0.610294117647059	0.43448275862069	1	0.452941176470588	0.338308457711443	0.442307692307692	0	0	0	0	0.296551724137931	0.304347826086957	0.359154929577465	0.269736842105263	0.320441988950276	0.233333333333333
"Dendritic.cells_S03"	0	0	0	0	0	0	0	0.456953642384106	0.32	0.349315068493151	0.503355704697987	0.357142857142857	0.402684563758389	0.191256830601093	0	0	0.189873417721519	0.195979899497487	0	0	0.178378378378378	0	0	0	0	0	0	0	0.47239263803681	0.396341463414634	0.452941176470588	1	0.374407582938389	0.374301675977654	0	0	0	0	0.174157303370787	0.182352941176471	0.258823529411765	0.18232044198895	0.220657276995305	0.240963855421687
"Mast.cells_S01"	0	0	0	0	0	0	0	0.241025641025641	0.202185792349727	0.164893617021277	0.236180904522613	0.231527093596059	0.17258883248731	0	0	0	0	0	0	0	0.176470588235294	0	0	0	0	0	0	0	0.336734693877551	0.293814432989691	0.338308457711443	0.374407582938389	1	0.38860103626943	0	0	0	0	0.196891191709845	0.17989417989418	0.289617486338798	0.248677248677249	0.281818181818182	0.273743016759777
"Endothelial.cells_S02"	0	0	0	0	0	0	0	0.32	0.284671532846715	0.223776223776224	0.303225806451613	0.248484848484848	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.482993197278912	0.344155844155844	0.442307692307692	0.374301675977654	0.38860103626943	1	0	0	0	0	0.272108843537415	0.26056338028169	0.391304347826087	0.246753246753247	0.279569892473118	0.333333333333333
"B.cells_S01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168141592920354	0	0	0	0	0	0	0	0.141509433962264	0	0	0	0	0.168067226890756	0	0	0	0	0	0	1	0.355555555555556	0.337349397590361	0.428571428571429	0	0	0	0.172932330827068	0	0
"Plasma.cells_S03"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333333333	0	0	0	0	0	0	0	0.358208955223881	0	0.166666666666667	0.144144144144144	0	0.267441860465116	0	0	0	0	0	0	0.355555555555556	1	0.35	0.408450704225352	0.174757281553398	0.107843137254902	0	0.188679245283019	0.178082191780822	0
"Tregs_S02"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213333333333333	0	0	0	0	0	0	0	0.212121212121212	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0.337349397590361	0.35	1	0.328358208955224	0	0	0	0	0	0
"Fibroblasts_S02"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192771084337349	0	0	0	0	0.125	0	0	0	0	0	0	0.428571428571429	0.408450704225352	0.328358208955224	1	0	0.130841121495327	0	0.196428571428571	0.125	0
