"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"BATF"	"BATF"	-0.472049533583829	-0.488072196246391	-0.199802934781379	1.48368224968936	"S01"	1.48368224968936	"IS04"
"FOXP3"	"FOXP3"	-0.326503325037252	-0.342418580020243	-0.353153054978961	1.31360859653017	"S01"	1.31360859653017	"IS04"
"IL32"	"IL32"	-0.727203478065937	-0.583043138575216	0.289473540677298	1.30717781392555	"S01"	1.30717781392555	"IS04"
"CD27"	"CD27"	-0.420173999847533	-0.0636109728385857	-0.469066205747363	1.27307788645764	"S01"	1.27307788645764	"IS04"
"TNFRSF18"	"TNFRSF18"	-0.442905461513593	-0.563805412666154	0.00890448649387033	1.25721824139506	"S01"	1.25721824139506	"IS04"
"TIGIT"	"TIGIT"	-0.413824430611162	-0.282755998284222	-0.270155092113041	1.25720324276832	"S01"	1.25720324276832	"IS04"
"IL2RA"	"IL2RA"	-0.264452678128791	-0.404733307488323	-0.318893815307975	1.25452227488283	"S01"	1.25452227488283	"IS04"
"TNFRSF4"	"TNFRSF4"	-0.349610111091423	-0.342072303782132	-0.222347944803139	1.17387507461669	"S01"	1.17387507461669	"IS04"
"LAIR2"	"LAIR2"	-0.302242866588502	-0.294882035972597	-0.309376791211137	1.16743524696355	"S01"	1.16743524696355	"IS04"
"DUSP4"	"DUSP4"	-0.480390659309298	-0.597688477019391	0.170701488727047	1.1364880286523	"S01"	1.1364880286523	"IS04"
"TNFRSF9"	"TNFRSF9"	-0.262622893773566	-0.325225888103537	-0.181453771810246	0.979750937907322	"S01"	0.979750937907322	"IS04"
"MAGEH1"	"MAGEH1"	-0.268213401837678	-0.103364810771159	-0.369007790002474	0.976536661095809	"S01"	0.976536661095809	"IS04"
"RTKN2"	"RTKN2"	-0.232520033773561	-0.193269727685397	-0.30123074240498	0.942119902247427	"S01"	0.942119902247427	"IS04"
"TBC1D4"	"TBC1D4"	-0.244705815003849	-0.0801164299630415	-0.349585046545887	0.891456505425696	"S01"	0.891456505425696	"IS04"
"CD7"	"CD7"	-0.601035568306754	0.00503673245812999	-0.0452117725795203	0.889555654353662	"S01"	0.889555654353662	"IS04"
"CTLA4"	"CTLA4"	-0.372776959075366	-0.226514395275052	-0.0475494565168774	0.843164779560225	"S01"	0.843164779560225	"IS04"
"FANK1"	"FANK1"	-0.1895893655981	-0.214302402236198	-0.250101344709454	0.839721362053312	"S01"	0.839721362053312	"IS04"
"TNFRSF1B"	"TNFRSF1B"	-0.385067687043396	-0.120408741311876	-0.0942983661067927	0.798702312997619	"S01"	0.798702312997619	"IS04"
"ZBTB32"	"ZBTB32"	-0.242547869043404	-0.236285838803923	-0.110104025774665	0.755317525085482	"S01"	0.755317525085482	"IS04"
"UCP2"	"UCP2"	-0.540847244216544	-0.13197791942686	0.153919141946162	0.703408724613828	"S01"	0.703408724613828	"IS04"
"BIRC3"	"BIRC3"	-0.395249284989038	-0.108704858406875	-0.0201458875712877	0.702106745285989	"S01"	0.702106745285989	"IS04"
"BTLA"	"BTLA"	-0.230539435538784	-0.151917232841513	-0.147108667446046	0.689444072554305	"S01"	0.689444072554305	"IS04"
"IL2RG"	"IL2RG"	-0.699840072635044	-0.337946799530698	0.529122419615117	0.671183902988222	"S01"	0.671183902988222	"IS04"
"LTB"	"LTB"	-0.551126244732692	-0.0899506959387567	0.153180223409615	0.6700192141109	"S01"	0.6700192141109	"IS04"
"ICOS"	"ICOS"	-0.542596380101454	0.110545185393496	-0.0238313298943295	0.658077045288598	"S01"	0.658077045288598	"IS04"
"FAS"	"FAS"	-0.437676425478595	-0.328307624547732	0.281381641202424	0.620093155450408	"S01"	0.620093155450408	"IS04"
"GNG8"	"GNG8"	-0.162124517048859	-0.139677345920946	-0.175688419342511	0.617565505943721	"S01"	0.617565505943721	"IS04"
"TMEM173"	"TMEM173"	-0.44336374417071	-0.179771379036249	0.162207350627148	0.612264937711329	"S01"	0.612264937711329	"IS04"
"RGS1"	"RGS1"	-0.587871571352229	-0.280000570352002	0.404333509595215	0.611923634045534	"S01"	0.611923634045534	"IS04"
"ETV7"	"ETV7"	-0.272784039433166	-0.264778153358865	0.0601077514681077	0.607230545141185	"S01"	0.607230545141185	"IS04"
"GBP5"	"GBP5"	-0.239493518862069	-0.27199151923347	0.0349198471911434	0.60229027646654	"S01"	0.60229027646654	"IS04"
"RAC2"	"RAC2"	-0.648043412345726	-0.212671673208443	0.430377820284666	0.58353698794008	"S01"	0.58353698794008	"IS04"
"JAKMIP1"	"JAKMIP1"	-0.19787200770051	-0.218931559756902	-0.038850684785907	0.579666983191235	"S01"	0.579666983191235	"IS04"
"IKZF2"	"IKZF2"	-0.0860682494486151	-0.204379492628106	-0.162614945483808	0.569532823304896	"S01"	0.569532823304896	"IS04"
"SH2D1A"	"SH2D1A"	-0.238870420657889	-0.0110590789661259	-0.169790701721344	0.567687789900591	"S01"	0.567687789900591	"IS04"
"CYTIP"	"CYTIP"	-0.578295575617871	0.0589331262650036	0.145094998004316	0.546042170913589	"S01"	0.546042170913589	"IS04"
"CD177"	"CD177"	-0.0953533624396602	-0.168050633491917	-0.162906733078927	0.540771886948723	"S01"	0.540771886948723	"IS04"
"RHOG"	"RHOG"	-0.573523449305479	-0.0498705394566519	0.257418001371072	0.518124202735636	"S01"	0.518124202735636	"IS04"
"SLA"	"SLA"	-0.436800100180664	-0.190312642267595	0.243381387708943	0.508924406049568	"S01"	0.508924406049568	"IS04"
