"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072805"	"MS2010072902"	"MS2010072925"	"MS2010072930"	"MS2010072004"	"MS2010072828"	"MS2010072835"	"MS2010072912"	"MS2010072937"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072932"
"GABRG2"	4.83965838818377	5.79819396783022	5.26454203618734	5.1598835983648	5.23672952765695	9.18950435793034	3.27274478795019	5.81856579333158	5.69714198288158	5.28474291744028	4.69447637371751	4.1821913768077	5.0838728508783	6.16826111146059	5.2664535661945	5.12807894092944	5.32271716356489
"STOML3"	6.31015596778473	6.83145526792759	5.53971886483748	5.35359691897054	5.15723856731493	8.79170464644741	5.53374215355121	6.04047906099821	5.66373494035842	5.72291524730579	5.24436914656336	4.36750224488625	5.12377870990819	5.39890613153081	5.29700711551877	4.28190556969496	4.40836471543983
"PRDM9"	2.62140212954471	4.90084610189163	3.82670503606779	1.99124088807909	3.03818168855588	6.97620987044823	4.29560457895665	1.95483551999073	2.29723706249639	1.69537874139266	2.9680188738159	2.62399450517566	2.62998866456825	2.34485978733928	4.32661179959026	3.04760768663372	2.98429411080096
"LOC100288776"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100131132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UGT2A1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM75C1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DACH2"	4.55430835414543	6.03933055271929	2.8514085230923	5.43618506503135	6.16634876167176	9.61008007240642	4.89003974006521	5.17610361975912	3.44753867609087	5.41502004134805	3.72953319322908	5.25676334308973	5.06302889431091	5.0557789865672	5.65592576995247	2.16564409838531	3.73970453771679
"SSX3"	2.14804633947537	5.00579667360706	4.42872906177596	1.95364343658755	2.31375084281882	3.41844094524313	1.4087084052717	3.13149334122415	4.51815831003848	1.56643632818174	6.05643976069028	1.62237278587569	2.10477662205975	2.43680294111686	1.99738303738708	1.97499792693819	1.71135281744724
"LOC400794"	4.07870379919965	7.04228906946513	2.37331731174077	5.3007796918611	5.93701977500185	7.96047687569811	5.35802306803396	2.37358918694711	3.07999001192562	3.83769596689394	4.80109936157758	2.78886653969573	3.33245725772735	3.17367759064579	3.31573735538419	5.01841453632102	2.91871190971702
"IFLTD1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC390705"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAGEC3"	3.08302345931435	2.60507388688143	4.90898892875225	6.10303574984317	3.67542101531101	5.8557340683168	2.33023442460668	2.67647235498759	3.31976434216001	2.75544895335291	2.17313624954269	2.03705075530212	4.39011883811151	3.0134785496206	2.51499071486339	5.1373075641556	3.7674430338976
"OTOS"	2.11815894542708	6.80171345164021	4.7967645194381	3.68741258419551	6.03458586785167	8.27514282048142	4.6058676041907	3.61346525450821	3.13684250139639	1.96494176856938	4.87220866275988	4.70603542559202	4.83188882477087	3.54792663185669	4.54574353427442	2.63124876220548	2.88007355108368
"DSCR4"	2.34109587344856	2.94047866739148	2.6494044222397	2.14373822396831	2.63995194383487	6.17573544596573	3.11203406027929	3.30944950004268	3.04584535846405	1.85796051385768	2.39796649210126	2.25053161336932	2.50256152981327	2.70586461913333	3.46834682881819	2.10113619749623	2.15766427963164
"LOC100131381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC728755"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IAPP"	1.90318195996434	4.33563880497428	5.81359562141472	4.86502502884828	5.57114044541813	8.89077231040407	5.05818185711732	4.77555072208885	5.20656004929932	5.47241330546894	5.74033020325623	2.960766246409	2.0961064802633	4.72182068864381	4.97947751140956	5.91280079386965	4.24584636981537
"MAGEA5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TBC1D3G"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100128626"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC6A10P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HBG1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC645739"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC653061"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287357"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130846"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TTPA"	5.35069519949043	7.05493487395986	3.67931371334367	6.69952376821699	5.16544003399474	10.7120107013819	2.26025360888164	4.73951970533677	4.52734804812432	5.96467909539609	6.52000845514263	4.74028451165266	4.71401402907763	5.49428216881795	6.01656104794039	5.28150720511704	5.74969476697043
"MAGEB16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC154872"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RTP3"	2.3744538244954	6.5028036200583	4.26647980703986	3.63393354806489	5.19955641591872	8.35974648390556	3.739712857385	4.18256918124127	2.41346593850893	3.94788799047565	5.13019664533464	4.64678404095552	5.17013100776104	4.19572735400664	4.01597591032537	2.48322263598377	3.23483344233258
"CCNYL2"	1.52480161000369	6.43097219215962	2.10747795987261	4.21494123025482	4.13963875463829	5.78361231708546	1.26752817042249	5.23316467329912	2.8509894348536	4.33473290863345	4.99718380453512	2.39818193558805	5.18248308583643	2.00134234834553	1.62536617507867	1.18404904276782	4.50091164947106
"MRGPRE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100130673"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SSX8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC91948"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC729141"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288976"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POTEA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIA2"	2.59316117650513	2.69955277428406	2.00056569662436	4.24644294632036	4.98641658343902	7.25127271749537	1.67481885633382	3.00110202736953	4.15541982370004	1.29657450877169	1.28995966440835	1.31760844479198	2.46579077585985	2.4678472565125	1.43586020445512	2.69250704335525	2.05942097242083
"C2orf78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C14orf25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB126"	5.57855351717524	4.77193481710196	4.03690951926714	2.9980612894727	1.43760209109498	7.2649049863058	4.02458821456607	1.29521342890804	2.35137783178452	4.91923951765844	3.88942401417173	3.2435945867159	4.20131521149583	4.97439274177086	1.66068491723934	4.78067034760874	3.40190794421114
"C3orf51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2orf14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GAGE2A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FHDC1"	7.99318714196756	7.60502499225668	7.04987949124014	7.18466891324218	7.90001034652766	7.99067401473125	6.70707187965068	7.16205238749535	7.56603366482267	5.90341605653682	5.25682309953399	6.72288714223267	6.96672457909503	7.41649641486805	6.41807043811051	5.91611344348388	6.36218277353147
"ADAMTS17"	5.72501224403766	4.17337317792068	4.67240108090652	4.01491344470374	4.74253760190765	7.31422344444752	6.28479403222888	4.91087546937564	6.0199105035484	5.05249689240746	3.10309454382671	5.45959258806727	3.46987860937934	3.92810310695519	4.2056538276642	2.33236227651614	2.99429395256278
"PASD1"	6.19181681465069	4.29284189254088	6.48177116881056	5.89150689727919	3.63311647503438	8.26792072073352	4.84296222816437	4.07254413443852	5.99648072001476	4.91799034080111	6.01731542022638	5.72255836465301	6.11162884086402	2.78744121709344	6.61598965439588	6.13149629285183	5.79798059682608
"LOC100130935"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRIM17"	3.28599760665233	6.44080991237412	2.98686323253934	2.09240226009205	4.37581159719809	8.74394281390394	2.31952198902258	4.11787264002549	4.64378040165548	2.96661700103382	1.89355731840418	2.775203352655	2.10899013505754	1.99468374029943	2.9810786819794	2.33661671722274	2.74233284984297
"NFASC"	6.31031937100053	6.59581532013959	6.14208589525931	6.23701722246265	5.85538444666264	8.79734714439412	5.41511664627663	6.14320829346506	6.30165603723851	5.6095829789424	5.27261919409333	5.54241333009366	2.84305077924666	5.22919904049025	5.16663474318575	6.68666545003198	3.41658414055018
"FLJ41733"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100133189"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RAB3B"	4.37179410114552	5.49842761711458	2.47764547902951	3.75277597499158	3.41362341189329	7.21710874488742	2.99310782268353	4.36776865288302	3.30439859492446	2.22072899007441	3.43068832503713	3.21983333149788	3.04456705064572	5.31406640388452	2.7582607312699	2.69508753903038	2.66132580528998
"PGAP1"	6.12552459892086	6.57938658448552	5.86680810388273	6.53358234208544	6.36746006340906	9.17582885473228	6.97244070808974	5.77052290928265	7.14461936326959	6.13396786008189	5.60113092485244	5.94517619898872	6.87395666050537	6.05890847483893	6.47127661223719	6.33318205566677	6.30808179967477
"C21orf90"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NOMO1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HBG2"	6.87323561710789	8.43476523809245	7.52546838335366	7.93827564363441	7.50383418800521	6.63917155715449	7.08042734892212	6.8022653237633	7.49499455918982	7.20354271082474	7.31701952105982	9.02856781035184	4.56889603144982	7.302870791206	7.97623439670846	8.08635594920895	5.95239014793873
"RANBP2"	10.1213631598474	10.3150181309046	10.2593780970412	10.4365993394863	9.63044294544562	9.00629256093581	10.0422642346741	10.068877516996	10.4559971642104	9.24902747491045	9.39428027104412	10.5967368771797	10.178786781732	10.9863652291346	9.6647134286495	9.74017650675133	9.78270663551965
"PARK2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RSPH4A"	5.71590364634625	6.99187761067495	4.81535294273652	5.13085772441653	5.36954965320972	7.28037834757609	3.61581323047888	3.75301195396004	4.58090435701324	2.27802109906902	4.13612272182907	4.99433916532753	4.73717967942263	4.58965472868948	5.26361612729685	4.79625253096646	4.17638605748517
"DOCK9"	7.11521571276675	7.30769617480529	6.70614183603996	6.0885068673006	6.99095725598306	8.56378955852398	6.40933440074485	7.35239700986242	6.6055763243938	6.66816059066889	6.26209573709495	7.37130085482103	6.69126278947873	7.43608565569143	7.79774727018748	5.70757566334176	6.76417271753682
"GAS6"	9.14922225850434	8.59885458725445	6.2608417462828	8.38173703530099	7.18434054875319	7.51115641255852	9.21146757805606	9.18983004695457	8.62521332789712	7.1325304796466	7.60687990738135	7.45462789228293	4.76702922282346	8.66495266732881	7.74997876052828	8.47319332240326	8.25776358943675
"C4A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CXADRP2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CSTF2T"	10.1379491826488	9.20141274579549	9.82251835328359	9.56040757715873	9.01560976950944	9.57062794828907	9.53980307514046	9.33729509158012	9.25391577244638	9.37709862139877	9.15020633282139	9.21348318350369	9.11281871127444	9.18164941815778	9.64185012622599	9.11654521792772	9.48923290138771
"PRX"	6.77000244365351	7.7323122107498	6.7298264287401	5.55081460428879	6.65321907745147	8.28715442214622	6.79582114400698	6.52477911429715	5.65989270161408	5.29998137400059	7.36843199957133	5.31382327485244	6.74503098599209	5.3754075570011	6.86378199613847	5.69356172827734	6.71025301829108
