"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"FPR2"	"FPR2"	-0.387462228868069	1.57095865921423	-1.16905188572356	0.386594345525503	-0.268234968680012	"S01"	1.57095865921423	"IS02"
"MCEMP1"	"MCEMP1"	0.0874710497371004	1.45001511322054	-0.874208124463004	-0.317001078779341	-0.27042461599289	"S01"	1.45001511322054	"IS02"
"CSF3R"	"CSF3R"	-0.0627868935720559	1.42285949203416	-0.863284523894696	0.0305982008345005	-0.429340459781682	"S01"	1.42285949203416	"IS02"
"VSIG4"	"VSIG4"	-0.160227661274101	1.38380267971769	-0.91501824412107	-0.481723926976375	0.202581234697729	"S01"	1.38380267971769	"IS02"
"ADGRE3"	"ADGRE3"	-0.0141280781478704	1.34230267024169	-1.16098095673495	0.456402830940141	-0.441794265554185	"S01"	1.34230267024169	"IS02"
"CD300LB"	"CD300LB"	-0.0960699769685584	1.3234364038383	-1.19448936431734	0.101497539199378	-0.00194743979438093	"S01"	1.3234364038383	"IS02"
"CXCR1"	"CXCR1"	-0.471836159935973	1.24875541519787	-1.09155578848265	1.06319759182167	-0.556815903947568	"S01"	1.24875541519787	"IS02"
"LILRA1"	"LILRA1"	-0.34018840420626	1.18746140957765	-1.0699451182554	-0.0910270878046337	0.380167337937384	"S01"	1.18746140957765	"IS02"
"FCGR3B"	"FCGR3B"	-0.587687066324185	1.18576207471205	-1.34954216359281	0.697507066844355	0.211565934397815	"S01"	1.18576207471205	"IS02"
"CMTM2"	"CMTM2"	0.0284481464836483	1.17709593237803	-1.08061333837131	0.789425234988016	-0.697564028482666	"S01"	1.17709593237803	"IS02"
"CXCR2"	"CXCR2"	-0.227216818091994	1.17631070462746	-1.00205798464766	1.00959646823974	-0.751522441842344	"S01"	1.17631070462746	"IS02"
"MMP19"	"MMP19"	-0.275779880772842	1.17512726069227	-0.678220620071631	-0.387774828049848	0.168119801824998	"S01"	1.17512726069227	"IS02"
"SIGLEC5"	"SIGLEC5"	-0.262736963344912	1.15316672290075	-0.912051425420946	0.219719026063277	-0.100589255451661	"S01"	1.15316672290075	"IS02"
"MPEG1"	"MPEG1"	0.215324012071107	1.13983098925616	-1.12059040844746	-0.482738827578285	0.338348532497157	"S01"	1.13983098925616	"IS02"
"OLR1"	"OLR1"	0.361612004304381	1.13835373241716	-1.35359493741162	-0.327364827965761	0.329263103443721	"S01"	1.13835373241716	"IS02"
"NR4A3"	"NR4A3"	0.133400241720092	1.13562159641771	-0.511739758126866	-0.275753702051595	-0.433987614924915	"S01"	1.13562159641771	"IS02"
"FCN1"	"FCN1"	0.233954474803481	1.07225596096386	-1.34695974449547	-0.1697861068223	0.360814056479779	"S01"	1.07225596096386	"IS02"
"SIGLEC14"	"SIGLEC14"	-0.177149100795056	1.05601995178693	-1.16547343037657	-0.11205024135832	0.48926538786967	"S01"	1.05601995178693	"IS02"
"UBASH3B"	"UBASH3B"	-0.207380101129311	1.04130142482107	-0.687901653199527	-0.00544382948409575	-0.0861663095885413	"S01"	1.04130142482107	"IS02"
"MEFV"	"MEFV"	-0.199754271555258	1.03612984017797	-0.683123800371025	0.0980771865704347	-0.184145157661491	"S01"	1.03612984017797	"IS02"
"CLC"	"CLC"	-0.312682375726891	1.0172902366348	-0.637304932392974	0.235601152105036	-0.237376176919353	"S01"	1.0172902366348	"IS02"
"LIPN"	"LIPN"	0.0758424092699738	1.0171487978185	-0.927446908745223	0.493806659039016	-0.489019336593113	"S01"	1.0171487978185	"IS02"
"CD300E"	"CD300E"	-0.578062327026617	0.99213261271448	0.00339705396480204	-0.324021414340194	-0.187543536890039	"S01"	0.99213261271448	"IS02"
"PROK2"	"PROK2"	-0.423350212943475	0.967949243035861	-0.899205643907039	0.76781209428031	-0.273190652566006	"S01"	0.967949243035861	"IS02"
"CXCL3"	"CXCL3"	-0.365180350558148	0.960834727708398	-0.745865350288374	0.260770954485797	-0.0388488979325037	"S01"	0.960834727708398	"IS02"
"MGAM"	"MGAM"	-0.233616428734857	0.939651567392603	-0.519762874111254	0.246425715716477	-0.368630468755751	"S01"	0.939651567392603	"IS02"
"PADI4"	"PADI4"	-0.0583692652018682	0.921656558686564	-0.261971751792488	0.241431597352582	-0.782926352153696	"S01"	0.921656558686564	"IS02"
"PCDHGA9"	"PCDHGA9"	-0.340716344431819	0.91708758814852	-0.782601146462594	-0.031075736478181	0.279869251042723	"S01"	0.91708758814852	"IS02"
"TREML2"	"TREML2"	-0.0435963182775979	0.886793926746674	-1.06845318433523	0.0675884178077421	0.274170841256842	"S01"	0.886793926746674	"IS02"
"IL6"	"IL6"	-0.7148179667803	0.874574016968203	-0.0490891404349177	-0.0922888315133454	-0.0978292691254471	"S01"	0.874574016968203	"IS02"
"VNN2"	"VNN2"	0.291185323439409	0.836479155311997	-1.66278217628034	0.27113203202456	0.500351679032278	"S01"	0.836479155311997	"IS02"
"HAS1"	"HAS1"	-0.614962654102212	0.80062356368991	-0.23712319678382	0.16225528126006	-0.131123505816896	"S01"	0.80062356368991	"IS02"
"AC018755.18"	"AC018755.18"	0.0724213391343175	0.776769539652472	-0.940281347321646	-0.26926555343991	0.436751398941393	"S01"	0.776769539652472	"IS02"
"AQP9"	"AQP9"	0.0741097417719679	0.756247476639262	-1.61825412335774	0.512701375143392	0.509138899765511	"S01"	0.756247476639262	"IS02"
"PGLYRP1"	"PGLYRP1"	0.125559841643751	0.703832713407826	-0.373509096637757	0.17091671793781	-0.545977829682635	"S01"	0.703832713407826	"IS02"
