"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"CDKN2A__pos"	10.301272842097	12.2421230699844	22.1117742265105	17.9667269970004	5.70059371099014	5.10127257249909
"MT1G__pos"	1.77700035123897	8.06662623992646	3.16719000892514	3.31219499289651	2.22044604925031e-16	53.0882535337487
"DGKZ__pos"	0.0018597088084263	2.22044604925031e-16	4.82080674432552	18.4431808615707	24.8591980197438	14.1186131251219
"CHI3L2__pos"	2.26919305417496	6.53156504086805	7.77151013201784	9.36565410129271	24.4967454540756	16.33822424469
"OGFR__pos"	0.0884177686711631	2.22044604925031e-16	6.08806292620775	24.6555346088579	16.6271032629015	16.0556545033741
"MT1H__pos"	0.528241636390451	7.29801085304451	2.79811418140601	2.98534811676021	2.22044604925031e-16	55.7318704440799
"SPNS1__pos"	9.95065773159912	2.22044604925031e-16	1.62743323934827	26.3064499697255	12.8785165682701	18.5852734867415
"C22orf9__pos"	16.8800222750379	2.22044604925031e-16	1.92275158072886	15.6916059988609	15.9528029731534	26.2544012032151
"MGP__pos"	53.7243822654356	15.4344623700071	0.12359820296689	4.0772074553953	3.98266854528805	2.22044604925031e-16
"SEPP1__pos"	33.8335415063603	21.8266849255498	0.835325638365073	2.22044604925031e-16	24.5622781152195	1.62312762211431e-12
"IL2RG__pos"	2.22044604925031e-16	2.22044604925031e-16	1.04121239822258	29.2301051983103	26.8653160733788	25.6002519153044
"DRAM__pos"	10.7521066075604	7.90549762067776	3.61383605180347	2.22044604925031e-16	5.0382459479214	41.5861629857956
"CUGBP2__pos"	1.62582796135959e-13	2.22044604925031e-16	6.51227952270102	1.14186420981124	41.5136619390742	26.9073060223007
"RN7SL1__pos"	15.9320808667844	33.8914648050444	7.62122763281459	0.378133690206657	1.50492804909878	14.5572700722984
"VSIG4__pos"	8.02243498693874	4.47767420077312	0.538137678121411	2.22044604925031e-16	2.22044604925031e-16	60.2982258966746
"SORBS3__pos"	17.1302704156045	2.22044604925031e-16	1.72542144935408	23.9650350622527	13.3811144449328	17.5925915373703
"SLC22A3__pos"	32.5242099781732	2.09751043907802	1.55772424873042	6.79471555243295	31.9855606538266	5.52392868642314e-08
"CENPB__pos"	16.0710915567343	2.22044604925031e-16	7.06457169328793	13.5177553617785	11.8344272581788	12.0196700721497
"NQO1__pos"	38.5197852316839	18.545484916921	2.36678431598103	4.77430785729659	2.22044604925031e-16	9.48022778010123
"AP2A2__pos"	6.91623680565985	2.22044604925031e-16	8.50143739104781	14.3491909269671	21.5963986070628	11.68677759482
"MSR1__pos"	29.8642367959944	16.8899250084694	0.198061509999976	2.22044604925031e-16	2.11462401961512e-11	28.4043741651499
"ARRB2__pos"	2.22044604925031e-16	2.22044604925031e-16	1.08159075066709	15.2674809050608	19.2604532479709	37.7147091762839
"GNLY__pos"	2.22044604925031e-16	6.08507774795364	2.22044604925031e-16	19.7986146943839	2.64553916793365	38.9276870870243
"CLEC4E__pos"	2.22044604925031e-16	9.19682670385184	0.270631517808459	0.730677081023671	2.22044604925031e-16	55.8608419049753
"NT5E__pos"	59.6635649316997	2.65911946565469	0.491612939671195	2.22044604925031e-16	14.4374531908326	0.675777346438033
"CDH2__pos"	44.7802480926546	2.73261988436149	2.93323776540976	4.38669887394721	17.7408961940876	5.81488990105438
"IFIT1__pos"	15.2335112226871	21.4709121277712	3.00480566411993	1.38419143972212	10.0826580323826	18.2243576861659
"IDO1__pos"	2.22044604925031e-16	3.96442868310352	2.22044604925031e-16	2.22044604925031e-16	0.0828364271536752	62.1570927984384
"WBP2__pos"	6.28518138183747	2.22044604925031e-16	0.954130587329798	30.6466550154693	16.1813996743721	24.6051554957325
"SEMA3C__pos"	59.5684354641735	7.71853550306952	5.50051963512982	2.22044604925031e-16	2.61082464707641	2.70671091363718
"GZMB__pos"	2.22044604925031e-16	9.01758479344086	4.05479544651646	5.28202629510675	2.91796737684947	50.385427147049
"TXN__pos"	4.31391069735361	24.9720834488738	3.33257180413276	1.77187724006329	2.22044604925031e-16	40.2122672199263
"MFSD1__pos"	11.3062158223054	1.07362130982234	3.78934653057982	2.22044604925031e-16	10.8568398823914	44.4665274345681
"SDF4__pos"	21.1560898613252	2.22044604925031e-16	1.39024696683998	16.6404327304639	7.13021510725067	15.5849716573915
"REEP4__pos"	2.18722174449068	2.22044604925031e-16	8.03057796496947	26.9398884899902	8.66350459957635	24.7706665292497
"INO80C__pos"	2.22044604925031e-16	20.1956986042801	19.0421118080539	8.87534392168751	12.0570491436191	2.22044604925031e-16
"LYZ__pos"	8.94831531382706	11.0609423315997	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	46.6954765159501
"SIGLEC1__pos"	5.47871481593758	2.22044604925031e-16	3.26461377594889e-12	7.71724396360691	13.3498876195025	49.0558557513452
"BTN3A2__pos"	4.27819324164309e-09	2.22044604925031e-16	2.22044604925031e-16	4.3005602065687	35.2887406126351	36.7616332503725
"PTK7__pos"	59.2231070379178	2.22044604925031e-16	2.22044604925031e-16	8.27317903701494	3.85749563764057	3.89180887561104
"S100A11__pos"	26.099451492543	0.366258621134762	4.11942287690328e-06	5.01067336106282	2.22044604925031e-16	35.021691093691
"KIAA1128__pos"	13.5050718290193	2.22044604925031e-16	6.91423994135032	2.22044604925031e-16	24.9874523161598	23.8153067795902
"LYST__pos"	5.50814927535341	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	34.2538236127767	30.9954455690509
"NAGA__pos"	20.2571192513712	2.22044604925031e-16	4.35805964616319	10.8410738414304	4.86376361123837	35.6746191943114
