"TCGA.77.7465.01A.11R.2045.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.37.4133.01A.01R.1100.07"	"TCGA.34.5240.01A.01R.1443.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.62.A470.01A.11R.A24H.07"	"TCGA.73.4677.01A.01R.1206.07"	"TCGA.44.7671.01A.11R.2066.07"	"TCGA.63.5131.01A.01R.1443.07"	"TCGA.73.4670.01A.01R.1206.07"	"TCGA.94.8490.01A.11R.2326.07"	"TCGA.50.5932.01A.11R.1755.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.52.7810.01A.11R.2125.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.18.3417.01A.01R.1443.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.55.A492.01A.11R.A24H.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.22.5473.01A.01R.1635.07"	"TCGA.55.8094.01A.11R.2241.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.85.8070.01A.11R.2247.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.66.2795.01A.02R.0980.07"	"TCGA.63.5128.01A.01R.1443.07"	"TCGA.78.7167.01A.11R.2066.07"	"TCGA.63.A5MI.01A.12R.A27Q.07"	"TCGA.50.5931.01A.11R.1755.07"	"TCGA.51.4080.01A.01R.1100.07"	"TCGA.NJ.A7XG.01A.12R.A39D.07"	"TCGA.58.8391.01A.11R.2326.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.NC.A5HD.01A.11R.A26W.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.58.A46N.01A.11R.A24H.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.21.5786.01A.01R.1635.07"	"TCGA.95.7948.01A.11R.2187.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.NC.A5HG.01A.11R.A26W.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.75.6206.01A.11R.1755.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"TCGA.NC.A5HR.01A.21R.A26W.07"	"TCGA.70.6723.01A.11R.1820.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.55.7913.01B.11R.2241.07"	"TCGA.22.4591.01A.01R.1201.07"	"TCGA.NC.A5HH.01A.11R.A26W.07"	"TCGA.77.8128.01A.11R.2247.07"	"TCGA.95.8494.01A.11R.2326.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.97.7937.01A.11R.2170.07"	"TCGA.63.A5MU.01A.11R.A26W.07"	"TCGA.NK.A7XE.01A.12R.A405.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.33.6738.01A.11R.1949.07"	"TCGA.33.4586.01A.01R.1443.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.38.4628.01A.01R.1206.07"
"LCK"	0.863516427564811	2.55201812206676	0.202143517029375	1.51321423119261	2.27323071111442	1.7545951081058	1.71515914097499	2.05337454283936	1.39272968152819	2.48945067100313	1.52456943059077	1.54714731162316	1.67804007430978	-0.0601688687991571	1.5069136999887	0.275169546531445	1.54472806549929	1.60606461229958	1.62240129936938	2.20517630648208	2.03977055671804	1.50632082197226	2.040448638412	1.40126867692682	1.01213505172253	1.51929980811052	1.21703093315571	1.57254641472148	0.348343735811266	0.145544841736206	1.39214921515318	1.64822379213887	-0.0146093916086392	1.67776970064025	2.51487591762164	1.60988672724677	1.7167253729564	0.243124058352746	1.99639912943497	1.48107892899061	1.55088934424879	1.50179354564821	0.318730168136411	-0.0279998036330779	1.61973694172375	-0.103649068085477	0.989101400426857	1.50827589273095	0.991811310215171	-0.530103294778754	1.38335794171127	1.62154833716896	2.05420476558583	-0.0677934922904166	1.39086392015844	1.48095613656116	1.00019199468723	2.13585088910513	1.48570674323476	1.41722530022097	1.26256995877732	0.278837779743493	2.03249145766276	-0.126399786453592	-1.02521836501122	-0.697377961462535	-0.76083927144914	-0.522028435609565	-0.993257167987045	-0.615328583385233	-0.588746261366239	-0.889650417199983	-1.04907071999464	-1.23867380291996	-1.3999396492238	-1.06473560595398	-1.10211228514567	-0.910232764507057	-0.923843847249	-0.989499981192726	-0.0416470802519243	-1.06483786651522	-0.83751180092261	-0.750598172170766	-0.717704294170974	-1.50349829097921	-0.49182549840208	-0.0441542556172756	-0.533578986590625	-0.886085318323053	-0.637605380624558	-1.36285564709661	-0.783863577819872	-0.890867699542257	-0.893648338873582	-1.07647414202484	-1.12244944227286	-0.699555697016007	-0.819431999352268	-0.0288427905928889	-1.13634342495192	-1.07032326727468	-0.896919938664828	-0.569396888082915	-0.293478602137317	-0.926022653701961	-0.61758994742127	-0.562686811099456	-1.00808352601746	1.680059452499	-1.06004934361941	-1.12609297345682	-1.18271879878317	-0.58744013012826	-1.03022781319639	-0.884903985566454	-1.16443496101601	-0.910522525977629	-0.819758442315536	-0.212763100737701	-1.14650071458272	-1.0520902325149	-1.02379975898311	-0.786465432418457	-0.644297113629859	-0.715777314618587	-0.888688018491597	-0.928431079943523	-1.80146798251318	-1.08357075196622	-0.956274324777615	-0.958028527463915	0.148958108509375	-0.641263671849945
"CD3E"	1.69312601886915	1.15744137917439	0.885463095174922	0.722232941975046	0.982989177295807	1.62982429291964	1.75656469411833	1.84013758485586	1.50364242149709	1.14901726818525	1.31278769787355	1.59061736252674	1.47275463631739	1.01169929051274	1.52762710077511	0.893866966623604	1.48458148566833	1.76644973121837	1.47754143700102	1.68745390830556	1.72237220955662	1.26264915872028	1.5457181692088	1.43468327552381	1.13796321629926	1.66211651947236	1.64149275647427	1.86946500067976	0.49452892703246	0.627699426474349	1.59382006774949	1.41550094635381	0.629524876264095	1.14657674823685	1.94476818572999	1.68932038380013	1.59763137111916	0.91010835150766	1.60336268711562	1.41787239932801	1.41091513713976	1.58405857624065	1.77710362104972	-0.152088732514762	1.12963087152715	0.669965429835504	0.944183735472718	1.49223620644316	1.46009779311115	0.779549685820762	1.48588502433714	1.64918819406352	1.69324809256863	-0.000464644535527525	1.24156351851712	1.54612341580057	0.517185702255445	1.77166133376551	1.51349718975807	1.59376261746278	1.00129785364551	1.3400241192774	0.9773180832152	-0.842260703880531	-0.917612733037598	-0.774392760043404	-0.659148840799754	0.0843083919247015	-0.756884458254212	-0.89631175251141	-1.47538752070215	-1.31519860103157	-0.753681901305833	-1.13588556035924	-1.46527942248229	-1.244644225247	-1.36382745876023	-0.862916020733955	-1.09469319771322	-0.889344565242548	-1.36185379961471	0.903290621352813	-0.964497426578867	-0.859818577320122	-0.756836005394488	-0.943764382283384	-1.31541610506073	-0.780091787288049	-1.08312123126133	-0.87371474248928	-0.424941266546578	-0.932621284620355	-1.17150347170457	-0.666768955506121	-1.1926799572326	-1.1958411882765	-0.956741894805197	-0.954949020075618	-0.275657366295901	-1.40096868542332	-1.42855076299941	-1.28648658259898	-0.745426708898699	-0.985289287301023	-0.869836534556828	-1.0940761697336	-1.12557561185431	-0.302274624181269	-1.11299984942156	-0.554177926435813	-0.414366754390399	-1.2800131754803	-1.60920860612393	-1.16060119734365	-0.774468573454827	-1.24626291837376	-0.787164715223375	-0.945777796501833	-1.32363881189994	-0.958824025517268	-0.0404112106449079	-0.840979479235173	-1.09890343153832	-1.18708000927192	-0.962410963649406	-1.08943665426049	-1.20389913213576	-1.0137831206256	-1.33167244446409	-0.58170722222282	-1.02858651025885	-0.909108015268332	-0.887365187834055	-1.34879394201978
"SIRPG"	1.45812573274551	1.40360962409772	1.53269488456515	0.76915857992666	1.68222639088251	1.57579578547686	1.81853394126327	1.8209367380751	1.47803796224677	0.435534754778536	1.40592205166024	1.59851156234306	1.58934670804642	-0.621149617138704	1.71349574546202	1.35976100692103	1.51426172372122	1.59041765864853	1.24939215671512	1.67949602670256	1.77485194637371	1.50700868038983	1.76427047617503	0.368012786175246	0.37233138335772	1.11770621004817	1.46968509006463	1.74599844494845	1.05900517446211	0.187686270415287	1.50650203476519	1.50927553793019	1.43040264121841	0.716441251547384	1.8569037987149	1.48767288677798	1.3147742889492	1.26210767715377	1.79924330900059	1.17948758991602	1.62391979051034	1.41253956836443	1.52406771947345	0.633069225180331	0.758162146478889	1.14002041368254	1.35522729737971	1.49787020454227	1.69500371883263	1.07437288311784	1.7364703992887	1.55272780709615	1.75390640360908	-0.172986595287797	1.48669377132471	1.11628220852469	1.0478767852628	1.7833531212462	1.7860218840997	1.75375969631371	0.607714842561427	1.2663194945305	0.88421488969125	-0.665093370329956	-0.802819247720369	-0.940493748672073	-0.878472904466535	-0.766630575195739	-1.12667780308286	-1.01776206819351	-0.901568551714331	-1.13843288084294	-0.829797893758957	-0.997440200313	-1.12344298950042	-1.17102971017334	-1.11698114614633	-0.863503529826937	-0.816142814377806	-1.27344939622864	-0.988504823267513	1.0206974057891	-0.659843534927471	-1.18103459642712	-0.931532789629969	-1.07999630268554	-0.949321953682254	-1.0311985273627	-0.914491313499544	-0.954998541344816	-0.526247555788087	-1.03333451286522	-0.816661733750889	-0.914873731129926	-0.350336431053946	-0.980677760794369	-0.93322785659865	-1.05439321505388	-0.611807426869859	-0.696169644549788	-1.05403293224512	-1.22608188400764	-0.884490274293835	-0.77785899196619	-0.349532890009228	-0.799476293376128	-0.847507892401262	-0.707015302618008	-1.04195808550064	-0.41866255648006	-0.659914904706914	-1.12454326589814	-0.884262887183895	-0.900122450354615	-0.559368633755657	-0.730070348604917	-0.627671691504429	-1.20562223734163	-0.93522086711648	-1.11687423976962	-0.824104916307451	-0.827691542012842	-1.13538256606105	-0.608754029077159	-1.27052030295503	-0.986367649302118	-0.914879301835405	-1.01524388684036	-1.07780412669322	0.247678693862171	-0.955672518415436	-0.843195058275303	-0.910980293325301	-1.02355101771677
"GZMK"	0.940913317669959	1.37166138894992	0.949309243204743	1.42439548988131	1.86125895657175	1.74152956979688	1.45935081593396	1.71567857590871	1.37094113413275	1.4542939256299	1.11817276806078	0.947633335969699	0.644621399841913	1.41646811116571	1.33219797891025	1.4643249597028	1.31714646085854	1.34671499843415	1.32529786520093	2.02979298576136	1.9196050813175	1.25059623593748	1.4187503155686	1.4622353655448	-0.170143584459271	1.25758919795199	1.44050230487331	1.6685244250212	0.567512475322891	1.17984014601262	1.53985423664789	0.407201133131507	0.221955038322741	1.25146947722352	1.36938165571075	1.45983254342957	1.50844623382441	0.812239535624286	1.90462256094931	1.8472176088155	0.670106386068951	1.39619595220693	0.775775296302239	0.271666215571835	1.29475011558571	1.33601921582656	0.305311568711542	1.46274035480812	1.47985181445713	0.519486578628534	1.65045177491648	1.52056081237501	1.26372674809465	0.477997198044295	0.979403485312127	1.77907512074615	1.38074751804046	1.74657720165762	1.95245206912333	1.42118142577875	1.237909186314	1.38382054205969	1.32440226681259	-0.0749083951585321	0.141579532697652	-1.06479237440159	-1.05290226741427	-0.3363894756374	-1.09876517251895	-1.20303024457371	-1.37297703843064	-0.700542250179732	-1.12918851726745	-0.655629125332435	-1.74460423641776	-1.57471190223432	-1.71602442733494	-0.62789678399096	-1.03475551830983	-1.03704015903721	-0.750577713030809	1.4757773208487	-0.814862595494561	-1.33858665763136	-0.709902879341723	-0.70804036161856	-1.40042748610692	-0.397032187655622	-1.36553446768869	-1.19323052750106	-0.236994613147425	-1.13742732432865	-1.09520913280098	-0.67498482142443	-1.02966275994192	-1.25642680688369	-1.51132914828225	-1.18020196629815	-0.768126952503128	-0.424783858955037	-0.775410463350074	-1.30498620791381	-0.419654608328896	-1.19996466295154	-0.978741659582733	-0.814508096193824	-1.31976633223148	-0.686382268448023	-0.555953896564742	-1.00983496314129	-1.2257004301358	-1.56471261084138	-1.29191620365647	-0.989777518857453	-1.10813754772058	-1.10075445855507	-1.24233707887147	-1.39198085415457	-0.741252408048213	-1.29357616602879	-1.38251638625555	-0.211668028463732	-1.41654804266067	-1.45341879678073	0.0582185624180926	-0.835362400904458	-1.42121481735515	-1.57287548889214	-1.40175784056807	-0.831063889336858	-1.2059487372671	-1.19832608344612	0.00467567029198291	-1.3724234846161
"PYHIN1"	0.0245243927023352	1.55616268991959	0.418281835658933	0.158032235668723	1.47631409568753	1.77025978325558	2.05888002863723	1.7385296850459	0.739718228259321	0.560733658870105	1.31858229040025	-0.28372731595416	1.46315403978893	1.74056652424704	1.7894072646849	1.01706119468926	1.74927349073502	0.698154558562267	1.62078185515295	1.9883810591987	2.19235772344488	1.83885781529719	2.11061630875685	1.62439232943896	0.495262463326937	0.68482819576535	0.716865839401953	1.94118152776301	0.0896921044470585	0.141332851278193	1.6508471713063	1.60755996557225	0.721413460720884	0.628084186553426	1.91245282313005	1.35923379347381	1.50877030442326	1.00933267854048	2.03985232036917	1.74853956017948	1.45096635329524	1.4690921958483	0.0796841762475328	-0.107466485640648	0.199216533345709	1.511492256847	1.21601173218658	1.3498935053795	1.53397657190025	1.61499226884571	1.59638484158262	1.57828206056072	1.98771675219928	0.993925641551256	1.51892140439302	0.113138590912328	0.967298235891941	2.06175162329593	1.92791334537286	1.65900496012406	1.39586702994553	1.9018037601449	0.689711728407922	-0.73905001661148	-0.612603193244179	-0.429162820738549	-0.517242137403518	-0.594327115820003	-0.970776343959749	-1.15138376262847	-0.57696156545826	-0.711065380585204	-1.25426118047142	-0.940932313311844	-0.645165496656512	0.661702258572739	-0.747794304374486	-0.250576873018501	-0.82387863796795	-1.46013007655401	-1.16977807422769	1.46448805366687	-0.42891227104809	-0.676989029866236	-1.23928216680987	-0.718615875125436	-0.679797118353774	-0.23678887329309	-1.09651194530003	-0.647734154142479	-0.52629263728195	-0.564847546272365	-0.998597177923446	-0.67944767627721	-0.542807879169363	-0.162977340069738	-0.988198721190943	-0.406703263048233	-0.642460397766047	-1.22276115996094	-0.380202194179774	-0.378841183989334	-0.680777950341566	-1.28811997271766	-0.60266845426476	-0.585802403086193	-0.354849147234804	-0.600762617337308	-0.550179536777938	-0.983210552329044	-1.27242481815846	-0.591242947897088	-0.759178216932943	-0.157246359576776	-1.36745897248513	-0.681927055420065	-0.987012986866485	-1.04687235508936	-0.470261100063616	-1.09538032577458	-0.455245680434984	-0.683701488438134	-0.90179233901756	-0.685494710128742	-0.723863934886125	-0.582189491955859	-0.820838005411378	-0.806246389561829	-0.426326438549726	-0.780515738233446	-0.727425073943836	-1.21918978732964	-0.980077950855982	-0.89511401251788
"IL2RG"	1.63361007770348	1.4177447255678	1.43963146112652	2.17598470904398	0.366856974885444	2.7617864000659	1.45999910586361	2.00436317881329	0.767742636357274	1.66927343016047	1.4819406024069	0.613075845953757	1.6654458929467	0.18925784930057	1.70981682132515	-0.221388127209293	1.88181357199264	1.42411711650329	0.484289475925238	1.75143733894974	1.88298216825956	0.447487092891315	1.32501208138611	1.62073211382924	0.270120630287926	0.0803037305985766	2.37711131601856	1.63234040137183	-0.325221084022418	0.116363786636267	1.20737148659044	1.66014014167973	0.0225220133443045	2.17299660347307	1.60494434022434	1.5918429871362	0.754447228199228	-0.129370084233484	1.5484503683925	1.91617598571014	1.52605615939402	0.455034350556046	1.62863217280963	-0.0375528352214478	0.972640876725265	0.387068286289631	-0.0230349451533782	0.363146773951234	1.58475038976594	1.65591952794648	1.40063860978287	1.63748187491212	1.51478977499352	-0.338764321851706	2.87636106863263	1.8798868428979	1.91130919282967	1.26052921541628	1.4805444142447	1.6987963542718	1.67701956460339	1.48216443902923	0.0450118396814847	-0.874913421846475	-0.604319461607581	-0.554125314840382	-0.501971944676979	-1.31299329197168	-0.399523168955769	0.832037899762762	-0.308441850923126	-0.320455224172201	-0.504048383477002	-0.992606817710637	-0.208713234465478	0.0293246827032644	-0.16604502019064	-1.28820607338868	-0.0385214172048123	-1.19966443945344	-1.05708902636015	0.225452885373797	-1.00901503308314	-0.624377125747384	-0.614429857313198	-0.60751730346764	1.77297908650882	-1.21900651777468	-0.12469208669065	-0.545127020363873	-0.541715196339331	-0.188925728727117	-0.486427733277739	-0.0456714552183736	0.34579508637476	-0.502013902799288	-0.508059783272566	-0.319333124151018	-1.24004232586394	-0.460014882649944	-1.23237132575622	-0.336029621696128	-0.829986977299185	-0.0203290010861925	-0.791625904008387	-0.213344674409037	-0.796584754840305	-0.676617915039241	-0.426017510541235	-0.932599976758452	-0.461555036368874	-0.580333039271102	-0.476093343886812	-1.25933657810321	-0.37590784602295	-0.624377125747384	-0.574890929245667	-0.24791648360083	-0.616211642448534	-0.516743870475802	-0.624377125747384	-0.606762464108281	-0.151742358144197	-0.954178926962799	-0.916198463588318	-0.624377125747384	-0.310993404956958	-0.00703877412672853	0.0364772027687325	-0.901138817748538	-0.398422985548767	-0.578771805369663	-0.755897572751371	-0.45639746427747
"EOMES"	1.47149813004955	1.47772888328003	0.635807663215125	1.31011022041905	1.75085313396853	1.77811104867139	1.54880919822822	1.82599914574181	1.46684595346458	0.0857952759638545	0.186742652857134	0.875983797243365	0.302048584568502	0.985125124753168	1.41224650288375	1.42091590695726	1.11173541584077	1.47133840070156	1.49917781783523	1.719664835944	1.53718347685571	1.20202530995484	1.61417171356714	1.43373690894812	0.584579929270917	0.403118035701851	1.23802449233742	1.65404740816113	0.900059209437119	0.537625099705559	1.63370214657202	1.39925890968593	0.451349329851362	1.49974392179432	1.94024801161665	1.54894529544183	1.53313755998733	0.320481594320034	1.89427959367585	1.46738475562961	0.763179669772496	1.55065514997495	0.509119694299149	0.172816446056881	0.574218970945284	1.44532378222167	1.08029249694894	1.44478134012392	0.910942704922336	0.136964829175756	1.50083343163251	1.88775936741698	1.95472033437239	-0.0755486666212829	-0.447047531467091	1.65177567437145	0.977768991298366	1.73037483973685	1.75169950900868	1.4339618622312	1.4529292151825	0.890915896224121	1.33917878442379	-0.639620660367954	-0.908080859151215	-0.850612479206365	-0.891051365700843	-1.0195550033492	-0.763921204050622	-0.939613238409205	-0.919553660529922	-0.782468153766901	-0.965914694660193	-1.08974535611981	-1.00442469210841	0.746861566342922	-0.995895262367807	-0.941503635262833	-0.807283642632241	-0.81935268497988	-1.07178449305567	1.71022151171798	-0.0213441393143001	-0.917917770613015	-0.690304907244595	-0.255132952153982	-0.886061012049004	-0.944848929717559	-0.653114161266282	0.45807738410483	-0.749106634392655	-1.01570424840205	-0.852718614315656	-0.932485822270639	-0.868082160105339	-0.703471740531874	-1.01691340501048	-0.843208601440848	-0.159073484488005	0.236018228258767	-1.04023876639492	-0.871277962514657	-0.896915993576834	-1.05242373553006	-1.01810200928774	-0.938743316512033	-0.945367647794825	-0.882718764107485	-0.591176755364382	-1.00559493264085	-0.20218559763849	-0.809433949995289	-0.0665852761759293	-0.850481507690118	-0.810776817254661	-0.683283064926949	-0.725529608987435	-0.538419358584229	0.664793343288684	-0.679992120036765	-0.954506591246495	0.910527225249118	-0.975487122176678	-0.90675649737013	0.105114858929861	-0.92898724912169	-0.826921615965969	-1.13233357832413	-1.10457274233537	-0.871867837496139	-0.938831895714381	-0.865585571087053	-0.851683347694794	-1.03335716133139
"SH2D1A"	1.43436189741139	0.989028888569668	0.694227102518799	1.56870189343022	1.28299465456616	1.73623511701608	1.93030681048778	1.90186197231148	0.265384491371051	-0.0692844079003946	0.0253472863969876	0.068597574694606	-0.0665517421244293	1.422835805682	1.50645860657285	1.73213871856242	0.985890391461691	1.85430974940227	1.51784851358513	2.05273420817364	1.99442340283858	1.06334857783317	1.67520890033839	1.28035877034711	0.0635638780137333	0.791678801579671	0.205683423409552	1.61911728884686	0.0399966883422089	1.38407034350527	1.66153720847784	1.65113993223481	0.258917771698674	0.696191294739327	1.76039971497395	1.47474748060008	1.44073123542785	0.0339641525879894	2.02109850845688	1.40390019452806	1.4427098159132	0.858414949792375	1.3740983151787	0.2680736426817	0.345202399208841	1.48231575133904	0.828990574996261	1.39915897600475	1.38659236369506	0.188089277654952	1.57129709132036	1.75433425818543	1.60851175062058	0.681773452903502	0.403173139999731	1.74472193859033	2.0145020562041	1.87075679316934	1.80008920550159	1.40451170202635	1.31570586454957	1.56434597087185	0.302695662431092	-0.496676171227578	-0.344715575766286	-1.10626661257449	-1.18057259765863	-0.13783010712457	-1.04533868499148	-1.00512710711197	-1.43267551358305	-0.753384658864096	-1.10797272895432	-0.364579358209791	-1.89058934870125	-1.87266157336402	-1.63023506675383	-0.369360790163425	-1.04925862048994	-1.42471030456416	-1.17913710025718	1.40772694384818	-0.505457845478112	-0.961934826982553	-1.35100752710152	-0.976132111397093	-1.64768074987422	0.0733244390538585	-1.58184430010728	-0.45911282580803	-0.244243853212874	-1.21085598137431	-1.19429103806755	-0.950735240154174	-1.50054184679836	-0.253429348586836	-1.53425178970592	-1.23798667955595	-0.370796417013144	-0.825802092889503	-0.525309877230505	-1.40030744374554	-0.571228195544644	-1.56804994214086	-1.28553263647444	-1.2548345919471	-1.04667588479273	-0.847403595201634	-0.502763249976577	-0.578282766736808	-1.2481382470153	-1.94646016063217	-1.2213857218218	-0.348553397724923	0.0369279159590995	-1.23157027248188	-0.921972963346788	-0.480424756683219	-0.998345717416558	-1.03799834796711	-0.559179268848327	-0.441939924253568	-1.44107252707907	-1.16084343055376	-0.398435886909973	-1.36151536674438	-2.06771471968148	-1.53420193260735	-1.91617772807245	-0.202740246075648	-1.1016766153488	-1.27147982419507	-0.629150869321038	-1.22765745912959
"CXCR3"	0.184113155357567	0.924801073055351	1.41700119611725	0.56173058743768	1.55292265062539	1.31515472382891	2.10343464281953	1.82627742217138	1.43039993326372	-0.606287440438984	1.43075933105518	1.76234609160456	1.68844529566239	-0.153270639992772	1.44267469225765	0.834300017583872	1.42753556303039	1.38043768886568	1.54088772069495	1.95396095060328	1.851434821572	1.72939216731616	1.7903568630763	1.10611284900518	1.70986316166035	0.642448605524208	0.704915391164734	1.84641666442519	1.64544822567879	0.485138215292316	1.41915899399994	-0.682737148037108	0.199917599460435	1.66127092779129	2.00537660824186	1.61410153776071	1.62413675733433	-1.42887678768654	1.74310654099823	0.674887732389902	1.70486848111759	1.62183342714568	1.1744986116435	1.4185408945519	1.15183496729876	-0.59717104847898	1.38221434186524	1.18208980379175	1.14797872732093	-0.475780379428116	1.89066941522801	1.8443782771033	1.65455536675457	-0.492905692981297	1.28620932338099	1.24792012515644	0.734016516704316	1.72293613074764	2.06809686943269	1.39220973511964	1.26043952113637	0.423238354927166	1.3442105144109	-1.36016063419981	0.0989228753632041	-1.15883819086051	-0.863326916783993	0.312007386011015	-0.129334754425291	0.0800033071254949	0.150943339142011	-0.194768611205037	0.172834343237245	-0.00845133813318258	-0.219472675503768	0.0640236642212783	0.144254857756036	0.250630665930805	0.321345817421275	-0.147470229941819	-0.0335333252744707	0.455774695478029	-0.23711376313501	-1.18114367515592	0.117826049002939	0.0355756428793475	-0.315908020878156	0.255720299052059	0.188375571807511	-0.0653186067098453	0.291052597731056	-0.309206418053253	-0.716901902304784	0.384488980234917	-0.0824660692802382	-0.139039150366008	0.272040024671267	-0.35842437352999	0.00929389939015728	-0.141766626472935	0.22075476894018	0.195046545883549	0.228802213984829	-0.448763565397484	-0.982631368883978	-1.07509493212925	0.199464736946295	-1.3501459820409	-1.49160846368751	-1.50324587573835	-0.282120780019337	0.0482913100398362	-0.145348465057613	0.0946483582539793	-0.140122306585713	-0.0189603348893156	-0.314935572942684	-0.309773929303206	0.0946820719501574	-0.142375343532085	-0.572678476770182	-1.19207330227292	0.179958664332825	-0.512790531208868	-0.820718853406831	-0.288053532402969	-0.0427287401993191	0.0351455223002509	0.380869049610529	0.166963625687602	0.262571332366343	-0.482273397933508	-0.0167318782436991	-0.066190199795846
