"MS2010072001"	"MS2010072003"	"MS2010072004"	"MS2010072017"	"MS2010072019"	"MS2010072023"	"MS2010072024"	"MS2010072026"	"MS2010072030"	"MS2010072033"	"MS2010072034"	"MS2010072036"	"MS2010072037"	"MS2010072038"	"MS2010072040"	"MS2010072042"	"MS2010072804"	"MS2010072805"	"MS2010072806"	"MS2010072811"	"MS2010072813"	"MS2010072816"	"MS2010072817"	"MS2010072821"	"MS2010072824"	"MS2010072827"	"MS2010072828"	"MS2010072829"	"MS2010072831"	"MS2010072834"	"MS2010072835"	"MS2010072837"	"MS2010072838"	"MS2010072902"	"MS2010072904"	"MS2010072907"	"MS2010072908"	"MS2010072912"	"MS2010072913"	"MS2010072916"	"MS2010072917"	"MS2010072921"	"MS2010072922"	"MS2010072925"	"MS2010072930"	"MS2010072932"	"MS2010072937"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B02_830752"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C01_830810"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C06_830812"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"
"LE1"	0.0495705190040669	0.081698831615508	0.0872461142709879	0.075495358009982	0.0394401742806173	0.211162248044852	0.052817336596238	0.0742263618102551	0.0609257581991386	0.0659545195577875	0.0264331380495251	0.140020033900481	0.119032500571066	0.0382340521707046	0.0966517342318852	0.0497128659382197	0.116806717512854	0.122896202265151	0.0855808737762148	0.203021392483633	0.0394276207670305	0.0676859147912838	0.453292138997684	0.231328255487084	0.0636312278108619	0.149928984965815	0.0727888422938893	0.158794900306841	0.120069107222989	0.163141324084265	0.0918622818130187	0.0754432225071886	0.269484462452915	0.100213624336909	0.121131124018155	0.167775800253033	0.0920798467706622	0.120246957771662	0.288424785138196	0.290736099154167	0.118991882222895	0.0379289008054432	0.07923272587136	0.107353166114869	0.107873332432542	0.100005007874118	0.0715445369363155	0.045539452146719	0.0855751182706331	0.0416238991368204	0.0646054720182551	0.450620407950406	0.158276262973744	0.328632312038315	0.168293113452838	0.0877908635272795	0.137381914729383	0.137051571649023	0.477861945010047	0.16349920543928	0.0650289041536485	0.0726171354190117	0.0561849384370868	0.110474654446679	0.155020840862476	0.173212435127695	0.0647906243245369	0.145834284821248	0.130696681937249	0.0706739979960639	0.143173718390931	0.130947421334771	0.0401430160318478	0.314408141100357	0.131728588993171
"LE2"	0.0100630665946976	0.128411832161667	0.094579915756051	0.0274777231743022	0.00294332768409983	0.0861959840451142	0.153354961781633	0.0326507862608442	0.0909106354241769	0.225112689270033	0.0685829950200609	0.139360646234448	0.069325080477667	0.179474137177306	0.099473692622667	0.0879315869608195	0.0364694725811103	0.0166328314595278	0.0173479288347436	0.00269898943499969	0.0580493453573329	0.145917102100711	0.0485660751074037	0.062271724193513	0.0614624212822093	0.24214661335553	0.116473325039467	0.054856351203695	0.155588389769593	0.0685547989002712	0.0908289199097568	0.0144471923962473	0.00148556466038571	1.31388752734518e-14	0.0489028572014386	0.354849125369971	0.295370708563908	0.244575680891997	0.125030442028426	0.189192650035479	0.0813014620362022	0.0255637387116977	0.135152328386592	0.124969017882842	0.0709112862522137	0.0448224693124091	0.241804783615956	0.0456377701751204	0.0293851403925623	0.00512499032733784	0.0388934734718098	0.109736117365592	0.0298508473397185	0.0164099464252181	0.00893398440816436	5.3926207232141e-13	0.0135355691953703	0.0145600732016553	0.00201971824388779	0.00570284739906336	0.050180396513977	0.164028215713751	0.0888696579197758	0.0452340029002232	0.0526720612400479	0.0393639320436128	0.177248780680233	0.150371848413422	0.141953066623392	0.0536538587887838	0.254235712097415	0.175061869831067	0.0231351625155045	0.0388678915307104	0.0939765281696438
"LE3"	0.0527889368966143	0.0315803750624104	0.0701904833591112	0.262202983500108	0.246744969537062	0.0786221552239936	0.0280404258276392	0.0415727198783996	0.190152105841942	0.295547685108366	0.0605096855785755	0.0584907539932625	0.138343418166913	0.0613512602589635	0.112463009306655	0.164319927428998	0.332558004144101	0.174436128864323	0.361019420594822	0.0823816479452857	0.186114454954452	0.429535769584285	0.114320797967586	0.0537113878328566	0.20116637068859	0.210248956588489	0.0780078547727199	0.259121295024465	0.0653793009606333	0.131519447132513	0.0791003443482686	0.03771961954719	0.0640318645107731	0.0227303669683113	0.118779656929433	0.17006128871655	0.181798030518624	0.139152537308431	0.0517881177326692	0.0838033417626437	0.0391816939304982	0.063427411757761	0.251666515068262	0.02995041978345	0.0441766274550797	0.0843131480670111	0.164854601352204	0.0867631132110615	0.129027727552917	0.0483513886149706	0.0818428586116589	0.144211019202592	0.0688725303325465	0.211130344896776	0.0416044427342075	0.0426956671037312	0.249984875262331	0.0120487244501451	0.0999695121400608	0.0652140992875937	0.101249240918282	0.0506403011336225	0.112635810131375	0.047791408811066	0.125995299693319	0.140189504369924	0.0496899060184324	0.225620378887039	0.0594369022072446	0.102176718446103	0.129248305820947	0.138936338523467	0.0440269165464918	0.095969745587924	0.0390043301808727
"LE4"	0.301619776295165	0.0349458959142043	0.0838289265724602	4.4581621602049e-15	0.00980901241234367	0.20112340802178	0.0267385558709842	0.155205760698707	0.00230750896708241	0.00418437508946404	0.369740755844237	0.0536851209062364	0.0103675462446471	0.092229177674448	0.00082004037126301	0.190325291204487	0.0482268701765683	0.18094175450239	0.00154557106215165	0.0030455391842262	0.104409438725193	0.0180627142125133	0.128570651665041	0.230066097007457	0.286370405325938	0.0408112846666141	0.179621039754449	0.00132582954504054	0.0738668638876791	0.000220308542136741	0.0315790465465008	0.0285299779360854	0.197134708205451	0.0325353444545102	0.347310366480434	0.012469931889293	7.02361530069775e-10	0.0040237891474862	0.0457828634003421	0.076008281563525	0.0698755359795452	0.372780308928009	0.0251646511215534	0.0861775206354287	0.0551740130793264	0.0372934330937559	1.24007419028973e-09	0.382039172198585	0.0645188975663358	0.427639336244948	0.325423167457494	0.00598176829132555	0.0038633996967337	0.233065229463564	0.0490244184984226	0.236983920452424	0.00307809016052428	0.0664400732892106	0.0476370718108417	0.0019972180339739	0.0300047949423171	0.0334587312526044	0.124697621912314	0.10064668133896	0.140846752194377	6.09071714774953e-15	0.0887740463127527	0.0353039051427282	0.00738185466551123	0.0985553120591538	0.0323139103239986	0.00643076039458309	0.226800551589087	0.0147138746692616	0.0545398316339054
"LE5"	0.175062022729263	0.196921347116279	0.142718313618166	0.122664688791425	0.137689497488893	0.104763802627724	0.0979036998742457	0.111750602454988	0.0814118071547369	0.115052402032294	0.106186691576057	0.206619382335527	0.121135716734544	0.058970405432784	0.0899311941232324	0.12781972067065	0.0782969652623851	0.126992051317238	0.101092961056791	0.192870303085153	0.144367583869431	0.0962657029769169	0.0999899772624614	0.0872105267673106	0.073371214876314	0.161135479835634	0.107619020816018	0.0796321729875328	0.206143664009929	0.0985443765908733	0.14507368055862	0.114762147960408	0.179583667783515	0.224385627346079	0.0748226175081262	0.0695066926090324	0.118776863099903	0.0639950396577768	0.190702855155751	0.149629795214595	0.294920320708249	0.0931723184824487	0.0762763242859697	0.154447490828845	0.139478186913496	0.151892395960741	0.0696320303661254	0.0317215220906793	0.108556130079545	0.064539651114269	0.0261520754644075	0.123997750520502	0.098351524142687	0.0387021071629498	0.189494319822464	0.092404761570791	0.0792352101553711	0.195057673971671	0.088151186299224	0.137255546835046	0.036692029187281	0.0376050328239634	0.0421119312305653	0.0757741081314985	0.132968099919479	0.072000798847012	0.036981356454496	0.0480269158696833	0.0669964751555059	0.108888407831445	0.0389170125366868	0.0386683951335257	0.0700678202677225	0.125499264665418	0.0663913318130027
"LE6"	0.0939496600463503	0.0952324118839688	0.132939339887103	0.215849421215535	0.155547221901623	0.109333881698109	0.123475806402353	0.103375794862463	0.0728735193052519	0.152726648296368	0.0581454881430573	0.126559362576619	0.142805766694791	0.114300836124515	0.147247486739082	0.158408887242349	0.120905415843003	0.129990894643617	0.123104968223722	0.202095533896441	0.11988152502876	0.0854708757076608	0.0533476483360923	0.101909242248159	0.0839102708960877	0.0925332367798439	0.110063047452789	0.158745885022179	0.157276095455677	0.155584133642866	0.20085404397887	0.177257804621198	0.081711326566496	0.141821446819112	0.12172240730116	0.092681396458898	0.0949926858014429	0.111410784146785	0.134254245741336	0.0572678072857479	0.0675982575660039	0.0892442297363596	0.0958883902394325	0.195756509560439	0.295547047990719	0.158506732784733	0.121248228502953	0.0476977669550953	0.173083430371963	0.0742003761883475	0.10017706096983	0.0787670410834291	0.141579249559965	0.049408923440951	0.175667149732844	0.101169466227031	0.120805541000003	0.21557699606158	0.0514627801514426	0.145044138974857	0.0934715247015489	0.177671831937291	0.0799646123051108	0.120205282444621	0.0711704402577714	0.204800660577478	0.104087789987816	0.137053678320839	0.114464632483668	0.112793684129075	0.0986791774725746	0.0850395470903684	0.0757938675334525	0.194146554646677	0.171835347308848
"LE7"	0.256487243013526	0.0964230859979036	0.221260150292025	0.00237016437604582	0.0433750208234814	0.121500097222388	0.0905879332776776	0.208344919869957	0.0767686455411153	0.0298124025941221	0.253628016549772	0.0951000102779756	0.0721103845281869	0.173363975226304	0.0458705168374131	0.124508961690007	0.0405264772517383	0.177020147937653	0.0284671114669073	0.0134516230412785	0.211456285320539	0.0750642742660568	0.0714503882674879	0.175005090491017	0.122050447947023	0.0635918943759093	0.182626241471548	0.00519618223180406	0.0948107535869901	0.04786503239398	0.134531562357818	0.202688597727537	0.122828008594277	0.207698637352284	0.134743770617826	0.030510602507783	0.0349882684310243	0.0422718653311162	0.106932966810765	0.0472128139532808	0.183987709814749	0.261079369718931	0.0444036775340516	0.0945982333592884	0.0605432344824617	0.144501836139409	0.0529702963857841	0.282049096246295	0.220290780893623	0.294808595159181	0.259885284924041	0.0613518742393853	0.0502723500292312	0.106328810897582	0.223327961215433	0.291847030150219	0.0421756690944206	0.146537434165207	0.100006026180276	0.0995018562058697	0.182947422151519	0.138266946830465	0.197198105611296	0.245395592800698	0.244222720100568	0.0402314104987553	0.200192921637012	0.131562573829614	0.142177305169184	0.216424680548186	0.0786065241259426	0.113066036217524	0.338661074877738	0.0618205270198331	0.130359804965784
"LE8"	0.0135987374806746	0.202213797817036	0.0247883866217223	0.245245654489653	0.322194314527201	0.0247888669821605	0.207942836574286	0.104937534377479	0.27790174970097	0.0774670497827218	0.00808343946314521	0.108160646676516	0.237928045924568	0.0548810749073774	0.309530875758979	0.0293601368289209	0.200984191533288	0.027894665041764	0.258199928592132	0.268503101146342	0.0164287306690141	0.050754944548342	0.0223830624388753	0.0128052538897792	0.0652677753416325	0.0252969836494262	0.0448802050389373	0.213388346971733	0.0087493262180151	0.211451947097741	0.0975542129573335	0.0790551560101064	0.0748013083574792	0.130496660158871	0.0220075292732392	0.0534640513434783	0.10626473625005	0.207457819621979	0.0309644385581197	0.0473289773292757	0.104285290515524	0.0132197977414023	0.249496019254281	0.100900007861907	0.0858893517046537	0.0838408364427404	0.159992809260935	0.00645266445184278	0.0885724779152736	0.00308972629002059	0.00586332018313867	0.0066720299416272	0.361734619616404	0.00448323512214833	0.0216287208937445	0.0187803543188114	0.304738629107435	0.0857979794110907	0.082989282590532	0.273529389953819	0.202871274048925	0.0700484160455024	0.113793094202747	0.0324342504680645	0.039091116690152	0.246787056654098	0.00769697267061767	0.0156718173444998	0.106944654872311	0.0745742274286208	0.0615504290047933	0.142038544618371	0.00757455720440521	0.0758375645008742	0.119213795437748
"LE9"	0.0468600379396421	0.132572422431022	0.142448369622374	0.0486940064429448	0.0422564613446781	0.0625095561338792	0.219138443794943	0.167935519786906	0.146748269865587	0.0341422282688433	0.0486897897755705	0.0720040430989355	0.0889515406576174	0.227195081027598	0.0980114500088232	0.0676126220355494	0.0252258856949524	0.0431953239683366	0.0236412363925158	0.0319318697826405	0.119865015308247	0.0312427018122303	0.00807925995736894	0.0456924220828226	0.0427698658313444	0.0143065657827384	0.107920423360183	0.0689390367067088	0.118116498888494	0.123118631615353	0.128615907529813	0.270096281294039	0.00893908886870749	0.14011829256391	0.0105796706701883	0.048681110851962	0.0757288598620242	0.0668655261227663	0.0261192854343962	0.0588202337012855	0.0398578472263337	0.0435839241179474	0.0427193682384978	0.105847633972931	0.140406919689508	0.194824140325083	0.117952712339652	0.0720994425246016	0.100990296957148	0.0406220369241053	0.0971572868993648	0.0186619914051416	0.0871992163089698	0.0118390905524956	0.122025889241882	0.128327936649174	0.0490645012951625	0.126929473800417	0.0499024775736881	0.108255697870496	0.237554413382501	0.255663388843789	0.184544228249729	0.22204401865819	0.0380126690418096	0.0834142018814185	0.270537601914103	0.110554597370926	0.229948426885935	0.162259112772569	0.163275210226711	0.169811086856321	0.173797033433751	0.0787364362789442	0.192950441497025
