"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"
"MS4A1"	"MS4A1"	2.29203401723685	-0.0884996314295538	-0.160632012935967	-0.171722756241339	-0.886978832178815	-0.535538267203846	-0.124182938426182	0.281593043251732	-0.186509959232293	"IS01"	2.29203401723685
"FCER2"	"FCER2"	2.11693436081811	-0.28642855994197	-0.0890546235206012	0.314872823298699	-0.820033031348175	-0.418013276704323	-0.155798424857057	0.0690603927164009	-0.180152883786112	"IS01"	2.11693436081811
"FCRL1"	"FCRL1"	2.07504569526036	0.0774668403879137	0.0444911242638205	0.0883501490399109	-0.823346641254707	-0.64057963010024	-0.181531188131904	0.178292289940714	-0.0908110789966845	"IS01"	2.07504569526036
"CD19"	"CD19"	2.03332318256148	-0.0313588637660648	0.0755726249482285	-0.350274672263233	-0.930251081932915	-0.480381315421636	0.106759924357955	0.401724308477597	0.126587267891753	"IS01"	2.03332318256148
"TCL1A"	"TCL1A"	2.0250014797718	-0.153569740914055	-0.0405276411892868	-0.102469071530729	-0.778498178335714	-0.434587848280035	-0.112876645851496	0.183075312601857	0.0360897809572105	"IS01"	2.0250014797718
"FCRLA"	"FCRLA"	1.99148386087043	-0.155152003207227	-0.120209612457232	-0.191274671037898	-0.923817205796478	-0.324387892485799	-0.0846473205671291	0.36246799054961	-0.139026734357551	"IS01"	1.99148386087043
"VPREB3"	"VPREB3"	1.93773676107686	-0.166509083936001	-0.0817001156894999	-0.374916956487333	-0.651832361293795	-0.38430037817492	0.0821762665725616	0.167952240705818	-0.0119397097409958	"IS01"	1.93773676107686
"CR2"	"CR2"	1.93227422858083	0.0212962414675742	-0.0653228921528078	-0.168564634069345	-0.519312397706822	-0.535433538576226	-0.155755717075456	-0.0688571355542077	0.188373219576416	"IS01"	1.93227422858083
"BLK"	"BLK"	1.91688850878799	0.146117807526062	-0.0914685562162583	-0.0844912935154151	-0.839907753664288	-0.586047106280221	-0.169424858317286	0.318983643666386	-0.0946667572918322	"IS01"	1.91688850878799
"CD79A"	"CD79A"	1.89368420091871	-0.125031543571076	-0.0886345783868021	-0.219317926566133	-1.04042826466407	-0.306596954601119	-0.00015950081737044	0.532497536193533	-0.108899720404374	"IS01"	1.89368420091871
"PAX5"	"PAX5"	1.88454393698536	-0.103796920831025	-0.096068143956901	-0.285781979155487	-0.70829954278099	-0.440154774693843	-0.0404564288556727	0.177720920220482	0.571786046622032	"IS01"	1.88454393698536
