"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"PRPH"	"PRPH"	-0.338375816616048
"RP11.330H6.5"	"RP11.330H6.5"	0.0488507277014903
"ARHGAP30"	"ARHGAP30"	1.53828759495115
"CH507.9B2.2"	"CH507.9B2.2"	-0.593760836561898
"LINGO3"	"LINGO3"	-0.108507284927094
"MEF2B"	"MEF2B"	-0.643299655621125
"TLR9"	"TLR9"	-1.17179761367282
"GAPT"	"GAPT"	1.00796533550077
"RGL4"	"RGL4"	-0.340493135625271
"VIP"	"VIP"	-0.138802319698822
"CCR6"	"CCR6"	-0.967049404442402
"NCR3"	"NCR3"	-0.180789777725415
"CD28"	"CD28"	-1.41583497029106
"H3F3C"	"H3F3C"	-0.698101348498958
"PDE2A"	"PDE2A"	0.29522175745828
"SPIC"	"SPIC"	-0.535684112728604
"FAM133B"	"FAM133B"	-0.175559488119658
"TNFSF8"	"TNFSF8"	0.931410577393572
"STAP1"	"STAP1"	-0.0946254562537362
"BHLHE22"	"BHLHE22"	0.348572960537627
"OR52N4"	"OR52N4"	0.817100444422264
"FAM78A"	"FAM78A"	0.230500275922413
"SCML4"	"SCML4"	0.299379256081539
"BORCS7.ASMT"	"BORCS7.ASMT"	-0.151989679849773
"INS"	"INS"	-0.054256797714951
"CD22"	"CD22"	0.327727206089147
"DNAJC5B"	"DNAJC5B"	-0.824790874532696
"ANKRD34A"	"ANKRD34A"	1.74132653605147
"NMS"	"NMS"	-0.0671839200206141
"KDM8"	"KDM8"	0.46830734950346
"PYHIN1"	"PYHIN1"	-2.46672433401515
"KLHL6"	"KLHL6"	1.89273182457291
"CTD.2545M3.6"	"CTD.2545M3.6"	-0.479656596712835
"PPP1R12B"	"PPP1R12B"	0.914736054143043
"PIK3R6"	"PIK3R6"	0.187634131584524
"RPS16"	"RPS16"	-0.028136341390943
"PYROXD1"	"PYROXD1"	0.208977948335082
"FGF23"	"FGF23"	-0.154209788459135
"ARHGAP15"	"ARHGAP15"	-1.13516016568573
"TCL1B"	"TCL1B"	-0.14035810268026
"PEX1"	"PEX1"	0.71660016235223
"FCRL4"	"FCRL4"	-0.13199553802869
"OR2T2"	"OR2T2"	0
"CTLA4"	"CTLA4"	0.159453022281728
"MRGPRD"	"MRGPRD"	-0.532658015755141
"OR5H15"	"OR5H15"	-0.0483933918495827
"FCRL3"	"FCRL3"	-0.0710403174070405
"CMTM2"	"CMTM2"	-0.120794459056601
"CD2"	"CD2"	-0.427520608710614
"TP53I13"	"TP53I13"	-0.337016894001153
"HLA.DOB"	"HLA.DOB"	-0.567527749944754
"EOMES"	"EOMES"	-0.540193834140525
"SIT1"	"SIT1"	-0.0153804440408877
"OR8J3"	"OR8J3"	0
