"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"
"GNG8__pos"	22.2311369569834	9.00014556688689	13.3480661652474	16.2678689943382	3.28975050272709	20.9848431489708	31.7120103485599	52.2767461089931	25.2539997403009
"DTHD1__pos"	67.6303209655414	19.2426392320311	2.22044604925031e-16	39.8011899333934	0.998725617985673	2.22044604925031e-16	2.22044604925031e-16	28.7849675440127	2.22044604925031e-16
"IL17REL__pos"	0.000929997079124929	47.6353726439749	2.22044604925031e-16	1.97995984545917	4.61085590622194	1.1667313413414e-06	2.22044604925031e-16	42.2641382102985	70.6457621661447
"CER1__pos"	2.22044604925031e-16	2.22044604925031e-16	4.11523557975688e-05	23.0256184778822	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	220.749381055931
"LPAR4__pos"	5.02577639626957	28.0515074319102	13.9634862349876	40.2592120654146	8.91829202348851	12.9356146352203	92.7651098438284	28.9305248690119	6.44456842132688
"GPR15__pos"	55.6547836461762	7.8754865055363	2.09019580217524	28.3205005504039	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	68.131032236756	2.22044604925031e-16
"HMHB1__pos"	27.1925494930692	14.2278187958761	26.8917725249821	22.3667792452672	12.6341989309411	29.5616667530718	23.5273931915818	55.0042619887559	8.57051475204874
"CD5L__pos"	21.1532518845983	28.4308805570833	20.5846538667087	66.4975652500713	8.34668876706332	6.11208677869275	16.8728830679745	41.255975825119	12.123406570614
"IGLL1__pos"	44.0669411628206	28.2550804445146	7.57379679219827	2.99738155596628	4.62491355706726	9.91413945019966	34.1689285062269	61.0184804612145	15.1299050937411
"SERPINA9__pos"	94.6493089600506	6.77727318135765	6.59222227619215	13.9452292286994	5.79433011356859	27.2000078911243	3.38819123148622e-05	2.22044604925031e-16	2.22044604925031e-16
"NSMCE4A__pos"	7.91678665122462	74.3342545256881	9.97351555407645	8.96623877730439	19.6815686873833	20.7781484498362	18.9809655421157	13.7392330231663	8.59206402034479
"TNR__pos"	25.0410954167777	57.6381984890633	11.2026544445991	51.5542958039431	7.23969612340659	2.22044604925031e-16	0.687966603627091	2.95236582125071	52.7217056900525
"CLEC4G__pos"	16.3850559327155	2.33901169974446	14.2645644132586	90.9375373985351	2.25931296007975	17.7732947203133	22.1490350591517	31.487813269661	0.0120422528730283
"SSTR3__pos"	45.3067341206499	2.22044604925031e-16	9.77018128809122	12.4697781161629	2.22044604925031e-16	2.22044604925031e-16	14.4272890325137	73.5236326923255	48.9643595338403
"FCAMR__pos"	124.164444261406	5.63534842349488	7.49389011106669	2.22044604925031e-16	7.09800880402811	6.43996727851875	3.35029948733372	2.22044604925031e-16	2.22044604925031e-16
"CR1__pos"	59.816060242816	6.29878896332723	2.9407590072004	58.0404238345861	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	51.775274134266	8.95889283811824
"CLEC4M__pos"	19.9280887972484	56.0665969874668	15.1795773828244	76.2527041654251	7.56345812528505	4.70505968026159	4.79715969590481	10.1825310822908	0.0112719116287866
"LYL1__pos"	83.8706839622607	2.22044604925031e-16	0.0269538366601079	50.7830284446987	2.22044604925031e-16	2.59963625087578e-16	36.9886404176792	28.3183180071355	2.22044604925031e-16
"RGS13__pos"	76.9606006246746	6.63560938932297	1.68029831341401	67.8263835336695	2.22044604925031e-16	5.41808031269095	2.22044604925031e-16	20.5646760984468	2.22044604925031e-16
"IL12RB1__pos"	32.3608386036053	2.22044604925031e-16	3.19365416428628	15.9302944682187	28.4450181389278	0.00240309768660802	0.000201253137330291	73.3057873310094	4.20073714537177
"CDKL4__pos"	2.90986170184927	72.8621233871152	17.8104938770039	19.2220559875037	4.06051695385353	0.000526098280548835	18.1616740876228	19.3489163731418	57.341956268593
"CCL21__pos"	55.355898948307	2.22044604925031e-16	2.22044604925031e-16	83.9107785604126	2.22044604925031e-16	12.6124626509486	4.39212919082962	36.8394266515711	2.22044604925031e-16
"HPGDS__pos"	0.486725268802758	2.22044604925031e-16	2.73297906969001	102.443325020797	2.86371070270882	10.4670713772883	2.46362030148836e-07	26.7432925797506	2.22044604925031e-16
"ZNF44__pos"	5.76590482098429	120.568574105824	2.22044604925031e-16	12.4904649212469	4.88060996587007	2.44994906154267	5.42991341372962e-07	9.18831900631518e-16	2.55503756669967
