"TCGA.77.7465.01A.11R.2045.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.05.4410.01A.21R.1858.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.91.6849.11A.01R.1949.07"
"CCR8"	1.37373135128433	1.41672037725814	0.882151159918713	1.34652439869953	1.43497947899734	0.223290204243184	1.45191767563302	1.78442569989861	1.41788407193407	1.34731736942053	1.74998447009618	1.09323971126222	1.413440186477	-0.183718284739225	-1.10461462520206	1.84981189723303	1.3309014618324	1.82613653465727	1.59071890599685	1.6719473582661	1.43638733423057	1.44291416444532	0.596390714299192	-0.479425765676863	1.26278863574415	0.219927013454987	1.51076141085909	1.43391265247199	0.274461168803137	1.75732578720914	0.582599047499359	1.41399403697177	1.52816146156219	1.5620327575557	1.38255639683293	1.67709248567202	-1.00865601796925	-0.0486067064216364	-1.13298939476719	1.73979339149874	0.338596104520239	0.578610660364934	1.4057352487309	1.40234114791808	0.135316799439209	1.42594575302639	1.36305120677155	1.58363773923872	1.09490978163451	-0.385118793014542	1.77588557590669	0.806812768143058	0.491623880816594	0.646780161379412	1.43204420493946	0.634637665120073	0.668177930981399	1.51287434093898	1.74180041638327	0.360259780295183	0.597485558222759	1.32109377813057	0.712781047187097	1.32828116527495	1.37743317306655	1.45106532709041	1.17812568655543	1.38991907408085	1.50055265859963	0.390906822366528	1.29976199141761	-0.417552969965956	-1.2644463507295	-0.695380626026222	-1.20960993196572	-0.496423318824568	0.639309422103379	-0.16113409334006	-1.0975876591613	0.140233178599326	-0.566039086322385	-0.838951035088829	-1.30579202766642	-0.818413323744478	-1.07258462027563	-1.37045738639885	-1.33074280132526	-0.882903331889725	-1.01067669419322	-1.07749935894632	0.26747218090534	-1.02944179848273	-0.784277475789156	-0.201446434602137	-1.18952143215312	-1.12982408050873
"NUB1"	-0.872028394381841	2.59796575370368	2.82922758289737	-0.831821352897719	1.71050308264835	0.893085065968933	0.985943208397247	2.07193299538428	2.33322810631963	0.527349604281377	1.59586380901197	1.33899465059079	1.73939346438789	-0.0734770847027016	-0.0572279464484433	1.62579295879727	2.24183537161979	2.26399398925176	2.11493715675145	0.425509860699118	1.32019471343535	-0.83149277616431	-0.455902735523317	-0.261466999649226	-0.760982809521721	-1.07156819748077	-0.192327464835632	1.83161937608157	-1.05180258040074	1.40829050221877	-0.0508902750028529	-0.109352990015877	-0.212476638911204	-0.184468933900105	1.49665427492641	1.83843715671663	-1.00539178611765	-0.135173838387978	0.877238162614737	2.0320351841217	-0.104977006422929	-0.265681639874148	-0.584069886949764	-0.157432201259567	-0.709175083541268	1.69983263402485	-0.942787623386166	1.86558124094305	-0.888883418371839	0.0209500266509952	1.6471224616647	0.380428290447363	1.28581561440934	1.75023331986615	1.57859520386113	2.09749533836206	-0.0258455381417485	-0.39020341707497	0.52030086702854	-0.411606175333836	1.77612393246077	1.34294353040932	1.61105282519358	-0.63899399794824	0.0284219451881456	1.84780677264324	1.51972866777069	-0.217780986380247	-0.00691021480460626	1.45785875866248	1.6635630709219	-0.10612770768122	0.196558940692779	-0.0789310186197344	-0.0669297769286933	0.0724359172247294	-0.401942669281385	-0.56669888419317	-0.0528086620797781	0.549849404142838	-0.857557992257151	0.0535117353640583	-1.06235848964122	0.163159433203575	-0.491845585562063	-0.41323175697137	-0.0759438439081557	-0.382035329245591	0.12132461134158	-0.0634807903993782	1.32592085515572	-0.127862884711282	-0.115110048342699	-0.662001288573493	1.64207024781616	-0.0430596178431715
"TLR1"	-0.805793594247983	1.76713649876231	2.03843217426434	0.0594439643787758	1.67186713731306	1.90937402612097	0.122102062693554	1.54139923790639	2.00560381603339	1.5608905035504	1.36800682998781	1.83744448586297	1.50629710065358	-0.24933937731752	-0.796814268261117	1.6620583980612	1.44392018102474	1.68668871838898	0.257103265055978	1.50323915153277	-0.54356462360948	0.374652191378647	0.302461063597876	-0.0978670838706844	0.259843694715155	-0.66875168734097	1.51274956553228	1.36746472796706	-0.974122988884095	1.67690636651556	0.626418171395151	1.61775699917845	0.52906860378917	0.568258978088097	-0.0223451014310258	1.84171754146185	0.718712087391984	0.536509538435811	0.515352292391751	1.6327494689572	1.35024828223189	-0.570476707514053	1.01686868198286	0.647104905770196	0.996801153912526	1.40816369647169	0.677098911908664	1.46674396000224	2.24187107126297	-0.692739367006683	1.37784213447052	0.737376316788061	1.32014303691129	1.13954640279083	1.87911053299763	1.6232455133534	0.429021699142392	0.612918239050736	0.858163810086547	0.170641589926464	0.87597819438642	1.54140218102796	0.412369960394218	1.46753184472221	0.0355499097379159	1.57309279206979	0.833806105473273	-0.249579396895937	1.48212698244337	1.81041732970921	1.86638591429264	0.715795472534815	-0.675894258492336	0.490189674060778	0.629121394845419	1.34217838130629	0.879711907222422	0.603913373182629	0.3324223491171	1.36171146741229	-0.883290981278604	1.62125931135021	0.286557920130318	-0.0761349243617892	0.464269034212851	-0.667810340022117	-0.452799097126246	1.54781308135022	0.120528603528682	0.996107183889151	1.16978360127232	0.0407156647473284	0.807434185669761	1.61967836255295	1.40619274126962	-0.454769527225941
"TNFRSF11A"	1.69423344538769	1.66537634246655	1.6861324286071	-0.0291901918987665	1.62563387872182	1.63014705705352	-0.220556719040317	1.74854777290902	2.03929534497043	-0.228284894623193	1.5525794856279	1.58889312174117	1.61072385340212	-0.364579254832141	-0.422303104980473	1.62058852848753	-1.07702794111892	2.16581608481736	0.311436457965518	1.59196056779677	0.299492652757264	-0.340553924095741	0.218072293414155	1.58791393484992	0.095172974192116	0.28076067469911	0.424789468038068	1.56436689984286	0.442953610138856	1.57546562462893	1.57913696822755	-0.194274821569667	0.670157382644829	0.301723498215089	1.62081013625095	0.33571359857505	-1.04183189177669	1.58905396191761	-0.536506814181004	1.61044150556988	-0.413189513186488	1.70702749173684	-0.983207615425162	0.628778604422398	0.855791204097669	-0.729978294620733	0.494666579393449	2.02974841434228	1.60000745434455	-0.565536830361986	0.387152651392895	0.263731894813617	1.36763735089954	-0.689846470689641	1.56479278443328	0.422631978057906	0.371476943241474	-1.1257069395034	-0.42832848457455	-0.374316398420404	0.0433984992050913	0.782730458210243	-1.18431294592882	-0.697785192306229	-1.21798931529487	-0.935820257449367	1.59849026806597	-1.23869736993646	0.053335078169755	0.0423430159743513	0.472806059659673	-0.394536264536649	-0.424630621244354	-1.33656264313881	-1.07838230222684	-0.139071137380679	-0.0345205981899486	0.0219781953194971	0.733678834361227	0.00908218932739993	-1.05080433264809	-1.27815479455283	-1.23650849762528	-0.750805336572785	-0.623482505884893	-1.17251056328202	-1.04002029467045	-1.13707325509895	-0.015145797686605	-0.463326632746598	-0.408273845556468	-1.21226765857595	-0.382439489208563	-0.161892880663372	-0.368717674075167	-1.1437808486951
"FMNL3"	0.207186040908397	1.3227173739363	1.50352656141874	1.29464283608364	1.19741400902852	1.3875948328528	1.32743143393291	1.32615121255633	1.38431488176918	1.27154589841435	1.38430935573205	1.20752816939601	1.1948306855666	0.807049045465875	0.595643319414606	0.893714059299362	1.19039297715083	1.06416384167384	1.24467124994634	0.957864101098445	0.7507622407861	0.271386573126746	0.405989756254725	0.470541365083285	1.14793163255403	0.508985724041571	0.925193594739913	0.541753978297223	-0.125583015211722	1.27872428288649	1.2617533430602	1.35698939538015	1.27774224553333	0.6503125374819	0.522546268619403	1.41166542192256	1.17763422671539	1.10149792048465	0.094347618086567	1.23929664314166	1.2526162797023	1.05067304599853	1.42180728557265	1.07328441420364	0.790867997724474	1.28194167862078	1.22538547419798	1.1023335789203	0.678174194596626	0.637529820629625	0.883231031345497	0.298802887895375	0.694907571867459	0.55631894855625	1.29860126818144	0.274535738951424	0.0210746914531585	1.3128667772199	1.30381015034112	-0.695496060848618	0.826407901851886	0.976028907214392	0.0489366788934629	1.34819023823961	-0.289048832603481	1.24657850147	1.09165393882775	1.17814455901875	1.15029616348017	1.14721261519544	1.20457631080707	0.214263254431873	0.626535221125797	0.459081965201556	0.773283545858095	1.22977752618483	0.421042546123125	0.755312082100599	0.480263369440894	1.13457981347159	0.818389134134935	1.22252474861542	0.225423196405838	-0.0636274144392012	1.16224437363363	0.462826304339808	1.28011962498112	1.12183407742871	1.23766563951892	1.37826248456672	0.30687711242748	1.05611966971895	1.24752217976153	0.624448987884411	1.03251008852249	0.52980382804538
"PDE4B"	1.62485229276676	1.50228258333992	2.17848322336348	0.270166348480375	1.40894588767818	2.02129044386837	-0.917072773815997	2.22494840624506	1.94637482561143	0.0671193844048281	2.02263355530425	1.6720764820322	-0.602552042716524	0.612308993244253	-0.00479453207074083	-0.401230970126838	-0.187727185308103	0.70627953850842	0.158358003622164	-0.345447279718767	-0.0976581509177501	-0.74702263002954	0.00109255909473936	-0.438521829490613	-0.517478489907147	-0.810756594686609	0.261468490915042	1.59822733001915	-0.551427957480633	0.901013174480357	0.926033935416573	1.60609006546934	1.85538940352938	-0.117525027582954	-0.439307322348026	0.123149793056821	1.486912321852	-0.633251619985919	-0.632662551297492	0.582591894436314	1.50294539443433	-0.577424204744792	1.61643074043154	-0.0348980790048452	-0.0245413895206159	0.878744115571607	0.832677363340511	-0.354981834369153	1.08390192586469	0.321447994199066	0.152710537729268	1.53619140175096	-0.0551891906940692	0.501513072706179	1.8168415910523	-0.450653413434182	0.330869171514701	0.651732263682921	1.58369334504854	0.19660005673436	-0.284527038715905	1.95024032986254	1.1650029083676	-0.0803242059724383	1.57540825912241	1.69383880396841	0.914308391294807	1.5710664474445	1.03202153436722	1.60596408180511	2.16107301332988	0.0501909967740346	-0.623540011451916	0.577515945894239	-0.196635278799187	1.85069351861597	0.0294625908579675	1.38281109782664	1.60274590688194	1.5097931734872	-0.0950406554974604	1.59116112911581	0.0331532622979177	1.55458497353382	-0.0214073673627672	0.555595461882702	0.700082973600282	1.5513572891566	0.371421976932673	1.52836324159098	-0.0315140696101588	0.628222548900762	0.31623686353116	1.58122597286492	1.40922850691715	0.168455054915706
"BTN2A2"	1.96405235693838	0.260933234526373	2.69022856543541	-0.137832708414759	1.97777125190873	1.79106051736066	-0.657498627151562	1.90472071695808	0.345003359462169	0.498898137551702	1.70928557912663	2.05096097956125	0.119515202858822	-0.506618185629654	-0.424533363335345	1.70360880100888	-0.0443505227541359	1.96974482464893	1.96027413230221	0.227279813921134	1.90637436816691	0.597747768528772	0.0960588685446739	0.124057348449546	-0.558715508277249	-0.511823909756093	0.0795833129425412	0.612055886973365	1.7780969779823	0.349536710540819	1.68452502897351	1.66579783749025	-0.35516385747489	1.76591129611431	1.7250325702464	2.05190183195804	1.68753947891209	1.74522431240601	-0.562212453850128	1.86804040664704	-0.313066722226054	-0.00479454585118924	1.78077126267783	0.47549863167077	0.288907837945196	2.2389293892128	1.69663020369719	0.780342431672426	0.447062746756851	1.8092113009386	1.73826977538749	1.69470918649179	0.610837432547963	-0.379581867515101	0.622085671466008	1.73250617088828	-0.489705599342514	-0.106789024501272	0.0669673587475813	-0.458893552156369	1.69482345604458	1.78065125317343	1.89949733194176	-0.202949606864821	-0.423147621860046	1.96175486553181	0.0269765153204511	1.70937397026204	1.72150100783885	1.84127033231604	0.14029390979572	0.391681143742639	0.0667282050600369	-0.33210533545656	-0.62067251761519	1.79033411903227	-0.163541100056575	0.0731700109052691	1.72166776786209	0.842645082237495	0.298459633045482	1.70829459088749	-0.410373033733066	-0.376898507503586	0.682025180170292	-0.332019116922932	0.609381021035741	0.057237640159515	-0.0566782827176828	1.76021241888996	-0.307825691421963	1.72962175182001	-0.38225684425213	-0.402364638376239	-0.151195021649052	-0.0213886411608337
"SLC2A6"	0.0331212766362624	1.64421259072577	1.59833961052632	1.52757290200954	1.25813624706752	-0.0635287674209776	0.938988939552847	1.68203041707219	1.49748750098311	1.53399760263213	1.34394051746107	0.418289192731267	0.539427276660359	0.651435696895459	0.201255722493173	1.14468119257612	1.56617154162162	1.67903203347187	1.15188863703791	0.0314816502574444	0.49408166015633	-1.16033174227876	0.313972157619489	1.32956990764886	0.664641096718818	1.04361778319161	0.067223056579218	1.33040361754828	1.31572944459122	1.33740431701439	-0.363019451885724	1.32960528372619	1.38985630241457	-0.0278724619829186	0.509632260987979	1.44013685099142	1.1072368032817	1.24986943237706	1.46877038476856	0.971939952984168	-0.186186802593289	0.273152133820375	0.580892649723384	0.811009225032361	1.32407449645452	1.17489693108667	1.46707680761097	-1.16319872037481	1.43472417130245	1.33763609906568	-0.173706128117631	-0.245227832814112	1.32139269961412	0.65420925429583	-0.18228773328275	0.527489911174713	-0.883501852325586	0.770101969408409	1.3415068777076	-1.7315747054519	0.359967832656648	1.4824493708142	0.901160438217044	0.108188522706323	0.314029368567108	1.55976404839457	0.313547846822174	1.41014062177691	0.918063566488061	1.41482886017124	0.46195345672168	1.32007225784471	-0.215195530859025	-0.0521255725527506	0.649956922528215	0.076893474802538	0.303252209674592	-0.182065745631771	1.43633371945031	1.12222192667722	0.264312706618204	1.25674271778115	-0.00905674905378219	-1.02895359265645	1.40736271497044	-0.251155951547913	0.0391919787026855	0.132078351735021	-0.159803846335072	0.452973429899914	-0.311380358771987	1.59129317912468	1.373668774766	1.30503932222807	-0.228990234293217	0.00110623800241316
"IFIH1"	0.605019210206618	1.70052566945763	1.18040266476536	0.590136171199737	1.4217061413613	0.555019901839945	1.22018417930254	1.45299205465917	1.800827260546	0.649762511775887	0.583860783769834	0.566492003473197	1.18340670634356	-0.300743683725374	-0.0234293899611713	1.42688799140666	1.35992654845404	1.5358921610958	1.31084917132466	1.40616731317714	0.717213423459268	0.608455677396005	0.074475366986785	0.540040898822584	0.64376355612571	-0.19777850258433	1.05558059139938	0.216819740853646	0.659813784878662	0.567296991574515	0.106392517119749	1.10958507003063	0.226743311682232	1.23456475822598	1.15867356972958	0.703438523767057	0.0970762353447197	-0.0177061838678207	0.596345180844358	1.41836965498245	-1.06468905348177	-1.2477820748998	1.18982858306877	-0.368271917027834	-0.099377354215278	1.33991019306908	1.2405101234499	1.37937922897791	1.34696270919803	0.344334937074156	0.7389367662266	1.29060158661085	-0.00492793928127234	0.638459589468055	0.10794210010754	1.31249484141152	1.32464721100714	-0.200657324795157	1.31657772279953	0.652077582863428	1.33328944385423	1.29635755731455	0.499460796869484	-0.111015982241582	0.530954686870826	0.855344218301896	0.49056036686178	-0.360322862633286	0.694390249667302	1.3407140001004	1.38148309259422	0.049765145614667	0.371443773456831	1.10607137918158	0.58538379855039	1.21120804803307	1.2286313569461	1.18482632036968	0.249165035135468	1.1084492280738	-0.141505981570381	0.871915181639109	-0.122929317812483	0.278324371753603	0.411907769320592	0.119841374153272	0.763086549697981	0.323191001498084	0.604168006393879	0.553308954995621	1.35989627811928	0.701220906774059	0.663618593442012	-0.582120508139444	0.191062602873928	0.280640210059035
"PNRC1"	1.74146390557579	2.01047105313049	2.32948543251903	-0.00591023600911763	1.42476397480918	0.506300951751463	-0.269457987611962	1.93979582763743	2.22330462316579	1.37268222307926	0.76257885830098	-0.543461574004854	-0.270748135904258	-0.212799184135734	-0.314552365988716	-1.12729658282269	-0.0957255017693824	1.86037315290958	-0.33291668212227	-0.0667198848268872	0.849445558818827	-0.200640524095982	0.0246051022865946	-0.326523521116334	-1.00477524276038	-1.28438644574708	0.826850290729347	1.79436216067802	-0.126308079415228	0.531846332487843	0.0152607929194368	1.41288302931854	1.95112869244107	1.25358418698063	-0.154531645701169	-0.035812725280392	1.74173753507301	-0.273957784841174	0.0148414141322853	1.39720700843397	1.38510790278396	-0.267333532505763	1.79374568299502	-0.154659567388807	-0.140089283715245	1.68816870291559	1.75576807864054	-0.0101552186642585	-0.255465632485715	-0.138323355388971	0.835698929654161	0.0405935174818086	-0.225518733059836	1.71242522210612	2.05138095367422	-0.0675230119312907	0.251254648526894	-0.122388249961891	1.53590354891968	-0.350315036942032	-0.017079776460512	1.39073743477966	-0.0836629813662665	0.475193333623587	0.314698512973281	1.89232866270914	0.196672196843073	-1.00138994628827	-0.00895848922715105	1.63797251195084	1.91387079103648	-0.00936659808491915	1.64760605338022	0.965662958045054	1.45601407872609	1.95802500214006	0.0660553530839241	0.389640801657153	0.66891561543508	1.67776820052669	-0.206171881099279	1.41808756440083	-0.064855821568844	-0.0738422246586231	0.999587748329965	1.95495876701414	0.748856128923221	1.35256572597864	0.000560127892391544	1.31299642047901	0.52489363048448	-0.200718772138068	0.0635357668691114	0.534497344051745	1.95761586747619	1.7630655918589
