"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"HOPX__pos"	5.29049327130898	27.7887489993495	18.3841596110244	2.22044604925031e-16	20.7775762532424
"HSPA7__pos"	45.4447313017873	2.22044604925031e-16	8.04132797850009	9.06097242186366	1.31979008684229
"C4orf7__pos"	16.4803625356161	18.7815711861959	26.5720274220636	2.22044604925031e-16	7.09511383031298
"SYTL2__pos"	1.83000095392297	1.7136958011368	30.8280212464179	12.9760200498447	24.3344406069055
"CLEC4A__pos"	11.6710538714451	21.2308435424151	24.2556097728885	2.22044604925031e-16	5.83427396624981
"DUSP12__pos"	15.2748656598779	14.8748190216128	1.77487817332852	20.1807706941486	2.5812903640478
"FCRL4__pos"	20.9260968418833	9.76169109255576	14.8677824314936	14.7778218134758	2.22044604925031e-16
"ALPK2__pos"	22.5880441932585	0.460829089249968	38.6279791342568	2.22044604925031e-16	5.8370354976196
"ATP6V1C2__pos"	43.4824770948013	1.56025705119074	2.22044604925031e-16	6.86378857200643	16.0010919774306
"PDGFD__pos"	2.86245506007808	17.8571664279345	8.17386555277933	16.6202046560119	17.9148191642953
"LOC100287415__pos"	36.2473930190787	0.911027065364979	17.3285638624433	3.19208577123603	12.2967801804974
"MACF1__pos"	19.4064484363708	2.22044604925031e-16	25.5255763930086	11.3213832625145	0.990895862345058
"IL18RAP__pos"	28.6688390910294	11.745181586297	21.4116324787045	1.84970503283891	2.22044604925031e-16
"FAM184A__pos"	9.24379117218363	7.56958500316283	25.8855947237939	10.5737234366059	13.1026789878596
"ZAP70__pos"	31.4708643489164	2.22044604925031e-16	31.4194109631466	2.61041646116001	0.840519372869102
"TCF7__pos"	9.4872530646682	2.22044604925031e-16	46.4445510392537	1.44548184296529	6.06210581444174
"DNASE1L3__pos"	17.8208751895936	10.1205292117454	28.5254411353206	2.22044604925031e-16	5.59419223856276
"PTPN13__pos"	2.22044604925031e-16	2.22044604925031e-16	43.3966184075115	3.17369692046352	21.587757095689
"AAK1__pos"	16.5151122014635	2.22044604925031e-16	45.1487738604464	0.122026814092904	2.40499481600621
"GVIN1__pos"	1.21296085686988	2.22044604925031e-16	53.9437851161307	4.02642866101292	2.01253776432907
"ZBED2__pos"	18.7335905172171	12.908962512216	20.8195546456363	9.25677828587238	2.07583619147528
"ADCY4__pos"	50.0729046446785	2.22044604925031e-16	3.36416231532802	0.130619727374224	7.25398141989288
"IL33__pos"	2.22044604925031e-16	19.6355736471135	30.2495293499572	1.51659768549501	17.7378724292862
"RNF207__pos"	55.2400659659235	2.22044604925031e-16	8.65674356758895	2.22044604925031e-16	5.08127683574621
"EPHB6__pos"	29.0984211610968	2.22044604925031e-16	28.3261352555226	1.35082296187508	5.34435255780163
"LOC643733__pos"	20.9120697399146	20.8860067411938	14.3227602769682	2.22044604925031e-16	8.17289528230707
"MAF__pos"	3.95101045929789	0.598826111001745	52.3291619533982	2.22044604925031e-16	11.1574281527258
"BCORL2__pos"	25.6581857708294	6.43782600338028	24.2588861897494	6.50190544062705	4.46319912164519
"SHC2__pos"	30.0443827972578	2.22044604925031e-16	15.4557625977102	2.22044604925031e-16	20.4678775743115
"LOC389787__pos"	5.17054262300908	46.9866347091394	1.49120782162565	0.260063062054557	17.1078919370246
"TNFRSF25__pos"	40.8212064470185	2.22044604925031e-16	20.026259041995	0.800161489133657	3.22172775260805
"DIRAS2__pos"	7.49837579435936	13.7523065244062	37.5782459229013	2.22044604925031e-16	7.7721326904328
"IPCEF1__pos"	1.85224384089733e-10	2.22044604925031e-16	52.9693442109729	3.79615923114237	2.24281662342191
"ETV7__pos"	7.68181864051498	6.47715366911021	40.0671896935464	2.22044604925031e-16	11.5127175325149
"GNG4__pos"	7.2630027566464	8.00906659047661	42.3998042939979	2.22044604925031e-16	8.24325266236089
"FAM65C__pos"	39.7073375584348	2.22044604925031e-16	17.1170834032043	0.0420713339793677	10.8535147207956
"TRAT1__pos"	2.22044604925031e-16	5.80815186024055	56.3141016044229	2.22044604925031e-16	2.98335174189948
"CLU__pos"	17.483709061854	6.30726175346833	39.9840905744148	2.22044604925031e-16	4.21647017405379
"OVCH1__pos"	8.76634127081437	11.9525669880184	32.5781142753	2.22044604925031e-16	14.1847553227747
"ICA1__pos"	9.78796188330629	7.87837537237004	28.9102580118627	2.22044604925031e-16	25.4549452700528
"RGL4__pos"	55.5367087907327	2.22044604925031e-16	14.6553350101801	2.22044604925031e-16	0.0342218559946138
"HOXB2__pos"	13.4735738241071	0.230694474807912	43.3012909986123	2.22044604925031e-16	14.0398823261462
"MAP3K5__pos"	14.8282109997104	2.22044604925031e-16	38.960305782721	8.9795461931001	2.22044604925031e-16
"LOC727947__pos"	6.28469714918607	37.3091156711514	2.22044604925031e-16	1.34238654104706e-11	27.2983467955995
"KEL__pos"	31.0363765497581	2.22044604925031e-16	32.3837780823164	0.324135067300674	3.55508585296979
"MBOAT1__pos"	32.4285996204525	3.17028077661804	25.4509320570247	4.2724416653223e-14	7.10463388331027
"PDCD6__pos"	7.43004556515539	3.7746783400678	14.7274574013622	15.7648167008891	1.64419642325615
"RGS9__pos"	15.8329905100038	8.90354391071344	13.6934309071608	4.95873708154288	25.2046507659208
"C9orf139__pos"	51.8417431796322	2.22044604925031e-16	9.19217578318182	2.14106586751905	0.601543940896601
"DZIP1__pos"	13.102786699686	2.22044604925031e-16	32.9896390040172	0.936625369715672	22.610753938926
"ST8SIA1__pos"	1.91619972115708	2.68934218365981	53.7661462863744	2.22044604925031e-16	9.65481113182637
