"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"
"CPM__pos"	15.0218417877438	2.22044604925031e-16	62.2613926019002	5.64981251526665	2.56061076698685	3.87291663566449	0.33269292491732	73.2058033132689	71.986743462326	2.22044604925031e-16	9.65983285455042	42.9506218794266	83.6997166774006	15.2042478491359
"TFF2__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	66.3697227402153	2.22044604925031e-16	303.47201740922	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RAB3IP__pos"	1.98779320828597	3.9693272070347	18.880342986086	30.7526543980728	15.632088758172	1.77374159431827e-09	2.22044604925031e-16	2.22044604925031e-16	11.9495193316352	14.0839091097555	25.1110328870009	2.22044604925031e-16	134.957051803544	42.0834778932173
"PGC__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	300.900227070373	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"CEACAM21__pos"	1.20028280516062	4.9657148255543	5.79630861348921	0.114838442509736	3.14935994840342	10.9802221636484	49.6319266748689	25.2135520672863	110.37704392055	24.43334152923	2.22044604925031e-16	43.4600325507339	6.96867776544243	17.1313383215134
"ADPRHL1__pos"	23.1470687691069	5.9406884754071	7.79657281368947	4.54834207423768	6.03814430596787	26.2883165777	1.15447993038026e-14	2.22044604925031e-16	12.2827988322677	13.5019455752986	62.8254043415224	34.3646640385986	86.7558138521686	54.3421408813341
"CIDEB__pos"	45.0317037364285	2.22044604925031e-16	37.2713566922372	31.7677907295353	12.7401091781215	9.80823774928599	29.355101821064	19.2801290751153	14.4275805873412	34.5832737680696	21.5354343505647	20.3122074319901	0.160162434721573	72.7281959704034
"HCK__pos"	0.368718212638726	1.31078367784507	19.1213255891323	25.3879218311383	2.22044604925031e-16	2.22044604925031e-16	0.243345577991199	15.5396840180468	186.750907004002	15.6554189939795	2.22044604925031e-16	40.5185747010278	7.38319237550704	2.09581583414525
"PSAPL1__pos"	4.2257012413361	2.22044604925031e-16	15.6973981538894	77.1855306206324	7.88234706747856e-13	152.897326787369	2.22044604925031e-16	2.22044604925031e-16	57.235281497876	13.5975249760143	14.8546781416245	1.758835698964	1.27388477993076e-06	2.22044604925031e-16
"SLC26A3__pos"	195.694795104577	2.95706214769984	12.1322138012921	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	86.2343173933846	2.22044604925031e-16	2.22044604925031e-16	3.3693041211377	9.39238876119422	2.22044604925031e-16	51.5858928305645
"GKN2__pos"	6.8771604287271	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.53682708124579	297.937620975206	2.22044604925031e-16	24.9569749101295	24.3847089478841	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"FEV__pos"	38.6687616919817	1.13497251607656e-07	2.22044604925031e-16	2.22044604925031e-16	246.190866440487	3.55156873701816	2.22044604925031e-16	11.6497526174771	2.22044604925031e-16	1.57472446171981	2.22044604925031e-16	17.4312160879669	5.33251512719026e-05	1.56052633665506
"SRGN__pos"	3.32648793265279e-11	3.39786774464992	2.79619100194844	1.16183030353544	2.22044604925031e-16	2.22044604925031e-16	5.66321168105307	36.4872934081777	182.423891928392	17.9804865357867	2.22044604925031e-16	45.998533915928	6.69290190512851	2.22044604925031e-16
