"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"COX8C"	"COX8C"	0.0206968060351459
"CLEC4A"	"CLEC4A"	-0.128895244306332
"KCNN3"	"KCNN3"	-0.732089106009119
"BRMS1L"	"BRMS1L"	1.05854112389851
"RP11.330H6.5"	"RP11.330H6.5"	0.148080018092631
"MEP1B"	"MEP1B"	-0.646898779434758
"CD180"	"CD180"	0.050304705611777
"LL0XNC01.16G2.1"	"LL0XNC01.16G2.1"	-0.157275218757298
"LYPD8"	"LYPD8"	-0.297231340001258
"IL21"	"IL21"	-0.436506534331656
"OR2T4"	"OR2T4"	-0.101463694729505
"MS4A18"	"MS4A18"	-0.221487592641956
"WAS"	"WAS"	-0.749649946837023
"LEUTX"	"LEUTX"	-0.175679338748987
"TFF1"	"TFF1"	-0.217070595329694
"CYP2U1"	"CYP2U1"	0.36082970985568
"ANGPTL6"	"ANGPTL6"	-0.683625428951965
"SLC2A7"	"SLC2A7"	-0.47914442146348
"OR2G6"	"OR2G6"	-0.201573092744065
"HMGB4"	"HMGB4"	-0.105052252923988
"KLK12"	"KLK12"	-0.100653796525379
"ASMT"	"ASMT"	-0.516945805070301
"NEUROD6"	"NEUROD6"	-0.0739268401028794
"CT45A8"	"CT45A8"	-0.0882985350368371
"MSGN1"	"MSGN1"	-0.233294566690679
"TBX10"	"TBX10"	-0.345497543623209
"MYO7A"	"MYO7A"	-0.419371208597611
"TMEM86A"	"TMEM86A"	-0.34602355835002
"LAIR2"	"LAIR2"	-0.425318291227554
"OTX2"	"OTX2"	-0.0971875486240028
"TNFRSF4"	"TNFRSF4"	-0.362427917334973
"DLL3"	"DLL3"	-0.210837875786243
"NOL4"	"NOL4"	-0.0900263842898271
"BPIFA1"	"BPIFA1"	-0.0983148612495299
"OR52I1"	"OR52I1"	-0.429525745150172
"SEC14L5"	"SEC14L5"	-0.399922740858098
"AMPD1"	"AMPD1"	-0.589830936777947
"SLC6A3"	"SLC6A3"	-0.245270342541284
"FSHB"	"FSHB"	-0.172403499454217
"KCNH7"	"KCNH7"	-0.140219587351284
"CREB3L3"	"CREB3L3"	-0.0809511650775615
"OVOL3"	"OVOL3"	0.894602132252132
"ASCL1"	"ASCL1"	-0.0893439174757295
"SEPT6"	"SEPT6"	0.136413624923501
"OR2T5"	"OR2T5"	-0.0483933918495827
"SLC5A11"	"SLC5A11"	0.0192872255023935
"ANKRD34A"	"ANKRD34A"	0.471072568996264
"METTL1"	"METTL1"	0.231357887008744
"KIR3DX1"	"KIR3DX1"	-0.871412665872852
"SCN3A"	"SCN3A"	-0.138066649136394
"TMEM72"	"TMEM72"	-0.190203744613712
"C15orf48"	"C15orf48"	-0.411425453979848
"BIN2"	"BIN2"	0.184868997696145
"C16orf54"	"C16orf54"	-0.441166302665245
"RPS4Y2"	"RPS4Y2"	-0.241543217179231
"FCRL4"	"FCRL4"	-0.297743800849886
"IL10RA"	"IL10RA"	-1.08113928454889
"CD74"	"CD74"	1.19971321087541
"ATP4B"	"ATP4B"	-0.223871964697761
