"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"
"CDHR5"	"CDHR5"	1.94008193554844	0.000895473724953684	-0.182837018791835	-0.0328993594853136	0.0843469103685898	0.223785458070188	0.0532759267366185	-0.001720655681116	-0.12722960293041	-0.300885746529037	-0.110600234406065	-0.11902758175471	0.0441603473394932	0.243549337613828	"IS01"	1.94008193554844
"ALPI"	"ALPI"	1.93151044233873	0.0878544001520922	-0.195284361030773	0.176638276894105	0.192412639603285	0.0703732910249968	0.0019429371729742	-0.0935904772942358	-0.136780903736738	-0.179645521963289	-0.106161533895679	-0.154078139285969	-0.0218644406373802	0.0431754582494223	"IS01"	1.93151044233873
"C11orf86"	"C11orf86"	1.79694718399432	-0.046685277913214	0.0649578996841515	0.0357792899575281	-0.121238781434922	0.25302482391313	-0.0204822859493382	-0.201194289641803	-0.0606016100427681	-0.0562257275767303	-0.0785008987698388	-0.181489825933046	-0.128179458320003	-0.0930937938947028	"IS01"	1.79694718399432
"SI"	"SI"	1.65478160818071	0.318324609460039	-0.0135653096450876	-0.0760534558048681	0.309233214834054	-0.112031704663863	-0.0217475823452589	-0.0693591933927463	-0.0431520022503493	-0.145328592286452	-0.101173418314625	-0.106736765337235	-0.0115645130399193	-0.0746409039879959	"IS01"	1.65478160818071
"APOA4"	"APOA4"	1.54408039876754	-0.0444015201678502	-0.130210433045691	0.129136302392047	-0.01902170440092	0.10827969923044	-0.0601550656014964	0.00905351637273781	-0.0496607764510111	-0.129337787725872	-0.100142388267451	-0.0914890567703369	0.011420998976624	-0.00901311390705373	"IS01"	1.54408039876754
"GUCA2A"	"GUCA2A"	1.53831034194468	-0.0378447892595171	-0.129099900553918	0.0696485623161764	0.290367838658784	-0.080435222294648	0.0290336258064742	0.0853125212933291	-0.0798255244413006	-0.14454811842269	-0.106349766504006	-0.118506109085314	-0.01690300224653	-0.0672630599079326	"IS01"	1.53831034194468
"MOGAT2"	"MOGAT2"	1.4848060509278	0.0267958971809814	-0.101958745231436	0.00518982362814023	-0.177057509299436	0.433259022055439	0.0232924542946707	0.00517838780787253	-0.092452226140512	-0.136657260113885	-0.0967702135455297	-0.134411410230018	0.0352466610757351	-0.0469291499806987	"IS01"	1.4848060509278
"SLC26A3"	"SLC26A3"	1.47818602882296	0.141550472589824	-0.0588102799919071	-0.0931070137525723	0.042663217349964	-0.0382455349493116	-0.00911962354794636	0.739643141326863	-0.197423219486059	-0.316453773748335	-0.142929993972078	-0.0682969872850111	0.0315834283644382	0.0974524822776315	"IS01"	1.47818602882296
"CREB3L3"	"CREB3L3"	1.44863734597102	0.173913243138859	-0.147841891426295	0.0212393999078267	0.00217932532123332	-0.0155817600652587	0.167825797149982	-0.0766760106028885	0.140700034929546	-0.107491808696201	-0.179426955497637	-0.117914514857077	-0.10113084650729	-0.0917247716485417	"IS01"	1.44863734597102
"LRRC19"	"LRRC19"	1.41834683566874	0.212427647514088	-0.165001513701479	-0.0840173256486815	0.0724821709544146	-0.0539330553384834	0.0678722570508256	0.193281484072434	-0.0719978335031248	-0.28886024416708	-0.155097328931864	-0.140062508249263	0.180532695134395	0.371465232651773	"IS01"	1.41834683566874
"TMIGD1"	"TMIGD1"	1.40629095903553	0.513424076315829	-0.0716980780522683	-0.0389023453541934	-0.00289687760645283	-0.0830576194516724	0.024420397525879	-0.00107625501292088	-0.0875638448880603	-0.140626121964213	-0.0594239084546237	-0.10969913949863	-0.0453697455783138	-0.016736760056423	"IS01"	1.40629095903553
"FABP2"	"FABP2"	1.39336720530465	0.11360025512018	-0.0901948630703473	-0.109939336237037	0.127365630839903	-0.0267805769340498	0.0807051243896922	0.169458191474906	-0.107240280402482	-0.370691519882472	-0.113429684726339	-0.118869755569804	-0.0409067648405061	0.667529421640483	"IS01"	1.39336720530465
"CLCA1"	"CLCA1"	1.3586350869422	-0.00256484540242456	-0.0350969980967941	-0.0479270991975227	0.557936971380936	0.117455527197003	-0.037862446180762	0.0161062114442951	-0.101644914928566	-0.142111190793098	-0.0969997259783486	-0.0741482228793904	-0.113369384245083	-0.0280543730769132	"IS01"	1.3586350869422
"MS4A12"	"MS4A12"	1.35072358872157	0.403133667555216	-0.0183200687350759	0.00366232530650888	0.0089557461906215	-0.137992616439874	0.00320297674697453	0.0540990670662447	-0.0777479541904339	-0.116943411492934	-0.106420123954051	-0.0302153176041253	-0.0474849247046637	-0.0849755898206672	"IS01"	1.35072358872157
"AQP8"	"AQP8"	1.30500246633142	0.335308890366375	0.0162907845184493	-0.0687939166376262	0.0505463189574362	0.0450465857262016	-0.0501020996802186	0.0274343952723403	-0.11047891274686	-0.128035327186352	-0.0509830633647067	-0.0199328456615557	-0.149790490430238	-0.0276131374799003	"IS01"	1.30500246633142
"SLC6A19"	"SLC6A19"	1.29239981212116	0.0503464602307481	-0.0941953145218387	0.10971975609102	0.390205774046802	-0.00549124952239284	-0.0172285117774025	-0.0855392529743149	-0.0727576799888578	-0.149612239664899	-0.0759461978390889	-0.116953146273742	0.088269471444733	-0.0414728723240092	"IS01"	1.29239981212116
"DHRS11"	"DHRS11"	1.06569319351874	0.048520775956311	-0.155239448497043	0.304961673674537	0.111589093835008	-0.114966838179062	-0.102708341221958	-0.153695183146027	-0.205634488333582	-0.0491309894705757	0.10529998294171	-0.344245987664576	0.100532262786082	0.129914372280478	"IS01"	1.06569319351874
