"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"MS2010072001"	"MS2010072023"	"MS2010072034"	"MS2010072042"	"MS2010072805"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072838"	"MS2010072904"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072004"	"MS2010072024"	"MS2010072026"	"MS2010072038"	"MS2010072813"	"MS2010072831"	"MS2010072835"	"MS2010072837"	"MS2010072930"	"MS2010072932"
"IRG1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IDO1"	12.3976791421031	14.8052618124798	14.26762578283	14.5483800535164	12.0996233236379	12.766940076329	12.7228161980378	13.8683791674679	11.1471929708624	12.8969786042678	12.9756726755294	12.7081690836106	12.3190860228883	11.3628327878231	14.3994667790261	15.3222915983079	8.46809923148446	11.6902093472536	8.49324665438262	10.8328641917242	11.1300919911197	10.1646966867719	9.52666941095233	11.9129611117639	10.7453983300136	8.22488034363792	9.15679037761861	12.0037205265633	8.91948012038291	12.295954649271	10.2302966500554	13.1645384249692	9.98624418508433	10.8746532080335	10.1226440314567	11.8751825398238	10.1207972674538
"TLR8"	10.6570842752398	12.3637083142519	11.4337802130548	11.1755917222478	10.0443515172833	10.1197027986461	10.3398466910429	11.4673452792789	9.7002668493725	9.73302346816698	10.4788345636977	9.82758704645485	9.19591141912462	9.73355610291627	11.2564234921649	12.0868038923443	7.64994074920866	9.24357978108553	8.32412477449617	8.60570714740557	7.82003165192137	10.13666102733	7.8594995899045	7.42358114617719	9.36755336843059	8.1206930341698	8.97262468167786	8.90811928002846	8.32746602618305	9.51223059136197	8.82052743866612	9.05853214132611	8.64697585659775	8.41868494579438	8.53167202448175	10.8636263510938	8.83429687028099
"FPR2"	7.53817421271855	9.13228130270154	8.73151908681754	8.87116184619849	7.24073354199275	7.96386254317619	7.19035942957924	8.10684438327527	6.60261733500563	6.66976148862947	7.71847560428515	7.03492833438393	6.80504008524092	6.24837191150533	8.39315184488576	9.26835547456296	6.682233926516	7.03842173268943	6.7134547740383	5.97480014669253	5.61073830952605	8.1303473415493	5.42978409185187	6.87638131298634	6.61053858746639	7.94338293541448	8.63090162858585	7.03845139836384	6.12126767787218	6.66624582490989	8.33406395726941	7.59710811360323	7.00414623569738	6.54843651431571	6.8145186890116	8.88830152898588	5.80823137394689
"VSIG4"	11.8018827811637	13.5870018341616	14.3661034588186	13.4281488483847	12.4578268343731	9.57193267445478	11.589762322247	13.1614657502773	12.5529511131063	10.4073838760617	12.8546494861421	12.6655288680791	10.600228936387	9.41916643161348	13.9055986764283	13.7253437304574	6.97546634306268	10.3058441530201	11.0255721004675	11.811616366039	7.28396769845144	8.97231605885378	3.46863300411146	7.93025647439	11.813450025221	7.32364146737539	10.5909498926693	8.88929021218427	7.72818316792557	11.9470918661748	7.57021841564544	11.6362610237614	11.6509381591577	6.56994139307761	11.432874372061	12.3366811931646	9.41582963750557
"CCL8"	11.1015027936883	13.6559858906737	13.4566130614471	13.3292927312366	12.317849895204	11.3552602959084	12.6087404949377	11.1424654854357	10.4712790143136	10.197979467135	11.8248047870237	12.8651958117021	12.3532387203273	10.3597266202057	13.6228412549217	13.9624057030622	6.6517768601623	10.0709856079775	8.86556763852459	11.9643010635182	8.42976457050584	7.87575563121918	7.39993973132598	10.2232660402249	10.7098559475322	6.76655770463534	8.84231145909627	10.4966285554856	8.39454001460947	11.527372309021	7.26321982365495	12.8924399718703	10.3673196687335	7.67399905523638	10.4764997755524	12.0472012168969	9.2978152044923
"FFAR2"	5.63003636649326	8.01080312059028	6.28982228087431	7.0734383319369	6.11401773936518	6.67223295219432	6.37993862926151	6.46208053131062	5.96565471407057	5.26359233075283	5.98433144232914	5.86253799374884	5.43947039219674	5.47931849897926	7.57690678734688	8.80453448551505	5.98630395834375	5.91570785355315	4.20510131673472	5.94376196853909	3.62347378743103	7.10547448131039	7.49886446337492	4.02954089856736	2.20365719035439	6.61519803415767	7.4436822494328	6.27194224915506	5.42160202712765	5.9630891622657	6.57957932826272	6.62077456564261	6.33668416638712	5.52518279020746	5.9719849413281	9.23751877618235	6.05128248813528
"FCGR3A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC31A2"	11.9234209681235	12.9678275694193	12.9237747983097	12.6029884932212	11.1653303032734	11.6240208075228	10.8537243118255	12.5650752236525	10.3712188389819	10.8037782197821	11.5714058714514	11.9412497787575	11.0779529133139	10.9459311405735	11.7952314779446	13.0323071444758	10.0053504647165	10.360529699734	10.7034047977496	11.6329236038543	10.1728463440592	12.0286790387823	10.6217010967025	10.6934518905086	11.3263488313411	10.6202486598302	11.2365291616458	10.1738567469095	10.6974077870032	11.5434646584235	12.2231724201769	10.9154091604856	10.3559295552	10.1155820851337	10.2922970833426	11.1580593498745	10.7277551826259
"FAM26F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MT1H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AQP9"	9.11935658758784	11.465953186499	11.6766092901124	11.1078791365045	8.62922287603783	8.70548149249275	9.39979411544084	9.75090524264038	7.92341068406968	7.18768749120569	9.49421088325674	9.07252830094787	8.05143540840315	6.47704327933991	9.50149940957981	11.7946692042664	6.71856400163944	8.95927488141128	8.4044089558083	8.09314122604357	4.04855223241037	9.66175395702302	4.16352665862225	8.10737939465881	9.77432130099988	8.75861508151779	10.911144954518	8.74186683945679	9.10762957329653	8.09978552483718	11.1024317492333	6.98740735314199	8.33367129663865	6.14222065851444	8.34384080749185	9.11797482937383	7.47350338947408
"KCNJ2"	8.38380533913532	11.8356063542531	11.6434722870379	10.7354109438431	9.18500261696442	10.1351340155381	9.55266738691967	11.3532684122495	9.41460656510828	9.8190497553367	10.6375644541331	9.46980238574313	9.781696136101	9.57456769434233	10.9486920631101	12.3897645224206	6.66875201498437	8.99123255772575	7.02379697536456	8.55811349319297	10.0551292011482	11.9566409664887	8.06445308271712	8.81960291864115	9.48992941509426	8.62622021626467	9.22336855805018	10.1134287709017	7.37933693413144	8.84268801896238	8.8831278073044	8.20619095297621	8.80870932573021	7.18843289986066	8.48220279095095	8.58036346761311	7.44261032367425
"MT1G"	11.892282908633	14.1637642259121	14.5282968896381	10.9142481243926	9.17979058619701	13.1392879991927	11.3250289979107	12.52063645778	12.4546517120315	11.0065921757919	13.4802668629804	13.5437576456806	8.77678979766395	10.6851917805085	14.4817105228301	14.8993271923202	8.52174683852056	10.5985706494788	9.76305685530173	8.1042675756028	8.48549965004895	8.71959280343692	9.12596213407247	7.91265486254075	10.2389584570436	9.93967304974278	11.8251372348264	11.1613951143006	8.2199386474902	8.8317102221585	11.0790287118777	8.95859643547971	11.6908525475352	8.21264363393112	9.68957181883604	15.7929740443017	8.80377769697747
"MT1M"	8.25279767085672	12.5845270456113	13.1092547120532	8.05284276274014	7.39169949792829	10.6853343683133	9.10123930236183	10.069756041523	9.0603936227594	7.70986123476029	11.6175614696056	10.737717149781	5.15210880073149	7.88375851329228	12.3347444492943	13.9664152997412	6.04853303099043	7.33127830540409	6.73403803215159	6.00995311233871	7.6718306675093	6.20456583621675	3.41272746143548	6.50020293439438	6.92333699776344	6.77553212969684	9.29863966667279	7.92526564351048	6.53219448399899	5.83420510879588	8.62649203620327	9.27088434340516	9.56297361282743	6.16166146432242	10.341242630394	10.5859036776955	7.94231593830363
"LOC400696"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
