"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"
"FCRL3"	"FCRL3"	2.07536356943036	-0.0958009074320401	-0.0434909688671131	0.0572460111418175	0.210666825507356	0.196288493066868	-0.718431351817248	-0.0568330377525858	0.195815023495312	-0.331075141494728	0.0522234597947679	0.00278363619454683	"IS01"	2.07536356943036
"PLA2G2D"	"PLA2G2D"	1.95986977702578	0.0131717590667508	0.211834888033849	-0.0692900735535185	0.801559884166452	0.197417059531552	-0.816073744382147	-0.166184149755574	-0.163597183519611	-0.388208627982195	-0.218411991049722	-0.228664213134236	"IS01"	1.95986977702578
"BTLA"	"BTLA"	1.95746756468848	0.0481428484390225	0.182257432708205	-0.0285648303114305	0.455801736449006	0.322963500101585	-0.867973351381979	-0.168978751568302	-0.10840513360985	-0.26121842796247	0.0815643481362379	-0.153327693684005	"IS01"	1.95746756468848
"PVRIG"	"PVRIG"	1.90480574533203	-0.197401144204455	-0.115967962464234	0.032177090801949	0.37407233810759	0.366947440670188	-0.619401719453509	-0.171021004524046	0.000577148401798926	-0.30022556840695	-0.0348248437796944	-0.138013066303877	"IS01"	1.90480574533203
"GZMK"	"GZMK"	1.85589727061467	0.221167515136882	0.3559480444914	-0.118108511195098	0.804483776815039	0.807458481387639	-1.17264194903765	-0.118989459989319	-0.161595777608968	-0.229374146886993	0.0880532758459026	-0.28972944159379	"IS01"	1.85589727061467
"SPIB"	"SPIB"	1.7685783435718	0.166409458088052	-0.0383419554187054	0.127302604129767	0.330428216386821	0.132821193152646	-0.747308692628178	-0.175041079138784	0.0818800076714436	-0.316307380349053	0.0281870604366404	-0.127212731556762	"IS01"	1.7685783435718
"TTC24"	"TTC24"	1.74138145024019	-0.0845024943454053	-0.0597249036331239	0.0351261079801048	0.940893625827647	0.567051709738385	-0.907709600530086	0.0369038856286837	0.129232829149403	-0.262938532768606	-0.0895386389467931	-0.135646165496073	"IS01"	1.74138145024019
"ZNF831"	"ZNF831"	1.72754066240535	-0.0928567267561668	0.10586490235015	-0.0935969624235958	0.128771156359214	0.252288107285076	-0.671806137696974	-0.1845908439608	-0.0671869917586154	-0.00584350436206221	0.0366493653679045	-0.159451088327336	"IS01"	1.72754066240535
"RTP5"	"RTP5"	1.70583955038574	0.101409697414359	0.0347855838014123	-0.0523480664568184	0.600534126329142	0.663755790468706	-0.870659001950379	-0.186179564234995	0.0943530808564098	-0.33478774557256	0.0709404174108139	-0.256125989441534	"IS01"	1.70583955038574
"GPR174"	"GPR174"	1.68993795469325	-0.165025009305553	0.181892030927375	-0.0877157506190502	0.571533338380685	0.573127250477663	-0.844243693024875	-0.0780263517663908	0.010470033058343	-0.0658139434267241	0.120709158703454	-0.194605973176313	"IS01"	1.68993795469325
"NCR3"	"NCR3"	1.67163947940115	0.095631072317015	0.128195482496577	-0.0472929597296742	0.296511233957527	0.401250187975098	-0.733919648768235	-0.139812053833283	-0.177669703400041	-0.190982791000456	-0.15381541122327	-0.155991660433514	"IS01"	1.67163947940115
"PTPRCAP"	"PTPRCAP"	1.62100273285502	0.517818192164211	0.213222528942922	-0.0191313191072212	0.802049517008658	0.608119948104314	-1.20874582255013	-0.211869494862641	-0.131294779702806	-0.175290809950239	0.00534490904855266	-0.187291855997818	"IS01"	1.62100273285502
"EOMES"	"EOMES"	1.60526174830491	-0.00417868506533135	0.338315550982477	-0.0115800759818391	0.999359416851175	0.890147512638881	-1.07716524969075	0.00361917465511949	-0.0675654715026245	-0.19103738217371	0.0323142328906041	-0.174598171736314	"IS01"	1.60526174830491
"SIRPG"	"SIRPG"	1.59479910519012	0.268586931935694	0.175284582552482	-0.172402243858385	1.17948825462467	0.612729159963793	-1.1294424245504	-0.0590742885260996	-0.0898396463673949	-0.221778483961996	-0.203454532996046	-0.164043996598992	"IS01"	1.59479910519012
"TRAT1"	"TRAT1"	1.57151349006885	0.00868112210505589	0.279214601511024	0.0102649017770496	0.639338714501194	0.641948725133712	-0.931097196490224	-0.0609305895971482	-0.0989642007220239	-0.102290013483169	0.0928372112478324	-0.188856741136912	"IS01"	1.57151349006885
"IL21"	"IL21"	1.48346908603405	-0.192254037852627	-0.0668814570685911	-0.153046917265152	0.804649465437342	0.07685506799012	-0.51040457353073	-0.0865853260823978	-0.159241555657025	-0.262216131981213	-0.216513576037873	-0.150843885046527	"IS01"	1.48346908603405
"PDCD1"	"PDCD1"	1.45905431900023	0.267731078010619	0.210949709393323	0.165408922581787	1.30999661800987	0.631783015861004	-1.21947040702806	0.0640267161278604	-0.0236291936162068	-0.172533979940412	-0.0637589795370192	-0.202737898912945	"IS01"	1.45905431900023
