"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"State"	"MaxFC"	"InitialState"
"FCRL3"	"FCRL3"	2.07536356943036	-0.0958009074320401	-0.0434909688671131	0.0572460111418175	0.210666825507356	0.196288493066868	-0.718431351817248	-0.0568330377525858	0.195815023495312	-0.331075141494728	0.0522234597947679	0.00278363619454683	"S01"	2.07536356943036	"IS01"
"PLA2G2D"	"PLA2G2D"	1.95986977702578	0.0131717590667508	0.211834888033849	-0.0692900735535185	0.801559884166452	0.197417059531552	-0.816073744382147	-0.166184149755574	-0.163597183519611	-0.388208627982195	-0.218411991049722	-0.228664213134236	"S01"	1.95986977702578	"IS01"
"BTLA"	"BTLA"	1.95746756468848	0.0481428484390225	0.182257432708205	-0.0285648303114305	0.455801736449006	0.322963500101585	-0.867973351381979	-0.168978751568302	-0.10840513360985	-0.26121842796247	0.0815643481362379	-0.153327693684005	"S01"	1.95746756468848	"IS01"
"PVRIG"	"PVRIG"	1.90480574533203	-0.197401144204455	-0.115967962464234	0.032177090801949	0.37407233810759	0.366947440670188	-0.619401719453509	-0.171021004524046	0.000577148401798926	-0.30022556840695	-0.0348248437796944	-0.138013066303877	"S01"	1.90480574533203	"IS01"
"GZMK"	"GZMK"	1.85589727061467	0.221167515136882	0.3559480444914	-0.118108511195098	0.804483776815039	0.807458481387639	-1.17264194903765	-0.118989459989319	-0.161595777608968	-0.229374146886993	0.0880532758459026	-0.28972944159379	"S01"	1.85589727061467	"IS01"
"SPIB"	"SPIB"	1.7685783435718	0.166409458088052	-0.0383419554187054	0.127302604129767	0.330428216386821	0.132821193152646	-0.747308692628178	-0.175041079138784	0.0818800076714436	-0.316307380349053	0.0281870604366404	-0.127212731556762	"S01"	1.7685783435718	"IS01"
"TTC24"	"TTC24"	1.74138145024019	-0.0845024943454053	-0.0597249036331239	0.0351261079801048	0.940893625827647	0.567051709738385	-0.907709600530086	0.0369038856286837	0.129232829149403	-0.262938532768606	-0.0895386389467931	-0.135646165496073	"S01"	1.74138145024019	"IS01"
"ZNF831"	"ZNF831"	1.72754066240535	-0.0928567267561668	0.10586490235015	-0.0935969624235958	0.128771156359214	0.252288107285076	-0.671806137696974	-0.1845908439608	-0.0671869917586154	-0.00584350436206221	0.0366493653679045	-0.159451088327336	"S01"	1.72754066240535	"IS01"
"RTP5"	"RTP5"	1.70583955038574	0.101409697414359	0.0347855838014123	-0.0523480664568184	0.600534126329142	0.663755790468706	-0.870659001950379	-0.186179564234995	0.0943530808564098	-0.33478774557256	0.0709404174108139	-0.256125989441534	"S01"	1.70583955038574	"IS01"
"GPR174"	"GPR174"	1.68993795469325	-0.165025009305553	0.181892030927375	-0.0877157506190502	0.571533338380685	0.573127250477663	-0.844243693024875	-0.0780263517663908	0.010470033058343	-0.0658139434267241	0.120709158703454	-0.194605973176313	"S01"	1.68993795469325	"IS01"
"NCR3"	"NCR3"	1.67163947940115	0.095631072317015	0.128195482496577	-0.0472929597296742	0.296511233957527	0.401250187975098	-0.733919648768235	-0.139812053833283	-0.177669703400041	-0.190982791000456	-0.15381541122327	-0.155991660433514	"S01"	1.67163947940115	"IS01"
"PTPRCAP"	"PTPRCAP"	1.62100273285502	0.517818192164211	0.213222528942922	-0.0191313191072212	0.802049517008658	0.608119948104314	-1.20874582255013	-0.211869494862641	-0.131294779702806	-0.175290809950239	0.00534490904855266	-0.187291855997818	"S01"	1.62100273285502	"IS01"
