"State"	"NumberMarkers"	"PosRatio"
"IS01"	56	12.2423109540817
"IS02"	1	0.442153821255631
"IS03"	15	5.0741672149931
"IS04"	3	9.02893794700364
"IS05"	21	9.48367081354506
"IS06"	6	5.42625590478471
"IS07"	5	0.0787957583163631
"IS08"	8	1.66886415348325
"IS09"	2	2.5852968631971
"IS10"	3	0.791702486761558
"IS11"	4	1.17865101749784
"IS12"	0	8.41623454441547
