"TCGA.05.4249.01A.01R.1107.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.37.4133.01A.01R.1100.07"	"TCGA.34.5240.01A.01R.1443.07"	"TCGA.78.7161.01A.11R.2039.07"	"TCGA.55.A48Y.01A.11R.A24H.07"	"TCGA.NC.A5HM.01A.12R.A26W.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.63.5131.01A.01R.1443.07"	"TCGA.73.4670.01A.01R.1206.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.94.8490.01A.11R.2326.07"	"TCGA.63.7023.01A.11R.1949.07"	"TCGA.37.A5EL.01A.11R.A26W.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.52.7810.01A.11R.2125.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.18.3417.01A.01R.1443.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.18.3406.01A.01R.0980.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.55.A492.01A.11R.A24H.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.22.5473.01A.01R.1635.07"	"TCGA.55.8094.01A.11R.2241.07"	"TCGA.85.8070.01A.11R.2247.07"	"TCGA.85.A4CL.01A.41R.A26W.07"	"TCGA.63.A5MB.01A.11R.A26W.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.49.4514.01A.21R.1858.07"	"TCGA.66.2795.01A.02R.0980.07"	"TCGA.63.5128.01A.01R.1443.07"	"TCGA.85.8052.01A.11R.2247.07"	"TCGA.63.A5MI.01A.12R.A27Q.07"	"TCGA.50.5931.01A.11R.1755.07"	"TCGA.51.4080.01A.01R.1100.07"	"TCGA.33.4566.01A.01R.1443.07"	"TCGA.58.8391.01A.11R.2326.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.22.5471.01A.01R.1635.07"	"TCGA.NC.A5HD.01A.11R.A26W.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.58.A46N.01A.11R.A24H.07"	"TCGA.21.5786.01A.01R.1635.07"	"TCGA.95.7948.01A.11R.2187.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.60.2719.01A.01R.0851.07"	"TCGA.38.4631.01A.01R.1755.07"	"TCGA.NC.A5HG.01A.11R.A26W.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.94.A5I6.01A.21R.A27Q.07"	"TCGA.NC.A5HR.01A.21R.A26W.07"	"TCGA.70.6723.01A.11R.1820.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.55.7913.01B.11R.2241.07"	"TCGA.22.4591.01A.01R.1201.07"	"TCGA.NC.A5HH.01A.11R.A26W.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.77.8128.01A.11R.2247.07"	"TCGA.94.8491.01A.11R.2326.07"	"TCGA.4B.A93V.01A.11R.A39D.07"	"TCGA.18.3411.01A.01R.0980.07"	"TCGA.63.A5MU.01A.11R.A26W.07"	"TCGA.51.4079.01A.01R.1100.07"	"TCGA.NK.A7XE.01A.12R.A405.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.33.6738.01A.11R.1949.07"	"TCGA.33.4586.01A.01R.1443.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.85.7710.01A.11R.2125.07"
"DPEP2"	-0.82346731316939	1.66375421174219	1.37662586598577	2.02597223418289	0.818583029949814	1.38187859568723	0.0495692860731303	0.0918326737528233	1.60987181442928	0.990779654169047	1.8210488814531	1.93261791593466	1.73776144547495	2.05877206408317	1.9945814610729	1.00549513472967	1.37961490499125	1.06893939606012	-0.521369210811866	1.51478848114927	1.03440441861893	1.80192739465152	0.683591982175049	0.823374407245067	1.32510987692111	1.93899732276281	2.03369390220566	1.92919215711747	1.61415876880854	1.85697376899364	1.85998992458008	1.36133200104736	1.90299889715918	2.06179234798429	-0.441555792736398	-0.0108423025368303	1.17268348729031	2.0681091801412	1.41966640043316	-0.934360334265419	2.06495867306759	-0.08572318818697	2.11062980794668	0.86590206820953	1.99612501006962	1.94284739840573	-0.832722060897605	2.02073753047092	1.12749913650739	0.7361867452843	1.96216113571507	-0.37272108181101	0.574887867009324	1.79822740571106	1.29369287177306	1.91387811480195	1.26089894566472	0.96959744763901	1.82991634015309	1.39712025182608	1.96420717423491	1.36328437185678	1.87703192028786	1.93901864076579	0.159778121056455	2.02274506164462	0.738652393791091	1.95154232103368	-0.773141122459164	-0.603845147468456	-0.759034977574836	-0.623218452331804	-0.782775712007058	-0.688786664794658	-0.696895886826631	-0.510149799638152	-0.663727632589954	-0.840232315476009	-0.683481155335477	-0.621433171558731	-0.702779861614883	-0.771748433536214	-0.875215555585929	-1.04636671274557	-0.801230807907573	-0.771262361000694	-0.851299490300178	-0.772726370578683	-0.808762602528448	-0.72734741655541	-0.659468241372704	-0.663159748207037	-0.819176188138144	-0.659271001734533	-0.648426987429895	-0.803154624938614	-0.912401763351964	-0.647263726259899	-0.741710359058793	-0.665536438179519	-0.615424238353765	-0.747482303020224	-0.753344787560033	-0.684213507894007	-0.858458578219175	-0.67800451386942	-0.811687064562748	-0.794855387316914	-0.665728029063626	-0.574568127365444	-0.690846472473621	-0.796846464954571	-0.911899122413043	0.0275731813113617	-0.505021489212651	-0.810723262201923	-0.801150147158081	-0.742363065783372	-0.568307728518035	-0.726959027351971	-0.767538427389647	-0.430791899270656	-0.770347382418853	-0.688109104457472	-0.630507747557828	-0.681318457667078	-0.642765012707749	-0.671504122936619	-0.961768669855255	-0.610958348179486	-0.626589960677977	-0.642624193008923	-0.626327085223193	-0.671031378198554	-0.670096850779593	-0.852571966431421	-0.835886693899289	-0.566441857186519	-0.693380077053269	-0.757889119656053	-0.733877748593026	-0.714449623005407	-0.902234734517631	-0.817080471691703	-0.743674893879453	-0.831698343627323	-0.527634651184233	-0.740341395513382	-0.688149329250979
"SPN"	1.21713111571346	1.19498490147339	1.62850571377164	1.82357571299627	1.13649150195254	1.04080313360758	1.58320495395092	1.18106136386987	1.38831787193003	-0.115728585180736	1.66238742688258	1.71592263947194	1.23577764703123	1.78139365362887	1.61200238086631	0.104409238703413	0.957546055880036	1.19797951419594	1.03748017570043	0.636170179597698	0.876241472755868	-0.0257218672094104	1.23233496670603	1.28458390714712	1.66791639196532	1.73031544108195	1.72750137561029	1.77632917413557	0.883287724988568	1.15884388200059	1.69797923786186	1.29481013091855	1.79242797385662	1.71850480980273	1.04216349228297	-0.263658303824147	0.8956664499306	1.6399497932469	1.37466620173447	0.240403867419654	1.85279789770644	1.61028673322196	1.64114249663362	1.43587024816064	1.60610556580712	1.73375469717633	-0.173941089413495	1.78459967735587	0.767777435516268	0.944809021787064	1.25979480606112	1.09747292816721	0.977645022290893	1.69847429720883	1.31083343254683	1.57738535446962	0.706255407333393	0.334821931604922	1.85017810531481	1.19979676708584	1.83834735903079	0.647158786900731	1.67438946383925	1.8454489458453	0.293080273009128	1.86049396886064	1.38576681995238	1.67338323671922	-0.306422522049157	-1.12696457164367	-0.988783032464515	-1.11983619738041	-0.640855146912222	-1.08636043483045	-1.15532590611726	-1.18248048558769	-1.22780670166104	-0.394422756916341	-1.32172883808417	-1.11515102696489	-1.13928463444287	-1.18344672620764	-1.52596785430865	-1.37591694529087	-0.742269694988698	-1.24968806936407	-1.30213355202602	-0.430266605300751	-1.21083582356708	-0.806470908023622	-1.32578295422172	-1.10441096609337	-0.462040389833084	-0.304233328182372	-1.35651199857431	-1.30206111413295	-1.23695361206309	-0.36580581025337	-1.14639058368646	-1.57382843915007	-0.54763846807182	-1.28666764003189	-1.31745344323036	-0.0682792113569832	-1.21821990569469	0.640031382411201	-1.18511424641131	-1.2225578004373	-1.23679643959352	-0.734943314362507	-1.12922726639136	-0.132489030624891	-1.15529087313776	-0.441571150591825	-1.0997585550733	-1.41443210120115	-0.965648579087363	-1.40515123415512	-0.872910353500521	-1.33608993016682	-1.06922000697243	-0.520793459105373	-1.33481029646601	-1.41240586166112	-0.570530643160695	-0.578561714344324	-0.934742739832068	-1.11757315261815	-1.31716399566263	-0.501617898113644	-1.35301235752178	-1.35151483725544	-1.30521549208891	-1.35688781592822	-1.24204165670041	-0.989059812310454	-1.29630464382833	-0.376836992051316	-1.04500274025677	-1.26961280908199	-1.28154378710181	-0.632078398018679	-1.36003033859098	-1.09379338463667	-0.844191086737601	-1.35885805428527	-1.1302741546431	-1.00230604772802	-0.643006099325765
"RASGRP4"	1.18016360799223	1.81304243792046	1.33569408440608	1.29134219156895	-0.244091563629775	1.11215446121667	1.14954143087724	0.329030779192718	1.18695331643613	0.139398944958006	1.34780801512707	1.45836471682998	1.22638121163224	1.57412920736315	1.52234618095824	1.47754324077472	1.31404313212297	1.11537875306945	1.26025493251266	-0.0769867372587584	0.477447471461747	2.0102051180189	1.30897377149616	1.76863124374983	1.35695270223663	1.64513877773643	1.72096462716272	1.89368657950428	-0.672059870794874	1.30422491751174	1.63228283537752	1.27548760208991	1.57821200312247	1.89211111034515	1.51795787131608	1.42344484313156	1.34420960512473	2.03117175395142	1.0312821072346	0.379057229198091	1.71823810072014	0.506793446796622	1.11194409950889	1.43000504985929	0.524944243179493	1.91549463729627	1.07968630324412	1.54815271400041	1.26352550795881	1.32351664007856	0.521073062970192	-0.790229262694465	-0.162364836494769	1.90737240366049	1.14844730857094	1.70807231343672	1.40474074507777	0.997381437739933	1.89185544745224	1.31454786683306	1.90595160506049	0.414277273139621	1.55912891871364	1.94367883039486	1.36961200889572	1.74237754690566	1.4690230458393	1.31961806443485	-0.409562962114608	-1.02101316709198	-0.850743550470588	-0.539077916308599	-0.325394178844893	-0.796643082462161	-0.384435162523719	-0.978774568842153	-0.779830863796419	-0.761569013016625	-0.82242642824235	-0.485233671745574	-1.20677963522858	-0.392174651051419	-1.03530692477355	-1.00082793246705	-0.55592918717548	-1.30686890258155	-1.03614313456274	-1.07567581457184	-0.761889632910978	-1.03845208057525	-0.275706247186195	-0.864849718480049	-0.613170638385688	-1.80037784289059	-0.378016038831999	-0.445255396589875	-0.84411329095759	-1.0848226936906	-0.834138268877072	-1.20065715052767	-0.897796672063383	-0.35309107754378	-0.448706557490096	-1.04313037861406	-0.266792778638484	-1.14698883645718	-0.99488692780719	-0.615190062838517	-0.219069352300668	-0.0481375241464255	-1.10317885044355	-0.0224069929718638	-0.918131122939506	-0.784500182830668	-0.826892535625819	-0.751046471216768	-0.796285677618711	-0.781249259386718	-0.765181245140612	0.183273281105096	-0.694428798498551	-0.479962080959237	-0.876854967104131	-0.436572690853473	-0.371645519734291	-0.803853491204988	-1.02129460619496	-0.661726840478129	-0.614034976065423	-1.05486465041503	-1.05454404636862	-0.521227613520817	-0.134391051240332	-0.777118634970648	-1.13868834343978	0.515155213967217	-0.479554983430892	-0.815264900888944	-0.864373243251351	-0.870293494071293	-0.99123726124485	-0.513275457980788	-0.541726494512908	-0.769646434168081	-0.310071219693677	-0.780919588898246	-1.3947878523286	0.315299717739821	-0.623553744158432
"BTK"	1.33112614056897	0.970309182017287	1.35676314776751	1.74399847259764	1.19003620454293	1.20508101950779	0.556538725123518	0.820223452263189	1.09273762761338	0.367756187171397	1.36504149042077	1.13397922012755	1.36708278860693	1.52135471976582	1.48665706126866	1.19944816433839	1.46464230828857	1.27408745248388	1.30033043178816	1.63254613932256	1.59289635827075	1.74252631832329	0.983112540426063	1.29393787370466	1.52451202214261	1.73709100161576	1.65601269315061	1.30889154746986	1.25301668819607	0.910036005703359	1.26115776945949	1.2825378468768	1.56882828403486	1.65437284124376	0.0102383688859858	0.578152496069485	1.2771871161789	1.27987273015714	1.54380275776737	-0.114548078999268	1.31940204519365	0.306126475005016	1.18734040407295	1.11345259339026	0.522370549504506	1.44719352991077	0.293121843000746	1.6710671883051	0.949288786086614	1.54208887431262	1.58962658566724	1.39640858360003	1.41436107791336	1.21067610047092	1.45352034161148	1.47823443977124	0.443179714284447	1.22544176842529	1.58671153163272	1.42914953794322	1.13112667249573	1.20482887062022	1.20392870134563	1.63963219178495	1.63379141624098	1.31635310885153	1.12932714588617	0.815101761651533	-0.726908061579633	-0.91624196043841	-1.29358307247165	-0.962091737970051	-0.911735810725377	-0.823212186564507	-0.818449504386378	-0.774227842168048	-1.57925908387538	-0.701072118706745	-1.18547958373956	-0.955299617626452	-1.34893495055197	-0.839967092695482	-1.12352731414384	-1.04453281304268	-1.06940659388618	-1.13027766533058	-1.24887578676511	-1.05555704497196	-1.31141483300742	-0.410733301874227	-0.737050535667577	-1.17079905169465	-0.945973392369862	-0.741402748294203	-1.21108922350899	-1.06920758358593	-1.10396743912505	-1.04803702339435	-0.602079963382991	-0.893468470063684	-1.07687065593171	-0.362633020122367	-1.18346432637162	-0.966341131557489	-1.21962901290453	-1.28870463047286	-0.816877846444728	-0.908709424413573	-1.00225070097849	-0.89906968246706	-0.985494555919873	-1.02377730969968	-1.09432270945646	-0.952295633567048	-0.819430231693601	-1.17197646125233	-1.03314045651062	-1.09676381661663	0.892893437182473	0.0145348238221212	-1.2116976106169	-0.659607076450902	-0.884030797095857	-1.39332533574599	-0.635438472393613	-0.939287198169154	-0.725550440372999	-1.08624477576347	-1.38507997505811	-1.54582050317463	-0.76910257174683	-0.989119695068958	-0.861169274375575	-1.01300419940434	-1.26973491309682	-0.808410535364628	-1.14652781403342	-0.129959720584207	-1.06372354521855	-1.18779376650203	-0.875340100138774	-0.474819804510377	-1.10358988043979	-0.892665762839464	-1.28303753277571	-1.0627745888503	-0.236400547306623	-0.964776744800297	-1.35080469255452
"MRC1"	0.600745794650462	1.25684689900526	1.79478185575908	1.66299158686296	0.773374637188052	1.18098434965044	1.04280796763797	1.4985443421885	1.4116087969029	0.525413203790505	1.48996844792359	1.68764030455029	0.710991618804301	1.57368497376283	1.53859163889495	1.23988317054435	-0.411200113735604	1.27001998474338	0.17836499683759	0.220504258031973	0.76728434453874	1.24682154241417	1.23876299466421	1.61443421870576	1.65129071267639	1.61284574320915	1.60025331647331	1.718096856866	1.37350763436197	1.13977834495552	1.33771727798871	1.50665975925883	1.64725779744285	1.64311932689264	1.04110801324719	-0.152928633374612	1.4314200456722	1.50362116417289	0.80452177979866	-0.148658934613753	1.66367244732492	1.25478480144728	1.28933450921334	1.29029626985399	1.57427383257636	1.55010050758397	0.983536129739989	1.63584966483268	1.56571321768424	1.65228660056423	-0.0598181024620419	0.195034749922444	-0.0479515177687897	1.60912236809448	1.30863824746062	1.4416474839259	1.16746350912142	1.25823374026988	1.67225050260846	0.783143847141419	1.77958332374801	0.924976680555714	1.62805922321051	1.74508028863652	1.40059563945193	1.64672280544805	1.08858315444976	1.57514196765731	-1.15071279462381	-1.06913445749112	-0.811668539436705	-1.10103936458751	-0.79860874065811	-1.19661773111627	-1.12665599610153	-0.562328552382737	-0.949142292207009	-1.00566439961496	-1.1492921294478	-0.758381636858876	-1.18254437799425	-1.04854192897063	-1.18386096299354	-1.12223820218343	0.0520883292802021	-1.18527479468488	-1.01381459342047	-0.480408728136399	-1.14053378222711	-0.9648759048431	-0.866180811234213	-1.0575329107922	-0.565737918459248	-0.307488199050704	-0.952966323644523	0.183525372160996	-1.18109300629559	-1.21630402425418	-1.0820772503009	-1.02155154159983	-1.12264324511741	-0.824635168686318	-1.18251642594849	-0.65946973286667	-1.13194202033443	-1.11361944888716	-1.04449646098381	-1.03647757881872	-1.04612523743867	-0.851468691616946	-0.967113605505475	-0.939299855532292	-1.18671466613277	-1.12599384575091	-1.06201056808978	-1.15111516937966	-1.07951777741225	-1.04152322168708	-0.652369262177894	0.217468574103754	-0.875718681550508	-0.197093583795875	-1.02834176963914	-1.18693112651996	-0.711891261191626	-1.1043294625752	-0.677725081308012	-1.07250608341577	-1.15548380103874	-0.9117628824606	-0.954127578779785	-1.00762611264352	-0.944014791555405	-1.17864879670099	-1.10705349418662	0.0205670767808467	-1.14916546897573	-1.18081845277115	-1.1395397889997	-0.904586628567891	-1.11546419358381	-0.956677647493541	-1.09016644264646	1.11702882317278	-1.11884286785969	-1.20750335881094	-0.869577299739327	-0.148956480826152	-0.661850816922632
"OLR1"	-0.380413019491749	1.35514458415348	1.94476379344115	2.10773338365236	-0.00419651858863253	1.13362702943667	1.17215378645633	0.613630551447787	1.64209375244899	0.252362918161603	2.01841281510923	1.748097966765	0.354957243216675	1.88050184484571	2.09995810081291	0.834603477877701	0.53019568064935	0.28289871530506	-0.880423732000791	1.24218398434117	-0.512652790821106	1.39072246079791	0.966251247359456	1.64172007889182	1.58291886120402	2.01555740718752	2.05074577304232	1.95824776924623	1.74653753768111	0.948947170148368	1.88004534064062	1.19478623254058	2.06187705802541	2.08709298076331	-0.243427496317141	1.00495163638723	0.95676113854023	1.37487743040949	0.889286262935576	-0.609655113283281	1.92886774339798	0.953778613107567	1.5346809643401	-0.542078549649018	1.55523516040449	1.61564838187003	1.2822285568061	1.80804811338926	1.32455564379002	1.78539917178887	1.46009979702074	1.31813611654513	-0.477166351502796	1.69494539048602	0.575653340489185	1.52092428835831	1.84981404436551	0.0758733452107705	1.94406692464716	-0.0648240661836755	1.96146259486537	0.856122851051442	1.84007459357905	2.12028121480553	1.3605544912469	1.93124770111911	0.476466311794766	1.91245321853185	-0.850730918107192	-0.766448411412459	-0.906148856495566	-0.825980619638032	0.396704334937845	-0.916086392509043	-0.920583830577506	-0.735304163774897	-0.830590679583494	-0.809047410008819	-0.913100228578435	-0.680858352745831	-0.788911240844521	-0.705389132572816	-0.894794309890371	-0.826245808593093	-0.91511983408381	1.31686777370601	-0.70790888811825	-0.693120034761524	-0.835708883337172	-0.772813500864029	0.61065394663594	-0.88759672950747	-0.791904350846526	-0.80071011765838	-0.810344068887554	-0.826722903307021	-0.806156834886142	-0.738437987913454	-0.385610864000419	-0.725535621586312	-0.864922586512562	-0.757159712110224	-0.897400920022349	-0.645710420383629	-0.844470888099537	-0.93203100163726	-0.772281132457929	1.73089038745923	-0.818294106400724	-0.819256777968736	-0.824078776987915	-0.808543590731526	-0.697602998134967	-0.878589477393348	-0.697765949596848	-0.922987531531188	-0.80949260741942	-0.794645931133115	-0.883541591166712	1.78302182471646	-0.866175438210674	-0.638272254062948	-0.901216215448611	-0.865422118359836	-0.335437238950161	-0.868306022768308	-0.727980584861588	-0.86994365700081	-0.916685415484396	-0.842410702113868	-0.819831089464703	-0.853852320310251	-0.792208744162646	-0.919598462365332	-0.832789899346225	-0.644723674926748	-0.827784661132967	-0.757296803192981	-0.715169250571339	-0.720386701747097	-0.924022858536155	-0.741804435361844	-0.119265769750293	-0.710018609820091	-0.543701022115182	-0.888453681520536	-0.792667602103789	-0.847819516903345	1.28720138054049
"ARHGEF6"	1.19684888984033	0.873428703324112	1.36566754751569	0.583906790547847	1.21761856919247	1.16217011273336	0.770095452758653	0.846891198354664	1.72546320380498	-0.514794727132352	1.8741439447019	0.891167194516879	0.63970154745142	1.9015348041336	1.84651312113425	1.10374767455795	1.24331805923963	0.737137897267692	0.686164660763689	0.816545815548315	1.47992318772513	1.33852530651797	1.23717264487175	0.0795623897332775	1.61033500834492	1.9016492263805	1.73806845721776	1.70332370606194	-0.297841557220334	0.957549531427947	1.61522388267967	1.89813876675281	1.74958911039805	0.822544043246389	-0.216412907606462	1.11996910115131	-0.182574639903645	0.49593078251516	1.78135291930227	0.76886318427548	1.55753862304338	1.58769108571432	0.923050830976244	1.59967474614423	1.46699539074307	1.6544703622697	0.949273933242143	1.69161476148808	0.89286382256011	1.5440473103759	0.821109183795899	1.06389646654822	1.0230338201348	1.81723879175105	1.62594644661589	1.6546160773237	0.969927207887345	1.27076268503356	1.49153962681909	0.99053313409778	1.79164798828873	0.807471802506838	0.759638837980831	1.75101108983425	1.91625627715108	1.53194035377131	0.349934239396968	1.77395234792132	-1.25040085213374	-0.904003042389924	-1.24538840200135	-0.996611463314105	-1.49029983057844	-0.871348310879744	-0.576494708649807	-1.24164137524033	-1.04739621307129	0.433352971443436	-0.374943869695841	-1.29467641810885	-0.58094194791594	-1.41792748864712	-0.994212271125461	-0.893480763541981	-0.0690315324681511	-0.574482809989422	-1.16352730527126	-0.26709874259413	-0.878134997901877	-1.40563381384389	-1.0311765310995	-0.629032113021833	-0.807441383603896	-0.855753057243044	-0.609207714736855	-0.472488344790322	-0.741730450256149	-0.879823285617728	-1.13290143142429	-1.19107811380934	-0.852366910713421	-1.14338608161478	-1.30320272771091	-1.71640412212005	-0.786618683872832	-1.19253204324403	-0.502260281519844	-0.999042717745626	-1.12524789492462	-0.994101096850716	-0.945782594679775	-1.67504868268642	-0.917640393402369	-0.67073195642467	-0.886867674461615	-0.772014830842873	-1.02215091757652	-0.640061615993925	-1.2894917995848	-0.608084653507894	-0.14146787334041	-1.0508994205785	-0.799153071772689	-0.679680045256565	-1.31684326706391	-1.26685124624395	-1.03215000182106	-0.933164570485648	-0.632967692927694	-0.972290254583459	1.19929827859326	-0.615800071515576	-1.14890587417739	-0.812362962644757	-1.19275171659012	-0.853874879095286	-0.654181957495115	-1.13901880350283	-0.671669167939336	-1.4235185900122	-0.951842747705486	-0.959800678438261	-1.00994091140923	-1.63353509348771	-0.516302080983196	-0.710645119590616	-0.663288719420454	-1.2776866793959	-0.0149791505514741
"MS4A2"	1.50973744839636	1.46547687915995	0.788170354200166	1.22940933287791	1.41632526847211	1.14236134471266	1.45804803794398	0.409319488817582	1.54182243971953	0.419330249120769	1.52316853610045	1.23566405345719	1.4453168052867	1.8096425163028	1.43909003543614	0.476706772103396	1.72212509270149	1.39411174190259	1.54179707360522	-0.487983619749646	1.50710567850316	0.734736705782887	1.30346606753463	-0.347403591745964	1.41891570361046	1.75431021507117	1.56846456851961	1.44432185676232	1.34663783713537	1.36493390586029	1.73734278607989	1.37685399553212	1.45672756737013	1.66678466411005	1.3854233987867	1.45217602968434	-0.308042479500063	1.43939003200269	0.771487004486103	1.727518839157	1.64594851862545	0.775313748714108	-0.0741667202076723	1.4675358230641	0.125920791390829	1.47954505385871	0.9822354599657	1.41634914837186	1.43779985750868	1.41306831703263	0.63756653801246	1.47436032963228	-0.328974059072536	1.46858224681309	0.977191661172776	1.52720691170335	1.49393596608241	1.59195872628736	0.530126988791094	0.716718548333422	1.38528705618561	1.33868090245249	1.33443715846305	1.6406106467465	1.72406315991072	1.52749342614776	-0.296326954573026	1.44944153321572	-0.752558750716147	-1.40279017914188	-0.299694353159521	-0.763870464349351	-0.313516088338858	-1.39320527939804	-1.36494817445743	-0.543949232949218	-1.40777539128465	-0.231126927302581	-0.16343312710103	-1.04857715820542	-1.15817945666906	0.242408237694879	-1.51427863162068	-1.23120902259033	-1.25421424255343	-1.10872010852749	-0.998318766742226	-0.396878444151486	-0.744838137704913	-0.527599313866626	-1.24423790828399	-0.799959873651062	-0.883965253407108	-1.04043628422569	-0.590966367418562	-1.42290139392022	-1.37772176413415	-1.36927574766087	-0.886893367314883	-0.903759974590812	-1.40900926160321	-0.266136379548004	-1.38515550856249	0.388866448059467	-0.326789752235473	-1.41843726549378	-1.34162638933487	-1.45276126026958	-0.639312689485606	-0.815622524995214	0.348593874759853	-1.19439592322815	-0.535077115868577	-1.62747879708245	-0.191647626398133	-0.26801432743737	-1.04918501062778	-0.190259433354048	-0.736743721830955	-0.803987306910917	-0.675429537893687	-1.31401083819892	-1.31736084783255	-1.27260846403145	-0.695652146294679	0.424711912243223	0.0717717335577191	-1.32744030742055	-1.33507541755956	-0.312335595019206	-1.33614798462085	-1.66944543924127	-0.857456740822476	-1.346418079967	-1.23823606517785	-0.841791280072225	-0.30926130312587	-0.528124067281358	-1.39228362031493	-0.31799594529063	0.227032699397177	-0.850915613438282	-1.45068935194263	-1.60254606950718	-0.717221832234744	-1.19946766290994	-0.323165973108074	-0.226493450091077	0.415102956805155
