"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"
"GLDC__pos"	4.0306997429352	1.43952386209226	12.8456515281883	8.06480507524218	27.5022362786101	16.0670440680034	8.89297065859498
"CCND1__pos"	8.90662076949495	3.19581386886396	2.22044604925031e-16	6.97050676694188	23.0728608979191	0.457516306245411	30.2061918945181
"WASH3P__pos"	58.1221876178429	0.0741464053897068	2.22044604925031e-16	5.18735513803089	2.90418861108676	11.9926958792617	2.22044604925031e-16
"CCL21__pos"	24.5940114399791	6.99383581454641	2.9388706731676	2.52263196595712	34.8093825166653	2.22044604925031e-16	9.42074772213155
"ACY3__pos"	11.329231056808	38.3603138668783	14.7633327353507	2.22044604925031e-16	10.1209301155677	10.643278900372	7.79346833359873
"TNFRSF8__pos"	11.1872858578935	4.18653459029636	5.90332276441	7.00785937269653	18.9824688244435	2.43703846287067	33.8177495708907
"LOC338799__pos"	48.2043875938411	0.190023913837909	2.22044604925031e-16	6.61899138972542	3.19573198340161	28.4142186460976	2.22044604925031e-16
"EFCAB4A__pos"	32.1295864691482	2.22044604925031e-16	2.22044604925031e-16	8.84579144744354	13.0863663402188	28.9825442979046	4.58061957305434
"SATB1__pos"	3.51076671465932	12.8893784916416	2.22044604925031e-16	7.78408733630886	44.4999392688787	10.1315855406951	12.1475820474634
"IL1R2__pos"	2.30714311596976	2.22044604925031e-16	11.1199048646241	5.32523874748095	49.4864776110628	4.0394612798099	11.3374273643215
"TTLL3__pos"	64.3073231831482	0.421090003488301	2.22044604925031e-16	7.68749794337776	0.35185872369836	10.7413382507267	2.22044604925031e-16
"TMPRSS3__pos"	19.4866704425623	1.06043193500982	6.08373865667992	8.5538984001911	42.9206930379414	2.19555813491118	5.46802782938449
"FNDC3B__pos"	2.22044604925031e-16	2.22044604925031e-16	0.138892957919521	7.77886169020504	21.3108136442482	2.22044604925031e-16	66.459609901072
"ATP9A__pos"	3.16129552412024	2.22044604925031e-16	2.80157396806204	16.9102628436442	57.5513957370228	2.22044604925031e-16	17.6418449141147
"C21orf57__pos"	8.95406790542245	20.8159242065386	22.7138765574519	4.07289179229109e-13	2.22044604925031e-16	21.8717692974264	1.93532638539607
"CACHD1__pos"	10.8062780696478	2.22044604925031e-16	1.91320799056077	19.0350443841374	3.30146032250344	14.0655944736854	47.5070664016461
"MPDZ__pos"	3.14582085159424	2.22044604925031e-16	2.22044604925031e-16	16.1150754151553	9.67911841440722	2.64144332370162	52.8260124560576
"JSRP1__pos"	21.0556067153201	4.47386944200201	5.35354063300251	2.22044604925031e-16	9.11304736551934	18.9568226517695	25.2554683112792
"ADRA2A__pos"	17.0755468630593	1.64325889302765	2.22044604925031e-16	11.7286835865676	4.14732148835045	2.22044604925031e-16	61.1822967111759
"OTOF__pos"	15.3064994810204	1.94574260917605	2.22044604925031e-16	8.40824460810317	35.4836780049853	11.7726742904311	9.9656983513004
"MLC1__pos"	18.3248078303175	17.4082119774254	8.36430334298411	0.596319350823516	7.70816627199394	1.74059282865483	42.0714264194663
"HLA.DQA2__pos"	15.7523970958718	7.17162953074365	11.7896808085433	2.22044604925031e-16	24.155190163648	12.5477053043361	11.2404700239874
"NELL2__pos"	2.22044604925031e-16	15.520837934276	4.78407081198459	9.03941936133619	58.9997231405745	2.22044604925031e-16	10.8874960803269
"TSPAN10__pos"	3.81193871195857	21.9892726210478	4.33643344233164	0.177751750080264	28.8228743144685	26.9251852051237	6.05606808962251
"AGER__pos"	77.5703089583689	2.22044604925031e-16	2.22044604925031e-16	6.34359936489392	2.22044604925031e-16	4.62212241428864	2.22044604925031e-16
"MYL9__pos"	13.9987219252262	6.38069154850962	0.0306216094997556	2.43254036275407	2.22044604925031e-16	2.22044604925031e-16	62.8279929033307
"HLA.DRB6__pos"	23.5903567253294	21.0958560885225	13.757288045236	2.22044604925031e-16	23.9144267859492	1.49432146535111	1.30026901905014
"PAQR7__pos"	26.1266286439516	2.22044604925031e-16	0.928105352302099	6.32437831237447	1.97844860933326	21.3915743776088	10.9548234830643
"CCL19__pos"	20.3338443935258	13.4068213979373	6.73539738490336	0.147153994197886	46.4824072463401	2.22044604925031e-16	10.2647046457466
"TMEM176A__pos"	4.03152624266479	17.795867474299	1.8673604967995	0.85837375812573	41.2957350995564	2.22044604925031e-16	24.9152945817808
"PACSIN1__pos"	8.54924105972707	21.2677325868142	2.22044604925031e-16	1.90086621115041	59.4400629561208	0.787234754126639	6.19340797338819
"GLYCTK__pos"	31.9469862758677	4.64948623111435	5.56961768311588	6.48449150795301	6.85012297504786	21.1848046154542	2.31274462812445
"CXCR3__pos"	10.0318002179931	6.82564243217355	2.47978791463424	2.22044604925031e-16	68.6347205356325	1.92987963101962e-06	2.22044604925031e-16
"TNIK__pos"	2.22044604925031e-16	2.22044604925031e-16	0.933575461480793	16.0029331732918	46.9591385740345	13.2201397686113	15.6223100273537
"LOC100130988__pos"	11.2856671153143	20.4885171046686	22.4723079633805	2.22044604925031e-16	2.22044604925031e-16	31.8390354351788	2.57204064031763
"DCXR__pos"	23.9844529332809	14.875142380913	17.5007916274271	2.22044604925031e-16	6.3820936003512	8.37757124458737	2.1816289533141
"SCARA3__pos"	16.2975687142159	13.1965021935579	0.746148414788156	6.4857655560407	16.2539042828042	2.22044604925031e-16	46.8062366454227
"ALOX15B__pos"	2.22044604925031e-16	12.9605642729695	7.05660684528391	1.82164866792873	59.0959608806761	6.48474440498244	12.5151738186763
