"NK.cells_S03"	"Monocytes.and.Macrophages_S06"	"Dendritic.cells_S08"	"Mast.cells_S05"	"PMNs_S03"	"Fibroblasts_S03"	"Endothelial.cells_S02"	"Epithelial.cells_S03"	"Monocytes.and.Macrophages_S07"	"Dendritic.cells_S07"	"Fibroblasts_S08"	"Epithelial.cells_S01"	"CD8.T.cells_S02"	"Monocytes.and.Macrophages_S04"	"Dendritic.cells_S02"	"Mast.cells_S06"	"Dendritic.cells_S04"	"Fibroblasts_S01"	"Endothelial.cells_S05"	"B.cells_S02"	"PCs_S03"	"NK.cells_S05"	"Fibroblasts_S06"	"B.cells_S03"	"CD4.T.cells_S04"	"Monocytes.and.Macrophages_S05"	"Dendritic.cells_S05"	"Mast.cells_S01"	"PMNs_S02"	"Fibroblasts_S02"	"Endothelial.cells_S01"	"Epithelial.cells_S02"	"PCs_S06"	"CD4.T.cells_S06"	"Monocytes.and.Macrophages_S08"	"Fibroblasts_S04"	"B.cells_S04"	"CD4.T.cells_S07"	"Monocytes.and.Macrophages_S09"	"Mast.cells_S03"	"Fibroblasts_S05"	"Endothelial.cells_S04"	"Epithelial.cells_S06"	"B.cells_S05"	"PCs_S02"	"CD8.T.cells_S03"	"CD4.T.cells_S01"	"NK.cells_S01"	"Monocytes.and.Macrophages_S03"	"Dendritic.cells_S03"	"Epithelial.cells_S04"	"B.cells_S01"	"PCs_S01"	"CD8.T.cells_S01"	"CD4.T.cells_S02"	"Monocytes.and.Macrophages_S01"	"Dendritic.cells_S01"	"Mast.cells_S04"
"Fibroblasts_S08"	0	0	0	0	0.135278514588859	0	0.131227217496962	0.104754829123328	0.236363636363636	0.18452380952381	1	0.244962884411453	0	0	0	0.108490566037736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106427818756586	0.078781512605042	0	0	0.0644361833952912	0.0818414322250639	0	0	0	0	0	0	0
"Epithelial.cells_S01"	0	0	0	0	0	0	0	0	0.108585858585859	0.0658385093167702	0.244962884411453	1	0	0	0	0.0591966173361522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0919471153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD8.T.cells_S02"	0.0901442307692308	0	0.0699588477366255	0.0691964285714286	0.0755848830233953	0.0975609756097561	0.0767590618336887	0.0754716981132075	0	0	0	0	1	0.177024482109228	0.194805194805195	0.100185528756957	0.0277777777777778	0	0	0	0	0	0	0.0660377358490566	0.0428571428571429	0	0	0	0.045016077170418	0.0387596899224806	0	0.0427350427350427	0	0	0	0	0	0	0	0	0	0	0	0.070722433460076	0.117056856187291	0	0	0	0	0	0.0525114155251142	0	0	0	0	0	0	0.0438292964244521
"Monocytes.and.Macrophages_S04"	0.114	0	0.0613138686131387	0.0807050092764379	0.160766105629716	0.117241379310345	0.150300601202405	0.16220880069025	0	0.084297520661157	0	0	0.177024482109228	1	0.16632860040568	0.26984126984127	0.0244399185336049	0.0297619047619048	0	0	0	0	0	0.076797385620915	0	0	0	0	0	0	0	0	0	0.05	0	0.0659229208924949	0	0	0	0	0	0	0	0.125435540069686	0.121794871794872	0	0.0610047846889952	0	0	0	0.071157495256167	0	0	0	0	0	0	0
"Dendritic.cells_S02"	0.0567200986436498	0	0	0.0389016018306636	0.0608642726719416	0.0655737704918033	0.0539568345323741	0.0551790900290416	0	0	0	0	0.194805194805195	0.16632860040568	1	0.13125	0	0	0	0	0	0	0	0.0387596899224806	0	0	0	0	0	0	0	0.0351201478743068	0	0	0	0	0	0	0	0	0	0	0	0.0642633228840125	0.127737226277372	0	0.0344827586206897	0	0	0	0.0480769230769231	0	0	0	0	0	0	0.0414129110840439
"Mast.cells_S06"	0.0628683693516699	0	0	0	0.1415313225058	0.0718358038768529	0.122177954847278	0.108768971332209	0.0505709624796085	0.134545454545455	0.108490566037736	0.0591966173361522	0.100185528756957	0.26984126984127	0.13125	1	0	0	0	0	0	0	0	0.0645161290322581	0	0	0	0	0.0599078341013825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101600556715379	0.130026809651475	0.0988735919899875	0.0975609756097561	0.0789473684210526	0.0630530973451327	0.0700934579439252	0.0904572564612326	0	0	0	0	0	0	0
"Dendritic.cells_S04"	0.0261437908496732	0	0	0	0	0	0	0	0.0327380952380952	0	0	0	0.0277777777777778	0.0244399185336049	0	0	1	0.25	0.162055335968379	0.0309734513274336	0.0426356589147287	0.0355987055016181	0.0354223433242507	0.0344827586206897	0.0340425531914894	0.03690036900369	0	0.047887323943662	0.02647412755716	0	0	0.0252100840336134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fibroblasts_S01"	0.0322164948453608	0	0	0	0	0	0	0.0278330019880716	0	0	0	0	0	0.0297619047619048	0	0	0.25	1	0.313559322033898	0	0	0	0	0.0297619047619048	0	0.027681660899654	0	0.045822102425876	0.0296208530805687	0	0	0.0306748466257669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Endothelial.cells_S05"	0	0	0	0	0	0	0	0	0.054176072234763	0	0	0	0	0	0	0	0.162055335968379	0.313559322033898	1	0.0382352941176471	0	0	0.0526315789473684	0	0	0.0361757105943152	0	0.0535331905781585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"B.cells_S02"	0	0	0	0	0	0	0	0	0.068421052631579	0	0	0	0	0	0	0	0.0309734513274336	0	0.0382352941176471	1	0.188405797101449	0.124629080118694	0.176943699731903	0	0	0	0	0	0	0	0	0	0	0.037328094302554	0.0358255451713396	0	0	0	0.0623501199040767	0.0671936758893281	0	0.0828343313373253	0.0916030534351145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
