"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"BAIAP2L1"	"BAIAP2L1"	0.59815556881379
"ALDOB"	"ALDOB"	-0.236190980174011
"UBD"	"UBD"	-0.754182437883665
"NPPC"	"NPPC"	2.26386600113608
"LYZ"	"LYZ"	-0.178201731287513
"CCL19"	"CCL19"	0.187327775745416
"LGALS2"	"LGALS2"	-0.250119742533727
"FATE1"	"FATE1"	-1.00611763003308
"ADH6"	"ADH6"	0.759761343028409
"GATA4"	"GATA4"	-0.330548256837084
"PAPPA"	"PAPPA"	-0.804820998647085
"VNN2"	"VNN2"	-0.0450110130774676
"LTB"	"LTB"	0.170523283010401
"JAK2"	"JAK2"	-0.499464478136068
"C8G"	"C8G"	0.417214972840321
"ITPKA"	"ITPKA"	0.343964395689282
"BEND3"	"BEND3"	-0.383858348818002
"FAM208B"	"FAM208B"	-0.188885789421484
"CREB3L3"	"CREB3L3"	-0.223599532798527
"CCL25"	"CCL25"	-0.511966034126172
"NCR1"	"NCR1"	0.0328355287577703
"KIAA1755"	"KIAA1755"	0.262388948342753
"PRR26"	"PRR26"	-0.0476059463640701
"MSRA"	"MSRA"	-0.0395972905664155
"MTMR9"	"MTMR9"	-0.02055444115601
"TMC2"	"TMC2"	0.0301990003868009
"PTGER1"	"PTGER1"	0.167488869324563
"GLYCTK"	"GLYCTK"	0.590303716501145
"NR2F6"	"NR2F6"	0.492914253742189
"PINX1"	"PINX1"	-0.0369626357104527
"ERI1"	"ERI1"	-0.62981926666687
"TAGAP"	"TAGAP"	-0.0345160947887878
"IL7R"	"IL7R"	-0.0432655317537016
"MED15"	"MED15"	-0.344562089710562
"SPATA6L"	"SPATA6L"	0.117570881760591
"ZNF831"	"ZNF831"	-0.342675582254845
"CTD.2370N5.3"	"CTD.2370N5.3"	0.526910595120786
"IL2RB"	"IL2RB"	-0.331889334251457
"CTLA4"	"CTLA4"	-0.443501989217174
"CD2"	"CD2"	-0.475027709630375
"KRIT1"	"KRIT1"	-0.679305702005137
"CCDC65"	"CCDC65"	-1.30137919971532
"OTC"	"OTC"	0.423745379858024
"PKP4"	"PKP4"	-0.756153938476832
"CTH"	"CTH"	0.0422601167305081
"PIPOX"	"PIPOX"	0.103901930060138
"CD7"	"CD7"	-0.555109675436587
"GPR171"	"GPR171"	-0.357656255410871
"ARRDC5"	"ARRDC5"	0.166538248494927
"KRTAP6.2"	"KRTAP6.2"	-0.113724410639574
"CSF2RB"	"CSF2RB"	1.54110384707453
"SLC7A9"	"SLC7A9"	0.232643695270461
"APOB"	"APOB"	-0.485791429095986
"DDX52"	"DDX52"	0.748954257645085
"NAF1"	"NAF1"	1.13570672824751
"SHBG"	"SHBG"	1.99390188360205
"AC112719.2"	"AC112719.2"	-0.0490208300217796
"PEX1"	"PEX1"	0.143839785163417
"ARHGEF9"	"ARHGEF9"	0.0836320509356528
"OR5AP2"	"OR5AP2"	-0.0762009879203931
"HABP2"	"HABP2"	-0.198839858642995
"ASCL4"	"ASCL4"	-0.148947625233672
"PAQR8"	"PAQR8"	-0.724361255491683
"CD5"	"CD5"	0.365901932859703
"CLDN18"	"CLDN18"	-0.251781365809264
"ESRRB"	"ESRRB"	-0.126538087770087
"CNTN2"	"CNTN2"	-0.334808300122308
"TESPA1"	"TESPA1"	0.0856596329677882
"DAZ4"	"DAZ4"	-0.284282471320799
"APBB1IP"	"APBB1IP"	-0.237147678364486
"CD247"	"CD247"	-0.125259468074824
"F2RL2"	"F2RL2"	-0.0386445093129117
"FEZF2"	"FEZF2"	-0.0909603917953354
"TNKS"	"TNKS"	-0.33709128335716
"SMLR1"	"SMLR1"	-0.132006944044429
"FAM205C"	"FAM205C"	-0.317395163007144
"OR7G1"	"OR7G1"	-0.0483933918495827
"KRTAP27.1"	"KRTAP27.1"	-0.0483933918495827
"ICOS"	"ICOS"	-0.290972845831248
"FIZ1"	"FIZ1"	0.347735772879944
"TNFSF12.TNFSF13"	"TNFSF12.TNFSF13"	-0.424261340744555
"KCNA6"	"KCNA6"	0
"PXT1"	"PXT1"	-0.0761073649368544
"IL2RA"	"IL2RA"	-0.236989173714456
"RP5.972B16.2"	"RP5.972B16.2"	0
"RP11.506B6.7"	"RP11.506B6.7"	0
"CLEC1A"	"CLEC1A"	-0.0591053131966085
"RPS6KB1"	"RPS6KB1"	-0.651253150148772
"PPM1D"	"PPM1D"	0.582131557388134
"GATA5"	"GATA5"	0.348305424213247
"ASB18"	"ASB18"	0
"FAM71D"	"FAM71D"	-0.0879894883100778
"RGL4"	"RGL4"	-0.575679514270356
"C3orf80"	"C3orf80"	0.0420624916328527
"VANGL1"	"VANGL1"	1.80756356574031
"PRG3"	"PRG3"	-0.0599977695932237
"OR11A1"	"OR11A1"	0
"RSF1"	"RSF1"	-0.31846813834367
"FAM133B"	"FAM133B"	-0.583308890937478
"VPS50"	"VPS50"	0.612484415933962
"TIGIT"	"TIGIT"	-0.453624148658939
"PTPN7"	"PTPN7"	-0.720714502200495
"CHST13"	"CHST13"	-0.118935608455429
"PRR23C"	"PRR23C"	-0.188635145708131
"LRRC69"	"LRRC69"	-0.986838467469155
