"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"State"	"MaxFC"
"ANKIB1"	"ANKIB1"	1.69425614157974	0.0989336990063623	-0.157797073549037	-0.156564457344193	0.172239054467999	0.0893173909791192	-0.0780652041979998	-0.147215834065693	0.40103708866694	0.306700760436954	0.182522691826403	0.0118487293212673	-1.25568086918856	0.0609736877127318	"IS01"	1.69425614157974
"KRIT1"	"KRIT1"	1.55993914108881	0.0583400289821808	0.023761006033254	0.0440075957036418	-0.051068456758538	0.0885865804731691	0.00957367374749195	0.0553670217087487	0.733529304434597	-0.0157254307330876	0.0719099817909281	-0.223559980107556	-1.27346343959068	0.0780609945953679	"IS01"	1.55993914108881
"VPS50"	"VPS50"	1.49374244499765	0.02969370919198	-0.100976480659794	0.0514816154511844	0.107214939551507	0.195752987416826	-0.0568012573433428	-0.0455919245091243	0.371769953197961	0.14620275018238	0.170652387888648	-0.0849605368946396	-1.19268812252756	-0.0664956502219402	"IS01"	1.49374244499765
"LMTK2"	"LMTK2"	1.47795818580713	0.0642336906377827	0.0308198547612007	-0.0431037209348366	-0.0729710044485974	-0.02965865185246	0.164447429884607	-0.0641972291190468	0.34777501570543	-0.00644512219265208	0.537049355882644	-0.0414185785314417	-1.18858600611859	0.0123161381013495	"IS01"	1.47795818580713
"RBM48"	"RBM48"	1.46871626438665	0.0465658030451177	-0.0941961699825751	0.092116248663953	0.118051913893825	0.151909304834806	-0.0960867871775504	-0.0913216609749551	0.39723214516982	0.00830688726018388	-0.0857392550074361	-0.108428363019417	-1.03147765179279	0.206186473144149	"IS01"	1.46871626438665
"PEX1"	"PEX1"	1.46402239606244	0.128194506388853	0.0050158245192993	-0.208592977212047	-0.0648884814209206	0.0940161365698013	0.0181869332694412	0.136733949116725	0.826018645944491	-0.177809151920908	0.147813396469104	-0.251749991527437	-1.05288144040428	0.164273245080781	"IS01"	1.46402239606244
"TNKS"	"TNKS"	1.38131402836848	0.299099191793492	-0.138855109548273	0.147319721242111	0.00133769696379187	0.170724748440491	-0.052885488274168	-0.0913305615501113	0.49148390564899	0.219017533834106	0.119340869741394	-0.158311660229184	-1.17577241759334	0.369030007013204	"IS01"	1.38131402836848
"FAM208B"	"FAM208B"	1.29275765233518	0.121242696424127	-0.130860514075315	-0.325676586108638	0.303420317704366	0.167743891853013	-0.0346726616626941	0.154926234977862	0.492002270349851	0.27111038813365	-0.00411595109958449	-0.102001030697846	-1.18542013895041	0.347910954264685	"IS01"	1.29275765233518
"RSF1"	"RSF1"	1.28673209179962	0.0744355613889154	-0.112702062396985	0.112535463573715	0.127084572591829	0.154647072024141	-0.0217827306995389	-0.175982019779396	0.350521174199502	0.358822128370235	0.144342763468095	-0.0372169333362178	-1.22463795413223	0.185736099486615	"IS01"	1.28673209179962
"GATAD1"	"GATAD1"	1.27890804810754	0.0928120079848156	0.0473700689080422	-0.0223805610760523	-0.157613358193819	-0.0404387096310537	0.10157228643449	0.0557158230376671	0.819581135575675	-0.046016732962239	0.170968056919181	-0.249350996532092	-0.955103868923354	-0.110585167638015	"IS01"	1.27890804810754
"FAM133B"	"FAM133B"	1.26661159348492	0.213835838037431	0.0708418828657151	-0.12944833814489	0.0137436030719406	0.0932394980497988	0.0392783216631177	0.0698896940859423	0.715826459642438	0.0251752028992707	-0.106110812662243	-0.140902655080619	-1.280790059143	0.365205940389966	"IS01"	1.26661159348492
"VANGL1"	"VANGL1"	1.26311811044379	-0.0760724377251882	-0.0767202680671077	-0.41668442714413	0.233526661404533	-0.032199959298329	-0.319779454841122	-0.175678476547823	0.096091939039653	0.572627831752713	0.15351534994926	0.268109740442995	-1.04781770628596	-0.111523066194296	"IS01"	1.26311811044379
"ETNK1"	"ETNK1"	1.2129547197537	0.0178926780244509	-0.0663320759502846	-0.218805956555007	0.0474046884859256	0.102755835953913	0.17336645033168	-0.209637892494306	0.343590827585524	0.00641991376998985	0.969842067477808	-0.0620371374615376	-0.990349415932332	0.089011359294405	"IS01"	1.2129547197537
"KAT6A"	"KAT6A"	1.20714736807587	-0.0156895777905612	-0.166852651085066	0.190660480675379	0.0049213937862162	0.231053983358617	0.0124706038281648	-0.213075377241236	0.249450680082061	0.185080196335021	0.0757121158243976	0.0251047005630576	-1.02961886373792	0.589563186642009	"IS01"	1.20714736807587
"C11orf30"	"C11orf30"	1.14611036861917	0.283351374554045	-0.12822683224503	-0.00509104124025024	0.0860153721062104	0.255444972371556	-0.000221938026476628	-0.0924987695163911	0.546234459216451	0.180905940169876	0.0455969210456332	-0.154175796169648	-1.104184405057	0.533831801210428	"IS01"	1.14611036861917
"C2CD5"	"C2CD5"	1.12712967144824	0.0745925342472493	-0.0555707868496908	0.169667160907447	-0.0318101716225081	0.212343348815755	0.0943953258413549	0.0360604329813232	0.68194924769415	-0.0477748102867684	0.438701196002341	-0.294081751988813	-1.1104386595799	0.258284578122569	"IS01"	1.12712967144824
"NAF1"	"NAF1"	1.04389900401932	0.0937511000937231	-0.0792282709742265	0.335132602670502	0.107029983150479	0.040232242818125	-0.0313952888962571	-0.0500576415234992	0.331891905022675	0.117686267372966	0.0169692413345247	0.106933362949015	-1.26087208444959	0.410926704910691	"IS01"	1.04389900401932
"PPM1D"	"PPM1D"	1.03575691550439	0.055873696340279	-0.266910532403492	0.639091906438895	0.0829530377288469	0.266612065596356	0.0526562441516311	-0.0900313577729294	0.209750509498758	0.159411711499629	0.264708630874568	-0.0804043063224673	-1.07086490323838	0.31982833630159	"IS01"	1.03575691550439
"PKP4"	"PKP4"	1.0076677088289	0.0719545622633818	0.0414248138883783	-0.129884437416779	-0.0133097675289294	-0.104408035051959	0.0479664356784034	0.320100461568278	0.464736155832664	-0.116678079049884	0.376964024217081	-0.17045291420353	-0.907188924323566	0.287389164707805	"IS01"	1.0076677088289
