"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"ALOX5"	"ALOX5"	0.760011992010387	1.65010332427813	-0.540362586002511	-0.913500919520671	-0.0720240510368454	-0.122970106426039	-1.19132727629228	-0.777867060412807	0.753566748661546	0.54971959196818	"S01"	1.65010332427813	"IS02"
"C5AR1"	"C5AR1"	0.561668358018722	1.64801313177653	0.0479493333773706	-0.819919515551239	-0.374310304607031	-0.14321505134293	-0.924217568732769	-0.637686334856175	0.872433819650354	-0.349374754096247	"S01"	1.64801313177653	"IS02"
"HK3"	"HK3"	1.17388974936725	1.64503625162543	-0.312197381336788	-0.841453125973273	-0.0426319016835457	0.160437436584316	-1.30138603550871	-0.512751402854136	0.517370450233726	-0.325762642226245	"S01"	1.64503625162543	"IS02"
"TM6SF1"	"TM6SF1"	0.696473821701725	1.64105382796047	-0.0841914371058243	-1.03874344321093	-0.675424579116568	-0.46394981302859	-1.20337607163801	-0.40970125889568	0.853533956476473	0.682362530467681	"S01"	1.64105382796047	"IS02"
"LY86"	"LY86"	0.351292729175595	1.64057402261021	-0.491820866873121	-1.09198285250903	-0.515464986367812	-0.539450432910887	-1.09774138302109	-0.0764063570513516	1.22229698480419	0.611646743953853	"S01"	1.64057402261021	"IS02"
"FLVCR2"	"FLVCR2"	0.648097300473271	1.6397486519504	-0.347199846277173	-1.21818991322918	0.0337570809214044	-0.178778111158951	-1.03385651107044	-0.464803965507379	0.885337724537144	0.225423170537694	"S01"	1.6397486519504	"IS02"
"CD300LF"	"CD300LF"	0.894859795775153	1.63195270307455	-0.054504829943311	-1.16821016943285	-0.295396765177498	-0.346717537941482	-1.40711929955178	-0.166185150038799	0.848729700976184	0.333046254557851	"S01"	1.63195270307455	"IS02"
"CD52"	"CD52"	0.653658071461813	1.62258819468828	-0.547908368756619	-0.9497094609965	-0.0216135200309273	-0.432358541365071	-1.44432799071472	0.116407422979724	0.713524497421372	0.509493444437382	"S01"	1.62258819468828	"IS02"
"RMDN3"	"RMDN3"	0.333600088721693	1.61680023598056	-0.381589024889321	-0.413810781893622	0.254715261951011	-0.351916136269304	-0.633847378821309	-1.14230819863401	-0.152027253273207	0.371505784128277	"S01"	1.61680023598056	"IS02"
"TNFSF12"	"TNFSF12"	0.555127858761667	1.610144929851	-0.434541553140664	-1.09455636419648	-0.110242432878376	-0.205840457186823	-0.958316226779056	-0.644814851734351	0.744974357111535	0.611565049299459	"S01"	1.610144929851	"IS02"
"MS4A14"	"MS4A14"	0.906247199422067	1.6039014610655	-0.189744115087265	-0.741659217685244	0.142751666804523	0.350311881028286	-1.20460781459868	-0.83881470444818	0.402164023728543	-0.196135072606613	"S01"	1.6039014610655	"IS02"
"SELPLG"	"SELPLG"	1.12853036499207	1.59397729942022	-0.466352286342308	-1.05052420677469	-0.533034859715423	0.0860023571879356	-1.265154612454	-0.65463181420342	0.885068079480666	0.469672048037457	"S01"	1.59397729942022	"IS02"
"PILRA"	"PILRA"	1.10787130798897	1.59381485221371	-0.211187310808657	-1.04226880245625	-0.477462907037392	0.00144885640663374	-1.16915939112972	-0.501824965889397	1.00560735394079	-0.196847183883301	"S01"	1.59381485221371	"IS02"
"PRAM1"	"PRAM1"	0.792280900416256	1.58279752388399	-0.202770998748033	-0.518544995545667	0.30647706345365	-0.28026605031128	-1.26149850772296	-1.00559772517473	0.348867092209778	0.193446187773105	"S01"	1.58279752388399	"IS02"
"SPI1"	"SPI1"	1.15449227618854	1.57614344510678	-0.415753448673766	-0.942719776608834	-0.245259341929788	0.0794443320117298	-1.43303775555706	-0.643572753873058	0.990963855048631	0.172967138998969	"S01"	1.57614344510678	"IS02"
"CCRL2"	"CCRL2"	0.693740077471517	1.5606420269973	-0.0923143784074877	-1.11549132297689	-0.194828083557719	-0.207801377199607	-1.28658391555598	-0.19787077476174	0.826113049890762	0.330981059236036	"S01"	1.5606420269973	"IS02"
"ACP5"	"ACP5"	0.850179012497294	1.55515993529274	0.178058173014235	-0.952205504889581	-0.137583845154255	-0.327459359942922	-1.34261416897195	-0.193958519208447	0.569879942475642	-0.00067814638667479	"S01"	1.55515993529274	"IS02"
"FCGR1B"	"FCGR1B"	0.926417116198047	1.54857674721167	-0.289647372572394	-1.07148477879252	-0.664661130213792	-0.44215487925059	-1.15038737681754	0.24477755039345	1.11790262908555	-0.241435618064225	"S01"	1.54857674721167	"IS02"
"S100A4"	"S100A4"	0.0485487295954686	1.54716687838703	-0.623046703783345	-0.916366943362631	0.0178324969209111	-0.247492928977633	-0.468968343165648	-0.162194673794287	0.521249179395436	0.065462514184193	"S01"	1.54716687838703	"IS02"
"SLCO2B1"	"SLCO2B1"	0.911630370779749	1.53664137871191	-0.222890651747643	-1.2324957317252	-0.4449857003719	0.0458014355729193	-1.21672020557352	-0.622615908085429	1.08798258956816	0.514557978868922	"S01"	1.53664137871191	"IS02"
"LILRA6"	"LILRA6"	1.12164803019909	1.53427835664303	-0.243217869613026	-0.987957202680699	-0.408100292945026	0.256547931329685	-1.142116704266	-0.660714327812459	0.884395452706698	-0.150971374041401	"S01"	1.53427835664303	"IS02"
"FBP1"	"FBP1"	0.321863685717405	1.53172683627426	-0.406418970920797	-1.09447531783001	0.664513988694946	-0.650807534163377	-0.973909615110327	-0.470032214362596	0.4958967312463	0.694677666120762	"S01"	1.53172683627426	"IS02"
"CYP27A1"	"CYP27A1"	0.638814442137058	1.53127116152799	-0.0810278426196606	-0.912793881989682	0.129953285866114	-0.756880635766645	-1.06662526179689	-0.483100136812494	0.620862792055261	0.276983176905945	"S01"	1.53127116152799	"IS02"
"CD68"	"CD68"	0.959525299537003	1.52607593650371	-0.119126709104604	-0.999992668202073	-0.553717736382611	-0.24048124181043	-0.92764348548949	-0.610046357410589	1.0457184032287	-0.192075709240383	"S01"	1.52607593650371	"IS02"
"ARRB2"	"ARRB2"	1.01372739793733	1.51716631723851	0.440306738419778	-0.923873499869278	0.0340091292254013	-0.59445162820513	-1.04269904856572	-0.858398196669508	0.432279243146232	-0.141371727292895	"S01"	1.51716631723851	"IS02"
"FCER1G"	"FCER1G"	1.02659338377199	1.5082171905444	-0.534521766440317	-0.970347596060797	-0.683825654995791	-0.161794338813904	-1.0216145334056	-0.189378823019007	1.39449035172715	-0.438871489480165	"S01"	1.5082171905444	"IS02"
"DCSTAMP"	"DCSTAMP"	0.788349005933464	1.5077522673569	-0.120261233598032	-0.868402944916038	0.136861973646507	-0.4661284994641	-1.21494551158538	-0.379618644923927	0.50454635931181	0.183468004048157	"S01"	1.5077522673569	"IS02"
"ADGRE5"	"ADGRE5"	0.728490769876525	1.49858656884847	-0.51367305085376	-1.09948767392523	0.265816765823845	-0.15325799796509	-0.770716324413073	-0.977009042333382	0.375623825836712	0.679377645293219	"S01"	1.49858656884847	"IS02"
"KMO"	"KMO"	0.688615791499652	1.49538247001615	-0.348640862155643	-1.19897031761719	-0.224980119890208	-0.39850048835608	-1.1305376208228	0.299598261847739	1.08302611360995	-0.0642118502926298	"S01"	1.49538247001615	"IS02"
"MNDA"	"MNDA"	0.81360614764588	1.48996654972813	-0.471818048011793	-1.17033952335007	-0.4789693332272	0.0140918958886454	-1.32479867343521	-0.178206389802592	1.17256019331097	0.557203856000726	"S01"	1.48996654972813	"IS02"
"GNGT2"	"GNGT2"	1.05551343147942	1.48860856979879	-0.420310201910439	-0.959213337117574	-0.374183871592941	0.05691020948366	-1.35619513422729	-0.233530061435772	0.73596432010886	0.306092783741843	"S01"	1.48860856979879	"IS02"
"C1QB"	"C1QB"	1.06021659341535	1.48268393928259	0.0658075282760071	-1.20880542717647	-0.35712374879686	-0.0832589609956403	-1.3273544060471	-0.027369807503428	1.06460204782471	-0.280459354651233	"S01"	1.48268393928259	"IS02"
"C1QA"	"C1QA"	1.11280361923264	1.47449653514183	-0.0674127296725507	-1.13588277820891	-0.266227171718287	0.0473667491061139	-1.35513185511549	-0.0773569056096789	0.982656376359228	-0.296904828666527	"S01"	1.47449653514183	"IS02"
"CLEC12A"	"CLEC12A"	0.573001114509327	1.47187267223829	-0.456900943263131	-0.801079552839759	-0.583709960906843	-0.234773811439364	-0.849614587424894	0.151872579730575	0.675904770228157	-0.112433944077599	"S01"	1.47187267223829	"IS02"
"THEMIS2"	"THEMIS2"	0.996039937530959	1.46570992779391	-0.309653533571862	-0.95947731695353	-0.188458580712718	0.172780508655886	-1.28804923447025	-0.542082721141463	0.90329938870563	0.106320526800247	"S01"	1.46570992779391	"IS02"
"SCIMP"	"SCIMP"	1.00376904889359	1.45411753602462	0.0961171606443332	-1.07525850620997	-0.267594319465892	-0.632790113196003	-1.49024779845277	-0.33110137753566	0.912255210285787	0.581445034829263	"S01"	1.45411753602462	"IS02"
"TNFAIP8L2"	"TNFAIP8L2"	1.06999283602487	1.45363936910934	-0.562019493462815	-1.06429736735632	-0.485257630252443	-0.269691299083305	-1.33404225648096	-0.162925622025876	1.14043674546705	0.421401485554278	"S01"	1.45363936910934	"IS02"
"STAC3"	"STAC3"	0.921803051277839	1.45126918359235	0.286423600929475	-0.580320728833736	-0.314531826143205	-0.115136356165093	-0.858523995140419	-0.850355539012475	0.182657751455708	-0.366671259386266	"S01"	1.45126918359235	"IS02"
"TSPAN4"	"TSPAN4"	0.496331699425514	1.45078877971466	-0.611873203011437	-1.08425688976896	0.354130676428637	0.0166800936298182	-0.840639805481176	-0.686119600328837	0.635889895985309	0.50760063703913	"S01"	1.45078877971466	"IS02"
"SLC15A3"	"SLC15A3"	1.07060612241466	1.44830741806583	-0.199950350573618	-0.954456903593072	-0.0340507052732765	0.579836715658229	-1.3717066451381	-0.658291962537421	0.654881282499211	0.0599995900988044	"S01"	1.44830741806583	"IS02"
"LAIR1"	"LAIR1"	1.18329026242026	1.44168296849664	-0.248393707825279	-1.22694720228395	-0.557679017642791	-0.353482928441002	-1.2177938093994	-0.298457416654294	1.19377429241307	0.249144045992926	"S01"	1.44168296849664	"IS02"
"IFI30"	"IFI30"	1.1013925386319	1.43875633166947	0.0456018521753774	-1.06133429650393	-0.310476031573012	-0.0358077287057863	-1.22719280407735	-0.278342513776404	0.9453483094131	-0.342927365051078	"S01"	1.43875633166947	"IS02"
"MITF"	"MITF"	0.532635782314847	1.42201528958064	-0.360127714554355	-0.862054612328035	-0.325870111589015	0.0037711542152802	-1.13153548282255	-0.675498394829628	0.946376892561247	0.694563645369901	"S01"	1.42201528958064	"IS02"
"TLR4"	"TLR4"	0.598826057297641	1.42027345529728	0.16734853079354	-0.973858416540742	-0.770632984597117	-0.358560346619235	-1.12814922419401	-0.242558151329777	1.14971259883529	0.24421062043669	"S01"	1.42027345529728	"IS02"
"SIGLEC1"	"SIGLEC1"	1.12925674710478	1.41919251203414	-0.0405951198935518	-1.08018475821998	0.126400474663667	0.347107575452951	-1.27627719350441	-0.786312988835408	0.718335746336059	-0.0223302480921405	"S01"	1.41919251203414	"IS02"
"ALOX5AP"	"ALOX5AP"	0.414034666396749	1.41296791811061	-0.859695158729619	-0.866137337815563	-0.374396948725624	0.375976053599847	-1.31308373621357	-0.086579141369876	1.14392385006584	0.687079026762098	"S01"	1.41296791811061	"IS02"
"CCBE1"	"CCBE1"	0.192874279006935	1.41174569306245	-0.36600937359789	-0.669142375210606	-0.406755423479899	0.346683253036853	-0.80039993459509	-0.499826818369359	0.674991246658243	0.235841805505668	"S01"	1.41174569306245	"IS02"
"APOC1"	"APOC1"	0.861793357281674	1.4115717553367	0.112842711264817	-0.977444762267003	0.106579160472242	-0.801001916688001	-1.3085005626823	0.321202683526447	0.635063811804249	-0.252829858363403	"S01"	1.4115717553367	"IS02"
"LRRC25"	"LRRC25"	1.15543330028964	1.40762562659802	-0.126204371809332	-0.968066687012021	-0.526036637250996	-0.0151957120582537	-1.37260691427023	-0.538345553137088	1.19747114356801	0.0893336422705928	"S01"	1.40762562659802	"IS02"
"FCGR1A"	"FCGR1A"	1.02403943746021	1.40283123169655	-0.287042992804074	-1.07377516635478	-0.484686902839125	-0.268368461491031	-1.32492194939767	0.25899184472815	1.13136047194127	-0.117593284511326	"S01"	1.40283123169655	"IS02"
"APOBR"	"APOBR"	0.915252089492497	1.40036237088623	-0.274949861295246	-0.437520033371149	0.0907517399392876	0.288598159618164	-1.35860388730461	-1.26468838558616	0.40666374937666	0.490946003584815	"S01"	1.40036237088623	"IS02"
"SIGLEC7"	"SIGLEC7"	1.17173494143098	1.39211789830607	-0.181005417222186	-1.08798450725437	-0.544743045529085	-0.116391888896353	-1.33810946685433	-0.241621071570981	1.21204652199533	0.0398429964392576	"S01"	1.39211789830607	"IS02"
"SLC31A2"	"SLC31A2"	0.901860998553412	1.3775253857274	-0.310680001563002	-1.00299508469136	-0.835298228515511	-0.162377103509251	-1.00784155523473	0.25108215909486	1.11198294272486	-0.286003770256384	"S01"	1.3775253857274	"IS02"
"LAPTM5"	"LAPTM5"	1.14665546298906	1.37739920921471	-0.4333030214844	-1.21468195461978	-0.723899356993734	-0.254748456244592	-1.21889349955168	-0.118187033264923	1.3698886194813	0.286875970561731	"S01"	1.37739920921471	"IS02"
"MS4A4A"	"MS4A4A"	0.817351499641823	1.36183660848289	-0.111891020560086	-1.25389095871377	-0.410075011896798	0.0203765534756798	-1.3172885487734	-0.071475596561668	1.25916921760385	0.274483719072742	"S01"	1.36183660848289	"IS02"
"PARVG"	"PARVG"	1.14462990137598	1.36171766811376	-0.391705925371125	-0.81257223826791	-0.127872492166818	0.0171879938424123	-1.35596825361394	-0.538302323040078	0.680482021231399	0.310540862050683	"S01"	1.36171766811376	"IS02"
"NCF4"	"NCF4"	1.08954659347607	1.35836674192693	-0.711788195741091	-0.960354293643797	-0.260282416440412	0.0938982294422376	-1.26585501316424	-0.327939881266874	0.840178095720457	0.467458452639525	"S01"	1.35836674192693	"IS02"
"LAT2"	"LAT2"	0.891021968679334	1.35786246244312	-0.216099130059156	-0.936249020546217	-0.54455123810864	-0.0433118543507374	-1.38488380409798	-0.247784235883043	1.0197112819606	0.477286437825959	"S01"	1.35786246244312	"IS02"
"SAMHD1"	"SAMHD1"	0.98521201198486	1.35786220177531	-0.127722762002857	-0.918714336827241	-0.570975251569871	0.106079390225982	-1.34964472692061	-0.629665271617296	0.941005423878182	0.581896390284411	"S01"	1.35786220177531	"IS02"
"TMEM236"	"TMEM236"	0.247628329117099	1.35194128192219	-0.405744623636203	-0.759135462825982	0.179436709860357	0.353665849379522	-1.01210169069613	-0.75984725554332	0.603717650739866	0.622293311911613	"S01"	1.35194128192219	"IS02"
"PTPRO"	"PTPRO"	0.39388096410033	1.35131936826633	0.266050628549912	-0.988242012880593	-0.644734298547349	-0.434731588749167	-0.908440967364315	-0.238874190541008	1.08479649817402	0.160551205834919	"S01"	1.35131936826633	"IS02"
"LPXN"	"LPXN"	1.1005162001735	1.34811357763423	-0.587670775848561	-0.936397115641388	-0.389552282630624	0.0633827791125762	-1.29207400221196	-0.398808478842944	0.796500893759892	0.603726778280866	"S01"	1.34811357763423	"IS02"
"LYZ"	"LYZ"	0.987298080746538	1.34369903389476	-0.0920626041452618	-1.08790955048059	-0.378872368359057	-0.615051065473	-1.3122323984384	0.206526249556242	0.637020637256113	0.497843320120982	"S01"	1.34369903389476	"IS02"
"SNX2"	"SNX2"	0.101636102679811	1.34099426085278	-0.0884358212796721	-0.751732868780897	-0.562213508807862	-0.317233393007808	-0.650593812103554	-0.680025161803226	0.739711830384455	0.715564426995781	"S01"	1.34099426085278	"IS02"
"TLR8"	"TLR8"	1.05321316561197	1.33801079330057	-0.117692146128266	-1.15139030656822	-0.536840633240378	-0.473284732625652	-1.23235368664227	-0.0939716909287872	1.0664155087544	0.335676472369555	"S01"	1.33801079330057	"IS02"
"APOC4.APOC2"	"APOC4.APOC2"	0.446318817194183	1.33676127313794	-0.308152460559833	-0.947544312939437	-0.165836659047393	-0.544383261495312	-1.23599037017771	0.42624526838352	0.968274482582717	0.26493857011269	"S01"	1.33676127313794	"IS02"
"MYD88"	"MYD88"	0.729875555154099	1.31210926402334	-0.690473708944427	-0.906708538203287	-0.47380606340219	-0.384889202802119	-0.581252311438793	-0.904738050597471	0.834556914350802	0.768262500003304	"S01"	1.31210926402334	"IS02"
"HLA.DRA"	"HLA.DRA"	0.645485891067959	1.31183146033503	-0.540964521694816	-1.15874642706267	-0.159215979358694	-0.318293378029966	-1.31516432639702	0.276613695993238	1.090748859911	0.631307147210351	"S01"	1.31183146033503	"IS02"
"SIGLEC9"	"SIGLEC9"	1.09851805545552	1.31148352940401	-0.216262209489218	-1.11161421460012	-0.280008153844473	0.319231137658588	-1.41248404959351	-0.351300530095923	1.26034014790356	0.0314423891577935	"S01"	1.31148352940401	"IS02"
"P2RX7"	"P2RX7"	0.93858447094236	1.31133181508675	-0.113320743167299	-0.993548480662686	-0.297816588818801	-0.161318975157187	-1.20599145906818	-0.37110139743576	0.949727281259231	0.226639892265589	"S01"	1.31133181508675	"IS02"
"FCGR3A"	"FCGR3A"	0.933858485948378	1.30774849623103	0.000445107988321544	-1.18423266950851	-0.675382682303581	0.0680105272961904	-1.23947921722897	-0.0553091982547751	1.29351289232898	0.0172509693413105	"S01"	1.30774849623103	"IS02"
"SDCBP"	"SDCBP"	0.287044655080481	1.30600586598207	-0.241571249451585	-0.768799957631303	-0.311760122038279	-0.157870826524254	-0.660438859634516	-0.468175758587404	0.589912785539774	0.355331614138286	"S01"	1.30600586598207	"IS02"
"CD53"	"CD53"	1.29807224830093	1.30291401626168	-0.522982194370478	-1.05136909125513	-0.79267217872699	-0.270257373549675	-1.22114196222481	-0.290027751021693	1.13056142341554	0.530803237955269	"S01"	1.30291401626168	"IS02"
"MCOLN1"	"MCOLN1"	0.667973766221412	1.29658501825449	0.402701566747855	-0.426202970488147	-0.321635359011235	0.0496930653338588	-0.56729806716645	-1.19158764777471	0.0859332440246693	-0.305551506380628	"S01"	1.29658501825449	"IS02"
"PLA2G15"	"PLA2G15"	0.673019927281567	1.29569332276286	0.0634078203230364	-0.565317548931497	-0.304018458705664	0.0142284095720188	-0.930313222226524	-1.13608587284249	0.808933230710119	0.0802315552152152	"S01"	1.29569332276286	"IS02"
"GRN"	"GRN"	0.565614885749238	1.29546378285183	-0.198389757546035	-0.440642040921291	0.224524749547087	0.104164904879545	-0.76084359347053	-0.89591973036432	0.142605510498934	-0.105809165311957	"S01"	1.29546378285183	"IS02"
"PCOLCE2"	"PCOLCE2"	-0.414387884172569	1.29085281874439	0.044539611699435	-0.0323073488011145	-0.771570188302992	0.117531929198705	-0.142741992322432	-0.126064929740196	0.189142270461675	-0.759779421759051	"S01"	1.29085281874439	"IS02"
"SIRPB2"	"SIRPB2"	1.10393518366982	1.29010465772447	-0.222523855291632	-0.942156836712422	-0.254212446645695	-0.0651706549070248	-1.43948292082999	-0.414738958879135	0.918755485274164	0.456849231503511	"S01"	1.29010465772447	"IS02"
"LILRB3"	"LILRB3"	1.20562568990999	1.28744548715279	-0.205314746424155	-0.553982500638805	-0.334325203968529	0.268032743352699	-1.29401540394079	-0.734982023580394	0.639254123227564	-0.0675685989877852	"S01"	1.28744548715279	"IS02"
"CASP5"	"CASP5"	0.87470350757634	1.28454178801422	-0.199179844712664	-0.620959535138278	-0.745579678010548	0.092928193346699	-1.05394062301874	0.00411011405422432	0.845111172024495	-0.444300671478968	"S01"	1.28454178801422	"IS02"
"NCKAP1L"	"NCKAP1L"	1.1125081601745	1.28150757046047	-0.0578016511317174	-1.0461207731728	-0.217131546190105	-0.308013108190365	-1.47563372976225	-0.324339119463258	0.874292202770332	0.592949223656572	"S01"	1.28150757046047	"IS02"
"FCGR2A"	"FCGR2A"	0.716223689393439	1.27903391255328	-0.44441270201929	-1.12588458483228	-0.542355528252047	0.58621246138676	-1.18297058170584	-0.387595515372166	1.19579720966753	0.579995154762768	"S01"	1.27903391255328	"IS02"
"CYBB"	"CYBB"	1.05068511060328	1.27694164621012	-0.385045722396862	-1.14168279374382	-0.452800802252844	-0.286257503370828	-1.29428454180074	-0.3140738368915	1.25589761083457	0.629761779584892	"S01"	1.27694164621012	"IS02"
"SOWAHD"	"SOWAHD"	1.1020025660145	1.25978109849488	0.354924605525814	-0.772765093055421	-0.245683190831009	-0.510765723706946	-1.10064968171086	-0.670447761930633	0.394177904669349	0.148147430490938	"S01"	1.25978109849488	"IS02"
"HCST"	"HCST"	1.10281721097169	1.25404988450852	-0.55394539452441	-1.10335361766664	-0.19884850933079	0.159395293276188	-1.40640723067525	-0.0545568825138679	1.09906491693353	0.306730387047344	"S01"	1.25404988450852	"IS02"
"IGSF6"	"IGSF6"	1.087054234429	1.25156540725894	-0.255280298707861	-1.15195313353286	-0.381359974669009	-0.218283565665087	-1.27007172835335	-0.248597257182296	1.1320160941799	0.431391026019252	"S01"	1.25156540725894	"IS02"
"CTSS"	"CTSS"	0.801606396049989	1.24906284346954	-0.263203497288221	-1.24138694732397	0.0410353287295137	-0.628291641926665	-1.06080070180126	-0.257386651614814	0.889628804127568	0.710092424555886	"S01"	1.24906284346954	"IS02"
"C19orf38"	"C19orf38"	0.845722439112371	1.2461183006318	0.270655135906478	-0.827627198135958	-0.514958308677748	-0.0225143728346002	-1.44838419871893	0.0402917708198668	0.772050994594358	0.10764296216995	"S01"	1.2461183006318	"IS02"
