"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.66.2786.01A.01R.0851.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.98.7454.01A.11R.2045.07"
"NLRC4"	1.72175356059163	2.04066229441071	1.77133938514031	1.82832851913132	1.72933237899164	1.51549548153087	1.79178529125026	1.85139114648059	1.72928899219555	1.72441538261045	1.52961416176228	1.88903298655405	1.8077654610898	1.7912416199302	1.67128592796852	1.69990374309841	1.97121700861654	1.83895983633931	1.44688145797408	1.57828140244405	1.7380717383827	1.71558044450788	1.54620928451114	1.77907352678313	1.9159290307087	1.73274221245142	1.80011981665136	1.10241519238641	1.13167222138586	1.93653038535217	1.89015759784773	1.78214390329873	1.87223252397645	1.67295151190451	1.26768376208427	1.70629740814205	0.0544077750785987	0.56890491295485	-1.00154194355277	1.1886554300194	0.214583939904467	0.884633966838063	0.396095378399296	-0.0949245483876715	1.44222443249428	0.871244913180009	-0.634066856373583	-1.08106795834712	-0.0551754483719402	1.27563879529243	0.619131527902293	-0.55168863271948	0.0906449074740658	0.74578458485609	-0.49751997481531	1.52674870203548	-0.238691108277697	-0.245578714663411	1.10732787862302	0.945566045432158	0.813872112948179	0.762988079062468	0.516967503979202	0.905550030269332	1.67299982415795	1.05813158245096	0.133248068657189	0.78825843615945	1.34370655400668	1.33431238129205	0.0876004572591512	1.30529971567928	0.0597774571657424	0.371139518349469	0.0122121367774	0.922646160395578	-0.177360802688061	-1.06847216759744	0.451595643965918	1.49905493416312	-0.341534499722354	1.29156008994707	0.706028853341105	1.2871132205303
"GLIPR2"	1.49227875138274	1.99900911453875	1.53854465213174	1.82297986599455	1.82507959175698	1.28731847474115	0.988261058598058	1.99456993262584	1.96556933044882	1.47041596604413	-0.602606638360387	2.05212483327815	1.95781580954073	2.01471291342943	1.54947297574226	1.85893736830902	2.15070386713668	2.16327167620256	1.50686570959931	1.80232427689914	1.96767829848442	1.85963319612008	1.66973974148185	1.81578098625732	2.02174037898637	1.88079651374512	2.01401094282116	0.935204635658931	-0.360022534918471	2.26956696255527	1.8681019068811	2.1770826313682	1.90951224381753	1.9610829792445	1.39520099242759	1.89112343127563	-0.619350548789816	-0.156310055115744	-0.685671658725682	-0.059597549174369	-0.265430210967623	-0.0394140940209843	0.686815964159572	-0.662772512342365	1.47549341935254	0.496064012121871	-0.0823898877369864	-0.187473005596749	-0.678640416764465	-0.202906759316914	0.0353034973258296	-0.143398155793662	-0.420566055936761	-0.24639251603606	-0.21407858357498	1.45209713238529	1.26999267968842	1.321475027768	0.794594032983134	1.41149359940578	0.871844893502391	1.41351226965261	-0.218881407964296	1.76920937784834	1.82030581834932	0.463353352232165	1.54412027625899	0.586209830220411	0.989279181337475	1.53012247117072	-0.391901421300193	0.698214156515548	0.638782266008677	-0.234687259434888	1.04540847876946	0.480361623774845	-0.518490957030456	1.50966021200008	0.370201703095998	0.981456725302157	-0.45429414338669	1.43502214186589	0.711414868789823	0.55448894851439
"OSCAR"	1.40485832787602	1.90326410615129	1.66733858551145	1.53121307121996	2.0518660015742	1.5015083839775	1.52060082362098	1.89452211345285	1.56320042466795	1.48093000339592	1.58167226702937	1.59059686708289	1.59865570292563	1.68289546929191	1.42944772733011	1.85130322796669	1.88245761647613	2.01427343154688	1.61711125177518	1.40511249518824	1.85851215718999	1.66296847138858	1.91744476840961	1.51337067212641	1.79463095603326	1.51125381167254	1.65044973006884	0.412985758968897	1.47368202073833	2.15007977116422	1.86171543999853	1.58077788259142	1.57288882036949	1.6472845482512	1.72897582858691	1.52940678077393	0.799352844981224	1.30715753130873	-0.0260304668654624	1.0525897948081	0.524049025666605	0.522873061952416	1.45866966536788	0.0632080285663712	1.44945021466739	1.44735621777174	0.2388463920013	-0.504560861747323	-0.337375283611041	0.0840087264539426	1.50206850001674	-0.276844161974685	0.0969026824522482	-0.0580926373256711	-0.398419092980207	1.8392426662342	0.907304405408742	0.380151012176139	0.455667734272894	1.23738750055405	0.412717984776865	1.0525924285833	1.51635152982974	0.24244998477692	1.59675311680728	0.342516656297695	0.778784477603407	1.06210710577823	1.479569904206	0.499744867490843	-0.185030930328568	1.51546449349575	-0.172101835908391	1.53161560618175	1.07934252697535	0.741053198909687	-0.0774467242341821	0.226831115527579	0.550829601163045	1.05716281961405	-0.335423751189494	0.166290327997245	-0.117726057736145	0.132705600206323
"PDE1B"	1.87869244591463	2.6565738514037	1.44962518852306	1.58259631019912	1.65890634574927	0.968570986783403	2.22820887736506	1.57294410351339	1.50359843958183	1.61316974662274	1.22468307103327	1.95665482300719	2.48162946110412	1.43428576181989	1.45073989067041	1.58752431124066	1.98123309811626	1.35930979806726	1.39398668838054	1.94584255106976	2.00471266008019	1.37742364345262	1.58371180487077	1.4600702169754	2.16534280362749	1.47329201732947	1.43330571847266	1.45484107870304	1.65237972048672	1.65828472204723	2.10656512306623	1.3179833424429	1.64629130070251	0.0585582572875555	1.47922453737646	1.5661135107099	-0.60708980916924	1.41310450423746	-0.589449308771009	-0.561112957853841	-0.0491526963609375	1.42151573248341	1.01752751872639	0.292182820624085	1.48810837181607	1.95324459882201	0.404326453656009	-0.0221322431761206	0.184392712924899	-0.562230381512288	0.540085348207393	-0.382725406895482	0.243105241951787	0.506304993873256	-0.271371980879605	0.673868306815907	0.132252499331888	-0.628975195630161	1.2453813112717	1.31094235070281	0.660313416667561	0.902048318745355	-0.257486801055135	-0.60855675079279	1.47828591503562	1.42013812941313	-0.320873450989948	-0.245228145029135	0.430111951574776	0.188541251155554	-0.662727796300559	1.72251333400491	1.36344144647005	-0.436593240102186	-0.835994293213149	0.171788490816365	0.0330382407444053	0.1393935581304	-0.184970095228699	1.46983767120138	-0.406882885210997	1.44309751544444	-0.757685707453854	0.261462411069156
"C1orf162"	1.6401381906433	1.78626709523297	1.59165156071311	1.72110422456118	1.72847573482378	1.62003595793478	1.62518479334097	1.70759966530766	1.69079751321153	1.58934031061097	1.48088582474227	1.7443445344272	1.86336368076558	1.76761854712205	0.983489498550191	1.79543349755333	1.87642109068886	1.80750139282274	1.33352365164619	1.70250868165548	1.74379304904107	1.76370715174281	1.77218432357637	1.63034238774208	1.84445355522776	1.67602266185688	1.68034166545399	0.609301851863521	0.529681750503517	1.91774200411369	1.77710127660829	1.78202014600339	1.81774355836525	1.844154052724	1.27293868380284	1.63881311310181	0.333117707021544	0.839199904589061	-0.564053556954769	1.41393020452341	0.772990840905098	1.58174266456938	0.121451615807928	0.15664358390177	1.44905073363862	1.54485070113545	-0.149580811730042	-0.518769591226414	-0.593887700590505	-0.169984839261881	0.905803981730782	0.28817659843899	0.458217031889462	0.711065118000556	-0.356534419189211	1.64709053813733	0.6777391191452	-0.536679430184373	1.02273684514957	0.906536572881035	0.912035252602693	1.30357072362514	0.0193638616570004	1.09714260527714	1.31021308820515	1.3646745825791	0.81963835786738	0.847326488328795	1.42425776408796	1.64411784612864	1.5457522506541	1.47378062259555	0.972959741855528	0.126491731714452	0.189155347612228	0.695572906313981	-0.142569233146606	-0.301863289864292	0.503906409262583	1.28618781331368	0.797810123825928	1.52039738470766	0.888326028639086	1.37971116189368
"ZMYND15"	1.74940790400123	2.18063455682353	1.1378021691016	0.151290051675898	2.03797377677577	1.54508346371867	1.46649068049695	1.64003282847942	2.1722027919259	1.42066132213092	1.68521037469139	1.9489008772587	2.34930846174293	1.2776766762497	1.54099818150924	1.59014343056423	2.08442999868602	2.15140976782922	-0.230377154483524	2.22319975928256	1.7101616410544	1.97358346998538	1.35309689092674	1.50056994651493	1.83594999643845	1.51418064350665	1.78081143506806	1.5275789743336	-0.119949140906054	2.43992235517425	1.66654875811179	1.00883490909323	1.9457410522711	1.55332406419099	1.88525938350572	1.60463771324333	-0.406646942059438	1.49407400987108	-0.474123090043859	-0.545413911325863	-0.00724063972960034	1.34048346508744	0.730148588495069	0.33163495270177	1.85140465374045	1.61775023494749	0.258734457364528	0.0866801475873942	-0.0982171168957587	-0.670288924998024	0.905998622087807	0.0136579559708488	0.117570724442858	0.231516037465089	-0.321457217986458	1.57600084985162	1.62716963602612	-0.265123143061978	1.46199115049951	1.58018373428623	1.52188291425741	0.843889525402776	0.235175993566972	-0.923448206959526	0.843276880936712	0.0702301586225864	-0.00312240787095604	0.0258509797264918	0.153082419242325	-0.14256277970738	-0.831968601184627	0.405476745479396	-0.577630698715977	-0.951447031780485	-0.492370263770437	-0.454431240493233	-0.347187953876014	0.0996382497379417	-0.259862815736148	0.357538471761651	-0.412451758953953	-0.497039261246168	0.16941940117102	-0.117268505737278
"MARCO"	1.54410837828386	1.91302860779294	1.55261197429394	1.51737433615978	1.68763617214607	1.52679972611625	1.60098518948532	1.66704445286758	1.51296784033735	1.51489173614927	0.360015357465731	1.74958323530201	1.84496395943087	1.56628048732247	1.42203631303155	1.71297728879418	1.75286776178677	1.84741715641467	1.13798151248719	1.67275358979061	1.61634790534236	1.65932126426198	1.53033309327539	1.55102005480091	1.75291209645837	1.62958399681605	1.54181651974592	0.982185051354623	0.811351559259868	1.87344296012369	1.59417979329251	1.77730544943478	1.84239055105082	1.50090697232067	1.25892452279197	1.48814107832617	0.835326784533878	0.656905214744858	-0.883067192852789	-0.0708560103726565	0.758908918950449	1.33296319241723	0.59572865454821	-0.0160484646695196	1.4236115753849	1.47398627027827	0.583250858020949	-0.655542392326023	-0.403874923626982	-0.1608434044938	-0.728826657551111	0.356911815717449	-0.319165152881672	0.72625146373045	-0.258383700175338	0.885925939582217	0.456709675930995	-0.233774724262532	0.957320231332189	-0.142346044499716	0.524654483188255	0.628249379572519	1.53914737284445	0.913949829489814	1.48462197270258	0.133191978828164	0.674564251975908	0.317673330691873	0.0914742712096062	0.449839683897026	1.45139254520329	1.43354458959272	-0.140827129441044	0.572643439056914	1.40426901614957	1.52448789413748	0.451232536853557	1.52199165068842	0.233681716953954	1.41898765290539	-0.350361188743743	0.553396619701184	-0.261670543073044	-0.259395104449855
"ADAMTSL4"	1.43244100829286	1.65873156351989	1.49034443773358	0.938742437651561	1.63671741120196	1.31820515059669	1.6795982909582	1.71479745842067	1.55419795340061	1.39058401944324	1.57446332790396	1.76272431335862	1.73568544515174	1.60300341586412	1.0749776931704	1.6127762329481	1.64679495960966	1.59657143453752	1.5404132101073	1.63011155500702	1.71124149473242	1.64628139354745	1.49964547573827	1.54445263142822	1.70575677787518	1.47824161047683	1.52887278869772	1.17575992221173	1.468453580019	1.78570964615393	1.64691943791316	1.4326048119281	1.63418771604973	1.50719182787079	1.57146874222699	1.47560821580534	0.310381345961471	1.02488257946442	-0.221059580202813	1.05509914342177	0.11671543058013	1.0853178087509	1.14141466877563	0.664812599588599	1.52181505183219	1.34408352084412	-0.514026370987356	1.09051530364171	-0.997862440351011	0.190568236781183	0.439040982013678	1.05994762104079	-0.0939751651712548	0.0799615834430845	-0.315248265690075	0.627820448005809	0.531087844720225	-0.39861334891414	1.43101923352427	0.638148108048125	0.183244564696192	0.171064563171752	1.39672128846552	-0.56703119103202	1.49650477134057	0.623370173941191	-0.561542745762619	0.492524702010824	0.765016493112042	-0.512225907425092	-1.25467755167332	1.33801001333432	-0.523638471216688	0.532845838429403	-0.252084499525779	1.34776809349582	0.524926175488104	-0.48629420691484	1.22636590596532	1.35158424559052	-0.450805876040747	0.0830209946369522	-0.301075740617286	0.746353541237861
"TMEM150B"	1.61933525237632	1.81297599959615	1.33370759911767	1.85478684567118	1.47943205940629	1.56326591714311	1.77015600989807	1.75343746862896	1.57468186825234	1.6460355844936	0.306905391859132	1.75114511267802	1.97199755275112	1.75436125884746	1.5262923294214	1.57726485467861	1.91113634636372	1.96164425466521	1.49309996128801	1.81135715766364	1.70345039062848	1.53240810473536	0.761370752247521	1.71047388436947	1.78639538936814	1.63005473408793	1.76569012143285	0.700068082307587	0.310744948466064	2.05731674749929	1.78106191592734	1.60100337757053	2.03292987697924	1.60996544649939	0.318140566391935	1.37006173905468	1.00749127417262	1.4838158015026	-0.392732245018966	1.38750200638714	1.45197184472809	1.07201521707446	0.344899044078483	0.446118489614351	1.75393884722807	1.39016722925214	-0.123852894475008	0.125942140958548	-0.541097779144159	0.0680900526392013	1.48371400433514	0.850818869069704	1.41151276952055	1.15485791283231	0.318032422964174	1.53556930427164	0.853472234914744	0.924927990035754	1.45473786987908	1.40812432283148	1.51964955630642	1.64864757230125	1.22473760422157	0.540957463181117	1.14569018732713	-0.0271653871684969	0.979070770974819	0.00177238263551868	0.959834147532716	1.46102757829731	0.519329505107733	1.54435170637021	-0.835724558542884	-0.466875828316123	0.641346734386048	1.24913489574811	-0.72954825893621	0.65344165962194	0.655157718680283	0.858123710907819	-0.398697853934884	0.108530442348713	0.914977663685939	1.41533952187531
"DOK2"	0.734920797450002	1.69696563097669	0.520774392189254	1.4844067161686	1.714711536178	1.50380890091109	1.6040158988443	1.69271533772907	1.65972465296418	0.582494372409757	1.55389199542273	1.78092313655589	1.80806514746248	1.61058431382474	1.60522979235362	1.76540351423062	1.80287979893499	1.81037459033744	1.10765115397529	1.67705612358887	1.73033047523243	1.60686447007669	1.60889577333363	1.66602292624156	1.81871214128282	1.65611144641168	1.70119751293585	0.458759953722962	0.93042643007063	2.09368628612135	1.70773983637729	1.72403774768331	1.79170944622017	1.62200553564308	1.51258748755337	1.57601514543355	0.766008712240757	1.51468810490032	0.157111180442011	1.04024991301698	1.60179703289428	0.58304590511034	0.633772538158015	0.642264529236813	1.71229547063172	1.57031090635343	-0.0211992547327527	0.520885772243569	0.555229172041768	-0.310167445102073	1.5198385769162	0.573611135295672	1.47670690259367	0.798553122645521	-0.0418913653244026	0.403134254298695	1.48094213177515	1.01954275520657	0.667798518342648	1.47419547626979	0.752309040915509	1.52356723746811	1.5146407632607	0.667428237240993	1.60156580363293	1.56589441898033	0.429748666364837	0.58465203105765	1.61635497081779	1.58738538595904	0.985613933159732	1.68143304583108	-0.300572820346023	0.275625914288233	1.3954634667788	1.42306764050512	0.354704896715392	0.207453673828597	0.678165874179655	0.142577567303547	0.025962576157974	0.826818920261619	0.390633718127747	0.0645970419959943
