"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"State"	"MaxFC"
"MAGEB4"	"MAGEB4"	1.19778032539581	0.080106939227521	-0.11932779630714	-0.0883748971365496	-0.0274744979000262	0.00519452863582437	-0.0722639684412746	-0.0317050192788671	-0.0690738952264364	-0.0725119622558437	0.0192276649444053	-0.108664069395818	-0.134579906012733	"IS01"	1.19778032539581
"TRIP13"	"TRIP13"	1.15421102124349	-0.137747972039639	-0.00804117623128048	0.584741516952849	0.342911385635074	-0.703739957753958	-0.267828095845038	-0.639209338115465	0.0119367373348517	0.0418984183251802	0.254747445503645	-0.754334543091249	0.186359852719881	"IS01"	1.15421102124349
"SCARB1"	"SCARB1"	1.09753012535609	-0.128431696118349	-0.153661523093273	0.26570039341426	0.0374020443710604	-0.0698555155789279	0.0504402280273699	-0.0956825319072609	0.0402770287204812	-0.0203177495116479	-0.0193771617955727	-0.534541530421767	-0.138191552227366	"IS01"	1.09753012535609
"ZP4"	"ZP4"	1.06129376614212	0.0493630111503291	0.0545281758478132	-0.0845172163011232	0.0417218092805918	-0.123433423390178	-0.00667858487146902	-0.130767976779079	-0.0806402319444026	-0.102840922874209	0.070867459285342	-0.10849149094561	-0.111263792466693	"IS01"	1.06129376614212
"BYSL"	"BYSL"	1.04353692289433	-0.227153060313518	0.0405089315356192	0.607191261252425	0.245346332839128	-0.64344165177331	-0.0496683726455675	-0.771259290460721	-0.148743983087652	0.205613397344007	0.158447069668401	-0.972128893672946	0.138273733765159	"IS01"	1.04353692289433
"LCTL"	"LCTL"	0.951195712709695	0.132977623217349	0.240321147585979	0.0901804255528081	0.0440057687163428	-0.163123488878307	-0.296494680636125	-0.268978066588569	0.435321509049382	-0.078112037215352	0.09416877537399	-0.42051003299498	-0.15487837377008	"IS01"	0.951195712709695
"CHI3L2"	"CHI3L2"	0.930380363915977	0.494991326623224	-0.19115816126	-0.338362618770607	0.0917469778527058	0.0166993836370016	0.110355419862984	0.447916150791798	-0.200404914962206	-0.346229290950567	0.377584575781064	-0.138424553962093	-0.230390285283968	"IS01"	0.930380363915977
"MRPL2"	"MRPL2"	0.910313221367647	-0.206457232363806	-0.216136498645681	0.157641441329191	0.192650003093774	-0.281786334007971	0.650987209831884	-0.458915559727375	0.0318036475591102	0.111368632357305	-0.343603137086345	-0.769662831023201	0.0102226851405381	"IS01"	0.910313221367647
"SLC39A12"	"SLC39A12"	0.889664793174399	0.0430662124175992	-0.0919916641092348	-0.0224450404373595	0.153893227966837	0.0857465021603609	-0.166538354456268	0.088721425580057	0.0728360630359059	-0.197844713759249	0.220978852470664	-0.154184092461047	-0.213584729335083	"IS01"	0.889664793174399
"TEX37"	"TEX37"	0.828954312102066	-0.0522440553094211	-0.0134743383060674	-0.00938414754955019	0.0487540690118855	-0.153586943326535	-0.0218910731543072	-0.137648130259637	0.173963423442269	-0.0217652904893454	0.050383486817795	-0.205082159702127	-0.173720071864674	"IS01"	0.828954312102066
"OPN3"	"OPN3"	0.803285929762665	0.128223962948544	0.408171388848058	0.245099007672124	-0.00303540361686584	-0.233750544799766	-0.488785859368502	0.00409238175531139	-0.173568494235193	-0.0893625169571545	0.326270254982876	-0.260943013413659	-0.198978338340638	"IS01"	0.803285929762665
"ART3"	"ART3"	0.801629126857523	0.114925365597561	-0.142486278781551	-0.0689825473725957	0.26184872392676	0.025868327856831	-0.166215839951671	-0.0986850777138632	0.0514037951631171	-0.0920965002083779	-0.00314627444628528	-0.0794078316134389	-0.209169208980336	"IS01"	0.801629126857523
"RRAS2"	"RRAS2"	0.786719083332425	0.00220062150578209	0.137705418298482	0.551215380249197	0.0168721680304375	0.493195197459838	-0.747150296215803	-0.227314880012848	-0.124805208225713	-0.114014435577808	0.260394019070756	-0.352027662200998	-0.125518782260629	"IS01"	0.786719083332425
"PLET1"	"PLET1"	0.786242412193269	0.0458313220303664	-0.0782756496706924	-0.0558416228255052	-0.0587358483793236	-0.0578677481405768	-0.0308514608024942	-0.0485909475151121	0.0731605335594379	-0.0656290692237429	0.0239318090074577	-0.0154517061424591	-0.0771750971305371	"IS01"	0.786242412193269
"TOMM6"	"TOMM6"	0.775171888483886	-0.228398570098048	-0.199768875762218	0.200809150396068	0.0406011105502245	-0.594789775418668	0.604617853509586	-0.438461122188968	-0.160545110909948	0.291351069454733	-0.276364751617099	-0.721450567431596	0.0739143917511424	"IS01"	0.775171888483886
"RASGRF1"	"RASGRF1"	0.769359439038851	0.30493241285118	0.138854386348668	-0.13179604763191	0.0906945094298371	0.0988172614265036	-0.156152276677845	0.749182421577664	0.13374952832715	-0.384535350435496	0.214025156029118	-0.302159186156246	-0.314213138109201	"IS01"	0.769359439038851
"OR4C6"	"OR4C6"	0.712639529072972	0.252067106979114	-0.0342697793792142	-0.0751433004524533	0.34210228478969	-0.139098438916949	-0.101251657058101	-0.193423055830006	0.0382682644346133	-0.143999388672588	-0.0103472116645665	-0.131403934745874	-0.0852145832991637	"IS01"	0.712639529072972
"OR2S2"	"OR2S2"	0.702189907015346	0.0129469572174171	-0.0356622037322921	-0.0528204502421939	0.0678382565007226	-0.0774962372532254	-0.061178315513849	-0.0391517997642394	0.0771384851928257	-0.0610087147494798	-0.0388032833296941	-0.0497897377891026	-0.0732090803397526	"IS01"	0.702189907015346
"SEC14L4"	"SEC14L4"	0.680522286649236	0.0758504106554181	-0.0630148629305066	0.235723597474452	-0.15121778754466	-0.0474292978230356	-0.313416192722013	0.380850255512245	0.394928898271675	-0.0597335991539589	0.0818102553243424	-0.451192007773105	-0.176865017264676	"IS01"	0.680522286649236
"PGM1"	"PGM1"	0.671070938417402	-0.0440711200700337	0.106598335180321	0.176629324695819	0.0167656463594331	0.649441015344452	-0.436964732130611	0.21317697712449	-0.177216971882046	-0.276531992320261	0.273217940467387	-0.038426331410199	-0.276374892004648	"IS01"	0.671070938417402
"SIM1"	"SIM1"	0.664830601051491	0.0303674811865756	-0.010045898332654	-0.0624678916412735	-0.0246698830295869	0.369434738769037	-0.153862732604963	-0.109307844979698	0.173249560117105	-0.117406967833313	0.00340350615903194	-0.0206333043515018	-0.176042271554735	"IS01"	0.664830601051491
"SPANXB1"	"SPANXB1"	0.638847286521279	-0.164933738296765	0.3567764691677	-0.0733162010161837	-0.0365875327533041	-0.192005671644374	0.0383625460303688	-0.215443670511976	-0.0554215622862295	0.00406279948189357	0.0870356407887908	-0.168572933825329	-0.0159864795712895	"IS01"	0.638847286521279
"DDX10"	"DDX10"	0.615212212142532	-0.249437027535138	0.0545357715018121	0.40230326396942	-0.025207868081247	-0.325924152003542	0.271389132793488	-0.412335204949565	-0.0647040523133691	0.180167445274229	-0.0115347480328627	-0.750458246081206	-0.0513129395097046	"IS01"	0.615212212142532
"RP13.147D17.3"	"RP13.147D17.3"	0.569633538850538	-0.0792032223500461	0.0273238590640284	0.0255238843486108	0.0789101342962732	-0.172224871016306	-0.0477060347986904	-0.142271904582557	0.0682666253513393	-0.0501067417563181	0.0965040219306515	-0.130320415079515	0.0336839182112243	"IS01"	0.569633538850538
"XKR3"	"XKR3"	0.562279227074962	-0.035800143772671	0.00228086187030492	-0.0430682596905124	0.00524868239588787	-0.0631018112236044	-0.0593110783341468	-0.0553119182005031	0.0630615790228915	-0.0143689933730419	0.0125735390709056	-0.0622360051325502	-0.0668632833239131	"IS01"	0.562279227074962
"CHIC2"	"CHIC2"	0.51302618141759	0.214170935945751	0.219936925894439	0.411721160658379	0.123410827747709	0.287507389731408	-0.492192464906827	-0.188733394718544	0.047414505664134	-0.187931713052006	0.248138014024038	-0.47618658490625	-0.138974873933175	"IS01"	0.51302618141759
"ZBED6CL"	"ZBED6CL"	0.507562809781607	0.300373277111823	0.156537140865942	0.17782772239989	0.376450269759532	-0.140984656280723	-0.366255404705461	-0.224639376371133	0.26939777843045	-0.135360822587143	0.118252399449994	-0.484891685127695	-0.137555790789496	"IS01"	0.507562809781607
"MCHR1"	"MCHR1"	0.487310254188265	0.00938908208975583	0.213817441312325	-0.0497345236213661	0.0384128045505559	0.135277362515665	-0.114942019274367	-0.123960876815789	0.158092011407995	-0.187510115507665	0.262089916347588	-0.120965520307638	-0.0941267565885384	"IS01"	0.487310254188265
"RTN4IP1"	"RTN4IP1"	0.460705309213018	0.0979904236528902	-0.141339527861225	0.276138451276261	0.0612708976878383	-0.255188972849007	0.169268987083061	-0.350995071476345	0.129910806891012	0.0973257650584896	-0.165238713466131	-0.50230332855574	-0.0673084101572439	"IS01"	0.460705309213018
"TDO2"	"TDO2"	0.454406671387321	0.149947723186356	0.399849580765387	0.0460100627124634	0.284151810236293	-0.23592778709981	-0.107164185385573	-0.189389656567245	-0.0733393636421206	-0.283598939867884	0.352488157938364	-0.132621645176922	-0.0747448038530562	"IS01"	0.454406671387321
"HHIPL2"	"HHIPL2"	0.39430279336591	-0.0506990868932736	0.0113640603064612	0.0327919242618335	0.0266801165821506	-0.222832885114156	0.068784869105423	-0.339699118015997	0.383599493385909	0.0628893616237579	0.0227090009294431	-0.276127208531233	-0.117063695651202	"IS01"	0.39430279336591
"FGG"	"FGG"	0.392945682704645	-0.0884172625907555	-0.127863429906965	-0.112779898820257	-0.0855176970520241	0.00480577842088953	-0.0274581058493146	0.29508937063679	0.040922214416988	0.0162785231153012	0.0675157967683342	-0.077648721549649	-0.0922647293843884	"IS01"	0.392945682704645
"IFNA10"	"IFNA10"	0.388674722178431	-0.0263869346172765	-0.031786018659664	-0.0150027388851741	0.0109343838009252	-0.0414742722432579	-0.00981443804387922	-0.0198517979158492	-0.02458081438359	-0.0123030426770085	-0.0227273046671649	-0.0185871009859777	-0.0320108940219257	"IS01"	0.388674722178431
"PXDNL"	"PXDNL"	0.350145338964729	0.0799943685340898	0.285728851634498	0.0839959415768936	0.0812391583642725	-0.0050192385986453	-0.0728324460154088	-0.0509536519280795	-0.0278565311999008	-0.13471106930377	0.132902046941398	-0.231989997689517	-0.136393344392604	"IS01"	0.350145338964729
"IL16"	"IL16"	-0.283264870727655	2.1869757740393	0.0601923051855688	-0.264734790006102	0.630749890519179	0.308150586481761	-0.304039696197062	0.292482269249405	-0.045035131487478	-0.774248576658788	0.167276093782539	-0.152963899794785	-0.413086350325974	"IS02"	2.1869757740393
"GAPT"	"GAPT"	-0.505781005229474	2.16840047267515	0.112716691368306	-0.219887348122803	0.227243161796431	0.12430640850564	-0.403701402568294	0.789558060760226	-0.0266773401697947	-0.789909020520053	0.490278474548938	-0.0146110649119487	-0.38275290381247	"IS02"	2.16840047267515
"CLECL1"	"CLECL1"	-0.236437079443172	2.09197512859357	-0.0990919856495636	-0.338445249570748	0.935258270679316	0.0279705377665176	-0.162773101314642	0.309486442524557	-0.0553651521900298	-0.936428858884004	0.37716180389578	-0.0480249484166172	-0.260678225374974	"IS02"	2.09197512859357
"SASH3"	"SASH3"	-0.161943328876006	2.07788321383565	-0.0203394585955013	-0.257789389278919	1.17824947461026	0.0233136523649918	-0.295186218944322	0.642256194305108	-0.120358580127892	-1.15020147910941	0.61868151283107	-0.209411824791795	-0.297459851362413	"IS02"	2.07788321383565
"ARHGAP25"	"ARHGAP25"	-0.162059783796375	2.06807751764857	-0.0762268499817595	-0.239368169704314	0.876304763763867	0.332574618372335	-0.463785159294271	0.403998469357471	-0.0665745753326065	-0.786941290844932	0.369668004507949	-0.354781387358918	-0.466727561113942	"IS02"	2.06807751764857
"ARHGAP15"	"ARHGAP15"	-0.292862799568287	1.9637007910657	-0.00843928630676358	-0.271890702996004	0.740259062902566	0.431520242779658	-0.17014631778977	0.300002125281269	-0.195208261846356	-0.817452783471622	0.332929746675179	-0.166571158766794	-0.474531702290273	"IS02"	1.9637007910657
