"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"MRPL2"	"MRPL2"	0.249263001521058
"STAB1"	"STAB1"	-0.447742744462497
"HS3ST2"	"HS3ST2"	1.31385962254829
"ITGB2"	"ITGB2"	-0.267480329561692
"C1QB"	"C1QB"	-0.382083988424076
"ADAMDEC1"	"ADAMDEC1"	-0.259033589400638
"DPEP2"	"DPEP2"	2.35334133510392
"SCIMP"	"SCIMP"	-0.168258556430787
"TIMD4"	"TIMD4"	-0.45724016417383
"EVI2B"	"EVI2B"	-0.0728597125269873
"AMICA1"	"AMICA1"	0.15023065602523
"LILRB3"	"LILRB3"	-0.431628008593411
"CRTAM"	"CRTAM"	-0.0526699153972559
"SPANXN3"	"SPANXN3"	-0.110126761893953
"OR4C6"	"OR4C6"	-0.0896017651929324
"C1QA"	"C1QA"	-0.265909289939451
"TYROBP"	"TYROBP"	0.122754138493112
"WNT3"	"WNT3"	-1.06122918268012
"EGFL6"	"EGFL6"	-0.554991353707216
"LCP2"	"LCP2"	-0.691367627045904
"CSF2RB"	"CSF2RB"	1.00111249387255
"BTK"	"BTK"	-0.312358981967723
"MAGEC3"	"MAGEC3"	-0.150881988419979
"DCUN1D1"	"DCUN1D1"	1.09310925113731
"LILRA2"	"LILRA2"	0.261188670435828
"C1QC"	"C1QC"	-0.270048175478678
"TREM2"	"TREM2"	-0.132865063049524
"PLET1"	"PLET1"	0
"GPR183"	"GPR183"	-0.21273208595895
"HGF"	"HGF"	0.164028172650497
"CD300E"	"CD300E"	-0.199208618337698
"TLR8"	"TLR8"	-0.100155232624773
"SYNE3"	"SYNE3"	-0.515525053072669
"CD209"	"CD209"	-0.49149081177764
"CYP27B1"	"CYP27B1"	0.0204572096426594
"FPR1"	"FPR1"	0.0141175803053331
"TCTEX1D1"	"TCTEX1D1"	-0.520866762072251
"TFDP1"	"TFDP1"	0.532840783968636
"LILRB4"	"LILRB4"	0.0467486026375479
"ANGPTL5"	"ANGPTL5"	-0.184759531871371
"MSR1"	"MSR1"	-0.476586604080948
"CEP112"	"CEP112"	-0.49044302080695
"AGAP2"	"AGAP2"	1.54396480894704
"SAMSN1"	"SAMSN1"	0.127106334212018
"FCGR1B"	"FCGR1B"	-0.0284171304484967
"LMNTD1"	"LMNTD1"	1.2101421303804
"SIRPB2"	"SIRPB2"	0.852596331949777
"FGR"	"FGR"	-1.08739214153368
"CD84"	"CD84"	-0.120341649624898
"SIGLEC8"	"SIGLEC8"	-0.304931960288028
"SLC39A12"	"SLC39A12"	-0.324305914766632
"FFAR3"	"FFAR3"	0.0509066737101366
"CLEC1B"	"CLEC1B"	0.492498933628994
"OCSTAMP"	"OCSTAMP"	-0.343783099388807
"TEX37"	"TEX37"	-0.223701236528318
"CCR8"	"CCR8"	-0.413970147705114
"ITGAM"	"ITGAM"	0.458295018862942
"HCK"	"HCK"	-0.49320202134674
"ZNF99"	"ZNF99"	-0.890687135697128
"SEC14L4"	"SEC14L4"	-0.672270976351706
"IL27"	"IL27"	-0.757242490528734
"C3AR1"	"C3AR1"	-0.194373833775776
"SLA"	"SLA"	0.225104212333434
"PIK3R6"	"PIK3R6"	-0.292082189798192
"CD101"	"CD101"	-0.461559429599286
"DDX10"	"DDX10"	-0.796508275747149
"GSG1"	"GSG1"	-0.367605948634498
"MTERF1"	"MTERF1"	-0.28757273799878
"OSM"	"OSM"	0.949852075048084
"NRK"	"NRK"	0.0843221689620571
"CAP1"	"CAP1"	0.678836486360767
"SLC2A5"	"SLC2A5"	-0.375288428934177
"ATP6V0D2"	"ATP6V0D2"	-0.31805321752422
"ANKRD39"	"ANKRD39"	-0.665303211449302
"RBM48"	"RBM48"	-0.516641988096997
"RP11.111M22.2"	"RP11.111M22.2"	-0.534567827818718
"ZBED6CL"	"ZBED6CL"	-0.562733335593226
"SP140"	"SP140"	-0.422844697816204
"DCUN1D2"	"DCUN1D2"	-0.107366480907268
"PCID2"	"PCID2"	0.408811385754973
"BRMS1L"	"BRMS1L"	0.480440884544881
"OPN3"	"OPN3"	0.891816222951091
"OLFML2B"	"OLFML2B"	-0.413260902529416
"POLR3H"	"POLR3H"	-2.79753284650309
"YEATS4"	"YEATS4"	0.0858397690488106
"GLUD2"	"GLUD2"	-0.432027660354843
"CELA1"	"CELA1"	-0.237765868756545
"RRAS2"	"RRAS2"	-0.716803317977997
"DLEC1"	"DLEC1"	-0.667780070209113
"RTN4IP1"	"RTN4IP1"	-0.173783894651231
"CD14"	"CD14"	-0.000369665976637648
"NES"	"NES"	-0.538826869155393
"PRCD"	"PRCD"	-0.349187398883045
"CYP2A6"	"CYP2A6"	-0.0584357927963692
"EIF1"	"EIF1"	-0.805336947976689
"AXL"	"AXL"	-0.293101896275713
"GAPT"	"GAPT"	-0.152206096092939
"CHIC2"	"CHIC2"	2.23416370765927
"FCAR"	"FCAR"	0.586057951725583
"IFNL1"	"IFNL1"	-0.212084228776024
"LCTL"	"LCTL"	-0.264256681588099
"AHSP"	"AHSP"	-0.378518591428252
"GPR85"	"GPR85"	-0.713860109461316
"LILRA1"	"LILRA1"	-0.477977102828736
"APOC4.APOC2"	"APOC4.APOC2"	-0.429591331309258
"PLB1"	"PLB1"	-0.182070366786226
"TMCO3"	"TMCO3"	1.0622621537221
"SIGLEC11"	"SIGLEC11"	-0.526841654381158
"WAS"	"WAS"	-0.648202304839105
"CD248"	"CD248"	-0.384263041588999
"SPP2"	"SPP2"	-0.634680151491874
"TDO2"	"TDO2"	-0.1476611131178
"KCTD21"	"KCTD21"	-0.590813779153297
"ART3"	"ART3"	-0.206820701381137
"MMP19"	"MMP19"	-0.580736793717865
"MAGEB4"	"MAGEB4"	0.376714608142873
"TNFSF8"	"TNFSF8"	-0.111667597157854
"RCL1"	"RCL1"	-0.932810233045125
"MCCC1"	"MCCC1"	1.0171217754905
"CXCL10"	"CXCL10"	-0.431862997518476
"USP13"	"USP13"	0.177124681636325
"RASGRP4"	"RASGRP4"	-0.328414197541255
"PPP2R1B"	"PPP2R1B"	-0.293078401625073
"BHLHE22"	"BHLHE22"	0.0567022893300872
"POLB"	"POLB"	-0.379301336573017
"CCL13"	"CCL13"	-0.421639890496566
"SUSD5"	"SUSD5"	0.174568395518942
"LRRC32"	"LRRC32"	-0.554403721961941
"PCTP"	"PCTP"	1.78994472048006
"CCIN"	"CCIN"	-0.0240734333303057
"CLECL1"	"CLECL1"	-0.122486516872847
"P2RY12"	"P2RY12"	-0.291820670743521
"CFAP53"	"CFAP53"	0.635258989194391
"MCHR1"	"MCHR1"	-0.128290583941944
"NMT2"	"NMT2"	2.38885622955885
"PCGF2"	"PCGF2"	-0.678634249079424
"KLHL4"	"KLHL4"	-0.190859012760581
