"ID"	"State"
"DLBCL11672"	"IS01"
"DLBCL11675"	"IS01"
"DLBCL11678"	"IS01"
"DLBCL11679"	"IS01"
"DLBCL11681"	"IS01"
"DLBCL11683"	"IS01"
"CTSP.B02C"	"IS02"
"DLBCL10454"	"IS02"
"DLBCL10462"	"IS02"
"DLBCL10465"	"IS02"
"DLBCL10466"	"IS02"
"DLBCL10493"	"IS02"
"DLBCL10497"	"IS02"
"DLBCL10498"	"IS02"
"DLBCL10510"	"IS02"
"DLBCL10519"	"IS02"
"DLBCL10521"	"IS02"
"DLBCL10522"	"IS02"
"DLBCL10524"	"IS02"
"DLBCL10536"	"IS02"
"DLBCL10541"	"IS02"
"DLBCL10542"	"IS02"
"DLBCL10545"	"IS02"
"DLBCL10547"	"IS02"
"DLBCL10549"	"IS02"
"DLBCL10564"	"IS02"
"DLBCL10780"	"IS02"
"DLBCL10837"	"IS02"
"DLBCL10838"	"IS02"
"DLBCL10842"	"IS02"
"DLBCL10846"	"IS02"
"DLBCL10848"	"IS02"
"DLBCL10850"	"IS02"
"DLBCL10852"	"IS02"
"DLBCL10856"	"IS02"
"DLBCL10862"	"IS02"
"DLBCL10863"	"IS02"
"DLBCL10864"	"IS02"
"DLBCL10868"	"IS02"
"DLBCL10873"	"IS02"
"DLBCL10878"	"IS02"
"DLBCL10880"	"IS02"
"DLBCL10888"	"IS02"
"DLBCL10894"	"IS02"
"DLBCL10896"	"IS02"
"DLBCL10898"	"IS02"
"DLBCL10902"	"IS02"
"DLBCL10904"	"IS02"
"DLBCL10906"	"IS02"
"DLBCL10908"	"IS02"
"DLBCL10911"	"IS02"
"DLBCL10915"	"IS02"
"DLBCL10918"	"IS02"
"DLBCL10922"	"IS02"
"DLBCL10953"	"IS02"
"DLBCL10963"	"IS02"
"DLBCL10967"	"IS02"
"DLBCL10972"	"IS02"
"DLBCL10998"	"IS02"
"DLBCL11430"	"IS02"
"DLBCL11431"	"IS02"
"DLBCL11432"	"IS02"
"DLBCL11434"	"IS02"
"DLBCL11451"	"IS02"
"DLBCL11459"	"IS02"
"DLBCL11460"	"IS02"
"DLBCL11470"	"IS02"
"DLBCL11473"	"IS02"
"DLBCL11475"	"IS02"
"DLBCL11483"	"IS02"
"DLBCL11484"	"IS02"
"DLBCL11515"	"IS02"
"DLBCL11519"	"IS02"
"DLBCL11520"	"IS02"
"DLBCL11532"	"IS02"
"DLBCL11651"	"IS02"
"DLBCL11652"	"IS02"
"DLBCL11658"	"IS02"
"DLBCL11659"	"IS02"
"CTSP.ACY8"	"IS03"
"CTSP.ACYP"	"IS03"
"CTSP.ACYX"	"IS03"
"CTSP.ACZS"	"IS03"
"CTSP.ACZT"	"IS03"
"CTSP.ACZW"	"IS03"
"CTSP.AD1R"	"IS03"
"CTSP.AD1Z"	"IS03"
"CTSP.AD4V"	"IS03"
"CTSP.B02D"	"IS03"
"CTSP.B02F"	"IS03"
"CTSP.B02H"	"IS03"
"DLBCL10453"	"IS03"
"DLBCL10460"	"IS03"
"DLBCL10461"	"IS03"
"DLBCL10464"	"IS03"
"DLBCL10475"	"IS03"
"DLBCL10476"	"IS03"
"DLBCL10477"	"IS03"
"DLBCL10480"	"IS03"
"DLBCL10482"	"IS03"
"DLBCL10483"	"IS03"
"DLBCL10484"	"IS03"
"DLBCL10489"	"IS03"
"DLBCL10491"	"IS03"
"DLBCL10495"	"IS03"
"DLBCL10499"	"IS03"
"DLBCL10501"	"IS03"
"DLBCL10502"	"IS03"
"DLBCL10512"	"IS03"
"DLBCL10517"	"IS03"
"DLBCL10518"	"IS03"
"DLBCL10530"	"IS03"
"DLBCL10532"	"IS03"
"DLBCL10544"	"IS03"
"DLBCL10546"	"IS03"
"DLBCL10843"	"IS03"
"DLBCL10847"	"IS03"
"DLBCL10849"	"IS03"
"DLBCL10851"	"IS03"
"DLBCL10854"	"IS03"
"DLBCL10867"	"IS03"
"DLBCL10872"	"IS03"
"DLBCL10881"	"IS03"
"DLBCL10887"	"IS03"
"DLBCL10890"	"IS03"
"DLBCL10893"	"IS03"
"DLBCL10900"	"IS03"
"DLBCL10903"	"IS03"
"DLBCL10907"	"IS03"
"DLBCL10912"	"IS03"
"DLBCL10914"	"IS03"
"DLBCL10916"	"IS03"
"DLBCL10917"	"IS03"
"DLBCL10919"	"IS03"
"DLBCL10924"	"IS03"
"DLBCL10935"	"IS03"
"DLBCL10949"	"IS03"
"DLBCL10951"	"IS03"
"DLBCL10956"	"IS03"
"DLBCL10959"	"IS03"
"DLBCL10961"	"IS03"
"DLBCL10962"	"IS03"
"DLBCL10966"	"IS03"
"DLBCL10970"	"IS03"
"DLBCL10978"	"IS03"
"DLBCL10981"	"IS03"
"DLBCL10986"	"IS03"
"DLBCL10987"	"IS03"
"DLBCL10988"	"IS03"
"DLBCL10990"	"IS03"
"DLBCL10995"	"IS03"
"DLBCL10997"	"IS03"
"DLBCL11188"	"IS03"
"DLBCL11194"	"IS03"
"DLBCL11213"	"IS03"
"DLBCL11255"	"IS03"
"DLBCL11259"	"IS03"
"DLBCL11261"	"IS03"
"DLBCL11346"	"IS03"
"DLBCL11353"	"IS03"
"DLBCL11428"	"IS03"
"DLBCL11436"	"IS03"
"DLBCL11441"	"IS03"
"DLBCL11443"	"IS03"
"DLBCL11449"	"IS03"
"DLBCL11474"	"IS03"
"DLBCL11482"	"IS03"
"DLBCL11490"	"IS03"
"DLBCL11493"	"IS03"
"DLBCL11497"	"IS03"
"DLBCL11498"	"IS03"
"DLBCL11501"	"IS03"
"DLBCL11516"	"IS03"
"DLBCL11528"	"IS03"
"DLBCL11530"	"IS03"
"DLBCL11531"	"IS03"
"DLBCL11533"	"IS03"
"DLBCL11541"	"IS03"
"DLBCL11558"	"IS03"
"DLBCL11566"	"IS03"
"DLBCL11576"	"IS03"
"DLBCL11577"	"IS03"
"DLBCL11584"	"IS03"
"DLBCL11585"	"IS03"
"DLBCL11586"	"IS03"
"DLBCL11649"	"IS03"
"DLBCL11661"	"IS03"
"DLBCL11665"	"IS03"
"DLBCL11670"	"IS03"
"DLBCL11684"	"IS03"
"CTSP.ACYM"	"IS04"
"CTSP.ACYV"	"IS04"
"CTSP.ACZC"	"IS04"
"CTSP.ACZU"	"IS04"
"CTSP.AD14"	"IS04"
"CTSP.B02E"	"IS04"
"DLBCL10455"	"IS04"
"DLBCL10457"	"IS04"
"DLBCL10467"	"IS04"
"DLBCL10474"	"IS04"
"DLBCL10479"	"IS04"
"DLBCL10486"	"IS04"
"DLBCL10488"	"IS04"
"DLBCL10496"	"IS04"
"DLBCL10500"	"IS04"
"DLBCL10503"	"IS04"
"DLBCL10504"	"IS04"
"DLBCL10525"	"IS04"
"DLBCL10527"	"IS04"
"DLBCL10531"	"IS04"
"DLBCL10534"	"IS04"
"DLBCL10535"	"IS04"
"DLBCL10543"	"IS04"
"DLBCL10552"	"IS04"
"DLBCL10834"	"IS04"
"DLBCL10836"	"IS04"
"DLBCL10839"	"IS04"
"DLBCL10855"	"IS04"
"DLBCL10858"	"IS04"
"DLBCL10874"	"IS04"
"DLBCL10889"	"IS04"
"DLBCL10891"	"IS04"
"DLBCL10892"	"IS04"
"DLBCL10899"	"IS04"
"DLBCL10905"	"IS04"
"DLBCL10920"	"IS04"
"DLBCL10923"	"IS04"
"DLBCL10932"	"IS04"
"DLBCL10941"	"IS04"
"DLBCL10942"	"IS04"
"DLBCL10946"	"IS04"
"DLBCL10957"	"IS04"
"DLBCL10960"	"IS04"
"DLBCL10971"	"IS04"
"DLBCL10973"	"IS04"
"DLBCL10974"	"IS04"
"DLBCL10979"	"IS04"
"DLBCL10982"	"IS04"
"DLBCL10984"	"IS04"
"DLBCL10991"	"IS04"
"DLBCL11181"	"IS04"
"DLBCL11196"	"IS04"
"DLBCL11202"	"IS04"
"DLBCL11208"	"IS04"
"DLBCL11256"	"IS04"
"DLBCL11271"	"IS04"
"DLBCL11433"	"IS04"
"DLBCL11437"	"IS04"
"DLBCL11447"	"IS04"
"DLBCL11448"	"IS04"
"DLBCL11453"	"IS04"
"DLBCL11456"	"IS04"
"DLBCL11457"	"IS04"
"DLBCL11463"	"IS04"
"DLBCL11466"	"IS04"
"DLBCL11476"	"IS04"
"DLBCL11478"	"IS04"
"DLBCL11479"	"IS04"
"DLBCL11480"	"IS04"
"DLBCL11481"	"IS04"
"DLBCL11485"	"IS04"
"DLBCL11486"	"IS04"
"DLBCL11491"	"IS04"
"DLBCL11492"	"IS04"
"DLBCL11495"	"IS04"
"DLBCL11509"	"IS04"
"DLBCL11511"	"IS04"
"DLBCL11517"	"IS04"
"DLBCL11518"	"IS04"
"DLBCL11535"	"IS04"
"DLBCL11561"	"IS04"
"DLBCL11596"	"IS04"
"DLBCL11646"	"IS04"
"DLBCL11648"	"IS04"
"DLBCL11663"	"IS04"
"DLBCL11668"	"IS04"
"DLBCL11674"	"IS04"
"DLBCL11676"	"IS04"
"DLBCL11677"	"IS04"
"DLBCL11682"	"IS04"
"CTSP.ACY6"	"IS05"
"CTSP.ACYJ"	"IS05"
"CTSP.ACYS"	"IS05"
"CTSP.AD13"	"IS05"
"CTSP.AD4C"	"IS05"
"CTSP.AD4F"	"IS05"
"CTSP.AD4K"	"IS05"
"CTSP.AD4Q"	"IS05"
"DLBCL10450"	"IS05"
"DLBCL10451"	"IS05"
"DLBCL10452"	"IS05"
"DLBCL10469"	"IS05"
"DLBCL10470"	"IS05"
"DLBCL10472"	"IS05"
"DLBCL10473"	"IS05"
"DLBCL10492"	"IS05"
"DLBCL10494"	"IS05"
"DLBCL10506"	"IS05"
"DLBCL10515"	"IS05"
"DLBCL10516"	"IS05"
"DLBCL10520"	"IS05"
"DLBCL10533"	"IS05"
"DLBCL10566"	"IS05"
"DLBCL10925"	"IS05"
"DLBCL10926"	"IS05"
"DLBCL10928"	"IS05"
"DLBCL10930"	"IS05"
"DLBCL10931"	"IS05"
"DLBCL10933"	"IS05"
"DLBCL10937"	"IS05"
"DLBCL10938"	"IS05"
"DLBCL10939"	"IS05"
"DLBCL10940"	"IS05"
"DLBCL10945"	"IS05"
"DLBCL10948"	"IS05"
"DLBCL10950"	"IS05"
"DLBCL10952"	"IS05"
"DLBCL10958"	"IS05"
"DLBCL10999"	"IS05"
"DLBCL11000"	"IS05"
"DLBCL11001"	"IS05"
"DLBCL11002"	"IS05"
"DLBCL11004"	"IS05"
"DLBCL11005"	"IS05"
"DLBCL11191"	"IS05"
"DLBCL11193"	"IS05"
"DLBCL11195"	"IS05"
"DLBCL11197"	"IS05"
"DLBCL11203"	"IS05"
"DLBCL11205"	"IS05"
"DLBCL11209"	"IS05"
"DLBCL11242"	"IS05"
"DLBCL11300"	"IS05"
"DLBCL11438"	"IS05"
"DLBCL11446"	"IS05"
"DLBCL11487"	"IS05"
"DLBCL11510"	"IS05"
"DLBCL11523"	"IS05"
"DLBCL11526"	"IS05"
"DLBCL11527"	"IS05"
"DLBCL11542"	"IS05"
"DLBCL11563"	"IS05"
"DLBCL11564"	"IS05"
"DLBCL11565"	"IS05"
"DLBCL11570"	"IS05"
"DLBCL11572"	"IS05"
"DLBCL11575"	"IS05"
"DLBCL11579"	"IS05"
"DLBCL11595"	"IS05"
"DLBCL11662"	"IS05"
"DLBCL11664"	"IS05"
"DLBCL11666"	"IS05"
"DLBCL11667"	"IS05"
"DLBCL11680"	"IS05"
"DLBCL11685"	"IS05"
"CTSP.AD05"	"IS06"
"CTSP.AD0Z"	"IS06"
"CTSP.AD18"	"IS06"
"CTSP.AD28"	"IS06"
"CTSP.AD2E"	"IS06"
"CTSP.AD50"	"IS06"
"CTSP.ADRS"	"IS06"
"CTSP.B02B"	"IS06"
"CTSP.B02I"	"IS06"
"DLBCL10116"	"IS06"
"DLBCL10458"	"IS06"
"DLBCL10463"	"IS06"
"DLBCL10471"	"IS06"
"DLBCL10485"	"IS06"
"DLBCL10507"	"IS06"
"DLBCL10508"	"IS06"
"DLBCL10509"	"IS06"
"DLBCL10529"	"IS06"
"DLBCL10540"	"IS06"
"DLBCL10550"	"IS06"
"DLBCL10833"	"IS06"
"DLBCL10835"	"IS06"
"DLBCL10845"	"IS06"
"DLBCL10853"	"IS06"
"DLBCL10857"	"IS06"
"DLBCL10859"	"IS06"
"DLBCL10860"	"IS06"
"DLBCL10861"	"IS06"
"DLBCL10865"	"IS06"
