"TCGA.05.4410.01A.21R.1858.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.22.5483.01A.01R.1820.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.37.4132.01A.01R.1100.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.4B.A93V.01A.11R.A39D.07"	"TCGA.50.7109.01A.11R.2039.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.05.4397.01A.01R.1206.07"	"TCGA.55.8094.01A.11R.2241.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.22.4591.01A.01R.1201.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.56.8308.01A.11R.2296.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"
"CD79A"	6.61383528298877	7.13371522031775	8.44740058059953	6.9153468120205	8.92714687057436	7.3686500177384	7.74845747448886	7.84431854201854	8.5245260263099	6.77642503459276	7.2851916749247	6.91169499423296	7.70821300605415	6.77615133295017	7.62539248627076	7.13283988832217	7.34238607542468	6.57288349511284	6.89612605876243	4.88740502446618	5.1134143995252	4.87218470488259	5.78385534539144	5.63172336677763	4.56380368399341	4.87715595135991	5.45459030942479	7.3038894243028	6.61443775254876	5.06947835330931	4.47784042279836	3.5377798890624	6.11951141934122	5.84780819883907	3.93024721343392	6.33934458693678	5.03587100110042	5.83683554769411	5.46058723446171	3.45685261611077	5.80741787091889	6.95154381708722	6.82774770936534	4.13252557746498	4.66903319062389	2.62545477029699	2.46772858825414	5.60250297182889	6.15070679377811	2.35953584898259	5.51392956710967	5.43620368394325	3.05324214254343	6.08371823080216	4.80510905742644	5.401344000811	4.32768580249788	5.48311466584139	3.31784353920036	6.91575345472148	4.31352824128874	2.81710087676332	1.11746579774546	4.21770374271683	4.48945407446562	3.64943706363222	3.22944163650284	3.99377841007712	5.02650187525505	2.90660798598581	5.18418865735488	2.67811703670558	3.56961374205034	3.3219602923435	2.03203834851592	5.68129301473082	2.06843113188681	1.72797411471836	0.980155066254144	4.89499693424879	1.46804323663656	4.54356136333146	1.7223851630431	2.60979685634652	2.76919506818678	3.01815119133563	2.49322029949981	3.50662686488962	2.68226340531393	5.3597223227137	3.52515727276163	5.25403821847182	5.9123521743525	3.29962482031474	4.82676441617057	4.03865278939153
"FCRL5"	4.09883923906204	4.47269072000747	3.98216239070129	4.15548833444515	5.33425917836669	4.92525504568285	5.61491123994305	4.71924465798476	5.41749403871056	5.03797684440334	4.92384355027098	4.75400486650543	3.79770457116933	4.80420180381494	4.9040348627576	5.12867585293345	5.09495999883177	4.51059201142425	5.16634953932537	3.40049676381853	2.98175034583321	3.0042885273125	3.5773218018166	3.37312780706004	2.03328040385168	3.07122891246591	2.0388708597357	4.60887839697667	3.9750893304211	2.35484888815168	2.56515215576901	1.19204299336627	4.06379092619245	4.04907937457738	2.42683419565004	3.67165742846445	2.34259170383799	3.42874475067474	2.61179752097149	1.00568565594297	3.0508577594959	4.85301272813058	4.71320439106509	1.60732595180329	2.50277004027252	1.83258094629376	1.47532755438392	3.79717652594787	2.99411661535702	7.28429475901276	3.17385765340368	3.45359497514208	3.03786180862063	3.28947046142951	2.73830384924306	3.08266731026851	2.31534604900027	3.83803906703955	1.2779429703251	5.35902997078897	3.16522983419762	1.0436030432489	0.72169384254568	2.0160313587397	2.51635729337007	2.19313415278412	1.09007773845539	1.01258154455161	1.86439567152246	0.625799045407594	2.37507594771736	1.06450511600738	1.07830705450653	0.801155717690583	0.782521024296356	1.95194652479038	1.3110154108321	0.728336450227613	0.340404301970621	2.59113995460382	0.846112780282325	1.72027003352504	0.48970071923155	1.0211303220145	0.818463609761823	1.0081090486695	0.997606879088839	1.08730240546791	1.10069872727426	2.66116781171596	1.73868592506313	2.55617832050206	3.89330363072297	1.03579587349472	2.1346205432589	3.06862756960146
"POU2AF1"	5.36969784699297	5.42787024758439	5.92202453587143	5.67752276718738	6.10763764319775	6.2745589125554	6.58862510947721	5.40501633132607	6.30457233238886	5.75458874684178	6.38195026416774	5.95631640943258	5.90537457872345	5.65756369930304	5.8386719506152	6.41425152820452	6.3426593813211	4.99434711913358	6.13890074637111	4.02082818270134	3.21380178489816	4.01008932650209	4.80252440898237	4.46958258895134	2.5519431206404	4.68011478639328	5.91277148615111	4.90822739192473	5.22911893862965	3.55897509709052	6.23637627907007	2.13800943692276	4.99528530417266	5.00194680223069	3.07799470450237	4.78750757246489	3.74910581596381	4.50324227174139	3.8465373484129	2.09258280031955	4.44266577191006	5.61936607432729	5.53485851165235	2.71064628339461	3.8730968349613	2.33961770817185	1.99219467750705	4.08498517968478	5.19443679727213	2.67771866819841	4.46192575144516	4.145297527626	3.85171436593054	4.42143562400288	4.38708244096329	4.00968303913757	3.75177920633473	5.99075802069428	4.80637460420317	6.06068479104132	4.08273043360311	2.24477743745055	1.39600860831896	3.53603712134408	3.12609281414224	3.19704704888977	1.5147578746111	2.19385344648925	3.64057297420089	2.67704264537641	2.80027333035837	2.2877120127689	2.08917701551989	1.76705851293412	2.5017456035178	3.56395665704535	2.11423012492172	1.29620059204536	2.55809570305739	3.81841055892566	1.65339863171879	3.46187908582086	3.16102196767724	2.3093045875766	1.47171266388997	2.19513381841346	2.17392927891867	3.60291583105961	5.38587528877397	3.96659970888468	2.84691035674245	4.079870577917	5.42734706673842	1.95141776034821	4.93130673033739	3.57501108845799
"TNFRSF13B"	2.47716700432391	2.43561015216712	4.78874221575168	1.23596810808665	1.94317101579964	2.94329981798304	2.3949978636316	3.10689317671062	1.66513354228178	1.57604552019234	2.45222621728986	2.24440538097629	2.77496257823671	1.73184190737488	3.19116879701664	3.58132515389386	3.36822917760224	1.38298028294109	3.61043673452542	0.951101064665205	0.760229329934193	0.932425628728411	1.65834552047407	1.65912445462934	1.1324631012992	1.13767168779968	2.16926128691424	2.5141968739747	2.19392839336941	1.37728139836261	1.11711009859765	1.05839780786795	2.10859304460049	1.91711135254231	0.945333036298853	1.62181187730654	1.99329880124871	1.14620259053422	2.05496793848218	1.22671230547327	1.64717664454871	2.76753643556055	2.21435796468371	1.61796240781665	1.77733072725073	0.322509794951675	0.051064253186935	0.904988330253365	1.1092343730128	0.311808321123483	1.0417633881188	1.07311846705755	0.620903612328826	2.0762716183782	1.6277098911419	0.561919371252787	0.242140033100148	0.692588252308291	1.37603618200546	1.5478095879785	0.757528619842916	0.229862530981336	0.181816366236389	1.10363978834508	1.22209712248127	0.990377625690744	0.428970440794795	1.25833275190155	1.82377964207889	0.371126415912292	0.32568770279593	0.30204824762355	0.927111688334153	0.81742249525118	0.139088035264549	2.57599396856374	0.35247448241771	0.528225660520925	0.160932494238995	1.34952930206318	0.270065737868462	1.27721003870896	0.496316274358082	0.875649521745556	0.211088310983519	0.651405091278416	0.214900028972556	0.93600250846925	0.674104732505055	1.75811490167435	0.545183086133964	0.71701451761198	0.955988088747814	0.650686497354487	0.300981470422567	1.45804398453414
"TNFRSF17"	4.6772216642193	4.32997714530622	4.22106292794358	4.28515055366335	5.1937916650023	4.85852795480187	5.55320780595084	4.52915355242965	4.79084825675666	3.85868594046392	4.58366798680416	4.63076834762914	3.29779541970994	4.10340951063342	4.30967838180801	4.61935152419413	5.36682223822232	4.02132750949483	4.56091148008087	3.14004701126647	3.35129931043441	2.86863133502964	3.50371889320031	3.27156471949047	2.56142555647566	2.79070477542206	2.57259932931281	5.12013573837461	3.22569864892374	1.94239829252716	1.5941447369599	1.16163850076288	4.45559383047599	3.13292856207716	1.29457906422027	2.94934266725396	2.27351779905267	3.90153963195894	3.80352616571077	1.63430501824652	2.50574848990871	4.77936444061028	4.41591071816185	2.03502970294237	1.68511026667559	1.31704680720905	0.624370269428949	3.64009362013386	3.81668617470657	0.953118559506299	3.77510800087148	3.76610302692915	3.12248747891689	3.56110192122399	1.99827560752374	3.26083303610259	2.59527990923999	4.07810847166185	0.955246461368388	4.98182065380546	2.29025626674872	1.47394349878343	0.513587722022608	1.69068740705194	2.82864963288837	1.86056795564433	1.24502371515015	1.13674922407538	2.33464206308217	1.34246170901321	2.60418644327324	1.22117804103672	1.60139688044301	1.72840519729048	0.323621455011567	3.07475552808565	1.41405596778867	0.647631849811784	0.194518926633029	3.37925911179515	0.720357145583443	2.05716307727907	0.891759027030687	1.35827785927975	1.79815600998045	1.78822219700217	1.15097911466992	1.50382658188865	0.912919558348246	2.5033530377357	2.01454781906544	2.90034821730926	3.45878952074713	1.10702689045581	1.43386360248773	2.18609229262232
"CD79B"	4.13670714430378	4.95742325233479	6.24435969338395	4.28661186439005	4.7775100743706	5.02442356905999	5.04377080500195	4.90701723762903	4.97275615390254	3.87847347535322	5.10992509742375	3.854356328892	6.86403299768142	4.55181752227247	5.0637819172646	5.00603362179461	4.987305873773	4.25808337344728	5.08173701771357	3.19596236835451	3.45504682223047	3.21260345620322	4.02440020281665	4.52791829639875	3.26616491418596	2.79635633537535	4.42557535252373	5.28330051895451	3.64475440651663	3.05253188612423	3.10552053811245	2.79682104194527	4.73547176804815	4.09860510563938	2.53705621975487	4.29659253704344	3.83556757209974	3.58406256277789	4.07615888668185	3.17638411167135	3.56460962870507	5.16273394106322	4.49448534382864	3.19660045539464	3.5393116940265	1.74937479301595	2.00985744286802	3.64690382927267	3.56367710244882	2.08700242683925	2.72013438265391	3.48654503523128	3.04035576255625	3.52720589140517	3.24301571971878	2.71792312419505	2.24030184984577	3.20209739282219	2.70113929795932	4.60880572870013	2.35378552810935	3.71171426502283	0.511337801456394	3.00570866390331	3.08531075236867	2.74099230574595	2.76999324724317	2.83897916376713	3.24939888201721	2.14326827913015	2.86442982398786	2.03967550219282	2.63715572171009	2.99807365996148	1.61072473967687	4.03546411837816	2.5947915373273	1.92089729695225	3.34001702111249	2.97393908634265	1.56904326828283	3.40769951016882	1.79641314494815	2.73802591976846	2.31211222316811	2.76715958036708	2.03297384032032	2.56871671595222	1.89354008062392	3.25303203868296	2.03526697123174	2.52259768601092	4.1709000779385	2.00259117394464	2.75433770182482	2.73005102859431
"CD27"	5.88647078762984	6.02271286285831	6.74897199099094	5.06628722876218	6.58648266814358	5.89587941937075	6.63129350788198	6.43463273541855	6.40787556676242	5.00011078675091	5.80616572468059	6.00342769244887	5.44958602421636	5.16875083254451	6.37142631777202	6.00946067894407	6.3352513920757	5.8350356993002	5.80886728267765	4.06083581336918	4.17202252337424	4.31925715053711	5.01117723023518	4.63283104952968	3.7616129225885	4.84471343763978	4.87826927632429	6.37173671316312	5.48701533601967	4.26441977062245	4.07043071036565	3.96743102169318	5.3971529003333	5.61730387122633	3.76933298034559	5.54428241066707	4.43000661208561	4.85974955078412	5.53445596022176	3.29936401266498	4.11865120543737	5.56595897852465	4.61067392352644	4.2601291135777	4.1823386728757	2.7326787829153	2.0700491343027	4.50671014869776	4.62140598114713	4.64232687045741	3.67829089001845	4.17711917730352	2.84265620074212	4.86274244926895	4.09017483253909	3.67902442611724	2.77186562303952	3.97711819158244	3.61756954981869	5.81925412513647	3.77601877567721	2.01335041143163	0.952928601185152	3.22346773937378	4.08781199397141	2.70889359300305	2.63179985997301	2.6788475872873	3.9479322119683	2.1673951397844	3.63360575232179	2.36401791401959	3.50986664110155	2.86070818123888	1.66093272715301	4.54258855134432	2.60482886891316	2.00318661547702	1.95081230205219	4.28502806534306	2.42485311297325	3.49734080807742	2.32927621043014	2.40489511505713	2.96631387357159	3.34474576691683	2.95643375932469	2.20589085190162	2.18150233552772	4.11372042932643	3.51714468090091	3.93205050757485	3.98248933981053	2.94273052153235	3.73923628293835	3.80743384458209
"IRF4"	3.96597355481512	3.32036730196935	3.13674129782966	4.75042498772263	6.2719439923112	5.09624133560974	4.57859158047067	3.7943263677724	4.19926468082465	4.08383510396654	3.97573729192742	3.85972290701797	3.07724566112458	3.3651068155265	3.55897032210456	2.94810876571588	6.62242671702454	3.97946781659112	4.16119755390311	2.27346479557786	1.76807894843195	2.92973608025232	2.53147601442881	3.2618022241278	1.5156262345925	2.44920148548614	2.90865210458563	3.05415819092655	3.00081535710824	2.25652228312546	2.52846885770462	1.5729981538576	3.00150797256094	2.93199130837391	2.12052257779431	2.52869101632455	2.15103883956417	3.30311494145989	3.18566256925069	1.89031214541507	3.1819403385246	4.83231664047235	3.17521333722879	2.46278404163531	1.35490860737722	1.20853745343704	1.75779987232385	1.8864557963832	1.71325025846533	1.55927746619157	2.40605327653333	2.85388717980499	2.1812956331347	3.52777076164707	2.27516537227571	1.76957829053859	1.31153932317278	3.49730217827198	3.78800878990867	4.95804753835232	2.819875163301	0.502223331700765	0.12874136304628	1.7672429939401	2.73330340047736	1.82991806482529	1.6547350689472	1.58871962423182	1.69754814365101	0.908261142321165	1.15635614315289	1.43802548176813	1.58838144331037	1.08690462181177	1.11306615554614	2.36848944576031	2.42221599522369	1.01685193625575	0.810431666527588	2.06895093140285	1.62804949402932	1.84970133344564	1.19732646530769	1.24476262072114	0.829038807384855	1.53277050806499	1.9713318035575	1.29202631630784	0.575316854979149	1.71357028079653	1.60848223290693	2.55554431687888	2.51034470236768	0.754760170845872	1.47343948742571	1.80812687751353
"FCRL2"	2.96663736351122	2.27870117019302	3.29512573958779	2.4102178708846	2.75064807477227	3.41990024713162	3.70085061375776	3.44397576572676	3.911082048091	2.52717721479442	2.63556441887074	2.84607703076485	3.21985832588173	2.63181517943059	2.82817486156319	3.23115527462971	2.56183314009159	2.77136160360337	3.49823235121387	1.70317882286588	0.904441871114739	1.37498552894266	1.99037040908465	1.83599874472068	0.893110640510238	1.49105787686424	1.51761916982845	3.12274123937224	1.52859405118921	1.22135607947964	1.30792025222593	0.425858787094472	2.39461601553588	1.71023568963062	1.22284244426378	2.12568322008306	1.25350207811012	1.17265343462866	1.41198341827098	0.81092971126263	1.60396016632206	3.24044476937106	2.56261948276791	2.10915504179831	1.79175530421388	0.426887947367311	0.554846144268195	2.12686858129508	1.98434559137399	7.27297029617165	1.61706560572529	1.4212631517563	0.833981354649752	1.7963779538545	1.56640932379223	1.29252272932906	1.45942922401552	0.916512389730874	0.955977343535695	3.21587116080932	1.91920159835114	2.23175492648937	0.41409292607369	1.30086311548704	1.6944520468027	0.904269878608889	0.466579787613016	0.777734729412863	0.869636904242188	0.30664250108631	1.58759638811571	0.287560381623547	0.468632539191482	0.636411696252129	0.57113288395436	1.28988535007605	0.902768115050691	0.593135108435059	0.527747136470146	1.37900490563576	1.43404255692015	1.25165223841715	1.08147542437353	1.13949231974914	0.410278298421113	0.745170193903611	0.81801342780852	1.19732966865555	0.603656673778914	1.51201914447193	0.650421224926532	0.914313821580821	1.2568335740135	0.520791540685493	1.06376772384402	1.91551094179015
"IGLL5"	10.0587588571238	9.98594489732471	8.15630446693603	9.25408164649849	10.7741839450803	10.089404756199	10.4147666827052	9.20597349065427	9.74342453048261	9.38718671861438	10.5276778752687	9.03595185469673	7.32848583884059	9.25774718586542	10.5631657444306	9.3567135610279	9.48627499910356	9.76094004623491	9.65027449522555	8.10266883339212	8.95646123304811	6.71943022622307	8.63215228016969	8.12881068516406	6.17832338891026	7.07033296771249	6.27115289119084	8.54948073132214	7.81358548226457	6.69217141632208	7.1615730417552	5.40687961966277	9.63118398100643	9.02689858691197	7.61895861980963	8.29197315828187	7.0621693679491	9.06212355287177	7.59005874657785	3.80590748326845	7.10513613469114	9.66184954704749	8.79535123655744	4.27407613285054	6.43462067252973	5.66508052306816	5.34807365037902	8.01230120039642	8.78343420542154	5.2713733906163	8.7480273572157	8.35624590643553	6.10555707042264	8.65713993384815	7.22852003700555	8.02824310112588	7.75879532355993	8.64366174796326	4.24182010703608	9.89644925801627	6.36072581457827	5.23534611432298	2.99009918193102	5.77898400662938	6.77369576997221	5.96581036666302	5.84273777575149	5.02270874147577	7.57425787340526	5.71995659275546	7.5139404556062	4.97271402984126	6.29881076963966	4.94643511403744	1.60696122966166	6.52506328052361	5.28234183152453	4.5844072823106	3.07753735159622	7.98002057220653	3.79262707211376	7.21088409167812	4.57943382346226	5.24722593543175	4.92657661748356	5.84763639996209	4.31072858191949	5.35511256826985	4.467526160667	8.43130287594633	6.21789360727335	8.57805953201492	8.73822685342531	4.81353707920891	7.972335959426	8.76148269310622
