"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CALML5"	"CALML5"	0.501809849287753
"CD55"	"CD55"	-0.590566570693546
"KRT6A"	"KRT6A"	-0.555953595948506
"CEACAM6"	"CEACAM6"	-0.203104984487077
"RARRES3"	"RARRES3"	0.412917395618166
"KIAA1324"	"KIAA1324"	-0.42209948766053
"PLPP1"	"PLPP1"	0.00179932831726437
"SNCG"	"SNCG"	1.27149314930783
"ANPEP"	"ANPEP"	-0.471295903491
"RGS2"	"RGS2"	1.43746191980541
"CTSS"	"CTSS"	0.996307096541055
"CRIP1"	"CRIP1"	-0.581709147523756
"S100A2"	"S100A2"	-1.02734697695876
"TBC1D9"	"TBC1D9"	1.45957395633184
"GJA1"	"GJA1"	0.255451512762399
"SPRR2A"	"SPRR2A"	-0.309940924080962
"CPE"	"CPE"	-0.370098914631968
"LGALS9"	"LGALS9"	-0.589750396409662
"CLU"	"CLU"	0.469432690174479
"TSPAN7"	"TSPAN7"	-0.0700686989512357
"EGR1"	"EGR1"	1.16265972791686
"LYPD3"	"LYPD3"	1.06816388097574
"AKR1B10"	"AKR1B10"	-0.501202527941354
"KRT15"	"KRT15"	-0.366617755855524
"C4B"	"C4B"	0.630412869520077
"PKDCC"	"PKDCC"	0.705850020960545
"PLXND1"	"PLXND1"	-0.603708314515659
"DSG3"	"DSG3"	-0.497855564622509
"KLK4"	"KLK4"	-0.647831774289264
"MUC13"	"MUC13"	-0.218235765274764
"OLFM4"	"OLFM4"	-0.354539530844337
"CREB3L1"	"CREB3L1"	-0.212449659457392
"FABP5"	"FABP5"	0.32686119528363
"PMEPA1"	"PMEPA1"	0.753966511721279
"CALML3"	"CALML3"	3.00324467322353
"IFIT1"	"IFIT1"	-0.536052477186494
"FSCN1"	"FSCN1"	-0.0224733874698182
"ANXA8"	"ANXA8"	1.4164719058749
"LPCAT1"	"LPCAT1"	0.0859352867496127
"C4A"	"C4A"	0.55748215381149
"LGALS7B"	"LGALS7B"	-0.147069171854539
"HPGD"	"HPGD"	-0.0409375481967355
"SULF2"	"SULF2"	-0.281913599313379
"SBSN"	"SBSN"	0.457269763677418
"COL17A1"	"COL17A1"	-0.852306536897882
"PRAC1"	"PRAC1"	-0.227533197888699
"IL2RG"	"IL2RG"	-0.652211498308377
"C2"	"C2"	-0.61865682808913
"CREB3L4"	"CREB3L4"	0.39917853333947
"CNFN"	"CNFN"	0.401777842586541
"DUSP1"	"DUSP1"	1.27505398109931
"SGK1"	"SGK1"	-0.209350805592919
"IFI44"	"IFI44"	-0.303919366218551
"SERPINB3"	"SERPINB3"	-0.29832144845541
"PROS1"	"PROS1"	2.41856481700675
"ACPP"	"ACPP"	0.0381225051967372
"DHRS2"	"DHRS2"	-0.0863190466664037
"PKIB"	"PKIB"	-0.240649817218036
"LMCD1"	"LMCD1"	0.973953576171493
"SFN"	"SFN"	0.996249297539327
"TMPRSS2"	"TMPRSS2"	2.46873169391816
"NPC2"	"NPC2"	-0.1353210880067
"GSTM3"	"GSTM3"	0.983358234544621
"MAL"	"MAL"	-0.395295014265459
"FGFBP1"	"FGFBP1"	-0.605142243571381
"MT2A"	"MT2A"	-0.567303324029514
"PSCA"	"PSCA"	0.684894929015145
"PDLIM4"	"PDLIM4"	-0.204726103874083
"IGFBP3"	"IGFBP3"	-1.38461958561229
"RHCG"	"RHCG"	0.841931033460261
"GGT5"	"GGT5"	-0.978157877933758
"NTS"	"NTS"	-0.247781083710542
"TRIM29"	"TRIM29"	1.46898721961652
"GABRP"	"GABRP"	2.14485276338374
"SMOC2"	"SMOC2"	0.923041005545214
"SLC45A3"	"SLC45A3"	-1.05060690106078
"IFITM2"	"IFITM2"	-0.48443374427394
"SERPINB5"	"SERPINB5"	0.97789420346247
"KLK10"	"KLK10"	-0.417719829836456
"IFITM1"	"IFITM1"	-0.951911675851293
"DKK3"	"DKK3"	-0.959077862262921
"SLPI"	"SLPI"	0.00704677315456689
"CRABP2"	"CRABP2"	-0.101803226222782
"CRABP1"	"CRABP1"	-0.289064519890397
"IFI27"	"IFI27"	-1.23830883973356
"CST1"	"CST1"	-0.614496869689702
"IL1RN"	"IL1RN"	1.39245097585498
"CTSE"	"CTSE"	-0.534303614279293
"AKR1C3"	"AKR1C3"	-1.05234341876434
"NDUFA4L2"	"NDUFA4L2"	-0.941951050869062
"TNFAIP2"	"TNFAIP2"	0.286641771248367
"CAV2"	"CAV2"	-0.542162617406926
"ALDH3A1"	"ALDH3A1"	-0.542310584657039
"C8orf4"	"C8orf4"	-0.152604062802788
"LYNX1"	"LYNX1"	-0.418862398560238
