"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"
"SLC44A4"	"SLC44A4"	1.36653702411959	-0.209497874776799	-0.0803049394248254	-0.0810482923727104	-0.457445230941002	-0.0720108724777199	-0.103937742298405	-0.271070871055617	"IS01"	1.36653702411959
"AGR2"	"AGR2"	1.23290010008088	-0.136412169468768	-0.0885465326506094	-0.326588927541636	-0.345771630349006	0.0408253853650452	-0.0161388622430792	-0.316851808292731	"IS01"	1.23290010008088
"C9orf152"	"C9orf152"	1.17400515768788	-0.428422079478947	0.138563726885702	0.157455093325507	-0.504544028488386	0.0612676803673933	-0.220480985590806	-0.362250527993173	"IS01"	1.17400515768788
"BCAS1"	"BCAS1"	1.17222886240785	-0.347166370472053	-0.129169591189695	-0.0159982071025552	-0.0751548899544162	-0.0261767474353624	-0.125715170442357	-0.333209077166146	"IS01"	1.17222886240785
"ERN2"	"ERN2"	1.15576570654493	-0.125572882081905	-0.315118459120143	-0.0863871128389162	0.0808374224106017	-0.121495855435785	-0.190227107599004	-0.185093232726306	"IS01"	1.15576570654493
"BCL2L15"	"BCL2L15"	1.13013261978522	0.00873205944643745	-0.282329873879002	-0.199248829460294	-0.187516711130942	-0.129997603203327	-0.157659381184182	-0.00643612519662486	"IS01"	1.13013261978522
"FAM83E"	"FAM83E"	1.12114311041803	-0.241250813334819	-0.0685203968712663	-0.152965557033525	0.103961178127204	-0.248907766047567	-0.163898463145186	-0.131687391309408	"IS01"	1.12114311041803
"TSPAN1"	"TSPAN1"	1.11794388410009	-0.0725541949083452	-0.286184455565448	-0.191248725988968	-0.117429896657414	-0.159400327777898	0.0706677319451743	-0.221326630602878	"IS01"	1.11794388410009
"TMC5"	"TMC5"	1.11393143977899	-0.119260268950683	-0.246421321563831	-0.14101837179911	-0.3443143772417	-0.124924809304216	-0.00734345260995319	-0.0124146043608605	"IS01"	1.11393143977899
"TFF1"	"TFF1"	1.0841012633908	-0.0228554776904178	-0.0779398426068026	-0.171007021291177	-0.255493470309055	-0.0123536557137991	-0.134032124317994	-0.331138519886806	"IS01"	1.0841012633908
"PLS1"	"PLS1"	1.02564520766139	-0.861559065769252	0.274798729699446	-0.194203195099441	-0.0628220972838404	-0.0797898978358397	0.118434700594112	-0.186042693345893	"IS01"	1.02564520766139
"CAPN8"	"CAPN8"	1.02332871721307	0.0951770017281458	-0.398189806600926	0.00410198666018824	-0.261688843662303	-0.111822051359344	0.0183720690135634	-0.248171546949726	"IS01"	1.02332871721307
"ST6GALNAC1"	"ST6GALNAC1"	1.02093791080249	-0.166969964023667	-0.230989959434721	0.00927971999033833	-0.0380829158074423	-0.0526730370620147	-0.22617381103306	-0.154239910955238	"IS01"	1.02093791080249
"SPDEF"	"SPDEF"	1.0153348956043	0.122738064111147	-0.12391729925098	-0.249363872504361	-0.393783785333363	0.00075117548393909	-0.035448222054033	-0.295892810291355	"IS01"	1.0153348956043
"PIGR"	"PIGR"	1.00355026247734	-0.224322934666863	-0.45824182313814	0.609137147238671	-0.21504518569777	-0.260323810113247	-0.291789875701213	0.0891264057828923	"IS01"	1.00355026247734
"PRR15L"	"PRR15L"	0.997704952598778	-0.125441209806457	0.213767380719223	-0.153976381463012	-0.45441678904988	0.0204602172766583	-0.267302673145201	-0.202775067837856	"IS01"	0.997704952598778
"MUC13"	"MUC13"	0.975016537770702	-0.131203750329361	-0.0878667986332753	-0.258806615076487	-0.15601352635234	-0.0747561880237368	-0.19922370166739	0.0688676568689296	"IS01"	0.975016537770702
"TSPAN8"	"TSPAN8"	0.973646265729491	-0.18182823140998	-0.0710883918448239	0.0646893745106482	-0.22731282752147	-0.0595265684064982	-0.215389466474615	-0.173480602702175	"IS01"	0.973646265729491
"MLPH"	"MLPH"	0.970383012694655	0.117275723738864	-0.129058637782376	0.0235420963998608	-0.565761834231174	0.0675590215779463	-0.093585663655885	-0.391382541111335	"IS01"	0.970383012694655
