"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"
"MGP__pos"	3.973457210405	18.4244234765235	7.20294897392817	87.49080725866	2.22044604925031e-16	2.22044604925031e-16	28.7101019031363	2.79980330170257
"VIM__pos"	2.22044604925031e-16	5.37455571369911	1.816854932396	57.9428954359237	2.22044604925031e-16	2.22044604925031e-16	75.1565791559689	17.2237388719537
"FN1__pos"	2.22044604925031e-16	9.7864250410706	1.55738480995323	8.84326301368505	2.22044604925031e-16	2.22044604925031e-16	125.652935494887	7.78511741544612
"SERPINA3__pos"	48.2974704623267	12.0394297148189	2.22044604925031e-16	12.4074310450743	15.1608634223097	6.22331468455096	43.4037784740823	15.0839420139632
"RNASE1__pos"	19.5020566349516	27.607351316387	2.22044604925031e-16	51.2880027250163	2.22044604925031e-16	2.22044604925031e-16	24.5033144739773	41.9633201517731
"S100A4__pos"	12.4627014591522	39.0477171363733	2.22044604925031e-16	32.7208867477813	13.3229105671787	2.22044604925031e-16	37.9624189400041	14.2200073612876
"GPNMB__pos"	2.22044604925031e-16	2.22044604925031e-16	13.4822536761858	24.4843759691614	24.6560580347234	0.840613328353636	51.3774738706688	48.3694138042096
"IGFBP5__pos"	14.5949011241349	0.264684455412246	43.4938668697825	30.9165171432905	2.16175437043397	2.22044604925031e-16	64.12645499493	2.22044604925031e-16
"FBLN1__pos"	2.96344851301393	9.30447193628871	22.6034684130202	62.0803522534677	3.40154516559427	2.22044604925031e-16	55.2615602804036	2.53179157612351
"EMP1__pos"	9.10632923131393	1.61447684088874	2.22044604925031e-16	49.7172809409601	50.6581465807023	0.481705653741891	38.1517482643323	2.22044604925031e-16
"CTGF__pos"	6.78538455951559	2.17286966064231	8.39996574594559	63.4127910501025	1.97724058250357	2.22044604925031e-16	79.5980190457025	0.772277325930895
"TFF1__pos"	118.617664737973	12.1933452240926	2.74747761638395	0.63930018352527	2.22044604925031e-16	1.60664686755039	0.99427746053864	2.22044604925031e-16
