"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"State"	"MaxFC"	"InitialState"
"KIR2DL4"	"KIR2DL4"	-0.319889473583614	-0.17212882899125	-0.174150882859794	1.61834147549459	-0.367370419308357	-0.206348348834206	-0.562275484391088	-0.0527392810179104	0.260982728018037	-0.0205985996258305	"S01"	1.61834147549459	"IS04"
"PRF1"	"PRF1"	-0.260388957738201	0.343438799229247	-0.158029497684722	1.54790704533865	-0.32380568451311	0.160337545151933	-0.766349303100445	-0.165054907312658	0.132751113780895	-0.126535356084264	"S01"	1.54790704533865	"IS04"
"ZNF683"	"ZNF683"	-0.0803389011538036	-0.0713203201292689	-0.198295222452801	1.50700731698263	-0.389081969405906	0.0605799589901641	-0.656060467342687	0.052469493295848	-0.0235866093355812	0.0418162630736838	"S01"	1.50700731698263	"IS04"
"KIR3DL2"	"KIR3DL2"	-0.265147527750909	0.252565769980138	-0.138766750617352	1.47109552419884	-0.281871845287233	0.0394118487874802	-0.639217554738511	0.131678872109611	-0.0488042231972995	-0.0967636399171086	"S01"	1.47109552419884	"IS04"
"CD7"	"CD7"	0.166776310818378	-0.241130768267974	0.0138469032780962	1.4350114197457	-0.124094624750306	0.174164680322917	-0.726966937310542	-0.125082971475417	0.0431276681884317	-0.0808544344754958	"S01"	1.4350114197457	"IS04"
"GNLY"	"GNLY"	0.052994617055328	0.00531024067772538	-0.174363876780126	1.41085761186743	-0.391987160908126	-0.0435923918435847	-0.588567093030968	-0.148583324826531	0.233539301369627	-0.181867604984891	"S01"	1.41085761186743	"IS04"
"KIR2DL3"	"KIR2DL3"	-0.300360141295935	0.354820903603815	-0.180515186839933	1.35824142375711	-0.252664945495883	0.0104874408410341	-0.585057111960104	0.070219642578025	0.0492416624194556	-0.162390035497086	"S01"	1.35824142375711	"IS04"
"NCR1"	"NCR1"	-0.268062982238427	0.226845120895836	-0.0781544291181846	1.33293746310338	-0.0691822754213494	0.0589908139385721	-0.681781612981766	0.211370819718466	-0.0630025455675279	0.0617608407462521	"S01"	1.33293746310338	"IS04"
"CD244"	"CD244"	-0.305110905328991	0.602283771607464	-0.0609913607599097	1.31826016636997	-0.28476816783389	0.263340663649416	-0.809985526236056	0.0218865527364298	-0.0101943733596915	0.0258838922342153	"S01"	1.31826016636997	"IS04"
"KLRD1"	"KLRD1"	-0.197917091174574	0.257240694187692	-0.125721422890415	1.2795670485055	-0.247164184783649	0.219507350462564	-0.736890883465036	0.0345384747951676	0.0690891667093696	0.0334771159810077	"S01"	1.2795670485055	"IS04"
"KIR3DL1"	"KIR3DL1"	-0.257595889240188	0.527300370725544	-0.104413324468559	1.2554014174728	-0.325528499405878	0.108088327430592	-0.590860469635368	-0.0476869979097193	-0.0507981866513499	-0.155746069487158	"S01"	1.2554014174728	"IS04"
"CD247"	"CD247"	-0.0409758316365605	0.177998686960089	-0.0437948302269355	1.24824228267397	-0.278331948094141	0.214843740398909	-0.680016316878563	-0.0816254801300392	-0.0719768856553172	0.0238843268250537	"S01"	1.24824228267397	"IS04"
"IL26"	"IL26"	-0.114519747142389	-0.03653045389594	-0.00450056088741109	1.03293532710054	-0.219261399947044	-0.0294819820745492	-0.417499623409074	0.179448062784525	-0.109199605281548	0.0304274843831597	"S01"	1.03293532710054	"IS04"
"IL18BP"	"IL18BP"	-0.173746789176825	0.0764249272697178	-0.186852946015474	0.957165210445939	-0.177511253100873	0.150078010338776	-0.461473085049008	-0.0233675271158597	0.0147066306890507	-0.0205749450655137	"S01"	0.957165210445939	"IS04"
"CCL8"	"CCL8"	-0.309755624994384	0.0651130109355272	-0.149835862767706	0.77795161211898	-0.185875749704357	0.354124219490061	-0.550091854873864	-0.0714715664357584	0.614649604703754	-0.265330442220682	"S01"	0.77795161211898	"IS04"
"TVP23A"	"TVP23A"	-0.025677781332895	0.0492360071838191	-0.13368939448781	0.605214138731588	0.214201999496091	0.274070030421674	-0.507844826796406	0.186773852164097	-0.0524623072793256	0.126262765588158	"S01"	0.605214138731588	"IS04"
"CCL3L3"	"CCL3L3"	0.187447831615074	0.0636423995372855	0.011257032596081	0.576888853940329	-0.240535048373343	0.181169095846299	-0.457988545596724	0.00941161825781085	0.343998779718451	-0.15025818536122	"S01"	0.576888853940329	"IS04"
"FCGR1A"	"FCGR1A"	0.00385174489906954	0.00243567213559858	-0.121175427097219	0.481819776727332	-0.0775893199079416	0.102932717022608	-0.228928816801917	0.0472896323838575	0.0716624126050656	-0.161020608573007	"S01"	0.481819776727332	"IS04"
"FCER1G"	"FCER1G"	-0.129706574690066	0.318941405031802	-0.035614772749688	0.481692749293485	-0.170100021028523	0.0540334952965594	-0.216005411911564	-0.034912989614085	0.092391650518246	-0.239966258576027	"S01"	0.481692749293485	"IS04"
"GNGT2"	"GNGT2"	-0.0974967331087861	0.274409290335485	-0.0173077363237848	0.3886354230711	-0.10965299890163	0.0225866271838323	-0.16121545589498	0.00330573567936779	0.0259857623885293	-0.199040495885268	"S01"	0.3886354230711	"IS04"
"TMEM100"	"TMEM100"	-0.210157040679775	1.60423293350073	-0.13656332628201	-0.181837377840714	0.150594145930515	0.543853644127203	-0.395371197651218	0.021289446235627	-0.223096811004302	-0.165953428684656	"S02"	1.60423293350073	"IS02"
"ITLN1"	"ITLN1"	-0.102451056210554	1.18818133478758	0.0953459265456183	-0.0524447757106374	0.304714847999494	0.0220315392786805	-0.220995335329701	-0.0506155250099847	-0.215762836366499	-0.0421574705740044	"S02"	1.18818133478758	"IS02"
