"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"KIR3DL1"	"KIR3DL1"	-0.176167561537477
"FAM179A"	"FAM179A"	-0.462919077437905
"KCNH5"	"KCNH5"	-0.347171044483797
"LIPC"	"LIPC"	-0.372596816836376
"RP4.608O15.3"	"RP4.608O15.3"	-0.101078925489951
"CYP2C8"	"CYP2C8"	-0.178911709534608
"PCDHGA12"	"PCDHGA12"	-0.155202292628435
"SERPINF2"	"SERPINF2"	0.309084039751112
"APOA1"	"APOA1"	-0.170628488123611
"C7orf61"	"C7orf61"	0.66144631475083
"TRPV2"	"TRPV2"	0.484881649378038
"NPFFR2"	"NPFFR2"	-0.26824194146687
"CD300LD"	"CD300LD"	-0.923160231449166
"LILRA1"	"LILRA1"	0.375168247447887
"SLC39A8"	"SLC39A8"	-0.284121032818155
"FTCD"	"FTCD"	-0.294265838110594
"SLC22A7"	"SLC22A7"	-0.182395398572969
"SLC12A8"	"SLC12A8"	-0.392505632755734
"UGT1A4"	"UGT1A4"	-0.27118429452745
"NEUROG1"	"NEUROG1"	-0.176390053565992
"GNLY"	"GNLY"	-0.608495162995725
"TMEM151A"	"TMEM151A"	-0.334656791363909
"AC064829.1"	"AC064829.1"	-0.25065944740847
"GPR1"	"GPR1"	0.159533965401076
"C20orf141"	"C20orf141"	-0.700115152392265
"BTN1A1"	"BTN1A1"	-0.506737833849281
"CRB2"	"CRB2"	-0.298694479177992
"PRODH2"	"PRODH2"	-0.241712643002028
"PRAMEF9"	"PRAMEF9"	-0.0676846937772086
"AHSG"	"AHSG"	-0.124943511123811
"FAM153B"	"FAM153B"	-0.411936177491558
"NRG4"	"NRG4"	-0.745710529726873
"RSPO1"	"RSPO1"	0.0514659678846831
"ISM2"	"ISM2"	-0.17878680227069
"CPA4"	"CPA4"	-0.38291587181379
"PROCR"	"PROCR"	-0.281838814847481
"ANGPTL3"	"ANGPTL3"	1.08683599798165
"RIMKLB"	"RIMKLB"	-0.352392711337852
