"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"
"ATE1"	"ATE1"	0.435264660543312	0.0936898296340581	-0.00571062286374402	-0.215418914635944	-0.181993004908761	-0.209579094892512	-0.0801237512567626	-0.509985421270839	"IS01"	0.435264660543312
"GRAP2"	"GRAP2"	-0.672979557706042	1.4636981388483	0.0757941301038958	0.279984709476684	0.0202971702953894	0.093902626139486	0.281518017139224	-0.263771893062497	"IS02"	1.4636981388483
"AMICA1"	"AMICA1"	-0.679323954210801	1.44806401012007	0.109698802930411	0.281571015806617	0.152467960432086	0.171955605652393	0.514792393930709	-0.49033566031191	"IS02"	1.44806401012007
"KLRB1"	"KLRB1"	-0.590078909771855	1.437340258419	0.100764819079572	0.419428004456097	-0.0070053725719983	0.310247913097021	0.0832562328400771	-0.44978903142252	"IS02"	1.437340258419
"DOK2"	"DOK2"	-0.603529270778999	1.31838428971906	-0.103333831939397	0.261966320078166	0.0740338857834322	0.373306363467741	0.545139039314356	-0.473477577090132	"IS02"	1.31838428971906
"CD1C"	"CD1C"	-0.60925510178829	1.2383497526784	-0.0467701809162996	0.505630621268303	0.16167592816554	0.28623452910903	0.11145403019144	-0.41492063610786	"IS02"	1.2383497526784
"PIK3R6"	"PIK3R6"	-0.523092718628488	1.16061281967334	-0.0326835818696104	-0.0247624625088307	0.185336298850231	-0.0075448773578007	0.281397340704046	-0.18405568903114	"IS02"	1.16061281967334
"NCF4"	"NCF4"	-0.457072187229747	1.14919975626784	-0.0052191161482625	0.0633369075273634	0.0728626347727918	0.133731074511799	0.420789680825622	-0.381846332601294	"IS02"	1.14919975626784
"CLEC9A"	"CLEC9A"	-0.601940035999546	1.14676336860005	-0.146058386650099	0.665067574666618	-0.0586683462871267	0.264581466419495	0.10574663009937	-0.243383563368586	"IS02"	1.14676336860005
"PIK3CG"	"PIK3CG"	-0.919272519508536	1.14550417139362	0.181373635638437	0.38349869101899	0.523393100677031	0.192905380724318	0.55308224669376	-0.206308585919679	"IS02"	1.14550417139362
"PTGDS"	"PTGDS"	-0.608086228666188	1.11792243566105	-0.125170955662025	0.972416597304184	-0.0807468595612941	0.422418709484205	-0.0258647710290218	-0.383340437958194	"IS02"	1.11792243566105
"FLT3"	"FLT3"	-0.628241754402974	1.0892686533536	0.00285919001450024	0.189461646147614	0.133931092364333	0.106454839567894	0.0218445728913425	0.0517977031639184	"IS02"	1.0892686533536
"GIMAP7"	"GIMAP7"	-0.670400477737818	1.07827587974999	-0.0806737520250981	0.95711743937206	-0.0348173754976971	0.306940704938521	0.0712814221605936	-0.282513223507163	"IS02"	1.07827587974999
"DPEP2"	"DPEP2"	-0.541072996464076	1.04150212925634	0.00658692147361275	0.28648491010707	0.0510859910704114	0.432514071482396	0.257507556608655	-0.282870452625992	"IS02"	1.04150212925634
"CD69"	"CD69"	-0.595647866693809	1.03923397713956	-0.122998676220419	0.317725886526647	0.054237233399783	0.200441059729888	0.635803708564798	-0.270037974495718	"IS02"	1.03923397713956
"GIMAP1"	"GIMAP1"	-0.699976124055093	0.98494107443156	-0.0759742123530622	0.924858802185611	0.0499304744964705	0.425545736751948	0.0763367814274798	-0.240573632414404	"IS02"	0.98494107443156
"CD300LF"	"CD300LF"	-0.493394542755594	0.95528697239467	-0.0947453235361665	-0.127688382338167	0.179853696964771	0.399849559858783	0.808867071274992	-0.360924248257754	"IS02"	0.95528697239467
"S100Z"	"S100Z"	-0.543907612295077	0.922591783058485	0.0690111107283473	0.184272362346657	0.167548594049143	0.21714535839158	0.178395333379162	-0.125070706664256	"IS02"	0.922591783058485
"HLA.DRB5"	"HLA.DRB5"	-0.482308710807399	0.879917915095711	-0.0252510539510416	0.139946120987567	0.267637163074901	0.326410858447094	0.541869493775064	-0.439158007728609	"IS02"	0.879917915095711
"P2RX1"	"P2RX1"	-0.57497803697206	0.878423867370029	0.4007583922948	0.721966783338464	-0.0349706912957381	0.152005805466169	0.0808260956575324	-0.238244009192701	"IS02"	0.878423867370029
"TPSAB1"	"TPSAB1"	-0.666028746777583	0.847661482804933	0.132327089859272	0.687033521220987	0.391049508580751	0.405521498791524	0.0686181330258611	-0.36649631100066	"IS02"	0.847661482804933
"CTD.2370N5.3"	"CTD.2370N5.3"	-0.661674484363284	0.833606360823628	0.158174135309404	0.115639003094468	0.605300623126347	0.064647745396655	0.370558629682234	-0.210037136244064	"IS02"	0.833606360823628
"TPSB2"	"TPSB2"	-0.596212269950105	0.817222729535646	0.101936845108385	0.596451397543636	0.33547144039507	0.352776504150345	0.00543723389326489	-0.316857158833791	"IS02"	0.817222729535646
"CPA3"	"CPA3"	-0.841775746016726	0.790998318636558	0.135056975593366	0.754072382086748	0.634129698278972	0.390448850764944	0.222820675036749	-0.297413169827812	"IS02"	0.790998318636558
"HDC"	"HDC"	-0.672866208377121	0.788091914417391	0.0408176799656701	0.628610449735041	0.0411250281886492	0.435139800392572	0.23584334177392	-0.0446545369901802	"IS02"	0.788091914417391
"CD101"	"CD101"	-0.282490098338861	0.726218150217928	0.0324628165417741	-0.0490232885480929	0.136454774986312	-0.0376345432173307	0.246487920227108	-0.232273417874803	"IS02"	0.726218150217928
"ADGRE1"	"ADGRE1"	-0.543618954035025	0.701594257477048	0.0309584769929245	-0.0155517115032077	0.36215126776006	0.234189023617078	0.518314436430794	-0.132596872151113	"IS02"	0.701594257477048
