"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"FAM234B"	"FAM234B"	-0.170700537531975
"ACTG2"	"ACTG2"	0.846510615072382
"MLN"	"MLN"	4.52669741718432
"TPSB2"	"TPSB2"	0.421332081367548
"CXCL2"	"CXCL2"	0.898902437009136
"FRS2"	"FRS2"	0.122672968497495
"P2RX1"	"P2RX1"	1.25038845141943
"LRRC32"	"LRRC32"	-0.155451988906895
"CYP2U1"	"CYP2U1"	0.240138975384607
"TAF9"	"TAF9"	0.118785633232532
"CLDN5"	"CLDN5"	0.197921731352725
"PRDM6"	"PRDM6"	0.206834258957931
"NAV3"	"NAV3"	-0.792049673062858
"EXOC2"	"EXOC2"	0.773780339665524
"CXCL8"	"CXCL8"	-0.315060568530795
"CATSPERD"	"CATSPERD"	-0.261301741987779
"MTMR9"	"MTMR9"	-0.558610807850559
"MAGI2"	"MAGI2"	-0.0711837708240362
"KCNJ5"	"KCNJ5"	0.32960403011431
"TMEM100"	"TMEM100"	1.28438550762892
"EIF4E"	"EIF4E"	-0.210763583785072
"PPP1R12B"	"PPP1R12B"	0.38602033665645
"ATE1"	"ATE1"	-0.408719766414568
"C3orf49"	"C3orf49"	-0.507968857127147
"P2RY4"	"P2RY4"	-0.785969932153492
"OR2T11"	"OR2T11"	-0.066088456117291
"GPR182"	"GPR182"	-0.43029185394838
"PDGFRA"	"PDGFRA"	-0.617153421607691
"CD101"	"CD101"	-0.0268222146897682
"MS4A14"	"MS4A14"	-0.389132375548073
"CTD.2370N5.3"	"CTD.2370N5.3"	-0.122063953969275
"ERVFRD.1"	"ERVFRD.1"	-0.542710752814988
"COL6A5"	"COL6A5"	-0.448007696230237
"SLC6A19"	"SLC6A19"	-0.116621553438106
"RND1"	"RND1"	-0.299330548161734
"HDC"	"HDC"	0.129052918973654
"RCVRN"	"RCVRN"	0.000938471178862287
"NPY5R"	"NPY5R"	-0.24111822066519
"DPEP2"	"DPEP2"	2.13455579729213
"FPR1"	"FPR1"	0.102220637507149
"MYLK"	"MYLK"	0.122768783856024
"S100Z"	"S100Z"	-1.0220191097399
"GYPE"	"GYPE"	-0.040887507683362
"MS4A18"	"MS4A18"	-0.206040347601783
"FFAR3"	"FFAR3"	0.0795315678311618
"TRPM6"	"TRPM6"	-0.5662952331802
"SLC17A8"	"SLC17A8"	-0.433073218007839
"CMTM2"	"CMTM2"	-0.213611936086092
"LRRC18"	"LRRC18"	-0.621120363372653
"F10"	"F10"	0.0192280334388806
"GLDN"	"GLDN"	-0.53401075130649
"RIMS1"	"RIMS1"	-0.169904628126413
"MUSK"	"MUSK"	0.497076483804866
"GIMAP8"	"GIMAP8"	0.803361110082157
"MAS1L"	"MAS1L"	-0.426709247014366
"RASGRP4"	"RASGRP4"	-0.171965440432363
"LYPD8"	"LYPD8"	-0.459814261210977
"MASP1"	"MASP1"	0.021464307364708
"SIRPB1"	"SIRPB1"	0.0448440008379046
"ACTA2"	"ACTA2"	0.103056894985454
"ATRNL1"	"ATRNL1"	-0.12983613853781
"GPR139"	"GPR139"	-0.0732362945816065
"ERICH4"	"ERICH4"	-0.516932619402277
"ASPA"	"ASPA"	-0.321576306646652
"AQP10"	"AQP10"	-0.0376179547932075
"FGF10"	"FGF10"	0.425555610317373
"RP11.96O20.4"	"RP11.96O20.4"	-0.133190004297095
"CCDC117"	"CCDC117"	0.237924834140701
"TM6SF2"	"TM6SF2"	-0.644164875196321
"OTOGL"	"OTOGL"	-0.107875929046344
"ABC7.42404400C24.1"	"ABC7.42404400C24.1"	-0.549219577422376
"PLPPR4"	"PLPPR4"	-0.306767154335142
"PRND"	"PRND"	-0.166241976552415
"MRC1"	"MRC1"	-0.487504868709475
"SFTPA2"	"SFTPA2"	-0.123471182497358
"BEST2"	"BEST2"	-0.239517358256695
"KCNS2"	"KCNS2"	0.836596873000584
"CPED1"	"CPED1"	0.295302823050701
"SLC1A2"	"SLC1A2"	-0.195074349390301
