"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"BHLHA9"	"BHLHA9"	-0.135990006625077
"NDNF"	"NDNF"	-0.480709830307322
"CYP2E1"	"CYP2E1"	-0.128721810086303
"PRTN3"	"PRTN3"	-0.310326931060842
"CEACAM21"	"CEACAM21"	-0.77007793184441
"CD93"	"CD93"	0.606980054181966
"REG1A"	"REG1A"	-0.107416797127191
"CFHR3"	"CFHR3"	-0.330421336404585
"SULF1"	"SULF1"	-0.518002031453075
"THY1"	"THY1"	0.539495002689322
"CR1"	"CR1"	-0.845001037532212
"S1PR1"	"S1PR1"	-0.00423293397577825
"RGCC"	"RGCC"	1.18833201548704
"CLDN5"	"CLDN5"	-0.29117692093425
"CLEC4A"	"CLEC4A"	-0.084637517822517
"RAB21"	"RAB21"	0.702902891036493
"SP140"	"SP140"	-0.388591201320699
"SFTPC"	"SFTPC"	-0.104146880893214
"IL11"	"IL11"	-0.311843140093332
"DIRC1"	"DIRC1"	-0.360092534124552
"PRG3"	"PRG3"	-0.0703253401267664
"HIGD1B"	"HIGD1B"	-0.552214959887947
"INHBA"	"INHBA"	-0.231116877852882
