"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CEACAM4"	"CEACAM4"	1.53772899417277
"COL6A5"	"COL6A5"	-0.587638134774537
"ATG5"	"ATG5"	-0.168890631761124
"DLC1"	"DLC1"	0.0559099225071822
"CLEC12A"	"CLEC12A"	1.02694022652633
"P2RY13"	"P2RY13"	0.311761339011368
"DEFA4"	"DEFA4"	1.95358118961757
"KLRD1"	"KLRD1"	0.0759754466788197
"CCDC141"	"CCDC141"	-0.463123847064306
"ADGRE3"	"ADGRE3"	0.475831025038319
"CD300LB"	"CD300LB"	1.06988055240873
"RGL4"	"RGL4"	-0.212654816248464
"IL13RA2"	"IL13RA2"	-0.290475983817569
"LILRB1"	"LILRB1"	-0.357939872488601
"DNAI2"	"DNAI2"	-0.256462349646601
"CXCR1"	"CXCR1"	0.40612472296252
"FCN1"	"FCN1"	0.0990725353221514
"IRG1"	"IRG1"	-0.56489928315889
"HAVCR2"	"HAVCR2"	-0.628471837682111
"ARG1"	"ARG1"	-0.355675113454689
"GJA5"	"GJA5"	-0.350420181474085
"OR6N1"	"OR6N1"	0
"OLR1"	"OLR1"	-0.484581883944781
"GSTA2"	"GSTA2"	-0.163684176995819
"HMOX1"	"HMOX1"	-0.336701933406921
"SRP72"	"SRP72"	0.395095852937499
"MUSK"	"MUSK"	0.783519194771619
"GYPB"	"GYPB"	-0.496335109349171
"LAIR2"	"LAIR2"	-0.235234271030957
"FIGF"	"FIGF"	-0.03848833191824
"CNTN5"	"CNTN5"	-0.147089624114147
"MAPK1IP1L"	"MAPK1IP1L"	-1.12779897412407
"TEX26"	"TEX26"	-0.292880939279403
"RREB1"	"RREB1"	0.0763059720424102
"RNASE2"	"RNASE2"	-0.0234144229809886
"TRIP13"	"TRIP13"	-0.129462366402858
"LETM2"	"LETM2"	-0.493649052683297
"LUM"	"LUM"	0.0717291674768684
"OR2AP1"	"OR2AP1"	-0.101161468138557
"SLC39A8"	"SLC39A8"	-0.0508079788957435
"GRASP"	"GRASP"	0.321076883705198
"OR4D11"	"OR4D11"	0
"ADAMTS8"	"ADAMTS8"	-0.0917614548073537
"CTD.2192J16.24"	"CTD.2192J16.24"	-0.133812520971831
"FYB"	"FYB"	0.34832038947452
"SDPR"	"SDPR"	0.346641753675531
"CD300E"	"CD300E"	1.44916176351787
"GPIHBP1"	"GPIHBP1"	-0.26418484996884
"TNR"	"TNR"	0.922469273573894
"KCNA10"	"KCNA10"	0.946912572457248
"BPIFA1"	"BPIFA1"	-0.0986883241457001
"TRPA1"	"TRPA1"	-0.170982717929357
"SUSD2"	"SUSD2"	-0.387393920503405
"COX4I2"	"COX4I2"	1.19935075460664
