"V1"	"TCGA.FD.A5C0.01A.11R.A28M.07"
"CADM3"	"CADM3"	0.3339652530655
"SLC19A3"	"SLC19A3"	-0.576450414067178
"PDLIM3"	"PDLIM3"	1.26224664463839
"PEX1"	"PEX1"	-0.00578931408470674
"NTM"	"NTM"	-0.341401620460899
"C11orf96"	"C11orf96"	1.04352682601998
"FGD2"	"FGD2"	-0.714244871712257
"GEM"	"GEM"	2.47534564220084
"AL365273.1"	"AL365273.1"	0.325517709864723
"PPP1R1A"	"PPP1R1A"	-0.207457064585595
"EXOC3L2"	"EXOC3L2"	-0.487487144618607
"CXCL12"	"CXCL12"	-0.149644049003555
"SERPINF1"	"SERPINF1"	0.102523338734234
"HPX"	"HPX"	-0.182218499665042
"HSPB6"	"HSPB6"	0.910611129565637
"FBN1"	"FBN1"	-0.129873690677162
"KCNIP2"	"KCNIP2"	0.115880578363467
"PHEX"	"PHEX"	2.84847329158812
"ALOX15B"	"ALOX15B"	-0.171910094295771
"SRL"	"SRL"	-1.06621075003046
"TAT"	"TAT"	-0.338438712601146
"PPP1R27"	"PPP1R27"	-0.553771745177401
"ADAMTS4"	"ADAMTS4"	-0.037250567526287
"ITIH3"	"ITIH3"	-0.962771510544683
"PGM5"	"PGM5"	0.734142640296952
"ASGR1"	"ASGR1"	-0.520483722194016
"PCOLCE2"	"PCOLCE2"	-0.242859164290563
"MYOM1"	"MYOM1"	-0.260888942271157
"PRX"	"PRX"	0.517650162449573
"RDH5"	"RDH5"	-0.34529863335962
"MIOX"	"MIOX"	-0.851217849894481
"AOC3"	"AOC3"	0.525057819035747
"MMRN1"	"MMRN1"	0.991572664098741
"GPC3"	"GPC3"	-0.190406992371795
"MYOT"	"MYOT"	0.807354277944761
"ASB5"	"ASB5"	2.53631794190235
"PALLD"	"PALLD"	0.836118777274006
"SEMA3D"	"SEMA3D"	-0.274033862242544
"PDE5A"	"PDE5A"	-0.426516416589636
"MASP2"	"MASP2"	-0.125678967943962
