"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"State"	"MaxFC"	"InitialState"
"NDNF"	"NDNF"	0.190130732889583	-0.688970456841837	0.0948554972964332	0.714572466142421	-0.770503697144634	-0.937296694900651	0.521152430132532	1.81787152983901	-0.734765998463146	"S01"	1.81787152983901	"IS08"
"STAC"	"STAC"	-0.580544909100222	-0.28226790462277	-0.0870929546945299	0.441437730219212	-0.844352629237355	-0.684181458645877	1.14571083475387	1.6303514854671	-0.561027382203141	"S01"	1.6303514854671	"IS08"
"PDE1C"	"PDE1C"	0.317184893367805	-0.588232916821704	-0.0368074032172798	0.251300386063061	-0.523039134399575	-0.953105952030509	0.180990489814784	1.56496696779999	-0.0104003282224996	"S01"	1.56496696779999	"IS08"
"FCN1"	"FCN1"	-0.431697438390921	-0.55808796604096	1.12849974038663	0.455496604495915	-1.04219358546417	-0.856998001997254	0.834912821795779	1.55981548909229	-0.204720288029322	"S01"	1.55981548909229	"IS08"
"DDO"	"DDO"	-0.534683167684641	0.0156212093918071	0.369630655094508	0.312838127316683	-0.662014760730569	-0.628890471869763	0.579995866029834	1.52983170223676	-0.374888506088623	"S01"	1.52983170223676	"IS08"
"SERPINA1"	"SERPINA1"	0.249977403581359	-0.545176512509558	-0.0533403711255704	0.486489272515425	-0.771556856543133	-0.886376752939364	0.885821777424178	1.51897541018427	-0.861141369773633	"S01"	1.51897541018427	"IS08"
"APOBR"	"APOBR"	-0.579671411798317	-0.480575008517541	0.391719772944227	0.655732434601587	-0.818669537502532	-0.791782230543248	0.997879463119848	1.45608094975667	-0.30335891619927	"S01"	1.45608094975667	"IS08"
"MMP28"	"MMP28"	-0.602039483823845	0.565198278815898	-0.127634061390841	0.961692483261272	-0.875069686020191	-0.867867237311374	0.736981271999179	1.4365557661688	-0.498728866332809	"S01"	1.4365557661688	"IS08"
"ZFP2"	"ZFP2"	-0.0800555718619134	-0.518118409288999	-0.0110467158402979	1.19306574350363	-0.838321177263549	-1.04685326010672	0.344967049700246	1.4348416029908	0.0187747993555633	"S01"	1.4348416029908	"IS08"
"AZU1"	"AZU1"	-0.166682296008526	-0.412530747869382	0.194678499052896	1.27942998009837	-0.849085565216728	-1.03922223289307	0.454587096510626	1.42732833519312	-0.233914111125181	"S01"	1.42732833519312	"IS08"
"PRSS57"	"PRSS57"	-0.47788193616685	-0.453949737357881	0.717060390359523	0.660629247688038	-0.502054364240348	-0.562497258013541	0.254143740317802	1.40673672087719	-0.329768810973534	"S01"	1.40673672087719	"IS08"
"PCDHAC2"	"PCDHAC2"	0.206556621351833	-0.694080989008617	0.0630704542865484	0.762786526399355	-0.514360735479969	-0.819648742551993	0.252035866745056	1.37661824342246	-0.415673313456711	"S01"	1.37661824342246	"IS08"
"ACSM5"	"ACSM5"	-0.213793176003858	-0.691033333070234	1.05953751788698	0.572817283373688	-1.21965067020275	-0.666442793651838	0.505884969456657	1.3691918166658	-0.0547247337934933	"S01"	1.3691918166658	"IS08"
"MGLL"	"MGLL"	-0.0594707894796133	-0.597653785625012	-0.205671238704631	0.787752666868224	-0.821685955042913	-0.831251305621644	1.14594375378573	1.36917130301419	-0.809791179707891	"S01"	1.36917130301419	"IS08"
"CD74"	"CD74"	-0.460841249540605	-0.630562353048299	0.958546457663383	0.977574967787577	-1.29933208754067	-0.877428940960593	1.0274471134122	1.35534304381829	-0.258802360225437	"S01"	1.35534304381829	"IS08"
"MAP1LC3C"	"MAP1LC3C"	-0.028032155900784	-0.50818054179154	0.645616117253396	0.608759491672459	-0.998553050098863	-1.03465767598617	1.19226342154809	1.34780181205278	-0.659079000958834	"S01"	1.34780181205278	"IS08"
"CX3CR1"	"CX3CR1"	-0.484221588281683	-0.261024281198743	0.358181550186221	0.913570818958267	-1.221518366056	-1.02117730752744	0.955706969536419	1.33679785825539	0.139340065129345	"S01"	1.33679785825539	"IS08"
"HLA.DRB1"	"HLA.DRB1"	-0.476631666937044	-0.621062067774985	1.06385178943566	1.04671286110338	-1.02222627857204	-0.793365768838837	0.874016880224041	1.31678772870864	-0.518038711454812	"S01"	1.31678772870864	"IS08"
"FLVCR2"	"FLVCR2"	-0.396249767618164	-0.703976945417018	1.12635073546068	0.188726362035456	-0.682542000612369	-0.646117070257834	1.02449665336157	1.31304762850717	-0.574039538678463	"S01"	1.31304762850717	"IS08"
"LRRN4"	"LRRN4"	0.239740999255427	-0.621130213725885	0.545446961731538	1.09317421571576	-0.992706552802733	-1.08165657609813	1.01995865832125	1.3127414819521	-1.01575735871007	"S01"	1.3127414819521	"IS08"
"ELANE"	"ELANE"	-0.205408251303643	-0.139502285155023	0.10709279802539	1.08795437994713	-0.798454364383707	-0.996392435268376	0.505196891398502	1.30496733208264	-0.206506554473868	"S01"	1.30496733208264	"IS08"
"TNFAIP8L2"	"TNFAIP8L2"	-0.544924088699518	-0.189928712171651	1.11214947900333	0.715095242516229	-1.44185690838727	-0.632540400654677	0.735679879863547	1.27258890242042	-0.128119152852972	"S01"	1.27258890242042	"IS08"
"FAXDC2"	"FAXDC2"	0.245545653578938	-0.421877492084472	0.250178806481967	0.689731560056917	-0.610988748502892	-1.44931015732824	0.97540601720762	1.24835070385261	-0.242355257228237	"S01"	1.24835070385261	"IS08"
"MNDA"	"MNDA"	-0.44742185250764	-0.118304463480266	1.10780922343759	0.616508710519767	-1.51182016321341	-0.790177834680533	0.895155612559887	1.24634272417044	-0.0520150757330177	"S01"	1.24634272417044	"IS08"
