Gene	CD10	CD31	CD45	EPCAM
7SK	1.686968046	1.860297648	1.533124291	1.593851062
A1BG	10.52992669	4.738098438	5.778339195	4.850157775
A1BG-AS1	4.041072934	2.818509277	4.362238298	3.470682336
A2M	1491.090712	1973.783187	70.06446441	12.89254192
A2M-AS1	4.167184582	2.976488819	4.019710402	2.09934545
A2ML1	1.674475689	1.568641904	1.980423562	3.694634187
A2ML1-AS1	1.333805026	1.231364837	1.51771855	1.364759077
A2MP1	1.368818656	2.367352285	1.771871621	1.328828254
A4GALT	17.80708309	19.7492282	2.379759523	14.32955856
AAAS	20.74003279	16.4336382	10.82611638	33.67080151
AACS	7.557036521	3.866334215	5.00312647	16.83516019
AACSP1	1.358321408	1.285249599	1.418695682	1.693248384
AADAC	1.62977259	1.327652027	1.5720283	4.838275955
AADACL2	1.43738697	1.267764168	1.563668349	2.137693135
AADACL2-AS1	1.341467749	1.242697982	1.43652864	1.473880288
AADACL3	1.343613597	1.349999723	1.581850471	1.312831597
AADACL4	1.344781597	1.240306881	1.416788698	1.311979823
AADACP1	1.774330374	1.497835663	1.470815641	3.358947024
AADAT	8.978355434	2.561917667	1.74358636	8.855956136
AAED1	21.17946581	19.98599944	7.831092501	10.88731475
AAGAB	12.32422301	11.8755166	7.096800075	25.37515564
AAK1	50.45749615	40.05377566	35.91557003	60.31982485
AAMDC	26.3078519	32.37493143	5.227667706	22.49139136
AAMP	18.6747404	19.67073807	11.21443557	35.54494594
AAR2	23.19311208	20.79917893	8.659513593	26.31524805
AARD	1.416763046	1.31076334	1.551250772	1.843077653
AARS	54.21871497	47.60885294	22.90875438	93.64838302
AARS2	3.303941473	2.667976722	3.059542104	4.853644411
AARSD1	14.7949307	14.7578985	11.08996418	24.6895045
AASDH	8.599714994	5.893768228	4.736349275	10.58509526
AASDHPPT	10.89126793	9.970061326	6.825644652	17.69365203
AASS	19.26303342	18.85649186	3.040949632	22.79920595
AATBC	1.814799164	1.737934684	3.551810708	4.629774599
AATF	37.57994356	31.22487194	37.51014396	91.17922912
AATK	1.497154671	2.528787663	3.392482489	3.056843233
AB019440.50	1.333805026	1.272861421	1.442522062	1.323807868
ABALON	1.999262722	1.923234823	1.817822818	3.271024704
ABAT	3.830681288	3.348940727	5.347656178	7.679172034
ABBA01017803.1	1.412798395	1.482165328	1.842352974	1.409615127
ABC12-49244600F4.4	2.000964659	3.07243347	1.811723079	1.581197669
ABC7-42404400C24.1	2.060234661	10.19604729	1.931281016	4.109698803
ABC7-481722F1.1	1.489690917	1.451438266	2.597345406	2.368912404
ABCA1	45.02793599	8.393733305	30.33749294	27.1832433
ABCA10	6.30725047	1.586937707	2.01352053	2.130582462
ABCA11P	3.407247331	3.127770715	2.04652255	4.409424367
ABCA12	2.278140216	1.601304525	2.103363576	9.788885593
ABCA13	2.140592147	1.623304061	2.517281058	13.98515682
ABCA17P	1.466831096	1.354648302	1.606518135	1.933156022
ABCA2	19.37601832	12.75426147	12.41640984	12.41885125
ABCA3	3.670532553	10.65831624	3.363516674	38.65488641
ABCA4	1.667014845	2.506617646	1.753403732	3.927560577
ABCA5	6.417671251	5.369826185	7.884771483	12.14004712
ABCA6	48.14424836	2.066415831	4.665034597	2.38434936
ABCA7	3.026413903	4.354462346	13.30910469	7.984377278
ABCA8	32.04402252	1.826260804	2.143690522	2.087397233
ABCA9	14.44864549	1.601771382	1.993403583	1.596034502
ABCA9-AS1	1.845913503	1.417997175	1.65035801	1.821270484
ABCB1	2.863105838	24.19726258	4.695524619	1.65195567
ABCB10	6.421731463	6.581369479	4.722711393	10.78833071
ABCB11	1.384650139	1.370578154	1.595017032	1.519282276
ABCB4	2.2408518	2.784238113	3.285105187	2.112535003
ABCB5	1.695935046	1.361686749	1.684704349	1.464979886
ABCB6	14.87229314	7.86787919	4.205745913	23.20000066
ABCB7	13.31614147	14.07566198	9.647076032	25.22490714
ABCB8	7.039075407	5.621396885	6.747690038	9.345372314
ABCB9	2.773394871	2.450333809	2.402909931	4.540747194
ABCC1	26.32033198	23.02597222	23.43220583	36.0549599
ABCC10	10.45291846	8.019940243	10.43975877	20.73271229
ABCC11	1.457951576	1.536700302	1.787517383	1.639477361
ABCC12	1.346456532	1.336168507	1.63441052	1.393443611
ABCC13	1.429509202	1.533487684	2.053053191	1.539860637
ABCC2	1.595106509	1.908761285	1.802073593	2.286257508
ABCC3	13.81454733	4.963453329	18.00747774	49.37376303
ABCC4	12.13004147	14.54814124	9.250038529	15.8359777
ABCC5	17.04153435	7.997725992	11.04379399	36.09425125
ABCC5-AS1	1.383229235	1.227111154	1.445947355	1.526721075
ABCC6	2.584999573	1.602611185	2.835960702	10.00673126
ABCC6P1	1.932109395	1.419183166	1.620355949	4.365993737
ABCC6P2	1.995058592	1.276856565	1.522408445	3.573554766
ABCC8	1.468268997	2.926942088	1.604890692	2.405935819
ABCC9	31.4191635	9.096244712	12.48756903	8.930012527
ABCD1	4.200786141	4.09502605	5.174634148	5.758324069
ABCD2	1.472061089	1.270654076	2.610650845	1.378646703
ABCD3	13.7997913	14.68548585	6.739482096	37.05829724
ABCD4	22.20337696	67.29985873	17.45238892	24.78400184
ABCE1	51.54903518	49.52127629	26.56480539	73.28331494
ABCF1	51.48706793	41.25878685	33.99700395	84.72788903
ABCF2	23.18575548	19.25876382	13.37816941	38.19211872
ABCF2P1	1.333805026	1.417266265	1.433199975	1.302988183
ABCF2P2	1.361735011	1.263777132	1.497897669	1.324431624
ABCF3	21.00943817	24.54343874	19.65785824	44.06473002
ABCG1	5.132713608	50.39182365	23.16975444	10.29067922
ABCG2	4.265841111	20.47834049	2.365838173	1.986045674
ABCG4	1.593449529	1.373302924	1.554523479	1.376790717
ABCG5	1.446354281	1.282411286	1.507297536	1.396566132
ABCG8	1.370315583	1.245482111	1.550859178	1.376207193
ABHD1	1.808139614	1.544593371	1.87849163	2.098943873
ABHD10	16.70390032	13.96575298	8.588887162	26.7372593
ABHD11	7.131526248	6.127190935	6.062426543	43.108606
ABHD11-AS1	1.871272969	1.767378628	1.719057813	5.216271071
ABHD12	18.74845407	11.87586008	21.68547773	35.36213937
ABHD12B	2.354130164	1.761611154	2.911019273	3.344774632
ABHD13	6.040275572	5.679102662	3.204950074	6.054189639
ABHD14A	7.035247434	5.597841072	6.477171367	10.25212332
ABHD14A-ACY1	1.891949021	1.411920341	1.594076614	1.732087648
ABHD14B	25.51144944	25.62866566	18.86080765	34.55572095
ABHD15	4.689722833	2.737679417	8.537947323	8.304153029
ABHD16A	15.64301792	12.51714155	11.03438383	24.97515099
ABHD16B	1.415530303	1.434103969	1.546708776	1.408981472
ABHD17A	7.386141659	16.71301493	8.172499237	7.290688908
ABHD17B	8.856943475	15.42752277	6.698921802	16.40496891
ABHD17C	9.562386297	21.20760993	3.984271233	39.00176546
ABHD2	71.54971458	23.02445272	38.84090565	85.84357463
ABHD3	8.793113826	6.650310196	9.584473189	20.34487884
ABHD4	23.54798197	13.06789032	7.903581478	22.96751127
ABHD5	22.5799735	17.83637175	26.85671582	45.51880676
