"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"
"ZNF480"	"ZNF480"	1.02977809582585	-0.266190585948974	0.543626869008349	-0.223118775988834	-0.234078860921679	-0.516922549184501	-0.643686231638381	"IS01"	1.02977809582585
"PHC3"	"PHC3"	1.02203502289008	0.808279968286295	-0.241504560116245	-1.00895860551633	0.113108553791428	0.177087275547438	-0.74717222479728	"IS01"	1.02203502289008
"C9orf126"	"C9orf126"	0.905661303421824	0.626100758709509	0.206239635187985	-0.219016630864058	-0.23102819147044	-0.595628509323967	-0.735515448758233	"IS01"	0.905661303421824
"ZDHHC21"	"ZDHHC21"	0.902049181399209	-0.187806138579964	0.19371073617565	0.0590475920983319	0.323541936591274	-0.3779339028979	-1.03261738293157	"IS01"	0.902049181399209
"KIAA0528"	"KIAA0528"	0.860631996962227	0.703484982919201	-0.110395666355313	-0.76963547218151	0.19550978822657	-0.136607579250699	-0.660539852328027	"IS01"	0.860631996962227
"ANKRD12"	"ANKRD12"	0.851700242979335	0.543926965363832	-0.159086047589036	-0.787470767233765	0.210096185218749	0.153553708119802	-0.719249518376901	"IS01"	0.851700242979335
"ALS2CR8"	"ALS2CR8"	0.841408880763148	0.802774859232268	-0.0185855299632596	-0.0718471406564205	-0.203851099747155	-0.227509742690229	-1.00799252174813	"IS01"	0.841408880763148
"METAP1"	"METAP1"	0.793603271283661	-0.481243446805354	0.44151307059742	0.238833133657783	0.0666415174008445	-0.413854346003242	-0.876123235316875	"IS01"	0.793603271283661
"ZNF41"	"ZNF41"	0.702286622746359	0.538070154447614	0.0343537265569172	-0.580057261316135	0.461143037189586	-0.319970859096813	-0.752775840639007	"IS01"	0.702286622746359
"DYRK1A"	"DYRK1A"	0.698098724931162	0.693894124376205	0.105418114897473	-1.07195363131161	0.371739913420521	-0.150793675221991	-0.548729364739157	"IS01"	0.698098724931162
"HAUS6"	"HAUS6"	0.694347148198761	-0.167335200042424	0.472552126120436	-0.192389102461609	0.211762085090806	-0.315180497269507	-0.824404403384253	"IS01"	0.694347148198761
"CNOT2"	"CNOT2"	0.690323399093748	0.553282609406996	0.131775346102115	-0.894602368293722	0.414902549503027	-0.242185244999166	-0.590087338548728	"IS01"	0.690323399093748
"BTLA"	"BTLA"	0.636221244192848	0.627317617277392	-0.365525128159293	0.32735344069177	-0.436819618171711	-0.155835214977078	-0.568314056536587	"IS01"	0.636221244192848
"FAM45A"	"FAM45A"	0.594147636656104	-0.277152819142758	0.369795780971616	-0.363062073320978	-0.565317587584955	-0.625589506258684	0.456479065484487	"IS01"	0.594147636656104
"LOC100287062"	"LOC100287062"	0.54600399333724	0.368346640324068	-0.468714243440986	-0.684648849885445	0.531594991751375	0.538646215934992	-0.633136917929059	"IS01"	0.54600399333724
"TOPORS"	"TOPORS"	0.507556481532273	-0.182338134516495	0.09952837746565	-0.0504370028765005	0.390617293188494	-0.261700393149999	-0.577744593226799	"IS01"	0.507556481532273
"HSBP1"	"HSBP1"	0.442703622172004	0.346208241199191	-0.0709146144309796	-0.557231427901188	-0.356576259403635	-0.138680096706461	0.241109348074097	"IS01"	0.442703622172004
"TTC27"	"TTC27"	0.403253676260543	-0.160086558704483	0.306249023660648	0.153577625398283	0.173905409875515	-0.524282854222697	-0.475659200273696	"IS01"	0.403253676260543
"TMEM179B"	"TMEM179B"	0.396545650514269	-0.317720165383873	0.231487825043577	-0.0397008517843194	-0.0883147788472356	-0.212536763445098	-0.157193744906171	"IS01"	0.396545650514269
"SH3GLB1"	"SH3GLB1"	0.387667815494568	0.34335412497944	0.351001256235258	-0.431346929783898	-0.993075518006554	-0.239580458603156	0.387047239806896	"IS01"	0.387667815494568
"SRP19"	"SRP19"	0.364993985406581	0.0318813921537189	-0.0807266705020481	-0.708027510143035	0.189535569276627	0.0474280870448617	0.0928762989063323	"IS01"	0.364993985406581
"BCAP29"	"BCAP29"	0.363332814423822	0.081745846755012	0.223708688854932	-0.468328496577587	-0.542505669880958	-0.177551551627078	0.328704620128526	"IS01"	0.363332814423822
"SLAIN1"	"SLAIN1"	0.344899025642059	-0.329394439737283	0.168264006152516	0.140288024311557	-0.0305977068436639	0.316815976750699	-0.644657398173612	"IS01"	0.344899025642059
"ELP2"	"ELP2"	0.310151577081885	-0.241198893631948	-0.0810702013117979	0.285985707148901	0.189117621834824	-0.36099619319607	-0.21689899497661	"IS01"	0.310151577081885
"CMPK1"	"CMPK1"	0.307570797550742	0.0980384020406263	0.00832907439652404	-0.24500619651387	-0.684398072634928	0.157468905496068	0.23884164598673	"IS01"	0.307570797550742
"UFC1"	"UFC1"	0.301333705684675	0.0880556029135101	-0.0701338844941675	-0.72788239676935	0.0352191870983728	0.194436353516603	0.141096907533244	"IS01"	0.301333705684675
"CAMK4"	"CAMK4"	0.293260326689307	-0.101571526080358	-0.0187772647658641	0.0817848377164556	0.233078589935018	-0.0188901087615253	-0.469424234108063	"IS01"	0.293260326689307
"FLJ35220"	"FLJ35220"	0.286501780562305	0.153128945477169	-0.156721430932999	-0.34268576717339	-0.0336297669206527	-0.1588371130877	0.185683017802599	"IS01"	0.286501780562305
"SEC22C"	"SEC22C"	0.281208080657648	-0.02887449187687	0.257840455948489	-0.264760155332362	-0.46125697532205	-0.10474131372208	0.16009103463	"IS01"	0.281208080657648
"C10orf104"	"C10orf104"	0.273824436986776	0.0380396866136827	-0.151926745156706	-0.406700463917881	0.161549110011485	0.0457786359916212	0.0135983516231317	"IS01"	0.273824436986776
