"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"State"	"MaxFC"	"InitialState"
"SLC16A3"	"SLC16A3"	0.181204907059925	0.567672419413686	-0.456613449530408	-0.264070973040692	-0.51065782318747	-0.56119367872961	-0.117243916165746	-1.02312561445557	1.68699536518242	0.0511145128896483	0.902347463383053	-0.000203573550275981	0.501655567691836	"S01"	1.68699536518242	"IS09"
"DNTTIP1"	"DNTTIP1"	-0.285472369375322	0.90820001920617	-0.487335468432881	-0.451451888732208	-0.167790426489519	0.0105442170829224	0.312109819670938	-1.04324060383613	1.58188930412054	-0.0100830069246055	0.340631512541316	0.359606886616332	0.042952884460629	"S01"	1.58188930412054	"IS09"
"TMSB10"	"TMSB10"	0.140567309905248	0.79615872319442	-0.28899863392739	-0.848556070504037	0.702014243234352	-0.529614513233567	0.419301341543443	-0.687914739819452	1.56272570428188	-0.015814068223048	-0.0380229110399757	-0.310050494590278	0.419054892124479	"S01"	1.56272570428188	"IS09"
"TGFBI"	"TGFBI"	0.321801561471952	0.25248031035782	0.128365368808015	-0.284406296508717	0.26331140722509	-0.272877109035396	-0.611813516567401	-0.567152148163831	1.52008965771432	-0.882220135925011	0.547466574059333	-0.403041141571055	1.23868923379715	"S01"	1.52008965771432	"IS09"
"ERRFI1"	"ERRFI1"	-0.40493464590934	0.500078379564134	-0.741648938980304	-1.01866683267669	-0.291235604664816	-0.158923692388348	-0.32852967366731	0.0214074506468722	1.48528446428572	0.152934435468967	0.598406660989493	0.651752076924971	0.482169889853569	"S01"	1.48528446428572	"IS09"
"DPP9"	"DPP9"	-0.371459895452209	0.926026451547899	0.405622035944006	-0.240948983573027	-1.02635328169813	-0.542684148778833	-0.388579656358361	-0.5844649374063	1.45851044495137	-0.103954095631745	0.84865715570002	0.383329493540336	0.0950021139190674	"S01"	1.45851044495137	"IS09"
"SEMA3A"	"SEMA3A"	0.264512170043914	-0.124035233144718	-0.0791642167591022	-0.651469927603623	-0.0641354205437033	0.234904255647257	-0.625369386604132	-0.551182584269052	1.32234164917467	-0.0653024292917	0.75583651760011	-0.340012679589922	1.14636982418943	"S01"	1.32234164917467	"IS09"
"PLAU"	"PLAU"	1.13565169692536	0.251838452301075	0.679560490578549	-0.196411291942829	-0.175798145532647	-0.639600802003377	-0.324743773790211	-1.10369683718687	1.29247297397672	-0.68631920365258	0.19467689061794	-0.626805607624613	1.1763964066978	"S01"	1.29247297397672	"IS09"
"ANGPTL4"	"ANGPTL4"	0.0572620882177154	0.245112355863759	-0.419502226762175	-0.149039118038563	-0.115610933402391	-0.230049536934985	0.0483785724157275	-0.662194789445663	1.28857573534997	0.258025769741214	-0.278929191793071	-0.0916363011714577	0.63140393961332	"S01"	1.28857573534997	"IS09"
"EVA1B"	"EVA1B"	-0.207427499186629	0.683643339466197	0.389870604450486	-0.660037726779135	0.0996455906715392	-0.872291978536511	0.0699269168862437	-0.105187091385443	1.26401233138325	-0.1646366619739	0.139790696219385	-0.0144854810318868	0.366810014013653	"S01"	1.26401233138325	"IS09"
"ITGB3"	"ITGB3"	-0.21495628215027	0.518550941872317	-0.267391042176323	-0.980876581161269	-0.666801463487674	-0.175097861321441	-0.951185234231998	0.239568241292059	1.22566976590926	-0.259449523523427	0.847667858519128	0.660417287285561	1.07676020587205	"S01"	1.22566976590926	"IS09"
"MT2A"	"MT2A"	0.405187043811058	0.148143083744465	0.461014614069259	-0.537065181344609	-0.0473986133865905	-0.656289191836649	0.0784067557151462	0.494551924163277	1.20588196548181	-0.6168284649576	0.0170872731880888	-0.891407693814239	0.711870316421	"S01"	1.20588196548181	"IS09"
"CPD"	"CPD"	-0.19100005297334	-0.0224921530679699	-0.158637282080383	-0.374597649831029	-0.575950534444635	0.0916376155645059	-0.583162672446378	-0.780135302288352	1.17405823014139	0.403983258625422	0.666804807003751	0.42000039857813	0.703579724025617	"S01"	1.17405823014139	"IS09"
"GADD45A"	"GADD45A"	0.349333848763384	0.336231256037286	0.356586969094562	-0.0952270125743454	-0.286237433933963	0.131895471654287	-0.0726169272350017	-0.74237431020498	1.17257189571563	-0.704010327463286	0.311758500437078	-0.387877030971532	0.56754003782753	"S01"	1.17257189571563	"IS09"
"PDLIM4"	"PDLIM4"	0.48185956225228	0.466420640807019	1.14205915608762	0.590856707132286	-0.577656571558768	-0.170023639419981	-0.545685179877322	-1.00649735353285	1.17118382215362	-0.988916710345678	-0.0706299199931963	-0.425230508286971	0.390500124121248	"S01"	1.17118382215362	"IS09"
"PRELID1"	"PRELID1"	-0.259232134064671	0.0329339398888197	-0.132377373499816	0.117929835070941	0.72670702505069	-0.0329922104036027	0.299061567327616	-0.937640859455119	1.16345176795232	-0.329829866350915	0.381485525356192	-0.208933850536438	-0.0760848945646072	"S01"	1.16345176795232	"IS09"
"SH3KBP1"	"SH3KBP1"	-0.780627460637303	0.470800909371309	0.25129981401739	-1.28495307662878	-0.556047031679427	-0.191737523000823	-0.839320649905173	0.815565073489307	1.1507173320141	-0.0673132881683241	0.990305456636062	0.559544387782961	0.697454249979666	"S01"	1.1507173320141	"IS09"
"EPHB2"	"EPHB2"	0.76200218306372	-0.0315153585845391	0.247483329187875	-0.498426106803192	-0.29010770516511	0.560077062695139	-0.152913839643223	-1.0540964906544	1.13122323290744	-0.625722614853696	0.316566295147313	-0.066805190907382	0.639871424363082	"S01"	1.13122323290744	"IS09"
"STAB1"	"STAB1"	0.0931436062697374	0.916225112914621	0.298280344083882	-0.717316190842917	-0.793147548694838	-0.765110832171527	-0.465189166140576	0.3103554302054	1.12248062855254	-0.170384039456677	1.10047580632851	-0.568763943144318	0.900653188072948	"S01"	1.12248062855254	"IS09"
"RPS6KA4"	"RPS6KA4"	1.0416109717215	0.427907991189284	0.393725671299439	0.257481723262512	-1.10085279105314	-0.75764418955609	-0.380454194958223	-0.971709107685322	1.10816042624784	-0.728822822641117	0.690625027564779	-0.112612933700167	0.333423528661157	"S01"	1.10816042624784	"IS09"
"CYP27B1"	"CYP27B1"	-0.153323343933567	0.670528478396211	0.276563136456912	0.0933855104805941	-0.305691860788529	-0.582672178371746	-0.378061921094692	-0.950043837664164	1.08391124956295	0.025650380194105	0.798693100766796	0.013399245781767	0.141466333416054	"S01"	1.08391124956295	"IS09"
"MGAT4B"	"MGAT4B"	-0.389654825065092	0.924831900985082	-0.284548084721506	-0.0767452244324546	-0.614685378149636	0.159996206756773	-0.0133964060980404	-0.797948755384382	1.07645148978718	-0.424064525801885	0.561861944083183	0.663778160942982	-0.0156596570972848	"S01"	1.07645148978718	"IS09"
"IER5"	"IER5"	0.560998048638414	0.116524698969708	-0.0553071907491494	-0.798452739120069	-0.414526965164229	-0.824164417113358	-0.0245710115841766	0.295310319885132	1.06286472736706	-0.222514474715919	0.610069391461499	-0.173325877201202	0.308892462350897	"S01"	1.06286472736706	"IS09"
"MBOAT2"	"MBOAT2"	0.397863044699079	0.359596858176185	-0.753238501999726	0.473431837368456	-0.682807562844737	0.352945876787973	-0.904796346725857	-0.534094811154575	1.02214615240977	-0.833884978175362	0.413266781104809	0.288367845795675	0.356104942196045	"S01"	1.02214615240977	"IS09"
"NRK"	"NRK"	-0.488952245455732	-0.0118689640382752	0.239699847291272	0.0674930216536566	-0.320603111511729	0.30925716625164	-0.860564211555393	-0.751512698146961	0.995053031275788	-0.171696744441199	0.635118263997867	0.598122770438356	0.291480192896245	"S01"	0.995053031275788	"IS09"
"AP3S1"	"AP3S1"	-0.0565925434241341	-0.44582659521982	-0.0247907799588478	-0.149735357724	-0.222449069506485	0.281981690168731	-0.618927605607072	-0.996551835707685	0.974969103512417	0.301478179966313	0.737726157824759	0.19605200972491	0.721438783717272	"S01"	0.974969103512417	"IS09"
"DGKI"	"DGKI"	0.185013999998088	-0.430990788398383	0.274653722717847	0.767584029757456	-0.313666016064705	-0.178764679137184	-0.371144081632187	-0.995291309242763	0.95253698180153	0.252781847895356	-0.195856922555793	-0.502970208126252	0.579314816320451	"S01"	0.95253698180153	"IS09"
"CEBPB"	"CEBPB"	-0.190784732503163	0.177118777951919	-0.13190930590003	-1.0303497491484	-0.408827019164838	-0.830191268866867	0.143616498823055	0.562158183486155	0.949371432757603	0.346290175368298	0.510868674364091	0.112388808635955	0.524550596552656	"S01"	0.949371432757603	"IS09"
"LY6H"	"LY6H"	-0.410172517959774	0.418108935754938	0.217475879613826	-0.660603380965894	0.0455431602373307	0.330728940402552	-0.987688466215528	0.226565875284327	0.938045258460327	-0.0646330172708102	0.0707212075460096	0.0369737235515496	0.767684940427674	"S01"	0.938045258460327	"IS09"
"SPOCD1"	"SPOCD1"	0.565438938341771	0.894366475360442	-0.327145945055906	-0.569311024684906	-0.456651829286666	-0.275068778903283	-0.225526658549863	0.369134746946362	0.928930124051646	-0.658383017356889	0.506751560020785	-0.667364581982373	0.835811306576649	"S01"	0.928930124051646	"IS09"
"NRP2"	"NRP2"	-0.164682914165511	0.0416203369437424	0.659851610730898	-0.0986408888386686	-1.03546512863323	-0.361350279448754	-0.855704576021248	0.448543958829287	0.920158590644585	-0.190744979986409	0.592654663396905	-0.337782922744326	0.919568045727487	"S01"	0.920158590644585	"IS09"
"PLIN2"	"PLIN2"	-0.229816138307644	-0.187445886567557	-0.333645807157217	-0.668311774244081	0.371318081563923	-0.108107609934911	-0.455365335889489	0.879280732597849	0.91294438222664	-0.0309448363303285	0.504003843621089	-0.447527266692367	0.250729583046051	"S01"	0.91294438222664	"IS09"
"ITGA5"	"ITGA5"	0.593625846968061	-0.417484177197058	0.275188507066024	0.121441471093867	-0.347973927270771	-0.177700794674804	-0.390277962609175	0.205260873118354	0.882503645780074	-0.720616191788704	-0.00467745935550002	-0.688250776466086	0.821385159261176	"S01"	0.882503645780074	"IS09"
"SSR3"	"SSR3"	0.157383270998152	-0.842501019844656	-0.231287802059244	0.219617185625025	0.832742604948101	0.0458001663851728	0.059922360753186	-1.30015148347317	0.861204534056255	0.146867095763419	0.521423076316714	-0.357127885966628	0.425601802888066	"S01"	0.861204534056255	"IS09"
"RAP1GDS1"	"RAP1GDS1"	0.531955702080589	-1.04185555395913	-0.0726711502682806	-0.438447364182015	0.126852422088927	0.366475401361605	-0.511104410392715	-0.265956158752381	0.848126484658407	-0.157287275584879	0.439784471327507	-0.0453532943240468	0.358180826739939	"S01"	0.848126484658407	"IS09"
"TSPAN17"	"TSPAN17"	-0.330040828390655	0.378625903483977	0.139580297905043	0.42656294026404	-0.350937001718155	-0.321302128787454	-0.315711320288419	-0.966482330269038	0.827669164211362	-0.327143497453993	0.425260973332994	0.624262856076518	0.102986864911633	"S01"	0.827669164211362	"IS09"
"INSIG2"	"INSIG2"	-0.328443293960186	0.0246095981180448	-0.521197975557444	-0.190144884639288	-0.244960468186474	0.175752913688902	-0.766461839157606	0.111531870172036	0.806485436713679	0.0272040229544262	0.410550929586676	0.383430091133932	0.303469722748744	"S01"	0.806485436713679	"IS09"
