"TCGA.05.4410.01A.21R.1858.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.55.8090.01A.11R.2241.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.66.2786.01A.01R.0851.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.75.5146.01A.01R.1628.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.MP.A4T7.01A.11R.A24X.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.34.5241.01A.01R.1443.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.50.5066.01A.01R.1628.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"
"C20orf85"	5.26566572153872	7.39723275492856	0.442255763593707	7.51354535026836	6.54733818596855	6.66816617354621	5.72833961858164	6.01329100528987	3.32786390520106	5.32792924055203	8.27883374259322	5.15290955614078	3.16091424725	6.20400325088766	3.33024088596811	0.258924527545131	3.56009411090011	7.2722129844588	0.172848143065468	9.38218187976446	0.372450993400219	0.489339435130642	4.3148049604438	6.30390308125691	6.12914049903751	1.49639008858565	6.4403325064243	4.25813587670066	6.14147724221166	6.34262871835232	5.26382442580084	4.28398272907125	0.127355369585454	1.2208581048346	6.53408319400682	4.21803965732707	0.830982828246085	0.232504246170544	6.54398322369796	3.22929733239181	2.93122400747971	6.18619430341072	3.06949024099574	2.17424021213231	4.46911794250597	5.11162721615305	5.01964178741365	3.96978548876557	1.05055866592293	3.31134583370625	5.25985635751905	7.67329936438586	0.675917175000157	4.97062058901315	3.7086531140751	3.06025549509254	1.40288831567143	3.25731922878299	0.577286498781515	1.96670931433347	1.38632406772642	1.13286091560013	0.953845079946878	0.450720138789268	5.99484863054328	2.74203187571183	1.72164975563316	2.64115878332887	0.203783966795649	0	1.07953200214239	0	0.0540710702602937	1.64949267246079	1.4905418706977	3.37692898320192	2.43950459222331	0.312697694038011	3.88034272843462	0	2.8634761807586	0	1.49284737237519	1.17369233289685	0	0.646436993749319	2.13217884574324	4.26928309896821	0.358542649405886	1.57524968578698	0.621946913271428	0.0399718451173787	0	1.74196905704847	0.466913535953764	0.19440962294278	0	0.527104586962601	0.842570548423741	5.27239523338065	2.69371348565644	1.84498984955181	2.29251493011475	2.25953778874252	0.0380309250753442	0.0442949338420857	2.60390827675139	0.0775427145989001	0.122787363509445	0.208855525080345	0.154416630008771	0.739645811349827	0.127878196669627	1.85743481751739	0	3.85807421285923	3.668033987959	0.0978200877828176	3.64663079252405	4.47755647389078	0.0660432235499584
"DRC7"	1.41986175447215	3.06135391578428	0.46888827929479	2.60062352827963	2.48207683727595	3.26850999784125	2.06507140105329	1.96690000336431	0.894821842281142	1.99496708841221	3.93984707297761	1.31010135880731	0.659789446231583	2.4995260489617	0.696993348825757	0.410824425719393	0.725558449874653	3.23500860420582	0.732414036196398	4.99226281136897	0.23415919580713	0.208761798550039	0.864257078979501	2.27309360629185	1.29124877529197	0.600000072433935	2.63466176220645	0.753173263137226	1.63364009320218	2.17897802213036	1.2476176259093	1.20733418459356	0.354408898004856	0.0197227055819589	2.45324584923836	1.14464942158032	0.0477146534662143	0.324265001702467	2.32741584048459	0.691339723141228	0.692048756525854	2.41975629204077	0.423395469872796	0.743546062480088	0.405391507033574	1.72924698454231	0.56552360236178	0.839711458957688	0.403354928533473	0.533670554502417	1.59906972518901	3.18751472744667	0.294518398488957	1.45917911684448	0.619560011171861	0.616248011239395	0.18794397460588	0.683381451758882	0.39538193363772	0.251716971948753	0.27587067075472	0.229498513456739	0.400254261951816	0.107793721477914	1.4360038313482	0.68550063429284	0.112980143430368	0.0973097082913345	0.21888187601519	0.034187660427457	0.281247984076771	0.199807441626552	0.255496980417073	0.884229383827446	0.231253421742314	2.11818524849601	0.541757017077947	0.357045047497613	0.485134265507345	0.14599932216883	0.737502905306505	0	0.0753101534668926	0.407072861527872	0.347553107404639	0.271524721341568	0.392594129016374	1.31272190958572	0.0366047276649158	0.205482008446467	0.156121185259349	0.0795210601530481	0.154397081278572	0.366945851219875	0.317006066815863	0.266250198036985	0.283551457771058	0.197868122940202	0.336979689644751	1.59880039748688	0.457204120531704	1.56126414629884	0.61693307726771	0.338758316647489	0.166641738751948	0.145553391179915	0.316887115998985	0.204870585740891	0.0752526539036572	0.870886392046049	0.149490198596808	0.24400925337195	0.0455632494566777	0.894690397382595	0.0474126164599843	0.506794362506846	0.897963997720865	0.0414355224765618	1.10907332653796	1.1246413266409	0.260478182887523
"DNAI2"	1.88836091404486	4.63975707371547	0.715085023916458	3.17841476166614	3.19900740635268	3.39427168381693	2.37485428081012	2.21368184564593	0.952906229479412	2.39984651295788	4.80270696291346	2.12723245755378	1.07444145236624	2.97711863111706	1.16503256205887	0.0624376723120287	1.02336981967288	4.25092612981173	0.424476908032271	5.7416124077616	0.300901276591576	0.065942013693056	1.304836879082	2.76650097683647	2.16218322179623	0.0997377368152737	2.7208548067168	1.55029152296606	2.74249961327208	3.0724160081637	1.70228772860423	1.46642288444977	0.0444583866765047	0.125250404313947	2.9817076837837	1.53668432744345	0.110430539790948	0.172062005110899	3.29726239094976	0.78426753908822	0.893409701763802	3.07829058765035	0.462123068441133	0.46906837933032	1.02166182115304	2.39979417531079	1.14367560736733	0.975922565241771	0.241908765471096	0.653829632710268	2.06653054948043	4.64047681062286	0.0667573036845959	1.97384555507017	1.12806642042643	0.567888539321682	0.220713700691447	0.639613098916963	0.688035504506536	0.40108021201856	0.193716435500717	2.49294749743796	0.188229231558847	0.161780608755928	2.5833658016695	0.522824249113523	0.30655075914328	0.33466996610943	0.0222895131951793	1.15822824859238	0.134299295278276	0	0.232613481869893	0.33170909162247	0.222998357900703	0.671383418772876	0.203603713849083	0.0896556238896786	0.742677372207236	0.0202249467413421	0.393201208248284	0	0.191168124384503	0.178070692271776	0.0319976371499454	0.15667897755272	0.560074503692265	1.85108559198353	0	0.326260827149535	0.0478472998029437	0.0459258883080686	0.0406055538859507	0.440951472590888	0.177280791588475	0.0912515131622486	0.10590062882324	0.0254050879350664	0.170251430753069	2.05094004892043	0.276455878554894	0.250543214129965	0.647147520039596	0.421518061825835	0.0426176317872135	0.106662389220748	0.495580441231609	0.252259855349951	0.118402539669708	0.822125696680078	0.179739430354281	0.026539720280746	0.698495663891465	0.248968526494846	0.293130875105935	1.21295685248513	1.57908794212681	0.016326553930937	1.281801333361	1.85277425438081	0.0836092291238057
"TMEM190"	3.73990203777607	7.24993742341788	1.11864081512725	5.58211222845394	6.10020902232318	5.55641876545143	5.16422341001626	4.86451678155332	3.22074857640627	5.12961603586716	7.62816012374338	5.06455121073592	1.9419006212558	3.82694763629788	1.84082781585511	0.545206016146637	1.44033056180946	7.05453003751037	0.185732199211302	8.64664430879606	0.965723402837111	0.283194857006799	0.984921000018451	3.78401848158989	4.53273192098141	1.29622410050873	4.23044762365874	3.94803857604236	6.04417184205764	5.30977225233602	2.22787662501455	3.90228974062596	0.50568316882413	1.32239320698687	5.18465838527267	3.45386742377736	0.36082560603258	0.223658314788481	5.25572256110155	2.5666190910042	0.907628109925268	4.64673534512248	1.92519176530296	2.27909510982294	3.03888392409282	3.86196162340899	0.990606332348637	2.21053070729388	0.920429181392167	2.01313503402916	2.04382567755341	6.78983752028257	0.287332695879423	4.79879224973114	3.34169997830822	2.99443368507509	1.93334339637617	2.04482805650695	0.768779933507131	2.0702425257789	0.699154740079804	0.95244098646761	1.75985713834952	0.900040448135678	3.93177988764087	1.42318843226511	1.67783467845736	1.86256252400205	0.145664986079926	0.464579396209991	0.30252336184536	0	0.436711964314937	1.48295559824402	0.864710174954128	2.09591832165666	1.06612843834997	0.256305691556839	3.32371376742623	0.0813232361667278	2.19164326773153	0.490131777917124	0.774848539272917	1.35655392181488	0.229575091601708	0.736151611811804	2.19490416836648	4.3721051161744	0.281648553644467	1.46734587559142	1.12496946333414	0.518358327756312	0	1.80859080662975	1.93305945559382	0.241327900160582	0.131286145593356	0.462579710881096	0.881634852871929	4.44117266608125	0.42071952761329	1.10946635610823	1.80417977428812	1.83641361913482	0.152831164965927	1.05265513119378	1.87655025596885	0.484757383739637	0.515861268908963	1.394224710513	0.642004737809852	0.164082604926033	0.49524436296994	0.778687020564786	0.234469256863605	2.01001679357037	3.04027384652219	0.242717207207863	3.60682186916278	3.54835142613227	0
"FAM216B"	3.44317872921556	4.05639703298798	0.123703323447371	4.795436360372	4.16603968188352	3.95865323011281	4.20927522232284	3.55984233867292	1.69941865125594	3.38272480982354	5.54889489759205	2.24421216160793	1.48798087382685	3.79721051762051	1.49816118198159	0.0418511287907488	2.46154913827582	4.65809974198962	0.080670488958535	6.47726445741827	0.390146898600222	0.446257491566791	2.86783070914064	3.12570381293827	3.25107599368924	1.83961382334089	4.47692171959674	2.56073055876383	2.91979500899737	3.85261356714382	3.09713555887732	2.76915917578122	0.282831443694096	0.479137333503743	5.18154383038806	2.00706639730383	0.608143671565931	0.250196538256556	3.99866925122072	1.6990703220647	0.869411272936362	4.23255108309741	0.690381864676907	0.536103790822425	2.12890756235539	3.06002168681741	2.90689358928287	2.85301991713687	0.16817403935914	2.00002002452786	3.48439377197578	5.23211079372391	0.369326744092334	2.98565140812353	1.58065411419722	0.711389370905753	0.519816240832171	0.913625923255721	0.494176074829209	0.551773864604762	0.715837187833351	0.297397878828514	0.65723485420687	0.0942984432360633	3.47490817044769	1.23445684605736	0.424420628577314	0.945032907209499	0.180284087035025	0.0156427501478437	0.19857806803225	0.049428819567815	0.0925717213402876	0.514169939996843	0.594149210135886	1.62443367982979	1.38937975732231	0.522873168067929	1.69142064877738	0.101831055431415	1.22030286808019	0.103574572719561	0.753971958007209	0.958299185079411	0.12858226690766	0.223394062004052	0.765274942433109	1.96573558952914	0.150504589256262	1.27400932628318	0.388972553005052	0	0.0322399901859639	0.479493173250163	0.124906879044803	0.167778320995674	0.134693540335979	0.0855001881168368	0.418422186058699	3.09849653689448	0.883197304233613	1.24423739545357	1.04718939422817	1.2752684770185	0.0750459374439153	0.0671119665675568	0.952014536131604	0.167418591837018	0.0109150470758966	0.546982210945315	0.296248867223849	0.160075795439428	0.24455389959658	3.00919557027058	0.165020961787974	2.0042327842747	1.35036811753672	0.735708837686119	1.78237118863588	2.48090841983639	0.195751311734207
"VWA3B"	2.08757657349244	3.42486861912394	0.254405801598107	2.93433011084974	3.82454862780583	3.34566216652701	2.67957055079622	2.80317288888036	1.6200810751329	2.91761345983444	5.10258488423423	1.86309148914668	1.23303307006956	2.87673014234349	1.15829551032015	0.617003348484193	1.38283636025569	4.05664995396187	1.18121707362647	6.3975382553891	0.979679822276401	0.102837151423563	1.62889045871829	2.86995450582632	2.15084416036078	0.812218150455005	3.13595979633595	1.55452195533395	2.65922910937797	3.5087694897437	2.09063660153404	1.87595002651656	1.92997171092248	0.368139294013183	3.3961426354462	1.36700686117225	1.12555698659763	0.54957820286006	3.36701312636387	1.50416361311899	0.923650264945403	3.26638952482861	1.13725875586978	1.07675673479879	1.67034875735292	2.49472483449886	1.47243366484765	1.73092613902058	0.369783163005818	2.70743134009393	2.63104394584724	4.60610045353566	0.0774763774882661	2.50837791670266	1.39367614066647	1.90064403821323	0.60230455440418	1.4195898264923	0.489641573206809	0.913611379252709	1.13540338534176	0.386528957988937	0.574262885543485	1.02819625529859	2.82639549312644	1.11848492893857	0.252905246460739	1.03194923061689	0.740503651015608	0.167538699206184	0.916823982264123	1.32208990944522	0.334041979013692	1.22322090260764	1.51774020674203	2.70242854544362	0.727597439300496	0.783482145848679	1.05662736272046	0.993426675910212	1.93127819875721	0.6364159021015	0.985438150615752	1.83464713434109	1.31343295551662	0.573476240145712	0.948536507485789	1.66126188188813	0.753655312550732	0.277822455188604	0.639005531387052	0.710524431196058	0.470186731928227	0.352967096113391	0.840983265765193	1.68224905316494	0.417083704826815	0.344562459044604	0.580577758854427	2.00818665864379	0.641832697483498	3.73574945815596	1.86343500325417	0.894707038088636	0.182542309539981	0.395816211855907	1.25795725699513	0.382405414053725	0.407411554140997	0.646826702401897	0.527920145081241	1.51690237989216	0.718142230992857	1.03785857104115	0.295310538522095	1.29442049202049	1.48527535560664	0.223657564847263	1.46823099161235	2.27389255248397	0.517940320677214
"DTHD1"	2.65702301459914	2.79594371658235	1.14463512656636	3.40059357076017	3.32045998091511	2.98341857705507	2.75941599577754	2.12774585520144	0.975160007898775	2.42968244673914	4.18107575589522	1.72629571619754	0.821939342242863	2.71354447708567	0.814332580535911	0.0681179744270568	1.69626357332435	3.76861351762611	0.0478914571088549	5.12346740498051	0.497089132032736	0.567538049997828	1.6314338501101	1.86669268606309	1.47209550857834	1.62755794596047	3.42159454653485	1.51740687407349	1.6317341122924	2.52438996495561	2.05868291163749	2.11613460111827	0.207679459815061	0.498600165968565	3.5155459022093	1.80183814390565	0.487560391434519	1.45969207914381	2.68914783364834	1.21756934989184	0.707028354044201	3.09808439324332	0.440029685675088	0.657536286668657	0.79873032170967	2.09864847890806	1.39624092265656	1.9959512619371	0.574004157283785	1.30059528718684	2.25328926253678	3.77031129999045	0.0333882974482625	2.10250129026216	1.06328344976123	0.458247392976926	0.400329635692819	1.22688369810779	0.249470511925936	0.574034530164446	0.860326325899719	0.455116265199924	0.797443740833699	1.37299413156983	2.17069876598476	0.667557871671378	0.73822387909621	0.429369964308429	0.104091271036668	0.378200603995958	0.364193657715611	0.395364277405517	1.59582788917382	0.861660507119529	0.181308597140026	0.450511278999281	0.722119261927204	0.711800232910118	1.22151105471182	0.274791634131907	0.67779072223919	0.552426177690989	0.94546933326904	0.956131395522339	0.873272307183904	0.34607014161572	0.251894601664392	1.65944086439639	0.309274886408822	1.51007168274743	0.86620163423364	0.533334746733655	0.727550551024788	0.329614541102721	0.437856980036091	0.161910886494561	0.0552406622437651	0.175979030623697	0.871739828835989	1.85509656823703	0.32931530435072	1.19039471761749	1.60062235079301	1.04236293660388	0.721741303762458	0.850007972132852	1.59090474311395	0.834827182700562	0.987582211660708	0.620840734763986	1.22332476824225	0.128897570583652	1.20604055672011	1.22496001042084	0.559479230959907	1.3022597786299	1.38532507022763	1.17953717695495	1.57449283400597	2.14669187020246	0.387606320386609
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	0.772165014697731	1.91763958332768	0.176239884802746	1.7405958298127	1.06166537965307	1.51715120956672	0.673641786970455	0.975357261469954	1.40094250039786	0.625316208648145	2.279319471105	0.793589037920615	0.385527222466394	1.46530307429491	0.368851608837597	0.690105732534748	0.257306842094041	1.48731116466043	0.107497894427826	2.86522719192989	0.285055049159639	0.0931343830794995	0.638815369342179	1.20313635222012	0.881029118753285	0.135065923314914	2.08729893083825	0.668305263719936	1.58393296159407	0.841532205707085	0.697449684189486	0.462326108726027	0.137142625134653	0.0468862385648264	1.16962156141289	0.571852420772377	0.172776131527232	0.16118818726922	1.19071894574662	0.216769629466415	1.0277549881458	1.42897323637517	0.548221980071492	0.0632925480393799	0.194551110307548	0.487456745090633	0.256417123049657	0.567460535228745	0.48052633570207	0.501119234977689	0.412386077446786	2.61081773717254	0.143448142482425	0.481209000653838	0.240396246622676	0.461652077003148	0.300973892699957	0.272221862058821	0.401198040469505	1.0224038044407	0.373475315983188	0.0633881851999596	0.346813224259448	0.847111091645709	1.63735632217534	0.204300588319844	0.298977186053335	0.988599887019764	0.0730956315400687	0.381590251133314	1.42444718605907	0.323514167405397	0.163742021408756	0.253628189791041	0.4791520862778	0.365468678670809	0.0842533212243487	0.118586371396895	0.397263172632919	0.284865248095981	0.499580949262322	0.633577161059052	0.259114630357674	0.842422014549751	0.174664000674598	0.29662672721883	0.182911987435739	0.581778038729954	0.334068029338748	0.380137876243896	0.133848307727669	0.861085066747732	0.216720309722511	0.664345722708288	2.36669343310651	1.46233328819387	0.307886094872882	0.251626256547195	0.613012713264625	0.51165043564169	0.978475005954965	0.169676074995848	0.389032692698731	0.287622958369209	1.05680137418696	0.312935680223531	0.276495933287126	0.0762660989532829	0.174156837615146	0.601863220128663	0.27426261719394	0.811375958580754	0.455446032342442	0	0.863837898860463	0.423468175867866	0.523471161778296	0.0853752142283906	0.692603442669065	1.73020138248272	1.03018480538953
"TEX26"	0.611800267299403	2.14044949774876	0.105974470433697	0	2.47732445178935	1.5384505957545	1.52488611263559	1.19504094018132	0.733323558980729	1.49999639311572	2.79132072248265	1.12971241034802	0.491390382062583	1.94793220537229	0.058040311808962	0	0.0687683223325328	1.74274964776716	0.231573213589182	4.15714462197799	0.122097478252989	0.0801952478674725	0.039414461666678	0.262244712379341	1.45624008348427	0.191569961780652	1.42174012882686	0.0686972424166493	0.623867826305557	1.45767220882128	0	0.727829226700056	0	0	1.04687077501915	0.321811827834937	0.0634940042112602	0	0.366910748701985	0.240215900192919	0	1.03182096726789	0.117776856169004	0.183210825492326	1.03752859159649	0.804541491396562	0.655945464475429	0.367073752021566	0.333118295490244	0	0.582343640390079	1.03112857947806	0.193819800404281	0.422870120699824	0.953971779348607	0.0273973682767643	0	0.444370459398018	0.143536813548393	0.143724349557498	0.0870067016357398	0.191059964195947	0.271206008851436	0.317802326111886	1.73690216482216	0.311810892029222	0.527407033886766	0.2347221764015	0.249592598942119	0.0889253967084958	0.17939411111982	0.0496275472805723	0.114061852295289	0.2478602981273	0.192919126371579	0.499637763903351	0.464699147949246	0.338859975177328	0.439302884010356	0.462329955058714	0.41434864072987	0	0.205345419580386	0.0726722603722949	0.119882385574441	0.344487429107158	0.167808605662997	0.588232456050084	0	0.567733783271097	0.0502850384691121	0	0.0737507984262188	0.149987162247883	0.299737634973844	0.340717652293212	0.26068761544589	0.0982815707011846	0.166308853036709	1.8875069015638	0.122220281687045	0.0878896052997726	0.342377485564231	0	0	0.337916270321382	0.269816146487877	0.0834661201939464	0.0479737632651072	0.3010191004209	0.193271276711956	0.351197199311342	0.068997306364681	0.358989765953094	0.325289717351194	0.684713979483164	0.145160767903028	0.592894752427351	0.528713736680173	0.884451843274236	0.237501414557658
