"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"CTSG"	"CTSG"	0.981987257673169	-0.349856546328115	-0.0601512980694018	-0.136401591645704	-0.107796378748916	"S01"	0.981987257673169	"IS01"
"FFAR3"	"FFAR3"	0.808440637506634	-0.253173973686055	-0.0641919929796325	-0.108193908349805	-0.121276439266706	"S01"	0.808440637506634	"IS01"
"CMA1"	"CMA1"	0.808129249690936	-0.286578573567834	0.0990116678272756	-0.211106086404032	-0.0480495453380125	"S01"	0.808129249690936	"IS01"
"TPH1"	"TPH1"	0.80796987277702	-0.129275179644323	-0.118964889243242	-0.162951907114693	-0.126740372200317	"S01"	0.80796987277702	"IS01"
"WDR17"	"WDR17"	0.80796987277702	-0.129275179644323	-0.118964889243242	-0.162951907114693	-0.126740372200317	"S01"	0.80796987277702	"IS01"
"TPSB2"	"TPSB2"	0.782118780429136	0.43198550136797	0.580875293004565	-1.11773503871427	0.252818067168586	"S01"	0.782118780429136	"IS01"
"EDARADD"	"EDARADD"	0.778970749728814	-0.0681603035885731	-0.225632906818001	-0.18764369291497	-0.0515100333492076	"S01"	0.778970749728814	"IS01"
"CALB2"	"CALB2"	0.758921841604281	0.13473665944696	-0.417040658544537	-0.456709665536156	0.309586114082704	"S01"	0.758921841604281	"IS01"
"GPR42"	"GPR42"	0.728987336363187	-0.263618717775719	-0.0781112231258058	-0.0472249493076701	-0.134755705792336	"S01"	0.728987336363187	"IS01"
"MAST4"	"MAST4"	0.728423806926852	0.530484454597207	0.0498930925012925	-0.579252613562096	-0.250221508003254	"S01"	0.728423806926852	"IS01"
"ADAMTS7"	"ADAMTS7"	0.727023205215237	-0.310832216262514	0.119184132002498	6.14988627246452e-21	-0.304737466924034	"S01"	0.727023205215237	"IS01"
"GFRA3"	"GFRA3"	0.719337623591004	-0.159877528945945	-0.0854543549530093	-0.187765602612808	-0.0140391781851207	"S01"	0.719337623591004	"IS01"
"TPSAB1"	"TPSAB1"	0.700196609658094	0.447555256914154	0.573754564432976	-1.12149102586159	0.30901128649638	"S01"	0.700196609658094	"IS01"
"TRIM63"	"TRIM63"	0.657162758642453	-0.154629783130441	-0.142297346439056	-0.0453962311172132	-0.151597826598472	"S01"	0.657162758642453	"IS01"
"ADCYAP1"	"ADCYAP1"	0.647312854127372	-0.0609458306264784	-0.0481265200482215	-0.300704962779142	0.0821870395748057	"S01"	0.647312854127372	"IS01"
"CAPG"	"CAPG"	0.614501791130881	0.240936373225234	0.348366666691005	-0.769700792757216	0.216163117376417	"S01"	0.614501791130881	"IS01"
"AARD"	"AARD"	0.612795875208833	-0.158758772438209	-0.146097029851112	-0.200116099712028	0.129704879442981	"S01"	0.612795875208833	"IS01"
"TPSD1"	"TPSD1"	0.610894862283706	-0.0159313757702255	-0.0455461032585944	-0.39999807248226	0.214063666425406	"S01"	0.610894862283706	"IS01"
"CD63"	"CD63"	0.605785399764368	0.280862566543973	0.437629594231557	-0.950574685211587	0.394352874260103	"S01"	0.605785399764368	"IS01"
"SERP2"	"SERP2"	0.575646022724813	-0.146166803250551	-0.060057557489006	-0.0651901123465571	-0.130380224693114	"S01"	0.575646022724813	"IS01"
"SRGN"	"SRGN"	0.569961672851382	0.462909430007482	0.482954077617119	-1.04360483274204	0.337696377196132	"S01"	0.569961672851382	"IS01"
"AMHR2"	"AMHR2"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"ENTHD1"	"ENTHD1"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"BSND"	"BSND"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"MPPED1"	"MPPED1"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"PRH2"	"PRH2"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"RP11-314N13.10"	"RP11-314N13.10"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"CNTF"	"CNTF"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"HSPE1-MOB4"	"HSPE1-MOB4"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"IL4"	"IL4"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"CELA2A"	"CELA2A"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"CRYGD"	"CRYGD"	0.569783097132388	-0.0911652955411821	-0.0838944437495541	-0.11491423807712	-0.0893777407266491	"S01"	0.569783097132388	"IS01"
"PTGS2"	"PTGS2"	0.561045251558009	-0.0622223840543547	-0.338638072749385	-0.291444951241688	0.352489406660914	"S01"	0.561045251558009	"IS01"
"SVOPL"	"SVOPL"	0.530855195217466	0.203669922679904	-0.0170393444075837	-0.402992876421062	0.0231839055666107	"S01"	0.530855195217466	"IS01"
