"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.66.2800.01A.01R.1201.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.44.4112.01A.01R.1107.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.NC.A5HM.01A.12R.A26W.07"	"TCGA.63.5131.01A.01R.1443.07"	"TCGA.73.4670.01A.01R.1206.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.66.2781.01A.01R.0851.07"	"TCGA.43.5670.01A.21R.2125.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.18.3406.01A.01R.0980.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.94.7557.01A.11R.2125.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.34.5241.01A.01R.1443.07"	"TCGA.58.8391.01A.11R.2326.07"	"TCGA.85.7843.01A.11R.2125.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.43.A56V.01A.11R.A26W.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.85.7697.01A.11R.2125.07"	"TCGA.60.2719.01A.01R.0851.07"	"TCGA.38.4631.01A.01R.1755.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.33.4547.01A.01R.1201.07"	"TCGA.39.5035.01A.01R.1443.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.94.8491.01A.11R.2326.07"	"TCGA.96.8170.01A.11R.2296.07"	"TCGA.66.2759.01A.01R.0851.07"	"TCGA.66.2786.01A.01R.0851.07"	"TCGA.51.4079.01A.01R.1100.07"	"TCGA.56.7822.01A.11R.2125.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.85.7710.01A.11R.2125.07"
"FPR2"	1.44753168160862	1.56510064324095	1.48715164129366	0.99202593839949	1.70545572946747	0.9850854911934	1.54957869438354	0.934979136661533	0.657820564708146	1.53474203042443	1.43159389526512	1.96742618822492	1.57423189613191	0.500055669780892	0.859204222324554	1.4479385871466	1.58756661588641	-0.112119808385168	1.59289509157453	1.79745042405611	1.53876748214542	1.54704082112562	1.90085746846812	1.70110072818996	1.3853676887485	2.02303111737204	1.59507874297075	0.323201927271406	1.55205366602747	0.920692982235558	1.65554285656481	0.37694569083431	0.557452555163482	1.49122356136708	-0.107119346170639	1.5808013915725	1.40191207395877	1.56833432426514	1.31202607630228	-0.537273782199637	-0.116578654957263	1.46938800975815	2.24737378345441	0.624373078959291	1.40686956131482	1.77686345787671	1.61935121911371	1.75967375774718	1.57864277397046	0.441268447369333	1.67465993525424	-1.06795340271573	1.71505702605258	-0.259747472801313	0.370266493034648	1.23906472301698	-0.243778609866309	0.58283569596674	0.388715920161179	1.11651649048771	0.80615997344057	-1.04160422906386	-0.533937134307646	1.57280659057597	1.70295179321223	-1.07800120820279	-0.2937652071042	0.504625157510707	0.904485162910975	-0.837231500754293	-0.380314965907006	0.626494677193855	1.67551406028281	-0.889797615310058	1.63509987793672	0.541929184956067	-1.08884137301604	0.688963550340062	1.48706672778929	1.51456668300392	-0.281420145216663	-0.900934235762897	0.626005057048794	0.454213671870316	1.50384416502676	0.968595042463065	1.36622443899037	-0.993778684401863	1.64206754170623	-0.0526831119266064	0.085214523365758	-0.717986194422593	-1.03348008973659	0.794355707214686	-0.80202016366978
"MCEMP1"	1.5844383637636	2.15619135240782	-0.546964217566076	-0.515858641205163	1.64003008912244	1.00158874238072	2.33728709387051	1.58244465399476	-0.279795861215544	2.03863307505998	1.75352176226952	0.147805934271439	-0.576767908448676	-0.317642841078666	-0.269114499420348	1.67411325011498	1.47260098813195	0.460656901661988	2.51001917813891	2.12793499134253	1.91305596653492	1.83808223561348	2.37007742599968	2.80143859545502	1.76096499019137	2.01292844859404	-0.54283072395818	-0.627114283622035	1.72284908052709	1.8486925553788	2.00801447941771	0.788205168518026	1.56000344103437	1.56124910499739	-0.438783839335205	1.80489234720594	1.10409115263172	-0.158915297765521	1.89119202859036	0.45463507602597	1.58733021464368	-0.279332167016681	3.22943638202307	-0.381111455874893	2.2468724649245	1.88981998069647	2.26726143785821	-0.571652718256244	2.07133890952277	-0.554811682222675	1.70581181037106	-0.644105024521477	-0.518233524812407	-0.484150271741247	-0.482971799514938	0.582982345415012	-0.668555364889222	-0.433695862724597	-0.343341520428326	-0.571034227166259	-0.266917558101781	-0.503964694072561	-0.734994307175021	0.139667597390098	-0.382009219189609	-0.601263423492858	-0.582069148320531	-0.133801282720857	0.432393917081177	-0.569919402270319	-0.475652967997162	-0.188357596181021	-0.00209351156238838	-0.491250311658367	1.617043374831	0.529094530748571	-0.669609491890559	-0.351309608665903	1.16012232864264	-0.40843263329179	-0.413823761293273	-0.611853081095259	-0.435788110100993	-0.613435383069939	1.66354286766421	-0.499917323313706	-0.322625325588456	-0.52168075321784	-0.473940277521692	-0.524471794995979	-0.432939047579199	-0.61544954652509	-0.53601024455784	-0.513201799527738	-0.595168873220377
"CSF3R"	1.71489364977852	2.1337803138444	-0.1644298335366	0.717428805174434	1.57347614958184	0.75001287548453	-0.259946807608275	0.924719565794931	-0.483094565687137	1.19081170958476	2.19309314711279	0.870178889708698	1.10680327095463	0.966259676182343	0.317237269719836	1.49030214684644	0.97501157673771	1.53548838329309	1.91035346323043	1.605423010743	1.01247213826183	2.17817779968152	1.59139128399689	1.33681952479705	1.86770329948618	1.62395081770552	1.19321049989989	-0.071218060918102	0.57214682652352	1.22088590090856	2.19732030246937	0.696909956348913	1.64709437361652	1.26599967017964	1.00672287934164	1.50859651113135	-0.676325348893326	1.12337071140617	1.0642383764628	0.719926875579802	-0.78111779827042	1.05687001137428	0.935450554445398	1.99924195215026	1.38685220179463	2.52914330218038	1.65953885157338	1.26479464101834	1.43525219386758	0.499223310534168	1.62995768302524	-0.216881613184365	-0.729617732641951	-0.879609399553609	-0.798788209697948	-0.111189698946916	-0.640787936176388	1.41689048486374	0.622027439403767	0.49424144118169	-1.13096860642729	-0.667640001587872	0.243321404268245	0.694110661415859	1.60249618612418	-1.06849813094511	0.0011980455299769	-0.410397692883578	-0.484675889273889	-0.458938925890542	-0.0479569283823464	0.118557811569435	0.833859335596921	0.934872430032503	2.25156852995588	-0.426280648371521	-1.26327316042269	-0.634861854144619	-0.539764855612574	-0.0207322726520605	1.25850929823382	-0.644745145607789	1.35763013142427	-0.872542204057467	2.37825480941015	-0.64594491634569	1.80589175593215	0.271004030496093	1.13820983060575	-1.12195913292185	0.619074473019515	-1.11618610072186	-0.75925911573434	-0.577317696387996	-0.663531861035659
"VSIG4"	1.07298534191583	0.875167844206693	-0.846909191644297	-0.515398823419968	1.00877422331193	1.42810600867661	1.25601948319187	1.91613837636868	-1.13987210373191	0.778345885621023	1.08150233862975	1.41454498270825	-0.0130535160482547	1.75292746063552	0.307584802976179	1.62006665675206	1.89308755912769	1.10140986648007	1.39389902317462	0.687132654343	0.828335772203088	2.17116244612969	1.39926179167976	2.1669088097081	1.86353600954836	2.10110262063546	0.32910208363676	0.417683427234058	1.2078888073057	2.13209855777967	1.64671770916666	1.11717752629397	0.499017125003818	1.19889374887659	1.27437031307075	2.55968504769718	-0.0414013574456277	-0.432360406188704	1.88205845336854	-0.336980838612882	1.1484994287564	1.09178557323855	2.32867049368312	-0.267664320613412	1.38462329899496	2.41304623681038	1.51847438190947	1.0655695995203	1.30127771992494	1.13057510159835	2.00527955163011	-0.987373753792672	0.0991949936929887	-0.417544155325589	-0.723139933378073	-1.30734278886656	-0.934097987925694	1.42645042818559	-0.91723056017938	0.386477600720024	-0.863533230237949	-0.537801660271156	-0.853454467856541	1.25234181148907	0.138217689553384	-0.270277964203843	-0.615349455700042	-0.430560757061071	-1.76542396720674	-1.45245182912257	0.585545915500903	0.523710685185671	0.743870167736343	-0.538954002431688	-0.236724308518509	-0.374867206082812	-1.45094146227548	-1.23822187461162	-0.894790570230688	1.33541194922369	-1.10253728210372	0.170907856309789	-0.744403296178474	-1.94386074927316	0.0173234140205743	-1.18100266981177	-0.263862608735525	-1.40493299806715	-1.29013024235103	0.445445930653236	1.61958593264194	0.328898419728459	-0.985785652165421	-0.913305597330388	0.101137540198298
"ADGRE3"	1.33525099836641	1.64871951966792	1.24127446745445	0.824683531964586	1.07543791373341	0.753185091054271	0.958839155967897	1.01547600390321	1.08855040787708	1.33549949703139	0.992736407853789	1.54867038851362	0.218765964907958	1.23762032749683	0.561721482655505	1.50162067458839	1.57938396171848	0.0776285375567946	1.61076007970508	0.996492805388448	1.26199745458102	1.00555907862412	0.871993149177541	0.932653697991543	1.60007400429471	1.09344109176552	-0.299413412586955	-0.847335496803954	1.68566421038232	1.24300291480818	0.915853231447665	0.326708532177096	0.682367055610869	1.43297803577147	0.805813768632605	1.67219170217828	1.49938355037034	1.51471942941962	1.05188823240639	0.696666717053606	1.32744915057807	1.08596196019209	1.66895193596758	1.11469728328234	0.862033102609779	1.11484682056101	0.93745457058163	1.47545614203465	1.27843317594469	1.36315115373781	1.51515974093439	-1.28885413622216	1.16647274555831	-0.788523416299951	0.191550992768097	1.40376176353909	-0.573155323535913	0.657674819975211	0.801050940360709	1.38459018376831	1.06403968231676	-0.470658233513086	-0.662481245266064	1.04609539542798	1.63454335063511	-0.344068985816085	0.910141454472324	-0.582416302933132	1.40337892997533	0.173620826018055	0.142930136300555	1.30541935176196	0.482031292868246	0.353673663766905	0.946783398023843	-0.942096355955467	0.843174808615747	0.280333654499617	1.19822506589717	0.784805194158979	1.22732461783236	-1.16511724537652	1.24473669301542	0.120596950269014	1.79767118990376	0.666260602681684	1.11628838816636	0.586934031111153	1.19014802868073	-0.516145963871131	-0.527113818873452	-1.30410177570991	-0.380389490969228	0.716682737670902	-0.748477557131923
"CD300LB"	0.920016072201899	0.393799080875215	-0.299832921518865	1.19236666020078	-1.2114654305289	1.53083624405715	0.0811042339487459	0.972823668089261	0.973308716752516	0.918947926506439	0.63787355298539	1.47435788162594	0.665116433164694	1.52138213689611	2.03400142086053	0.695873884822729	0.644274408317863	1.7048422846359	0.721586264521603	2.14230562001008	2.0078793027328	1.09958095418017	1.89013832528113	1.01818664697786	1.62732653704917	1.21922558658576	1.58658431757275	-0.417389477656946	1.85630627099616	1.60373677052176	2.23485081358927	0.132838446407247	1.88586041892203	2.18452790938044	1.72680959187604	0.406087671797729	0.336490414473593	2.09976345163099	1.64076827518872	0.646860360579485	1.35558836231257	0.92962808001075	0.194493257275577	1.39135073342806	2.1272202161695	0.9372758586949	2.21088565048676	0.480917362758365	-0.0926326064934447	-0.374622881041999	0.0661694901073209	-1.52356442637147	-0.329427501969885	-0.733570298344582	-0.161539706716331	-0.560904752089881	-1.47475069914454	-0.279250914608319	-0.558773106123984	-0.0219181293529212	1.35434140695722	0.141451540118579	-0.865059424650692	1.49703630344686	-0.433268543432573	0.302485459869907	-0.220532233056027	1.36218444614635	0.998923548276304	-0.602003834308613	1.12933158728256	2.19418437678381	0.425436358336818	0.185810631270332	0.611965117126465	-0.576834240230349	-0.0963525449927549	-0.036446515550937	0.0278423554083013	0.909584056612683	-0.200956316195345	-0.234131544128794	1.67752787370529	-0.197675688116685	-0.445164931987418	0.97919805969626	-0.170907248472328	0.808075363912173	0.0436886294946053	-1.43519502268331	1.5258674353222	0.0867699473319217	0.745989561408722	-0.614173785585155	-1.55539786918176
"CXCR1"	-0.038478977621123	0.235751293905241	0.606540764951003	1.3140890095621	-0.352878958238215	1.45901826141932	0.287032466325718	0.893126833355247	0.752323942653025	1.53384186986989	1.69417256496104	1.60085515021237	1.4641663141187	0.861878874871234	0.508573083609095	1.59761131603957	-0.806835230875359	-0.384265129291273	1.3835964129561	1.61726117657818	1.45789677235654	1.38631646769829	1.6343343749827	1.44166156322826	1.55566090156636	1.67664112921441	1.35392824506001	-0.972158435463488	0.181310059443083	1.51107264862558	1.45001242187324	-0.567648201081669	0.769336880328994	1.39108708884151	0.11688830775829	0.749626017276569	0.410289936788402	1.38275242291409	1.34397158145664	1.34513965413039	1.3479446004919	1.42019495748511	1.52489862856417	1.39350635940228	1.53829515411698	1.82484930330287	1.53921802716625	1.4962507280552	1.54778298808618	-0.204945549377381	1.42097876171924	0.773009003639943	1.40145226470907	1.38554671851483	1.32069432122314	1.67804516810507	0.634964839347004	1.19405065544175	1.06249239981484	1.01318326546404	0.786450272639348	0.362423556550071	0.733223055242891	1.35648516913158	1.54463729986266	-0.697658669320034	1.34017746571828	0.878091699898526	0.837935778853723	0.689492683169222	0.670155660209893	1.37627906248809	1.58039215504599	1.03938977145898	1.78679723670749	-0.7497140380711	0.171221272662752	0.157229968670005	1.44193493478905	0.797952316526042	1.40601281205665	-1.04294769624296	1.56114709868312	1.33899871708859	1.40465945185726	0.415352523123723	1.48941521355107	1.16427411404171	1.46276939953015	-0.0844432680110896	0.791498131463609	0.280876586289297	0.264657618257384	1.16006073805545	0.368625160849471
"LILRA1"	1.13174566532635	1.1486026330748	1.68781731927145	1.35468744497544	1.63611485835391	0.995735774336493	0.847351190531473	0.498765094885402	1.06662268187776	1.09403923789526	-0.220542660641169	1.82643830008037	0.529329557343151	1.0728925609567	0.393279509974134	0.21873353993813	0.0744018102796494	1.78239309697938	2.10101170627664	1.62107359610401	0.315616128552896	1.56064025342942	0.433328567615536	0.707528388958911	1.88117690559413	0.00594126615577219	-0.111950761466169	1.17729211030768	1.68757442371907	0.838500137823701	0.516028180977327	1.51899990807529	0.0887986955507833	1.94138302763016	1.8142241761269	1.7954939063869	-0.784712486126248	-0.204178825031041	0.680407925397527	1.47177118466536	0.846258795255427	1.33594440967048	1.77378655786834	1.5472896163072	0.856290165107067	0.419918580901819	1.58999453879267	0.561897550007772	-0.217828350959559	0.847683081922195	0.45059240617704	-0.366324271720023	-0.694212937467558	-0.732233763723874	-0.0779865385626786	0.494831055253688	-1.04924774857712	0.610936228005366	-0.918404480494124	-0.403285841867017	-0.728845663958007	-0.512618756202474	-0.900530241709394	0.922135746286808	1.17255483153919	-0.563803165073468	-0.346697450962332	-0.730084686174147	1.65158226121467	-0.93315596404496	-0.287101829446602	0.394757205887587	1.59816227940473	-0.78596191063014	-0.350692989296671	-0.651282313155057	-0.375476184000483	1.1228417472845	-1.2233391978333	1.24572525470106	1.45523174783608	-0.72217222148628	-0.504801265966802	0.632219726135152	1.08946711156264	0.932000018719249	-1.14540193179354	-0.268872687130269	0.0426031397796886	1.57660202628874	-0.127922489663123	-0.576852481908023	-1.05969294222052	-0.158740066273737	-1.04618645400268
"FCGR3B"	0.122133665061369	1.21756667818097	1.04834489924036	1.58267563054988	-1.21146034442782	1.19045925186103	0.611523567542892	1.59180872749469	1.14040039527236	1.48156311747973	1.64146140191642	1.3997754264298	1.47163667654592	1.03406864664659	-1.16938544066652	1.57861475530145	-1.06405298390263	1.35704336518981	1.21111672456118	1.60729717179966	0.935549791279544	0.649008366975493	1.70115218193559	1.4087786429049	1.41713318327004	1.54509040473435	0.526966183659541	0.191752063380791	-1.31777922522947	1.33462039771597	1.02525860024919	1.2459255132579	-0.1776544719791	1.32394734398071	0.581094671946635	-0.408758103232905	0.392068546664007	1.48216528446166	0.750658876395361	1.57893186266901	0.879893619616237	1.37727371606465	1.46595062580765	1.2842175256457	1.46865878366112	1.63741024050096	1.72602874798885	1.56235150048142	1.56185553640148	0.831679824480681	0.313375617245459	0.527293599409008	1.62650268184968	0.260554392436811	0.282322824849077	1.57435915362889	-0.564631243739318	1.05983155757873	0.760069856698049	1.52503017526328	0.443858390378511	-0.301894099505474	0.790900334797153	1.36831625660683	1.54394495328422	-0.505249979636238	1.21824203158997	0.869277200716485	1.06187602598932	0.213601965457604	0.505692664419953	0.718039935804539	0.541910322369156	1.21505657513687	1.71939388551247	-1.15796094530276	-1.34276379418282	0.133588657376924	0.644784363012485	1.30104284403087	-0.457856964379632	-0.0411687359641162	1.30766636321439	1.23916589573641	1.58987134205679	1.1248001789541	1.23060476918952	-0.180262206370892	0.36568622015604	0.335522627902099	0.580742288961374	-0.333530528518906	-0.63308194163768	0.450139229954632	0.67752709042462
"CMTM2"	1.28293004249902	0.852855461766019	1.0917405440108	0.665615518015413	1.16532446058724	1.3500232771313	0.65595485853267	1.22297054349826	-0.449055560008711	1.25749518909333	1.69057855659919	1.43828480559482	0.599980778695729	0.493551362252161	-0.116195734316744	1.17567522155134	0.886364040421977	0.670375889449668	1.28222075547712	1.55494306491276	1.15334144950115	1.31951698282022	1.53585238053449	1.46515231920647	1.1803013058491	1.62803110174373	1.23479419165586	0.18414412562411	1.27796301995282	1.24189363077919	1.37534916703974	-1.4181178200951	0.0207237417439089	1.27465115165345	0.178737807332269	1.28808195454319	0.481610416077213	0.418009645418739	1.08420563403198	0.64923961192483	0.343580163722331	1.18548158140003	1.28816775788476	0.286132585702285	1.17500661049947	1.67167995601892	1.1202393187874	0.723483556045778	1.18690973841332	1.25643272765994	1.20315758158368	0.787487077746598	1.26647853080421	-0.382806714563124	0.737157007648501	1.64002862088383	0.494317747015196	1.18774168638749	0.927677039735915	0.888741796546911	1.23789950534386	0.566825759463494	1.26390836715152	0.943091916263256	1.33179842894731	0.330259340021855	1.35610642222794	-0.0122391046741119	1.18601746521841	0.277354066145759	0.847605986278809	0.548776252526882	1.23006142840356	1.46108332579037	1.67881162724884	-1.46640094968502	0.0566891119462933	-0.125659796585098	1.31128762315122	0.492351042582776	1.21985970711276	-0.064091245322298	1.33894886459488	-1.46663945621937	1.57850771262565	0.434792231485574	1.12181889281326	1.24922857881484	1.14024513583779	0.209010400923415	0.344620856649717	-1.24125428469501	-0.486888993126509	1.16120419829636	0.0195881099609519
