"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"MS2010072023"	"MS2010072042"	"MS2010072835"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072904"	"MS2010072921"
"LOC401433"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NHLH1"	3.86254688984457	6.10474804846771	4.11392221504197	5.8800374403472	5.42909674293719	5.00711795270983	3.3998323769845	2.5235691097747	3.8227022776427	2.42166741555671	2.95612724095097	2.17020919272285	3.71491903731024	3.60704934997135	2.17068002913198	3.05328911936159	2.51465185296533	3.06413350864634	5.82920874947591	5.822332000493	2.88877739939216	3.18467807113968	2.93516452886916	2.78592777665372	6.49282414149434	3.52193283262759	4.98675381472854	5.19648310234543
"LOC728264"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VILL"	7.55751445779548	7.75111864804441	6.03924318745215	6.62211187574671	6.23493078443662	7.79308747659808	7.72045117379165	7.55990824270487	7.01105560724547	7.21844400616949	7.81454752954855	6.68160938298417	7.98800251497759	7.09477034393735	6.95679542480823	6.57201837737289	7.09624473907211	6.32179153746476	8.68524744218035	7.47134848082648	7.28981453844033	8.03814059217083	7.35436499743014	7.87003462125241	6.81626431238323	7.86606955109032	8.22041701396607	7.96820028689259
"LOC100288163"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100289019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UCP3"	5.70112472971917	5.93544459686082	6.09697451719139	3.95436465683286	7.58043772149864	4.97493584780472	3.27056631829219	5.44234780672889	5.08648468338429	5.34673229209276	4.58845556616961	2.33216994585109	3.35940437701457	3.7419832188327	3.20006296405638	3.73543113899127	3.1128379178533	5.28171348620357	5.71465604628031	5.6988933960062	6.47561554938038	5.66236457159866	4.46258796357168	3.49959576061115	3.24291931968373	5.48224072323953	5.20184060533817	5.63161823317701
"RNF207"	3.61695094081238	3.26822423285335	6.04494378650038	6.64171975773106	8.59994466979392	5.92236606692475	4.73243657618437	4.62843595877618	6.05903142878277	5.22250042247588	6.36307710723848	3.57325838057979	4.34078570714756	3.83668725310057	4.309991409924	6.33655024443807	5.61873183665713	6.27026889532649	6.72898436879618	5.52029391290744	6.29596225378996	6.5275076316465	4.4149008488288	4.20494765985555	6.19321677218199	6.11813628625583	6.29469920388636	6.0076131236799
"TMEM79"	6.80759847498234	6.58692062791692	5.24563371800194	8.23837256750615	8.37839479221834	6.23872123402898	4.90287966600587	6.6931740909898	6.31640541294866	6.07519854469489	6.41813179711264	6.31014576662715	6.70458318234516	6.21074875091478	6.33295608329404	4.44733579392852	5.60987145813922	6.33919866438215	7.37264808144283	6.49297106980361	6.7454938461	6.89393801221567	6.25244020681594	6.73183936397028	6.74160345767832	5.85762807826285	6.57382119938412	7.65017269739988
"SRPK3"	4.31236038902317	6.83097489716412	4.20448451592514	3.91258781387788	8.63034658443109	7.43989704771355	3.12086728199188	6.18649250522201	6.03370345572414	5.49501827889538	4.0424406878468	5.97351173693379	5.99847303932802	6.42880598701343	3.66533841945427	6.60466687214111	7.29920429758282	5.59540807788286	6.57543488792157	7.43790684369887	7.77460754239939	6.43187037423788	6.36917972918952	5.29857983931687	6.16696272761217	6.10159681165692	7.34530696720995	3.27150381238246
