"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"MS2010072835"	"MS2010072925"	"MS2010072930"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072828"	"MS2010072837"	"MS2010072921"	"MS2010072932"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072001"	"MS2010072004"	"MS2010072036"	"MS2010072805"	"MS2010072813"	"MS2010072831"	"MS2010072902"	"MS2010072917"
"PRSS8"	5.82486858536317	8.15972152634796	5.76395353928463	4.56767003957379	6.17239659166277	6.5497499456625	3.60389646377076	5.67003614011369	1.80134927436836	5.13371787675549	3.15789489169636	3.24627969971272	5.69871357564458	5.05141055301876	2.62676081706764	3.05715788413424	5.16224830999273	5.66746121609548	5.40041125842303	4.40299239040608	5.65896851923002	4.22646835103105	3.77141208040982	4.85008287122566	1.69935349715738	5.02736759169077	4.11877402222912	4.26259434147811	2.51932749467453	4.56189886651766	5.57495331967863	5.58472479699489	5.19116194491096	3.41656289754536	4.68401113630428
"FAM83A"	5.35827314959727	5.58692627617121	5.43436546605548	5.72985662478516	4.95440698099176	6.01305196151165	5.99500231633558	7.85599358579951	5.50577660125403	4.99308188017824	3.41612655699617	4.52051529938796	4.94249405566298	5.34448935408365	5.38961282552573	4.25879592943658	3.79445756254766	4.84609775381167	4.31562099320312	5.56937939336021	4.66636279540369	4.92601982781835	5.75176004305097	5.71259043064798	4.61967516654569	5.03404758839443	4.75356416488085	4.36927275633342	3.70804319094374	6.21474801039464	5.3781957204331	3.83089446322414	5.45644132395978	6.13304361807383	5.32996029552999
"C1orf116"	5.22937423713969	6.69363867205043	6.60728036120571	6.85552400775538	4.93906272035662	7.63993449899312	3.30523478186058	6.88514915786842	2.90096759548351	3.25038540658742	3.1063071768226	3.9908101653563	6.608250798117	3.35070186315959	2.36999869264531	3.08788718388956	2.98321341931535	3.01185915233156	3.30862054179467	2.40039216419883	2.5219120856465	2.80710607893501	2.64934306854175	3.27891909786481	2.97435649818239	2.51347156690775	3.20342423463351	2.54413501471849	2.31129847203516	3.61482668797074	2.55031566290288	2.6772457455937	2.51256083889427	3.10580748880289	2.72011505137353
"PLA2G4F"	4.19254137770074	3.49297363113526	2.37857694508556	5.89416855070536	2.64747979673789	3.78095725579418	4.67531571316547	4.10207584250937	4.93173241372144	2.58949537626713	3.84211177053743	2.85657185232271	3.0424872104021	2.8641698451357	4.68665877172519	5.9053997133354	4.74644772447163	2.85730183190166	6.51029768779414	5.72355634067291	6.01148362328909	5.08617035074542	4.55851356791025	4.80081481296309	5.79114479918057	4.42062886437187	7.12247676017903	3.38611005102469	5.67978610102481	6.14224660533019	4.62587984062477	3.23399894432324	3.46551315131151	5.03901078790483	5.52206688713222
"PRSS22"	5.6619685195239	6.2898251069215	6.44009851216781	5.94985536132309	6.45058976631539	8.2832514217283	6.83357845946158	5.91120257358923	6.36462499556632	5.54009291150912	6.07029212514823	6.07050553488007	6.85252251416637	5.75374338918726	6.18133017182443	6.01547456248311	5.07980535988534	5.62524994225388	6.89707051918057	7.15225466358475	6.68329932685965	6.78873982985384	6.20159642186449	6.64133173762997	7.12514205277321	5.95035430850571	4.07511736897057	6.2083217039806	7.13032347760593	6.19632657643053	6.46305134684836	4.79983005280134	6.38531380131968	6.72528748513815	6.70600811443679
"KRT19"	7.56170406303482	10.6747562133264	8.7604140762908	7.11267241165577	10.5977505357791	11.3233333214624	1.92279750486715	7.97581263129197	1.18391170574788	1.63232468347973	1.07283334469262	1.37656592695739	8.53953781548975	1.72562731114306	1.28221261816073	1.1063713916429	1.32074975342846	8.89609383536742	1.42363649308644	2.20370380230364	1.52620256650326	2.06002766398502	5.61156388579823	4.20648504607958	2.08266095167379	6.29155401611294	6.53245692204192	3.71577511721199	2.17608833013766	1.71588721240501	1.43953192694882	1.44938697243371	1.99468752862722	2.17863542079142	1.49069376763318
"CEACAM5"	5.94463908316036	4.72109777270582	8.57766440767596	8.3351104170129	10.3779244945135	10.5343325191883	6.33663834797914	7.22911353992668	2.03789607499688	5.46486270747006	3.28725984037284	3.46295825487726	4.57941773909246	5.72792972530609	3.86297389196849	4.63137184086423	4.76673943588005	5.49601358388257	5.74138784449609	6.21986703942182	6.84553156494943	4.83865841958862	6.08460954386757	6.58862630041404	6.15460340655563	4.93432703956561	6.3240918587125	5.72636435592074	5.94194310639608	6.01475350781559	3.94955667772345	5.67980401621149	5.50336992061973	6.19895915179025	5.27596767480391
"KRT15"	9.66114960189364	6.53760979639171	9.24921262090634	9.01200179973305	3.39743461353415	10.9375656585595	6.53559387365466	5.61080445550023	1.65667997186805	1.78507902622384	5.5239962360823	3.0485457967801	3.16503342080756	3.27011153357811	2.4212168683626	2.50799710200607	2.5263949866631	3.13779332011453	4.19015108810411	3.3311706836804	3.28581298203662	2.33620747591161	3.5385817265352	3.89510366804512	3.86068032738698	3.90219539846253	2.39866776148678	2.22681107079667	3.86644540904986	3.36411211578146	2.19112480742101	3.26649456628215	4.63264041451993	4.30224710245175	2.54816478814753
"C19orf21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDZK1IP1"	7.1183076571862	9.58715361460595	8.02948236595899	6.54041948598209	6.6349625506628	10.2796004550809	5.05167987727583	7.59854222368054	4.88101897705333	5.03255253649178	5.66320497191928	3.07485141049666	7.20168717474076	5.84289202625413	5.75315210147742	4.83189707175219	5.71344026794778	9.34469447619558	4.83053676041257	5.32993797346376	4.0051844248254	4.76727252590353	4.9121501697792	5.04570663982309	2.87516038856418	5.29054393076883	5.88129333199084	5.65488775398947	5.65443688124842	5.60535341426338	5.94320180732287	4.65451948245969	4.96686570982967	4.89680255752553	2.6605938710011
"CCDC64B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SCNN1A"	5.15400543243022	7.00027293676447	5.32611519724187	5.47448069672562	4.90854696368372	6.4788749482449	4.4095431697355	4.78576556580589	3.79211360566258	2.69461234793576	3.58112057813018	3.91610952699435	5.38997585237252	2.61739412106582	3.25969229219092	3.07069699213451	3.77285278457212	5.92024846439363	3.97658415000297	4.20156482469399	3.27950420997061	2.87102545367348	4.39865349125729	4.03683259872181	3.14221216873015	3.58567457224807	3.29075474750531	3.12035153257164	3.2328271715058	3.25662373928889	3.58642117048969	2.92135128219247	4.42783113907699	3.72923394189273	3.16544689932177
"RIPK4"	5.19372270869954	5.62724529878005	5.20018283498933	4.02973383901734	4.50485791436259	7.08455179426169	2.53580063554032	8.83875005404017	3.19928237147145	4.84317048046866	5.26508349174602	4.35309366343259	5.37441123216547	4.44211099553747	4.52539441861376	3.01364254193865	4.71939931653753	3.62329866535497	4.28613483432508	2.34657960016356	4.93749059310252	3.80053954623405	3.38901850762789	5.49351878173321	3.26607711569632	5.94511832118444	4.18761132920894	3.39671269823152	3.77991060393602	5.77085568163766	5.59821411358803	4.6985236959966	3.96989193552707	4.66568910379642	4.1360478117479
"DUOX2"	1.43574966698562	2.67533789597849	5.61658118785384	5.66565636703393	5.94431400592563	6.39436595965689	3.39709469130606	9.03648577017743	5.08292590083439	4.79553118227122	5.08479978419051	3.62953142861733	5.48935236966148	3.33475323627688	4.81487566417633	2.91404858123854	5.46997694965647	4.82689623931726	3.1248969816305	4.46385384903139	5.45657768158509	4.08555839147869	6.57187280980055	5.23394660014827	4.0889768951883	4.75478998749773	6.0538130691793	4.36587842268429	1.3130633746416	2.99427733636444	5.06799998311327	4.04338263176161	4.63117792433436	2.52953979798407	2.23214990858424
"ERBB3"	6.57647425936691	8.76255088688414	6.18816397504345	6.39842370798356	7.04061881785326	7.77159304187295	5.10259491953249	6.92262804317421	5.06512790035197	4.53973673002636	4.58061720756163	5.29884325896416	7.09016784381996	4.43365629387215	3.9781551433596	5.07791504700743	4.85749034640176	6.3339472738245	5.49101532009974	6.01234946321222	3.252600894367	5.0833094028821	5.51370339467398	3.42876789185084	5.44346668639298	5.13915068215226	5.15718051350402	5.65075482118456	4.95163605341327	5.41715495765746	4.96654100939922	4.5501196022288	4.99201518199751	4.8237590965922	4.55685966600108
"FUT3"	2.62907127979837	4.818095086334	4.28890022908638	5.88786140872816	4.21181165583664	6.02874537245497	5.55477711085451	8.50908734723533	3.06388987380433	5.28413442991188	4.2052168332378	4.89636366398467	5.00702644423573	5.25914232940135	5.8499375814226	3.02823860283627	3.74117830525685	5.95277141479566	4.43486675587676	3.45524506924687	6.23422455463624	3.02782915590554	4.73077944341258	5.20379289795264	4.10220950938064	4.98295123729528	4.23007953398428	4.76089435330104	4.59586803987271	6.08145874088409	5.68039002505954	6.05924698563379	5.55250953013524	4.80887384990701	4.03041296407602
"XDH"	5.68783087353989	5.69614324099286	6.1014906380953	5.48876202815602	6.3760877982189	6.81402422879467	5.68764525675592	7.24050087183985	4.80927750139573	4.61229904757625	4.7521158232508	5.26756028418029	6.17244452782702	4.86383781699409	4.75810029245315	6.1892702430277	5.92943163098368	5.77390953379673	5.60275074201772	5.24450019172953	4.1847322692509	4.42347161840364	5.32073360880662	4.94826481729786	4.79270493711385	4.64637442659513	4.54765147199965	4.97844233047864	4.42910862105794	5.50771590255662	5.94879481733324	4.93585546720836	5.72574380089931	5.71208556303279	4.91786441241443
"TMPRSS2"	3.82994525006686	6.9895318912535	4.90583908401527	2.61461770019403	6.56289325097012	6.04153658126095	3.84552162550562	8.15792107201322	2.96194538520407	2.78266388254252	2.53223439453291	3.30352848305234	5.34766133587143	2.5085761526347	3.15808966433672	2.28290371405095	3.2861888974261	3.22358956927112	2.79932842812748	3.01103718443629	3.93960865771153	3.7339749688971	3.40308337025263	3.5462833429339	4.98969400252887	3.84303834162923	3.58840167400192	3.46114824858249	2.9728193424227	3.12612200472801	2.44375424202673	2.77537900630131	3.29958773699378	3.38428971451765	2.24805033858332
"AKR1B10"	6.79967741172842	2.57530992038785	8.43734764979533	9.53055966468461	9.52873230360247	10.4080185672317	1.82732176867214	8.38661479989299	4.08849216872614	1.27685845985616	5.43585427719058	4.75072583857894	1.01286895403565	1.30312442540263	3.2278187071337	1.52981058318357	1.53577191784969	1.10472198082182	6.44098321093114	4.97372458641903	6.00443040906163	4.96317118547344	4.17935919130439	4.43553541043954	1.3471803361839	6.33883258387581	5.96288983312474	5.87241762679297	4.2546636212906	4.21003811074711	5.84755047057438	5.59124858787839	5.13966646246742	3.95477696371617	1.28847325388182
"SERPINB5"	11.8796529041431	6.82237760116434	10.4808446239038	10.8696068438454	7.83516259063908	12.1182755509306	3.59516780808872	8.813469560065	1.21160648752396	4.179968069468	5.61088788884293	5.09660962364783	1.62698424258806	2.42346021127193	4.32461863171146	1.29829203728965	1.0642341595872	0.756238412205828	2.4742640646921	2.41194883891596	5.37672365576617	1.39106318255579	1.36977786157679	2.98634904639965	3.44381860437983	3.28932965542395	6.41251690359933	2.21727434606952	1.84661430751839	4.13141096624191	1.48247724840199	5.05732417036766	4.54927616911304	1.42004357563343	2.37982198508408
"KLK11"	7.029577440241	8.61547873767878	7.09747163440825	5.91251211633656	3.84940380945799	8.89312597669084	7.37266665091685	9.43174627263785	5.62985812205648	4.83198019703652	3.10239001216869	5.83289687422469	4.98331413059807	4.49923350325209	4.76145878827672	3.60560716199836	5.85181811101453	6.23456246762428	4.94305967278361	4.71931172815099	6.29224263527076	5.88767583743101	6.20355163590671	6.04320851120256	6.12299815269521	5.68779475730454	7.56035891852409	3.05630204758761	4.21211522850087	5.57821008023831	5.97949664581807	5.57650430424199	5.40155874064973	5.75476186654261	5.92158040802726
"LCN2"	5.15212723621097	10.7918853212017	9.67218552476957	6.43775267293089	7.77975924414056	10.522113680319	6.83068375558059	11.1542444988189	2.51022716389577	2.51141005014903	1.52543370423152	4.23875750594376	5.04580214846386	7.84995340295485	4.90699485768467	3.33077090889361	8.60862574006445	6.95040607924447	2.66011896236217	5.68776335136566	6.2106742556633	2.77128173327209	3.21264003123531	6.48452197403455	6.43524130171252	6.69172845000401	2.79639652773342	3.12363055963246	4.43577851034625	3.64515913510955	3.8972211000939	5.92555108947062	3.63182952557847	6.11140560648368	3.12309583315548
