"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"IS12"	"IS13"	"IS14"	"IS15"	"IS16"	"State"	"MaxFC"	"InitialState"
"SOX2"	"SOX2"	1.15530095598913	-0.824673088829414	1.66707359224851	-1.16225705310074	0.0305324234680043	0.74940120214713	-0.134651172270462	0.251212869842968	-0.662248080592255	-0.994821478320004	-0.446160764055237	-0.985737205426617	1.17563213243765	0.857808009072304	-0.665178550977517	0.985806677482	"S01"	1.66707359224851	"IS03"
"PRKX"	"PRKX"	0.770778857034551	-0.994304254430725	1.6145750423602	-0.745480350643311	-0.469207344428437	0.82769604587427	-0.212060485529442	0.64717563178478	-0.568250499114536	-0.770958343353289	-0.235601296695988	-0.693651797957979	1.21189104220768	-0.163563757024484	-0.249444516796767	1.43618863792901	"S01"	1.6145750423602	"IS03"
"ABCC5"	"ABCC5"	1.26612959865436	-0.723510249383857	1.61024970885861	-1.15508485936196	-0.731423479791828	1.01445954110029	-0.137902984087956	0.212101497707294	-0.572732202940508	-1.08053732409453	-0.0175530116686341	-0.747986445158115	1.37799897606575	0.11470441403674	-0.5650999984428	1.40539155589925	"S01"	1.61024970885861	"IS03"
"ADAM23"	"ADAM23"	0.712242437068986	-1.00182671720362	1.59849571993009	-0.87056952367503	-0.825726613510442	1.13236629134909	-0.27172143053231	0.766400362786083	-0.484411471187126	-0.675261461676127	-0.262792927675089	-0.756335448065735	1.52889854586269	0.117078294724725	-0.975663374307171	1.19712802391167	"S01"	1.59849571993009	"IS03"
"NTRK2"	"NTRK2"	0.980090744999277	-0.879893757193333	1.53968336330159	-1.05654037319613	-0.984682459158425	0.732993169270204	-0.220187587732425	0.728200709974411	-0.724200359918544	0.14733052957184	-0.353393134491645	-1.01226305948323	1.20182419816156	-0.459849127490643	-0.357526435553953	1.39065941976089	"S01"	1.53968336330159	"IS03"
"RAPGEFL1"	"RAPGEFL1"	1.10103999121894	-0.685875322917405	1.50461352758309	-0.74029034164128	-0.863198290139935	0.994190879919975	-0.339669382013596	0.264603076783618	-0.900932025279221	-1.1587476448274	0.453921728029682	-0.651012076069612	1.16272244564872	-0.426020349709712	0.214723489441351	1.12813803044715	"S01"	1.50461352758309	"IS03"
"PLD1"	"PLD1"	0.810047034627138	-1.2008803013777	1.480200387861	-1.20351788789518	-0.203424553900223	1.14883079012334	0.156946799058133	0.627395891422477	-0.332836811106691	-0.884337374313013	0.242618687158684	-0.523791179647825	0.890460624777433	-0.47286246943437	-0.159300255933827	1.39431715368401	"S01"	1.480200387861	"IS03"
"ARTN"	"ARTN"	0.914390220996241	-0.972901548046769	1.47512386428417	-0.775199457086067	-0.238318725549499	1.22845488532543	-0.278303753120206	0.145854597573377	-0.548852241129094	-1.22575320273305	0.345608160494097	-0.919071694288604	1.23957071469486	0.588541430717539	-0.714598744141468	0.824188833301916	"S01"	1.47512386428417	"IS03"
"IGF2BP2"	"IGF2BP2"	0.832857943402596	-0.827716024284903	1.46947322035977	-1.00348298315843	-0.843812282380016	0.823914545185933	0.311965776153537	-0.0757686352102275	-0.876207620744992	-0.724695819525441	0.347663747614751	-0.0182034548722997	0.431203428117212	-0.3017098069558	0.145467751401355	1.35518406767864	"S01"	1.46947322035977	"IS03"
"AC004813.1"	"AC004813.1"	0.835585684976234	-0.636028412982426	1.46915167746571	-0.780643297645608	-0.470433431197782	0.900737883295446	-0.475608979388599	0.48997900335504	-0.542085968978583	-1.00081925635023	0.271822097546435	-0.523950424186064	0.929061307659911	-0.218666464220982	-0.688738158844689	0.355813080616792	"S01"	1.46915167746571	"IS03"
"DVL3"	"DVL3"	0.876351343829851	-0.766166561865624	1.46635801238304	-1.12345121421495	-0.823435699721837	0.824196467745263	0.0210928474642206	0.67242703419792	-1.34113636888338	-1.10394818489501	-0.033298780150018	-0.466047561326779	1.14311394260801	0.810396022457474	-0.42427120435323	0.984757004991595	"S01"	1.46635801238304	"IS03"
"ORC6"	"ORC6"	0.921152817272757	-1.05885731525081	1.46002526868562	-0.706177585551631	-0.34604592127169	0.796652853031524	-0.531118308608822	0.64303121491201	-0.0361690905503311	-1.48205097422099	0.493480330267365	-0.487493780861094	0.966070729113617	0.69913703820988	-0.777355866573558	-0.226181402573668	"S01"	1.46002526868562	"IS03"
"AL136097.1"	"AL136097.1"	0.829255790758149	-0.462563682608346	1.45556002240544	-0.766252487636439	-0.21186677499492	0.997492933843691	-0.447534898400461	0.45592046351194	-0.783051184727851	-0.908999726238461	-0.0556666638300051	-0.828579409306896	0.834774924584798	-0.0526518527438996	-0.625930652624259	-0.108627645669406	"S01"	1.45556002240544	"IS03"
"SLC4A11"	"SLC4A11"	0.844417397650752	-0.470720496781806	1.44305544487449	-0.644315102552086	-0.709922089595184	0.701465147171899	0.00481566843472875	0.356792258280795	-0.979565652919905	-1.10249190220247	-0.238583607144298	-0.348713519958055	0.658329284194203	-0.064934966561133	0.411197992572023	0.747559557203434	"S01"	1.44305544487449	"IS03"
